,RETN (56729)
ACH-000004,-0.0534062418359
ACH-000007,0.05184531603209999
ACH-000009,-0.120453307849
ACH-000011,0.025503648201599997
ACH-000012,-0.18401604650400002
ACH-000013,-0.144914332505
ACH-000014,0.007061779521840001
ACH-000015,-0.165953679395
ACH-000017,-0.151944949501
ACH-000018,-0.398733826725
ACH-000019,-0.420070713509
ACH-000021,-0.135570673788
ACH-000022,-0.08509527018210002
ACH-000025,-0.063841985743
ACH-000028,-0.09377768412410001
ACH-000030,-0.116855429803
ACH-000035,-0.130211715487
ACH-000036,-0.0331159818106
ACH-000037,0.138546150901
ACH-000039,0.30784524535999996
ACH-000040,-0.0497662228077
ACH-000041,-0.041344728773199994
ACH-000042,0.022296622781500002
ACH-000045,0.0777443472867
ACH-000047,0.0258000048127
ACH-000052,-0.04380918291830001
ACH-000053,0.0309289945634
ACH-000054,-0.19423233797699999
ACH-000055,0.09234914207260002
ACH-000060,-0.0543612945201
ACH-000067,-0.0613922649538
ACH-000070,-0.221867528314
ACH-000075,-0.16466201839800002
ACH-000078,0.026008570392299996
ACH-000082,0.0274600426419
ACH-000085,0.0541759135998
ACH-000086,-0.100483096632
ACH-000087,0.0760312419058
ACH-000092,-0.0406366669076
ACH-000095,-0.0607183205793
ACH-000097,-0.0421492868666
ACH-000098,-0.195076366785
ACH-000099,-0.09301719017179999
ACH-000108,-0.127475171776
ACH-000113,-0.0574945449407
ACH-000115,-0.023962492758999997
ACH-000116,-0.15562305058
ACH-000118,-0.17138043778
ACH-000120,-0.162171168854
ACH-000123,-0.052473676892400005
ACH-000127,-0.175170149047
ACH-000128,-0.15489633048
ACH-000132,-0.18540898407
ACH-000133,-0.25576970084600004
ACH-000137,-0.544484614089
ACH-000138,-0.052978880841
ACH-000142,-0.022215786302400002
ACH-000143,-0.18514697474300001
ACH-000146,-0.027298936170200003
ACH-000148,-0.09222309161350001
ACH-000150,-0.109666306291
ACH-000152,-0.0470043953645
ACH-000153,-0.0748087593448
ACH-000159,-0.168658139333
ACH-000160,0.0233244393121
ACH-000163,-0.178280751288
ACH-000167,-0.10399962023399999
ACH-000168,-0.19118924849
ACH-000169,-0.036851956638800004
ACH-000178,-0.0670048682602
ACH-000182,-0.0228857059165
ACH-000183,-0.361634780663
ACH-000188,-0.315702217513
ACH-000189,-0.191112516743
ACH-000190,0.059953596785699996
ACH-000198,-0.26595194617400003
ACH-000204,-0.121376538244
ACH-000206,-0.0114836285224
ACH-000207,-0.109617972592
ACH-000211,-0.034424143498400006
ACH-000215,-0.10998669017000001
ACH-000221,-0.034124387071700006
ACH-000222,0.13734327317199999
