,TCOF1 (6949)
ACH-000004,-0.194451741544
ACH-000007,-1.01140176365
ACH-000009,-0.310743607077
ACH-000011,-0.617732527182
ACH-000012,-0.7872536120999999
ACH-000013,-1.0705167516299998
ACH-000014,-1.0181796585
ACH-000015,-0.635855948282
ACH-000017,-0.8569167669509999
ACH-000018,-0.560297859798
ACH-000019,-0.229311363273
ACH-000021,-0.476744880426
ACH-000022,-0.265396771523
ACH-000025,-0.5398369673100001
ACH-000028,-0.36308267253700005
ACH-000030,-0.7382788871160001
ACH-000035,-0.636732909167
ACH-000036,-0.458790488387
ACH-000037,-0.8653164436700002
ACH-000039,-0.530512639044
ACH-000040,-1.27074826585
ACH-000041,-0.765570732102
ACH-000042,-0.678482285517
ACH-000045,-0.78034663646
ACH-000047,-0.48113263163000003
ACH-000052,-0.563634074285
ACH-000053,-0.9447504882979999
ACH-000054,-0.8478409322079999
ACH-000055,-0.8717078247069999
ACH-000060,-0.61208636029
ACH-000067,-0.529632216473
ACH-000070,-0.864328268309
ACH-000075,-0.5181778909979999
ACH-000078,-1.17274267394
ACH-000082,-0.714758391241
ACH-000085,-0.745694229632
ACH-000086,-0.553837365165
ACH-000087,-0.274807650126
ACH-000092,-0.529032366334
ACH-000095,-0.8524623321799999
ACH-000097,-0.877739745997
ACH-000098,-0.49228080300300003
ACH-000099,-0.7501923424429999
ACH-000108,-0.388247415074
ACH-000113,-0.7928714618780001
ACH-000115,-0.107712519599
ACH-000116,-0.44902574322899996
ACH-000118,-0.473873844376
ACH-000120,-0.6983528118179999
ACH-000123,-0.848504269289
ACH-000127,-0.861352759618
ACH-000128,-0.533552082643
ACH-000132,-0.051823119278499995
ACH-000133,-0.547906511535
ACH-000137,-0.566134124702
ACH-000138,-0.638505387444
ACH-000142,-0.76051928287
ACH-000143,-0.14083961727299998
ACH-000146,-0.590960644616
ACH-000148,-0.44847750371699996
ACH-000150,-0.908238929694
ACH-000152,-0.49280354675300003
ACH-000153,-0.541921878059
ACH-000159,-0.505540076609
ACH-000160,-0.898842016162
ACH-000163,-0.9432665523520001
ACH-000167,-0.69436024684
ACH-000168,-0.645261339203
ACH-000169,-0.382934395215
ACH-000178,-0.934712580951
ACH-000182,-0.0827068298356
ACH-000183,-0.21587404487700002
ACH-000188,-0.706692930536
ACH-000189,-0.988699910604
ACH-000190,-0.809450775996
ACH-000198,-0.7816819319149999
ACH-000204,-0.311196357911
ACH-000206,-0.516027432394
ACH-000207,-0.705134398577
ACH-000211,-0.568034585431
ACH-000215,-0.743352737805
ACH-000221,-0.347740544802
ACH-000222,-0.7160479929279999
ACH-000223,-0.45964448938
ACH-000226,-0.675349314763
ACH-000227,-0.66145107343
ACH-000228,-0.976878516666
ACH-000231,-0.7684386547050001
ACH-000232,-0.5940386570189999
ACH-000233,-0.887043189622
ACH-000234,-1.01201487814
ACH-000235,-0.634690038205
ACH-000237,-0.585949227694
ACH-000238,-0.84392423369
ACH-000243,-0.954632311788
ACH-000244,-0.544596243908
ACH-000246,-0.7511564978890001
ACH-000248,-0.672094176531
ACH-000250,-0.770458088672
ACH-000251,-0.5405938471689999
ACH-000253,-0.272863525494
ACH-000255,-0.937267118303
ACH-000256,-0.782156121699
ACH-000257,-0.563082475712
ACH-000258,-1.0372628706799998
ACH-000259,-0.800306960257
ACH-000260,-0.165509632108
ACH-000261,-0.533023914302
ACH-000262,-0.630877758397
ACH-000263,-0.37996648989799997
ACH-000264,-0.40471949741499996
ACH-000265,-0.842527774524
ACH-000266,-0.736715321399
ACH-000272,-0.547944315487
ACH-000273,-0.757050844783
ACH-000274,-1.07522534567
ACH-000277,-0.31117916638
ACH-000278,-0.56973325937
ACH-000279,-0.139289803578
ACH-000280,-1.00663871128
ACH-000281,-0.926603444751
ACH-000288,-0.615829577535
ACH-000291,-0.660304564759
ACH-000293,-0.744471943576
