,SEPN1 (57190)
ACH-000004,-0.220097340976
ACH-000007,-0.120821033412
ACH-000009,0.07182174793710001
ACH-000011,-0.06535336334969999
ACH-000012,-0.207863426451
ACH-000013,-0.254703304309
ACH-000014,-0.07706742664489999
ACH-000015,-0.0907189707395
ACH-000017,0.04320597234469999
ACH-000018,-0.30526971272500003
ACH-000019,0.057153927692800005
ACH-000021,-0.13987636090299999
ACH-000022,-0.13148051002699998
ACH-000025,-0.131785520597
ACH-000028,-0.25710048653900003
ACH-000030,-0.018014924203
ACH-000035,-0.10065208591800001
ACH-000036,-0.012246596131299999
ACH-000037,-0.263985887777
ACH-000039,-0.128388521586
ACH-000040,-0.242425597852
ACH-000041,-0.419808597911
ACH-000042,-0.00150653557431
ACH-000045,-0.10043466372899999
ACH-000047,-0.132812289738
ACH-000052,-0.0737792647427
ACH-000053,-0.028570666466
ACH-000054,-0.312272427204
ACH-000055,-0.352155499709
ACH-000060,-0.0867052772007
ACH-000067,-0.17136393796100002
ACH-000070,-0.361563631435
ACH-000075,-0.41271567949
ACH-000078,-0.0743858196965
ACH-000082,0.07729748304339999
ACH-000085,-0.33457570989700003
ACH-000086,-0.012098698556299999
ACH-000087,-0.10777389761499999
ACH-000092,-0.209386936539
ACH-000095,-0.22295676046000001
ACH-000097,0.0725927940321
ACH-000098,-0.09915778830800001
ACH-000099,-0.0169423593746
ACH-000108,-0.204440451726
ACH-000113,-0.185964083492
ACH-000115,0.025613295126099996
ACH-000116,-0.114072004251
ACH-000118,0.17965508113899997
ACH-000120,0.031171084398400002
ACH-000123,0.17625694300900002
ACH-000127,0.00488032178089
ACH-000128,-0.08429374818939998
ACH-000132,-0.301868245033
ACH-000133,-0.0140113177003
ACH-000137,-0.150819031114
ACH-000138,-0.0654361764347
ACH-000142,-0.250553875928
ACH-000143,-0.310460272757
ACH-000146,-0.11486492582900001
ACH-000148,0.00780651909767
ACH-000150,-0.39367928090099996
ACH-000152,-0.106297498213
ACH-000153,-0.053504513018300004
ACH-000159,0.0032829405236100002
ACH-000160,-0.06027598825159999
ACH-000163,0.0443426836001
ACH-000167,0.0776392614678
ACH-000168,-0.33603387927199996
ACH-000169,-0.030688465273000003
ACH-000178,-0.19268872120900002
ACH-000182,0.0903298945749
ACH-000183,0.150328633235
ACH-000188,-0.19152470902399998
ACH-000189,-0.250351984923
ACH-000190,-0.16790521595
ACH-000198,-0.17252246811900002
ACH-000204,-0.08989156431810001
ACH-000206,0.007267699257479999
ACH-000207,0.253843691036
ACH-000211,0.0196535070687
ACH-000215,-0.149834049543
ACH-000221,-0.198285457073
ACH-000222,-0.14052013148
ACH-000223,-0.253898132944
ACH-000226,-0.233004499137
ACH-000227,-0.0613896727098
ACH-000228,-0.10932877027
ACH-000231,-0.103390888178
ACH-000232,-0.036632063168199995
ACH-000233,0.0102104873293
ACH-000234,-0.350670984494
ACH-000235,-0.17401416977
ACH-000237,-0.0818291787732
ACH-000238,-0.0407646701353
ACH-000243,-0.0943722353263
ACH-000244,-0.288832054407
ACH-000246,-0.11360097840500001
ACH-000248,-0.155363288553
ACH-000250,-0.102328787532
ACH-000251,-0.278859398407
ACH-000253,-0.18040948418699998
