,RABL2A (11159)
ACH-000004,-0.156217888115
ACH-000007,-0.413438561656
ACH-000009,-0.44526918090000006
ACH-000011,-0.5402510130899999
ACH-000012,-0.252582865283
ACH-000013,-0.36338691134999995
ACH-000014,-0.367133524259
ACH-000015,-0.374867652848
ACH-000017,-0.17627549744600002
ACH-000018,-0.507549899913
ACH-000019,-0.010925346280100001
ACH-000021,-0.10803318147299999
ACH-000022,-0.377289075431
ACH-000025,-0.337154542939
ACH-000028,-0.34860434648500005
ACH-000030,-0.267255347561
ACH-000035,-0.396073389159
ACH-000036,-0.376421893124
ACH-000037,-0.204254608268
ACH-000039,-0.438822258393
ACH-000040,-0.38737316576700004
ACH-000041,-0.244029025929
ACH-000042,-0.14490948651
ACH-000045,-0.368163831898
ACH-000047,-0.24275839228799997
ACH-000052,-0.275325809309
ACH-000053,-0.23889589600000002
ACH-000054,-0.328892068275
ACH-000055,-0.221845130574
ACH-000060,-0.494950013385
ACH-000067,-0.284444238075
ACH-000070,-0.211367404487
ACH-000075,-0.555953292183
ACH-000078,-0.11498793684599999
ACH-000082,-0.19038561276000002
ACH-000085,-0.41914289508
ACH-000086,-0.286970941456
ACH-000087,-0.466552664538
ACH-000092,-0.508436055639
ACH-000095,-0.337672622389
ACH-000097,-0.243693489066
ACH-000098,-0.584123645815
ACH-000099,-0.262229619493
ACH-000108,-0.14954181784
ACH-000113,-0.24335385499099998
ACH-000115,-0.182453866113
ACH-000116,-0.27720974058200004
ACH-000118,-0.31892407818199997
ACH-000120,-0.108917873137
ACH-000123,-0.600726700687
ACH-000127,-0.284739755593
ACH-000128,-0.329425417599
ACH-000132,-0.394344489964
ACH-000133,-0.13274370787999998
ACH-000137,-0.29338991114199997
ACH-000138,-0.278914932703
ACH-000142,-0.357306594723
ACH-000143,-0.20033688778
ACH-000146,-0.23944125884
ACH-000148,-0.320787092968
ACH-000150,-0.20517921718499998
ACH-000152,-0.2079913143
ACH-000153,-0.246163111897
ACH-000159,-0.273154237593
ACH-000160,-0.18282350317499999
ACH-000163,-0.324894225892
ACH-000167,0.027400220406299997
ACH-000168,-0.254171641215
ACH-000169,-0.217239226461
ACH-000178,-0.236136950097
ACH-000182,-0.416202259891
ACH-000183,-0.293416211725
ACH-000188,-0.28221311833
ACH-000189,-0.685229888162
ACH-000190,-0.46444635416599994
ACH-000198,-0.284540628519
ACH-000204,-0.5309405184520001
ACH-000206,-0.210871934217
ACH-000207,-0.25141457062
ACH-000211,-0.368184975313
ACH-000215,-0.351775056392
ACH-000221,-0.32463137936500003
ACH-000222,-0.213430330753
ACH-000223,-0.461537972611
ACH-000226,-0.364088938249
ACH-000227,-0.405642752076
ACH-000228,-0.49504923906000003
ACH-000231,-0.324848488148
ACH-000232,-0.325587934586
ACH-000233,-0.226303749115
ACH-000234,-0.39132357485799996
ACH-000235,-0.313521929489
ACH-000237,-0.430125492215
ACH-000238,-0.392916888121
ACH-000243,-0.269857281878
ACH-000244,-0.528065466984
ACH-000246,-0.203128329251
ACH-000248,-0.377715251352
ACH-000250,-0.39195545259400005
ACH-000251,-0.315511167978
ACH-000253,-0.17976203510699998
ACH-000255,-0.442704323399
ACH-000256,-0.437814843791
ACH-000257,-0.260224443015
ACH-000258,-0.411254300489
ACH-000259,-0.18817823755399998
ACH-000260,-0.45894095038800004
ACH-000261,-0.230254095271
ACH-000262,-0.43138710258
ACH-000263,-0.261048492308
ACH-000264,-0.191062009409
ACH-000265,-0.341045545323
ACH-000266,-0.264616820072
ACH-000272,-0.161569362217
ACH-000273,-0.298766747142
ACH-000274,-0.303195022751
ACH-000277,-0.44809703230400005
ACH-000278,-0.291334724433
ACH-000279,-0.279232673185
ACH-000280,-0.240962706781
ACH-000281,-0.389108950234
ACH-000288,-0.240951075544
ACH-000291,-0.522991760454
ACH-000293,-0.45479477964299997
ACH-000294,-0.189488395123
ACH-000295,-0.30406288520799996
ACH-000296,-0.1812480145
ACH-000302,-0.27172650573
ACH-000304,-0.399985370806
ACH-000307,-0.447999830243
ACH-000308,-0.397014903279
ACH-000310,-0.164440447565
ACH-000311,-0.236438185334
ACH-000312,-0.170584905137
ACH-000315,-0.215932103105
ACH-000316,-0.351374133917
ACH-000317,-0.39895722893299995
ACH-000318,-0.22616431360300002
ACH-000319,-0.261595094175
ACH-000320,-0.293020167419
ACH-000322,-0.395819825031
ACH-000323,-0.123207228903
ACH-000324,-0.582346702317
ACH-000329,-0.396661089178
ACH-000330,-0.32216391572299996
ACH-000331,-0.313100219862
ACH-000332,-0.196266569399
ACH-000334,0.132858619249
ACH-000335,-0.36734750086199996
ACH-000336,-0.44536397303400005
