,DENND1C (79958)
ACH-000004,0.0592269044611
ACH-000007,-0.160338935314
ACH-000009,-0.0436078415216
ACH-000011,-0.181502872078
ACH-000012,-0.0700115787878
ACH-000013,-0.128728808825
ACH-000014,-0.184243229595
ACH-000015,-0.251606038904
ACH-000017,-0.210952541185
ACH-000018,-0.335387282467
ACH-000019,-0.587001277981
ACH-000021,-0.263491806107
ACH-000022,-0.11069690574999999
ACH-000025,-0.132453995154
ACH-000028,-0.15085499147
ACH-000030,-0.132615111319
ACH-000035,-0.24940111351799998
ACH-000036,-0.004812561239649999
ACH-000037,-0.0327006695784
ACH-000039,-0.141742894443
ACH-000040,-0.20919944836399998
ACH-000041,-0.0852653944797
ACH-000042,-0.010511591534
ACH-000045,-0.325906949716
ACH-000047,-0.0508582975469
ACH-000052,-0.154067092401
ACH-000053,0.007385352659409999
ACH-000054,-0.281399949117
ACH-000055,-0.242788285601
ACH-000060,0.042044497083599995
ACH-000067,-0.256001267132
ACH-000070,0.054338686547800004
ACH-000075,-0.156375179516
ACH-000078,-0.00154660353622
ACH-000082,-0.0829066114552
ACH-000085,0.0839909750856
ACH-000086,-0.29096805301199996
ACH-000087,-0.09406211182970001
ACH-000092,-0.184453767213
ACH-000095,-0.11443901070800001
ACH-000097,-0.0844809419121
ACH-000098,-0.32262886731
ACH-000099,-0.205746607648
ACH-000108,-0.267929927944
ACH-000113,-0.408943231288
ACH-000115,-0.190932800027
ACH-000116,-0.117197419262
ACH-000118,-0.267074107726
ACH-000120,-0.265190493485
ACH-000123,-0.33861808664099996
ACH-000127,-0.257540998974
ACH-000128,-0.194737842586
ACH-000132,-0.20407948204100002
ACH-000133,-0.148199788308
ACH-000137,-0.172462885629
ACH-000138,-0.19223449285500002
ACH-000142,-0.199271121673
ACH-000143,-0.19865507046300002
ACH-000146,-0.05859787777980001
ACH-000148,-0.175388689267
ACH-000150,-0.16559242647199998
ACH-000152,-0.05295035133500001
ACH-000153,0.0331171591596
ACH-000159,-0.0744709649135
ACH-000160,-0.111420134595
ACH-000163,-0.151514466492
ACH-000167,-0.302640529773
ACH-000168,-0.285660121035
ACH-000169,0.00732217274242
ACH-000178,-0.156901773626
ACH-000182,-0.275157131805
ACH-000183,-0.414780695046
ACH-000188,-0.05738330000519999
ACH-000189,-0.161908714966
ACH-000190,-0.15579318459
ACH-000198,-0.323978126332
ACH-000204,-0.355961846809
ACH-000206,-0.31021492719
ACH-000207,-0.31165449168299997
ACH-000211,-0.263396571648
ACH-000215,-0.1511847715
ACH-000221,-0.0857369543227
ACH-000222,0.0137644111899
ACH-000223,-0.17759639507599997
ACH-000226,-0.20521392605799998
ACH-000227,-0.143690865515
ACH-000228,-0.198857518444
ACH-000231,-0.0121563840072
ACH-000232,-0.170737384231
ACH-000233,-0.159017543296
ACH-000234,-0.12550712165300001
ACH-000235,-0.18885526142099998
ACH-000237,-0.09597299402380001
ACH-000238,-0.042800513005499995
ACH-000243,-0.320224571162
ACH-000244,-0.154455730307
ACH-000246,-0.311005594675
ACH-000248,0.0114677534167
ACH-000250,-0.132500435984
ACH-000251,-0.28241888343000005
ACH-000253,-0.19908265784600002
ACH-000255,-0.05742263901769999
ACH-000256,-0.08470389101579999
ACH-000257,0.015945518534500002
ACH-000258,0.08656338051580001
ACH-000259,-0.15402613399700002
ACH-000260,-0.31619998254799997
ACH-000261,-0.218392141104
ACH-000262,-0.053316186005100005
ACH-000263,0.0015139196206799999
ACH-000264,-0.105071682683
ACH-000265,-0.12967189219
ACH-000266,-0.130615998067
ACH-000272,-0.316217299437
ACH-000273,-0.13733738676100002
ACH-000274,-0.0748428659607
ACH-000277,-0.032306812892400005
ACH-000278,-0.119864214967
ACH-000279,0.03322223852
ACH-000280,-0.147492959176
ACH-000281,-0.291317261167
ACH-000288,0.00544990551198
ACH-000291,-0.102537492901
ACH-000293,-0.268256088349
ACH-000294,-0.318162193311
ACH-000295,-0.545919213082
ACH-000296,-0.21013987900199999
ACH-000302,-0.37386185567900004
ACH-000304,0.0677162315101
ACH-000307,-0.228478719809
ACH-000308,-0.156588520236
ACH-000310,-0.106923314888
ACH-000311,-0.027370170965
ACH-000312,-0.223438752401
ACH-000315,-0.022838983325999998
ACH-000316,-0.260883019597
ACH-000317,-0.043349589683099994
ACH-000318,-0.104284306697
ACH-000319,-0.0626283600214
ACH-000320,-0.37156457939599996
ACH-000322,-0.0794966342392
ACH-000323,-0.0205098607068
ACH-000324,-0.10646435080399999
ACH-000329,0.00421892622813
ACH-000330,-0.271906815107
ACH-000331,-0.34946070580399996
ACH-000332,-0.141022962587
ACH-000334,-0.24960963059799998
ACH-000335,-0.11239983989
ACH-000336,-0.24238811306699998
ACH-000337,-0.143228767886
ACH-000339,-0.174739964903
ACH-000341,-0.393895835357
ACH-000348,-0.246982381719
ACH-000350,-0.177668497653
ACH-000352,-0.146929782992
ACH-000356,0.07840065838480001
ACH-000361,-0.40007532184100003
ACH-000362,-0.215093846976
ACH-000363,-0.20587478651000002
ACH-000364,-0.193519922013
ACH-000365,-0.127336117717
ACH-000366,-0.190409401272
ACH-000368,-0.064391885802
ACH-000374,-0.043447981170399996
ACH-000375,-0.302796503273
ACH-000376,0.12143094489499999
ACH-000381,-0.177169862376
