,DYNLRB1 (83658)
ACH-000004,-1.30770142126
ACH-000007,-2.0500213495599997
ACH-000009,-1.63213497752
ACH-000011,-1.94638361638
ACH-000012,-1.54327863495
ACH-000013,-1.9203762591
ACH-000014,-1.70934571741
ACH-000015,-1.6537613691
ACH-000017,-1.59837702954
ACH-000018,-1.51726296521
ACH-000019,-1.95435704072
ACH-000021,-1.09213826131
ACH-000022,-1.6811370368599998
ACH-000025,-1.8204782361
ACH-000028,-1.73938417551
ACH-000030,-1.68851826715
ACH-000035,-1.22598919698
ACH-000036,-1.7652462791099999
ACH-000037,-0.62184408366
ACH-000039,-1.6116451541799999
ACH-000040,-1.7302645923400002
ACH-000041,-1.57852771329
ACH-000042,-1.9407906817900002
ACH-000045,-1.94772590625
ACH-000047,-1.7713429175599997
ACH-000052,-1.61965723291
ACH-000053,-1.55440918342
ACH-000054,-1.5089117566699999
ACH-000055,-1.84244940844
ACH-000060,-1.6838341958
ACH-000067,-1.66115702789
ACH-000070,-1.86655997434
ACH-000075,-1.9472195811700002
ACH-000078,-1.78490485806
ACH-000082,-1.5567211929299998
ACH-000085,-1.78783260032
ACH-000086,-1.53374180821
ACH-000087,-1.5436687226899999
ACH-000092,-1.18555041398
ACH-000095,-2.0489263354400005
ACH-000097,-1.57791563395
ACH-000098,-1.81507631619
ACH-000099,-2.03626298586
ACH-000108,-1.46504147521
ACH-000113,-1.66547934917
ACH-000115,-2.5075839593700002
ACH-000116,-1.5598418644499998
ACH-000118,-1.65980474697
ACH-000120,-1.68149142148
ACH-000123,-1.50660754169
ACH-000127,-1.70664631539
ACH-000128,-1.7963881792099998
ACH-000132,-0.930139137986
ACH-000133,-1.61948364238
ACH-000137,-1.78918951184
ACH-000138,-1.95602003003
ACH-000142,-1.5727799771000002
ACH-000143,-1.6835716966499998
ACH-000146,-1.54975630373
ACH-000148,-1.92169029628
ACH-000150,-1.72942278104
ACH-000152,-1.71218912472
ACH-000153,-1.8608120362799998
ACH-000159,-1.23153209063
ACH-000160,-2.5511927367099996
ACH-000163,-1.30139647718
ACH-000167,-2.19211160513
ACH-000168,-1.1531582981200001
ACH-000169,-1.68120008319
ACH-000178,-1.61843130258
ACH-000182,-1.89303495061
ACH-000183,-1.6759503621899998
ACH-000188,-1.8198748268599998
ACH-000189,-1.5635208299899999
ACH-000190,-1.72673945873
ACH-000198,-1.72678972199
ACH-000204,-1.51557363016
ACH-000206,-1.37272656669
ACH-000207,-1.8759380671900001
ACH-000211,-1.86141062012
ACH-000215,-2.08177558114
ACH-000221,-1.71370097145
ACH-000222,-1.6188155407799998
ACH-000223,-1.064734899
ACH-000226,-1.5186476071000001
ACH-000227,-1.57369563195
ACH-000228,-1.7644693077200002
ACH-000231,-1.9068251382900003
ACH-000232,-1.84849113808
ACH-000233,-1.39698478308
ACH-000234,-2.03036340131
ACH-000235,-1.78028553681
ACH-000237,-1.9823004858900002
ACH-000238,-2.00054459824
ACH-000243,-1.7367592043900002
ACH-000244,-1.74772520257
ACH-000246,-1.4990406711700002
ACH-000248,-1.49582881607
ACH-000250,-1.8248360442400002
ACH-000251,-2.22249887656
ACH-000253,-1.51550425556
ACH-000255,-1.61287142186
ACH-000256,-1.6808156068
ACH-000257,-1.78299009877
ACH-000258,-0.705647691838
ACH-000259,-1.6376051038400001
ACH-000260,-1.7128683582100002
ACH-000261,-1.9298531507299999
ACH-000262,-2.10302690079
ACH-000263,-2.12399820515
ACH-000264,-2.19824747616
ACH-000265,-1.69191909866
ACH-000266,-1.7112187277200002
ACH-000272,-1.7011513031999999
ACH-000273,-1.66604270516
ACH-000274,-2.10804903199
ACH-000277,-1.7076550652000002
ACH-000278,-1.62839829209
ACH-000279,-1.81301901165
ACH-000280,-2.1310641328799997
ACH-000281,-1.9173292489200002
ACH-000288,-1.8207656879900003
ACH-000291,-1.898439706
