,NFS1 (9054)
ACH-000004,-1.60871109839
ACH-000007,-1.09073636872
ACH-000009,-1.3008508136799999
ACH-000011,-1.32600770574
ACH-000012,-1.44803219581
ACH-000013,-1.6737102845700003
ACH-000014,-1.4685565943399999
ACH-000015,-1.4022194272600002
ACH-000017,-1.5595008884200001
ACH-000018,-1.36271666426
ACH-000019,-1.6026055507899999
ACH-000021,-1.47930176743
ACH-000022,-1.6920153674
ACH-000025,-1.46961696159
ACH-000028,-1.53774408396
ACH-000030,-1.25197438484
ACH-000035,-1.2374710411
ACH-000036,-1.29971929937
ACH-000037,-0.880344691378
ACH-000039,-1.54429170216
ACH-000040,-1.5174617424099999
ACH-000041,-1.4521049535600001
ACH-000042,-1.41007216157
ACH-000045,-1.53051921829
ACH-000047,-1.4135267557299998
ACH-000052,-1.49441866978
ACH-000053,-1.4419495547299999
ACH-000054,-1.61553236555
ACH-000055,-1.52679231451
ACH-000060,-1.5001351426499998
ACH-000067,-1.5654953553100002
ACH-000070,-1.5746029042899998
ACH-000075,-1.3187279038
ACH-000078,-1.32163370587
ACH-000082,-2.0554810261400003
ACH-000085,-1.3697270116100002
ACH-000086,-1.51336589736
ACH-000087,-1.73864334378
ACH-000092,-1.5207653547
ACH-000095,-1.4903514703299998
ACH-000097,-1.5370644351299998
ACH-000098,-1.5218278092200002
ACH-000099,-1.5144318785799997
ACH-000108,-1.16887636479
ACH-000113,-1.60504283794
ACH-000115,-1.3631164946
ACH-000116,-1.43228470235
ACH-000118,-1.15729693201
ACH-000120,-1.15328978481
ACH-000123,-1.4930853212900002
ACH-000127,-1.46577298476
ACH-000128,-1.5221340586
ACH-000132,-1.61125070565
ACH-000133,-1.53302987557
ACH-000137,-1.4806295666799998
ACH-000138,-1.52442581671
ACH-000142,-1.3445480055399999
ACH-000143,-1.5017824140399998
ACH-000146,-1.36720470408
ACH-000148,-1.60113940462
ACH-000150,-1.37612545632
ACH-000152,-1.4287285031
ACH-000153,-1.31206663817
ACH-000159,-1.48268439442
ACH-000160,-1.35157920725
ACH-000163,-1.5442954395100001
ACH-000167,-1.6332395715999999
ACH-000168,-1.4189426698299998
ACH-000169,-1.52599599145
ACH-000178,-1.27703548549
ACH-000182,-1.5206755596700001
ACH-000183,-1.3623627813199999
ACH-000188,-1.5051367960600002
ACH-000189,-1.52868259908
ACH-000190,-1.58302324442
ACH-000198,-1.6834795564700002
ACH-000204,-1.0003468799500002
ACH-000206,-1.61864372903
ACH-000207,-1.4474638727899998
ACH-000211,-1.4907187359
ACH-000215,-1.5866002368399998
ACH-000221,-1.63750022671
ACH-000222,-1.2239133659
ACH-000223,-1.62359401919
ACH-000226,-1.73256246385
ACH-000227,-2.54225085661
ACH-000228,-1.3572739533200002
ACH-000231,-1.48268899085
ACH-000232,-1.49204614516
ACH-000233,-1.67729574708
ACH-000234,-1.53509481255
ACH-000235,-1.32319459402
ACH-000237,-1.5222738553400001
ACH-000238,-1.37850577195
ACH-000243,-1.31894965687
ACH-000244,-1.70738634012
ACH-000246,-1.67734370978
ACH-000248,-1.5058152028100003
ACH-000250,-1.63154585243
ACH-000251,-1.50051878042
ACH-000253,-1.17083157933
ACH-000255,-1.2413155904200002
ACH-000256,-1.38546685681
ACH-000257,-1.46178498604
ACH-000258,-1.18880312441
ACH-000259,-1.7330554223599997
ACH-000260,-1.51309380273
ACH-000261,-1.66566994604
ACH-000262,-1.29313808611
ACH-000263,-1.09592277565
ACH-000264,-1.4827354536500001
ACH-000265,-1.32239139547
ACH-000266,-1.41669970294
ACH-000272,-1.35778597349
ACH-000273,-1.61628137752
ACH-000274,-1.6344110091600001
ACH-000277,-1.4265067290900002
ACH-000278,-1.48888025106
ACH-000279,-1.5133520881799998
ACH-000280,-1.6853003613600002
ACH-000281,-1.12080074662
ACH-000288,-1.64060560556
ACH-000291,-1.42251651627
ACH-000293,-1.60515973101
ACH-000294,-1.7500821321900002
ACH-000295,-1.6989215965900002
ACH-000296,-1.4857220873299999
