,GNAO1 (2775)
ACH-000004,-0.0990007600162
ACH-000007,0.152187421944
ACH-000009,-0.060171581371599996
ACH-000011,0.0460368843657
ACH-000012,-0.09402280661739999
ACH-000013,0.024859155666
ACH-000014,0.152652693801
ACH-000015,0.016027427081799998
ACH-000017,-0.2416837908
ACH-000018,0.21597806433299999
ACH-000019,-0.354146067987
ACH-000021,-0.09069919923039998
ACH-000022,-0.166153606377
ACH-000025,-0.052122893848099996
ACH-000028,0.101353511079
ACH-000030,-0.164141705452
ACH-000035,-0.133533175103
ACH-000036,0.032236924669300004
ACH-000037,-0.317735270021
ACH-000039,0.152736695924
ACH-000040,-0.0598597498208
ACH-000041,-0.102519701474
ACH-000042,-0.138977096231
ACH-000045,-0.0032287508037399998
ACH-000047,-0.0887819576853
ACH-000052,0.113244196416
ACH-000053,-0.115661261824
ACH-000054,-0.107580539727
ACH-000055,-0.115454793662
ACH-000060,-0.045227775394000004
ACH-000067,-0.016033930965
ACH-000070,-0.217489581009
ACH-000075,0.00472464012547
ACH-000078,-0.5044210634040001
ACH-000082,-0.1663189068
ACH-000085,-0.0767798286452
ACH-000086,-0.142510911806
ACH-000087,-0.146109041773
ACH-000092,-0.109440852439
ACH-000095,0.025819150336700004
ACH-000097,-0.16926895289500002
ACH-000098,-0.0203051222157
ACH-000099,-0.8224514805750001
ACH-000108,0.005352331632789999
ACH-000113,-0.14482121069499998
ACH-000115,0.0463424057553
ACH-000116,0.0804584186545
ACH-000118,-0.154753357196
ACH-000120,-0.259990126684
ACH-000123,-0.16900179816
ACH-000127,-0.150291354298
ACH-000128,-0.131754777997
ACH-000132,-0.17221903496100002
ACH-000133,-0.214324928863
ACH-000137,-0.423734475534
ACH-000138,0.06601971592190001
ACH-000142,-0.130509155059
ACH-000143,-0.0620588298436
ACH-000146,-0.07217089095260001
ACH-000148,-0.17122107305
ACH-000150,-0.0606754939881
ACH-000152,0.00892964632953
ACH-000153,0.218744447634
ACH-000159,0.09028903593769999
ACH-000160,-0.252777956512
ACH-000163,0.23181782990400002
ACH-000167,-0.0801295789163
ACH-000168,-0.185281583149
ACH-000169,-0.0791496775639
ACH-000178,-0.24275976820599998
ACH-000182,-0.10891661971
ACH-000183,-0.1204332861
ACH-000188,0.0596837021378
ACH-000189,-0.180475864042
ACH-000190,-0.227582660513
ACH-000198,-0.228699895937
ACH-000204,-0.164649914199
ACH-000206,0.00519216711591
ACH-000207,0.16441478307600002
ACH-000211,-0.0270760306901
ACH-000215,-0.11631396104800001
ACH-000221,-0.19890222534899998
ACH-000222,-0.10542439727399999
ACH-000223,-0.0714242144245
ACH-000226,-0.121462044035
ACH-000227,-0.5466650482150001
ACH-000228,-0.10877104668099999
ACH-000231,0.028854014904099997
ACH-000232,0.09440848822669999
ACH-000233,-0.157215792868
ACH-000234,0.0854348080167
ACH-000235,-0.0883929687749
ACH-000237,-0.137008929575
ACH-000238,-0.017328753203
ACH-000243,0.0659054780995
ACH-000244,0.0917244592949
ACH-000246,0.0214154635378
ACH-000248,0.036077303481900004
ACH-000250,-0.043657834220799996
ACH-000251,-0.0761494888885
ACH-000253,-0.100967784416
ACH-000255,-0.0987243229481
ACH-000256,-0.18361193674000004
ACH-000257,0.0310746883362
ACH-000258,-0.096086270964
ACH-000259,-0.0378516744917
ACH-000260,-0.12955487748199998
ACH-000261,-0.13572349390799998
ACH-000262,-0.331534537349
ACH-000263,-0.237774535674
ACH-000264,-0.124270954543
ACH-000265,0.009269553936629999
ACH-000266,-0.0965652078812
ACH-000272,-0.0832294975074
ACH-000273,-0.0744525115551
ACH-000274,0.0434872993177
ACH-000277,0.0719269323713
ACH-000278,-0.14792166715
ACH-000279,-0.148981536851
ACH-000280,-0.208509714505
ACH-000281,-0.252711555559
ACH-000288,-0.191386236875
ACH-000291,-0.00426273971201
ACH-000293,0.0794322638968
