,IL1RL2 (8808)
ACH-000004,-0.09403535970110001
ACH-000007,-0.314452630512
ACH-000009,-0.129239639471
ACH-000011,0.06037655815219999
ACH-000012,-0.09032250993480001
ACH-000013,-0.157940095424
ACH-000014,-0.106188317177
ACH-000015,-0.183690048961
ACH-000017,-0.22506890801899998
ACH-000018,-0.34914838896399997
ACH-000019,-0.12864008763
ACH-000021,-0.0354632148256
ACH-000022,-0.137091747273
ACH-000025,-0.135192853082
ACH-000028,-0.0979715459609
ACH-000030,-0.09645161668860001
ACH-000035,-0.253282248401
ACH-000036,-0.0124242367564
ACH-000037,-0.170305066732
ACH-000039,0.00442043014055
ACH-000040,-0.07810993470710001
ACH-000041,0.0113925205577
ACH-000042,-0.0277472940667
ACH-000045,-0.156194573839
ACH-000047,0.00535355212712
ACH-000052,-0.184725612315
ACH-000053,-0.10792776575600001
ACH-000054,-0.00213902640907
ACH-000055,0.157591250301
ACH-000060,-0.106671040208
ACH-000067,0.0444455951705
ACH-000070,-0.288754433395
ACH-000075,-0.21733049803100002
ACH-000078,0.07316267572219999
ACH-000082,-0.208395482855
ACH-000085,-0.057634982509599995
ACH-000086,-0.145217612717
ACH-000087,0.138109635443
ACH-000092,-0.180663642485
ACH-000095,-0.039403827767800007
ACH-000097,-0.0790935351425
ACH-000098,-0.228288661833
ACH-000099,-0.022011758880400002
ACH-000108,-0.0528042179385
ACH-000113,-0.186008717768
ACH-000115,0.009805953527190001
ACH-000116,0.0190917411859
ACH-000118,-0.11297549614600001
ACH-000120,-0.115217317327
ACH-000123,-0.0818409143463
ACH-000127,-0.0397086578252
ACH-000128,-0.0677905369892
ACH-000132,0.000360093624174
ACH-000133,-0.11593364610300001
ACH-000137,-0.14475403199
ACH-000138,-0.021004748408200002
ACH-000142,-0.210219576459
ACH-000143,-0.200170206594
ACH-000146,-0.0411352529211
ACH-000148,-0.09807289327770001
ACH-000150,0.0892397409307
ACH-000152,-0.29152314527199996
ACH-000153,0.148856441514
ACH-000159,-0.209811061997
ACH-000160,-0.124431683171
ACH-000163,-0.187104694092
ACH-000167,-0.154319587077
ACH-000168,0.06913149563689999
ACH-000169,0.0413889483015
ACH-000178,-0.133980004706
ACH-000182,-0.224467666856
ACH-000183,-0.00611583412307
ACH-000188,0.0361531959774
ACH-000189,0.221696244612
ACH-000190,-0.238699121347
ACH-000198,-0.04812389018280001
ACH-000204,0.10153826359
ACH-000206,-0.250934626098
ACH-000207,-0.294872260228
ACH-000211,-0.136075032225
ACH-000215,-0.12532739775
ACH-000221,-0.17556971798
ACH-000222,-0.0490491700084
ACH-000223,-0.194303017712
ACH-000226,-0.295757377847
ACH-000227,0.05298672266
ACH-000228,-0.162887716203
ACH-000231,-0.145155239523
ACH-000232,0.0069314623054100005
ACH-000233,-0.12306636491499999
ACH-000234,-0.139501770741
ACH-000235,-0.085161672743
ACH-000237,-0.147078923551
ACH-000238,0.19026160049199997
ACH-000243,-0.17738634366099998
ACH-000244,0.030146082454499998
ACH-000246,-0.151993538132
ACH-000248,-0.308899865559
ACH-000250,-0.156855790432
ACH-000251,-0.0514847413536
ACH-000253,-0.021579695503599998
ACH-000255,-0.28315595442499997
ACH-000256,-0.359419608648
ACH-000257,0.0383427434361
ACH-000258,0.117278155842
ACH-000259,-0.11455161880100001
ACH-000260,-0.029493598045600002
ACH-000261,-0.07831199549439999
ACH-000262,-0.169080220845
ACH-000263,-0.051618891663300005
ACH-000264,-0.0913470230728
ACH-000265,-0.198853242047
ACH-000266,-0.0771476863398
ACH-000272,-0.027349810367000002
