,ASUN (55726)
ACH-000004,-0.54494570923
ACH-000007,-0.477836149181
ACH-000009,-0.517472241864
ACH-000011,-0.513742807858
ACH-000012,-0.471746184074
ACH-000013,-0.12121996320900001
ACH-000014,-0.7673882297619999
ACH-000015,-0.569125667855
ACH-000017,-0.434545061254
ACH-000018,-0.750854350039
ACH-000019,-0.978970490588
ACH-000021,-0.340790740586
ACH-000022,-0.358660196232
ACH-000025,-0.657396108241
ACH-000028,-0.711658114923
ACH-000030,-0.252518353801
ACH-000035,-0.677605895215
ACH-000036,-0.655087916463
ACH-000037,-0.578053048313
ACH-000039,-0.430118879652
ACH-000040,-0.660404813219
ACH-000041,-0.460633646969
ACH-000042,-0.7802365856300001
ACH-000045,-0.518284657241
ACH-000047,-0.767445616451
ACH-000052,-0.552086874205
ACH-000053,-0.623249011742
ACH-000054,-0.143133190119
ACH-000055,-0.951577552393
ACH-000060,-0.619440959826
ACH-000067,-0.32903598790800004
ACH-000070,-0.5625199883340001
ACH-000075,-0.213933457513
ACH-000078,-0.591675505317
ACH-000082,-0.766972616532
ACH-000085,-0.264888448617
ACH-000086,-0.689896661493
ACH-000087,-0.46160470624300004
ACH-000092,-0.565859067506
ACH-000095,-0.410664699775
ACH-000097,-0.7595100034639999
ACH-000098,-0.161926548313
ACH-000099,-0.561653383098
ACH-000108,-0.330569595335
ACH-000113,-0.775568662139
ACH-000115,-0.4540735173899999
ACH-000116,-0.5709961019600001
ACH-000118,-0.733975335831
ACH-000120,-0.707906473325
ACH-000123,-0.623914220339
ACH-000127,-0.434436374715
ACH-000128,-0.384469633686
ACH-000132,-0.40767206932800004
ACH-000133,-0.34650274413599996
ACH-000137,-0.663764664812
ACH-000138,-0.797296667255
ACH-000142,-0.505143460375
ACH-000143,-0.475585010129
ACH-000146,-0.642793277849
ACH-000148,-0.6734223335330001
ACH-000150,-0.0192366620766
ACH-000152,-0.959173079819
ACH-000153,-1.3110965640899999
ACH-000159,-0.620285631437
ACH-000160,-0.625881724906
ACH-000163,-0.7060589675679999
ACH-000167,-0.171097482986
ACH-000168,-0.448764004803
ACH-000169,-0.404412512131
ACH-000178,-0.653666840075
ACH-000182,-0.656471532266
ACH-000183,-0.534979255282
ACH-000188,-0.509650620578
ACH-000189,-0.34224160563600003
ACH-000190,-0.466014693449
ACH-000198,-0.623063040072
ACH-000204,-0.8189069429699999
ACH-000206,-0.600933710937
ACH-000207,-0.632552260881
ACH-000211,-0.593083491624
ACH-000215,-0.785201986155
ACH-000221,-0.701233684868
ACH-000222,-0.686766221604
ACH-000223,-0.66837338518
ACH-000226,-0.804230538215
ACH-000227,-0.6731399920829999
ACH-000228,-0.976919948582
ACH-000231,-0.8378613464210001
ACH-000232,-0.6958384389229999
ACH-000233,-0.605230720943
ACH-000234,-0.722500913398
ACH-000235,-0.533608731421
ACH-000237,-0.557815202458
ACH-000238,-0.339947628165
