,PPIB (5479)
ACH-000004,-0.260373106481
ACH-000007,-0.0575233985037
ACH-000009,-0.178438437156
ACH-000011,-0.104811811506
ACH-000012,-0.166406085717
ACH-000013,-0.17793728064800002
ACH-000014,-0.0558623767561
ACH-000015,-0.12469797723300001
ACH-000017,-0.321558161813
ACH-000018,-0.101536249689
ACH-000019,-0.119222909093
ACH-000021,-0.12071921491599999
ACH-000022,-0.168606700233
ACH-000025,-0.182556659748
ACH-000028,-0.234848320912
ACH-000030,-0.14302027311899998
ACH-000035,-0.22369483742600002
ACH-000036,-0.04546628591369999
ACH-000037,-0.27838658086
ACH-000039,-0.12127195750900001
ACH-000040,-0.006283016757960001
ACH-000041,-0.258676741333
ACH-000042,-0.07293861126330001
ACH-000045,0.01634054323
ACH-000047,-0.245565628605
ACH-000052,-0.302052712564
ACH-000053,-0.27925003771699997
ACH-000054,-0.113646251783
ACH-000055,0.0926151558471
ACH-000060,-0.0668127814391
ACH-000067,-0.130618618264
ACH-000070,-0.18689856347699998
ACH-000075,0.0833412630844
ACH-000078,-0.0927690351564
ACH-000082,-0.0843349162238
ACH-000085,-0.06974082302339998
ACH-000086,-0.0883442850037
ACH-000087,0.00837641803173
ACH-000092,-0.153540565716
ACH-000095,-0.046012999134999996
ACH-000097,-0.170491259753
ACH-000098,-0.013246705201900001
ACH-000099,-0.252799686675
ACH-000108,-0.1366165359
ACH-000113,-0.106170722801
ACH-000115,-0.251349168612
ACH-000116,-0.259264269526
ACH-000118,-0.0265279748588
ACH-000120,-0.169579738415
ACH-000123,-0.267950433577
ACH-000127,-0.0319805339014
ACH-000128,-0.153073516564
ACH-000132,-0.37007508895900004
ACH-000133,-0.11329496781199999
ACH-000137,-0.161488432649
ACH-000138,-0.068117297591
ACH-000142,-0.126073769181
ACH-000143,-0.13049535991699998
ACH-000146,-0.175014923825
ACH-000148,-0.0895329359758
ACH-000150,-0.198033417563
ACH-000152,-0.04261926253819999
ACH-000153,0.0446264621825
ACH-000159,-0.0653700003995
ACH-000160,-0.0767889761275
ACH-000163,-0.122390768551
ACH-000167,-0.41726058985
ACH-000168,-0.182048021524
ACH-000169,-0.106675449221
ACH-000178,-0.147280953283
ACH-000182,-0.117810019605
ACH-000183,-0.054467152531699994
ACH-000188,-0.20271377093899998
ACH-000189,-0.190288485249
ACH-000190,-0.21906749946600002
ACH-000198,-0.09944923716810002
ACH-000204,-0.07582911249049999
ACH-000206,-0.05791609488919999
ACH-000207,-0.09048067744459999
ACH-000211,-0.0566131213879
ACH-000215,-0.05682795203919999
ACH-000221,-0.067085621988
ACH-000222,-0.20581340481600002
ACH-000223,-0.11760871599199998
ACH-000226,-0.10415369926000001
ACH-000227,-0.257120978318
ACH-000228,-0.15726667478
ACH-000231,-0.290168163852
ACH-000232,-0.022193680488499998
ACH-000233,-0.142861694214
ACH-000234,-0.21357879700100002
ACH-000235,-0.107308167362
ACH-000237,-0.166158833552
ACH-000238,-0.270365270378
ACH-000243,-0.179700010917
ACH-000244,0.041261186206
ACH-000246,-0.0833092122701
ACH-000248,-0.184086297814
ACH-000250,-0.0717457670702
ACH-000251,-0.08573481800860001
ACH-000253,-0.0462519560824
ACH-000255,-0.09931623144410001
ACH-000256,-0.21159636547400001
ACH-000257,-0.162156670779
ACH-000258,0.00284409810181
ACH-000259,-0.0731784301031
ACH-000260,-0.0670090378051
ACH-000261,-0.117939477707
ACH-000262,-0.15778697766
ACH-000263,-0.203586851829
ACH-000264,-0.147974972341
ACH-000265,-0.32194179991599997
ACH-000266,-0.18001109178599997
ACH-000272,-0.154845455365
ACH-000273,-0.11279947012
ACH-000274,-0.175475202852
ACH-000277,-0.109046262133
ACH-000278,-0.17714988281100003
ACH-000279,-0.284769095267
ACH-000280,-0.035145062251199996
