,NRBF2 (29982)
ACH-000004,-0.313470806893
ACH-000007,-0.11160249185
ACH-000009,-0.30948571866700003
ACH-000011,-0.35727386991899995
ACH-000012,-0.41939806503399996
ACH-000013,-0.268146321465
ACH-000014,-0.461220451827
ACH-000015,-0.35853622590499995
ACH-000017,-0.10401388167000002
ACH-000018,-0.216236213682
ACH-000019,-0.263383207891
ACH-000021,-0.182351530837
ACH-000022,-0.239364312151
ACH-000025,-0.41755781293600003
ACH-000028,-0.589004790191
ACH-000030,-0.503641436034
ACH-000035,-0.459773617275
ACH-000036,-0.295085791647
ACH-000037,-0.164384926392
ACH-000039,-0.611476912258
ACH-000040,-0.243196037416
ACH-000041,-0.520224358231
ACH-000042,-0.545790273062
ACH-000045,-0.403723048943
ACH-000047,-0.322611268108
ACH-000052,-0.414887099546
ACH-000053,-0.31304383502300004
ACH-000054,-0.266450761459
ACH-000055,-0.553684215974
ACH-000060,-0.408230296646
ACH-000067,-0.454113106368
ACH-000070,-0.11054724942600001
ACH-000075,-0.453974359059
ACH-000078,-0.44562058174099994
ACH-000082,-0.335259082196
ACH-000085,-0.32552984687
ACH-000086,-0.582496181857
ACH-000087,-0.203693454517
ACH-000092,-0.525120799541
ACH-000095,-0.372644535677
ACH-000097,-0.347454959159
ACH-000098,-0.42527232133599996
ACH-000099,-0.420163797231
ACH-000108,-0.459726257304
ACH-000113,-0.441399555044
ACH-000115,-0.535971680549
ACH-000116,-0.217555630796
ACH-000118,-0.324600104231
ACH-000120,-0.550132444545
ACH-000123,-0.340061087953
ACH-000127,-0.308966727356
ACH-000128,-0.29263727277
ACH-000132,-0.689391519444
ACH-000133,-0.252418506305
ACH-000137,-0.426967171247
ACH-000138,-0.385163304211
ACH-000142,-0.253631535343
ACH-000143,-0.257370760441
ACH-000146,-0.243743883819
ACH-000148,-0.379062176118
ACH-000150,-0.159509188702
ACH-000152,-0.46388190585600003
ACH-000153,0.08285651349560001
ACH-000159,-0.474864703448
ACH-000160,-0.26959695931
ACH-000163,-0.367095072732
ACH-000167,-0.729325689502
ACH-000168,-0.28999378628899997
ACH-000169,-0.437555153149
ACH-000178,-0.359124773675
ACH-000182,-0.44889798128499997
ACH-000183,-0.480880917632
ACH-000188,-0.20109267465300001
ACH-000189,-0.45755254773599996
ACH-000190,-0.5180463637780001
ACH-000198,-0.467892143967
ACH-000204,-0.397207053098
ACH-000206,-0.457286044184
ACH-000207,-0.42596441222599996
ACH-000211,-0.42346046102799995
ACH-000215,-0.30151347136
ACH-000221,-0.22138573909
ACH-000222,-0.0542119856211
ACH-000223,-0.571090920135
ACH-000226,-0.343037099924
ACH-000227,-0.779197378581
ACH-000228,-0.37203630999
ACH-000231,-0.40149839934799997
ACH-000232,-0.456837425431
ACH-000233,-0.277895315443
ACH-000234,-0.419380724187
ACH-000235,-0.374269753879
ACH-000237,-0.379796432356
ACH-000238,-0.472870237712
ACH-000243,-0.450081035804
ACH-000244,-0.0631774190421
ACH-000246,-0.254551285399
ACH-000248,-0.340658498695
ACH-000250,-0.416864384489
ACH-000251,-0.317186005082
ACH-000253,-0.17930093847399997
ACH-000255,-0.341333664431
ACH-000256,-0.00556262993195
ACH-000257,-0.473323429469
ACH-000258,-0.43124962861999994
ACH-000259,-0.531093530126
ACH-000260,-0.39537383116999997
ACH-000261,-0.25146491412
ACH-000262,-0.448964418318
ACH-000263,0.171586124417
ACH-000264,-0.359306875498
ACH-000265,-0.649448242819
ACH-000266,-0.35850333607900003
ACH-000272,-0.650639761668
ACH-000273,-0.272385953635
ACH-000274,-0.417058688584
