,MATR3 (9782)
ACH-000004,-0.181643110202
ACH-000007,-0.146114384454
ACH-000009,-0.44214241058700005
ACH-000011,-0.217014269483
ACH-000012,-0.535726650276
ACH-000013,-0.294193013682
ACH-000014,-0.414586415135
ACH-000015,-0.502842823723
ACH-000017,-0.417395333781
ACH-000018,-0.499213757393
ACH-000019,0.114769549592
ACH-000021,-0.413526785378
ACH-000022,-0.21145747681899998
ACH-000025,-0.419900831525
ACH-000028,-0.316224920439
ACH-000030,-0.138857600353
ACH-000035,-0.35727341445699995
ACH-000036,-0.36463231619900005
ACH-000037,-0.548036706329
ACH-000039,-0.590710191222
ACH-000040,0.012257323987200001
ACH-000041,-0.525633969497
ACH-000042,-0.287609581705
ACH-000045,-0.212128424066
ACH-000047,-0.44755706241300003
ACH-000052,-0.0431386717048
ACH-000053,-0.209221483107
ACH-000054,-0.388361877799
ACH-000055,-0.665261875297
ACH-000060,-0.413624406964
ACH-000067,-0.181677168254
ACH-000070,-0.6877994756119999
ACH-000075,-0.26543692409499997
ACH-000078,-0.35947660559699995
ACH-000082,-0.714966988787
ACH-000085,-0.42411653913099995
ACH-000086,-0.24095366051199998
ACH-000087,-0.171704753968
ACH-000092,-0.516284526064
ACH-000095,-0.37579876165299997
ACH-000097,-0.12076044236899999
ACH-000098,-0.260474038808
ACH-000099,-0.230628701428
ACH-000108,-0.349590323095
ACH-000113,-0.479121816608
ACH-000115,-0.953206832087
ACH-000116,-0.23031200762600001
ACH-000118,-0.00915771553198
ACH-000120,-0.197715140387
ACH-000123,-0.247598716281
ACH-000127,-0.342811584301
ACH-000128,-0.0464253103973
ACH-000132,-0.394031213718
ACH-000133,-0.224949058482
ACH-000137,-0.355388502472
ACH-000138,-0.32377714844300004
ACH-000142,-0.215513418328
ACH-000143,-0.48644374588
ACH-000146,-0.335815744172
ACH-000148,-0.45240122687299994
ACH-000150,-0.493578752949
ACH-000152,-0.413163284592
ACH-000153,-0.248317812409
ACH-000159,-0.331343559314
ACH-000160,-0.102648837205
ACH-000163,-0.423392251007
ACH-000167,-0.644559175545
ACH-000168,-0.27381943284000004
ACH-000169,-0.35196513381
ACH-000178,-0.231361340178
ACH-000182,-0.194386806078
ACH-000183,-0.48853049735
ACH-000188,-0.416064681902
ACH-000189,-0.54680014247
ACH-000190,-0.218695653237
ACH-000198,-0.6677536099889999
ACH-000204,-0.280859164161
ACH-000206,-0.36316971708400003
ACH-000207,-0.171581024077
ACH-000211,-0.5190909646540001
ACH-000215,-0.0022667505058699996
ACH-000221,-0.08520671390889999
ACH-000222,-0.238729556067
ACH-000223,0.0312097641315
ACH-000226,-0.117990134666
ACH-000227,-0.273038763115
