,PPIAL4B (653505)
ACH-000004,-0.347271362918
ACH-000007,-0.313924071558
ACH-000009,-0.455135337658
ACH-000011,-0.0778876788174
ACH-000012,-0.157724727806
ACH-000013,-0.436193040353
ACH-000014,-0.36922337640299996
ACH-000015,-0.412544520972
ACH-000017,-0.22526682796
ACH-000018,-0.200446526195
ACH-000019,-0.398117144212
ACH-000021,-0.15585001306600002
ACH-000022,-0.17671019220800002
ACH-000025,-0.415810654959
ACH-000028,-0.382796933482
ACH-000030,-0.35143232161700005
ACH-000035,-0.46542506297499997
ACH-000036,-0.304743178589
ACH-000037,-0.200984572161
ACH-000039,-0.380386660129
ACH-000040,-0.06899000244089999
ACH-000041,-0.327134336277
ACH-000042,-0.292495777422
ACH-000045,-0.0948729318981
ACH-000047,-0.20974349491900002
ACH-000052,-0.229891459096
ACH-000053,-0.28542012055300003
ACH-000054,-0.217391543011
ACH-000055,-0.388222910672
ACH-000060,-0.602535244112
ACH-000067,-0.0664748107999
ACH-000070,-0.332292927137
ACH-000075,-0.31598344586800003
ACH-000078,-0.18044913629700002
ACH-000082,-0.185703726212
ACH-000085,-0.42105488127400004
ACH-000086,-0.309943022104
ACH-000087,-0.278571315308
ACH-000092,-0.009339407333120001
ACH-000095,-0.248908659831
ACH-000097,-0.18968821928500001
ACH-000098,-0.211862861357
ACH-000099,-0.18092544415999998
ACH-000108,-0.388867742791
ACH-000113,-0.279218034782
ACH-000115,-0.5242137865
ACH-000116,-0.166590785755
ACH-000118,-0.239319860492
ACH-000120,-0.114749382923
ACH-000123,-0.162160580995
ACH-000127,-0.33608031233
ACH-000128,-0.052125194138099996
ACH-000132,-0.178880907496
ACH-000133,-0.25901575272599997
ACH-000137,-0.275597497824
ACH-000138,-0.0235488772211
ACH-000142,0.04200409766200001
ACH-000143,-0.456781784519
ACH-000146,-0.25383628439100003
ACH-000148,-0.478111823887
ACH-000150,-0.40383544716499997
ACH-000152,-0.388574391364
ACH-000153,-0.734635835277
ACH-000159,-0.385051961511
ACH-000160,-0.177341830092
ACH-000163,-0.338111209344
ACH-000167,-0.370139163191
ACH-000168,-0.0365110486875
ACH-000169,-0.274406355467
ACH-000178,-0.454893875064
ACH-000182,-0.354803413459
ACH-000183,-0.210458715574
ACH-000188,-0.295951630013
ACH-000189,-0.316706168523
ACH-000190,-0.396996475002
ACH-000198,-0.22658662194
ACH-000204,-0.322571607117
ACH-000206,-0.231090667546
ACH-000207,-0.23450453886999997
ACH-000211,0.12642430694
ACH-000215,-0.242304753037
ACH-000221,-0.411621312954
ACH-000222,-0.451154018537
ACH-000223,-0.46239350316000005
ACH-000226,-0.354118031478
ACH-000227,-0.186230539411
ACH-000228,-0.102274490302
ACH-000231,-0.183091377487
ACH-000232,-0.37280055394699996
ACH-000233,-0.294198698554
ACH-000234,-0.21095734768399999
ACH-000235,-0.129759558949
ACH-000237,-0.322641497677
ACH-000238,-0.13834711544000003
ACH-000243,-0.17205888871199998
ACH-000244,-0.376091214739
ACH-000246,-0.236351492327
ACH-000248,-0.23230012389899998
ACH-000250,-0.209918403376
ACH-000251,-0.24292640880199998
ACH-000253,-0.19694853253800002
ACH-000255,-0.033809278540500004
ACH-000256,-0.186302110938
ACH-000257,-0.585275702197
ACH-000258,-0.0074981463762
ACH-000259,-0.166165742158
ACH-000260,-0.177498195632
ACH-000261,-0.0742988626805
ACH-000262,-0.0751966758752
ACH-000263,-0.453170468521
ACH-000264,-0.32423149849
ACH-000265,-0.375033328086
ACH-000266,-0.19420845824400002
ACH-000272,-0.239963955284
ACH-000273,-0.0811196676675
ACH-000274,-0.355945991999
ACH-000277,-0.208401529558
ACH-000278,-0.267492365409
ACH-000279,-0.31659524694
ACH-000280,-0.4556286392
ACH-000281,-0.29942188220800003
ACH-000288,-0.43230584483999995
ACH-000291,-0.313023401912
ACH-000293,-0.0630819669295
ACH-000294,-0.623090294329
ACH-000295,-0.07592215751510001
ACH-000296,-0.0998346649172
ACH-000302,-0.38073440399400005
ACH-000304,-0.148132709492
ACH-000307,-0.44943684433200004
ACH-000308,-0.5432713209969999
ACH-000310,-0.24221812355900002
ACH-000311,-0.19109174911200003
ACH-000312,-0.362120829459
ACH-000315,-0.205349340628
ACH-000316,-0.28771862947099996
ACH-000317,-0.370284556791
ACH-000318,-0.273270569179
ACH-000319,-0.09179249631560002
ACH-000320,-0.4315685975
ACH-000322,0.10160704959799999
ACH-000323,-0.298572894465
ACH-000324,-0.359780809302
ACH-000329,-0.227680030769
ACH-000330,-0.303405137582
ACH-000331,-0.428439913041
ACH-000332,-0.184463684354
ACH-000334,-0.144665505128
ACH-000335,-0.434343360467
ACH-000336,-0.450256994789
ACH-000337,-0.23567991606999997
ACH-000339,-0.392946178258
ACH-000341,-0.148975955562
ACH-000348,-0.16954460304000002
ACH-000350,-0.26607200592700003
ACH-000352,-0.38958395303800003
ACH-000356,-0.0641840938321
ACH-000361,-0.155173039191
ACH-000362,-0.393370839926
ACH-000363,-0.140794455356
ACH-000364,-0.302589619531
ACH-000365,-0.258355894719
ACH-000366,-0.179673347956
ACH-000368,-0.28374562061700004
ACH-000374,-0.6320776678260001
ACH-000375,-0.299504160764
ACH-000376,-0.310443819001
ACH-000381,-0.280939975616
ACH-000383,-0.22041071398200002
ACH-000387,-0.504847028975
ACH-000389,-0.285161844818
ACH-000390,-0.43549549644100005
ACH-000393,-0.267860674937
ACH-000395,-0.230403860047
ACH-000397,-0.206047956582
ACH-000401,-0.24533121090999999
ACH-000402,-0.353549393958
ACH-000403,-0.160198656491
ACH-000404,-0.309355278871
ACH-000406,-0.374513383908
ACH-000407,-0.237681607234
ACH-000408,-0.366578030548
ACH-000410,-0.320122853432
ACH-000411,-0.250019384321
ACH-000414,-0.205578579211
ACH-000415,-0.37763939146
ACH-000416,-0.435773006999
ACH-000420,-0.251622306747
ACH-000421,-0.169573436701
ACH-000424,-0.238857935369
ACH-000425,-0.24710297905
ACH-000426,-0.329885129487
ACH-000427,-0.26775866015
ACH-000433,-0.343641322077
ACH-000436,-0.27742075535599997
ACH-000444,-0.2955159852
ACH-000445,-0.329731386534
ACH-000448,-0.03484139647330001
ACH-000450,-0.0222181323655
ACH-000452,-0.44008353917599996
ACH-000454,-0.485873934075
ACH-000458,-0.31390272401999997
ACH-000459,-0.22797518873599998
ACH-000460,-0.268075191629
ACH-000461,-0.382638459591
ACH-000463,-0.173054519271
ACH-000464,-0.284875383207
ACH-000466,-0.56025578223
ACH-000467,-0.132985928748
ACH-000468,-0.160653509961
ACH-000469,-0.24168370191100003
ACH-000470,-0.332113034986
ACH-000471,-0.319724687201
ACH-000472,-0.247890332202
ACH-000473,-0.04326068835559999
ACH-000475,-0.326629652201
ACH-000476,-0.10001701287999999
ACH-000477,-0.19812694956799998
ACH-000480,-0.180839230883
ACH-000481,-0.410633724194
ACH-000483,-0.115783010154
ACH-000484,-0.24364109900699998
ACH-000485,-0.293984829637
ACH-000486,-0.221573123431
ACH-000487,-0.415305243964
ACH-000488,-0.390624874299
ACH-000490,-0.257240839219
ACH-000491,-0.277483170698
ACH-000495,-0.279049625667
ACH-000496,-0.421271892809
ACH-000499,-0.466667076625
ACH-000500,-0.5389359215730001
ACH-000502,-0.365620848971
ACH-000503,-0.18445695056400002
ACH-000505,-0.384856282906
ACH-000507,-0.21231134953699998
ACH-000510,-0.272707996392
ACH-000511,0.0552271672762
ACH-000512,-0.0496710913232
ACH-000516,-0.0399035943266
ACH-000517,-0.247457216505
ACH-000518,-0.19348249753199998
ACH-000520,-0.187154202712
ACH-000521,-0.27731363271
ACH-000522,-0.42516392825000004
ACH-000524,-0.307834320848
ACH-000527,-0.18076176580800002
ACH-000528,-0.25846998402399995
ACH-000537,-0.2987443878
ACH-000541,-0.200563532121
ACH-000542,-0.233850022147
ACH-000544,-0.33200880383000003
ACH-000545,-0.252836654199
ACH-000547,-0.3690199389
ACH-000548,-0.294510073972
ACH-000549,-0.343912572165
ACH-000550,-0.117865535924
ACH-000552,-0.298502891057
ACH-000556,-0.337945923388
ACH-000557,-0.274431326355
ACH-000570,-0.17047538545899998
ACH-000571,-0.141972346184
ACH-000573,-0.268158598972
ACH-000576,-0.23405319693799997
ACH-000580,-0.116987812722
ACH-000584,-0.36301124920500005
ACH-000585,-0.172590842203
ACH-000588,-0.183540584783
ACH-000589,-0.37294746880400004
ACH-000591,-0.2491604073
ACH-000593,-0.216825337496
ACH-000600,-0.23135718284899998
ACH-000601,-0.22388201871999996
