,ZNHIT6 (54680)
ACH-000004,-0.350732153917
ACH-000007,-0.564409545675
ACH-000009,-0.765144654091
ACH-000011,-0.949199940087
ACH-000012,-0.6174300800110001
ACH-000013,-0.44610797301399996
ACH-000014,-0.61658448168
ACH-000015,-0.68773337287
ACH-000017,-0.506491544241
ACH-000018,-0.686646724965
ACH-000019,-1.19545975084
ACH-000021,-0.631220726624
ACH-000022,-0.802037448246
ACH-000025,-0.76728772178
ACH-000028,-0.8197706771100001
ACH-000030,-0.484850300798
ACH-000035,-0.846751613448
ACH-000036,-0.625507133951
ACH-000037,-0.647997321154
ACH-000039,-0.987130281947
ACH-000040,-1.0087378374299998
ACH-000041,-0.6719828559029999
ACH-000042,-0.711484169469
ACH-000045,-0.740901642779
ACH-000047,-0.568159980527
ACH-000052,-0.642255943307
ACH-000053,-0.721354138801
ACH-000054,-0.858079960833
ACH-000055,-0.9164005181649999
ACH-000060,-0.934310732956
ACH-000067,-0.7972527794050001
ACH-000070,-0.957607579096
ACH-000075,-1.0327887137
ACH-000078,-0.405844290489
ACH-000082,-0.760109129749
ACH-000085,-0.918681143725
ACH-000086,-0.902828767451
ACH-000087,-0.690617433239
ACH-000092,-1.1811436452
ACH-000095,-0.9232259340889999
ACH-000097,-1.01397612378
ACH-000098,-0.7353374172660001
ACH-000099,-0.35920404314599996
ACH-000108,-0.494349816055
ACH-000113,-0.582291908441
ACH-000115,-0.624683192213
ACH-000116,-0.621641780622
ACH-000118,-0.47277322539399996
ACH-000120,-0.791270432914
ACH-000123,-0.6486039873089999
ACH-000127,-0.5270361590770001
ACH-000128,-0.654881736367
ACH-000132,-0.720244639489
ACH-000133,-0.6225603809529999
ACH-000137,-0.691340258004
ACH-000138,-0.381607622646
ACH-000142,-1.04352909141
ACH-000143,-0.6075680678800001
ACH-000146,-0.810034763281
ACH-000148,-0.716495926391
ACH-000150,-0.6972320716410001
ACH-000152,-0.770395446296
ACH-000153,-0.532099161191
ACH-000159,-0.9066425909
ACH-000160,-0.61911324043
ACH-000163,-0.6658979728850001
ACH-000167,-0.518337690781
ACH-000168,-0.7248202832539999
ACH-000169,-0.592460417244
ACH-000178,-0.643043824474
ACH-000182,-0.569760672799
ACH-000183,-0.498587117197
ACH-000188,-0.9544409526350001
ACH-000189,-0.811798567766
ACH-000190,-0.294982247887
ACH-000198,-0.9199992740440001
ACH-000204,-0.8084633754539999
ACH-000206,-0.877050928741
ACH-000207,-0.9912460331299999
ACH-000211,-0.551610726483
ACH-000215,-0.9298170292910001
ACH-000221,-0.547873067003
ACH-000222,-0.580301494035
ACH-000223,-0.69027631762
ACH-000226,-0.884553481759
ACH-000227,-0.764832434454
ACH-000228,-0.808453653299
ACH-000231,-0.7228774512
ACH-000232,-0.825679991587
ACH-000233,-0.7674172199250001
ACH-000234,-0.677485653601
ACH-000235,-0.707957644615
ACH-000237,-0.8700996553
ACH-000238,-1.01209405454
ACH-000243,-0.481489686253
ACH-000244,-1.1658782590999999
ACH-000246,-0.7162987043440001
ACH-000248,-0.531431737683
ACH-000250,-0.893680080377
ACH-000251,-0.830465916889
ACH-000253,-0.5756213801300001
ACH-000255,-0.650809429363
ACH-000256,-0.5033307637910001
ACH-000257,-0.7097921604080001
ACH-000258,-0.305720473537
ACH-000259,-0.7714868404359999
ACH-000260,-0.870760432201
ACH-000261,-0.800835278712
ACH-000262,-0.443638450862
ACH-000263,-0.504447181817
ACH-000264,-0.640790161548
ACH-000265,-0.577752838776
ACH-000266,-0.587288014757
ACH-000272,-0.705729285016
ACH-000273,-0.8069469273469999
ACH-000274,-1.13461317917
ACH-000277,-0.586713612805
ACH-000278,-0.771970841562
ACH-000279,-0.552204021457
ACH-000280,-0.6384310720390001
ACH-000281,-0.447002261746
ACH-000288,-0.6840574328110001
ACH-000291,-0.76124942998
ACH-000293,-0.679485530732
ACH-000294,-0.615469181556
ACH-000295,-0.524473206253
ACH-000296,-0.647807527516
ACH-000302,-0.511546031236
ACH-000304,-1.0436556153399998
ACH-000307,-0.554480657926
ACH-000308,-0.722654608807
ACH-000310,-0.6675824953
ACH-000311,-0.823137558096
ACH-000312,-0.607278610524
ACH-000315,-0.7754768206389999
ACH-000316,-1.00227234109
ACH-000317,-0.5784003421580001
ACH-000318,-0.765730846917
ACH-000319,-0.674973264304
ACH-000320,-0.815831491518
ACH-000322,-0.967685557043
ACH-000323,-0.934624830581
ACH-000324,-0.452862447783
ACH-000329,-0.829770451741
ACH-000330,-0.6003063488139999
ACH-000331,-0.903092719039
ACH-000332,-0.7629286972229999
ACH-000334,-0.628766491106
ACH-000335,-0.5615018481390001
ACH-000336,-0.8057246253939999
ACH-000337,-0.72410242251
ACH-000339,-0.627590142985
ACH-000341,-0.849551580879
ACH-000348,-0.620938765919
ACH-000350,-0.44971424832699997
ACH-000352,-0.718996127576
ACH-000356,-0.855678154664
ACH-000361,-0.7746122951540001
ACH-000362,-0.878910919692
ACH-000363,-0.5552000420800001
ACH-000364,-0.6704296313600001
ACH-000365,-0.8248353710100002
ACH-000366,-0.500519560707
ACH-000368,-0.903734493274
ACH-000374,-0.7589882064210001
ACH-000375,-0.59719500837
ACH-000376,-0.9366591077709999
ACH-000381,-0.5300328296360001
ACH-000383,-0.717295695019
ACH-000387,-0.9293106018200001
ACH-000389,-1.14327746632
ACH-000390,-0.838956515087
ACH-000393,-0.703502046015
ACH-000395,-0.59518117603
ACH-000397,-0.736518381874
ACH-000401,-0.790132607973
ACH-000402,-0.49879723005099996
ACH-000403,-0.8219795356340001
ACH-000404,-0.9449925482989999
ACH-000406,-0.555397498671
ACH-000407,-0.793169307113
ACH-000408,-0.5260083993379999
ACH-000410,-0.422934270572
ACH-000411,-0.972703805844
ACH-000414,-0.85374933109
ACH-000415,-0.751328734094
ACH-000416,-0.64878054896
ACH-000420,-0.729478657783
ACH-000421,-1.00515552283
ACH-000424,-0.976416997726
ACH-000425,-1.00480878717
ACH-000426,-1.0697438722
ACH-000427,-0.603070655515
ACH-000433,-0.929529311142
ACH-000436,-0.7308576250759999
ACH-000444,-0.596467873257
ACH-000445,-0.676005992693
ACH-000448,-0.756878282651
ACH-000450,-0.587387288344
ACH-000452,-0.6991400490880001
ACH-000454,-1.08911304585
ACH-000458,-0.8704111805850001
ACH-000459,-0.588149738885
ACH-000460,-0.64268825813
ACH-000461,-0.864572954372
ACH-000463,-0.601713222433
ACH-000464,-0.826534105307
ACH-000466,-0.453981785017
ACH-000467,-0.727270526983
ACH-000468,-0.902701181581
ACH-000469,-0.660318741978
ACH-000470,-0.473338569613
ACH-000471,-0.7391597840809999
ACH-000472,-0.7509919569050001
ACH-000473,-0.636983803703
ACH-000475,-0.7683572984479999
ACH-000476,-0.725830735942
ACH-000477,-0.82531405151
ACH-000480,-0.569798313616
ACH-000481,-0.633880106429
ACH-000483,-0.512582287185
ACH-000484,-0.788287357185
ACH-000485,-0.8887789691619999
ACH-000486,-0.7157064130480001
ACH-000487,-0.803044687357
ACH-000488,-0.7415669067899999
ACH-000490,-0.851728062985
ACH-000491,-0.6969823327399999
ACH-000495,-0.719230881507
ACH-000496,-1.0568083131000001
ACH-000499,-0.640451305718
ACH-000500,-1.4521943585600001
ACH-000502,-0.65255094743
ACH-000503,-0.8758967179889999
ACH-000505,-0.9315294141279999
ACH-000507,-0.665338711284
ACH-000510,-0.690819365957
ACH-000511,-0.8673636458089999
ACH-000512,-0.332957075893
ACH-000516,-0.763092572885
ACH-000517,-0.670180048853
ACH-000518,-0.49587993775
ACH-000520,-0.745575056122
ACH-000521,-0.695275990103
ACH-000522,-0.885810927893
ACH-000524,-0.566692851603
ACH-000527,-0.5152151655089999
ACH-000528,-0.494618463954
ACH-000537,-0.814819776202
ACH-000541,-0.8629637797930001
ACH-000542,-0.805668630273
ACH-000544,-0.845856190498
ACH-000545,-0.452693220377
ACH-000547,-0.602217207283
ACH-000548,-0.760548551987
ACH-000549,-0.933875541907
ACH-000550,-0.833279848014
ACH-000552,-0.703041072516
ACH-000556,-1.03496639961
ACH-000557,-0.55255360715
ACH-000570,-0.9403393838709999
ACH-000571,-0.721839894399
ACH-000573,-0.409682440957
ACH-000576,-0.792236444793
ACH-000580,-1.07725663715
ACH-000584,-0.46186564634800004
ACH-000585,-0.881232730372
ACH-000588,-0.67000076416
ACH-000589,-0.7755653582950001
ACH-000591,-0.97744199001
ACH-000593,-0.6078815225699999
ACH-000600,-0.9772712830310001
ACH-000601,-0.6198227977040001
ACH-000604,-0.557415023798
ACH-000605,-0.589634061658
ACH-000606,-0.9051374472370001
ACH-000608,-0.768395836616
ACH-000614,-0.874872227205
ACH-000616,-0.744456604166
ACH-000618,-0.522800806864
ACH-000619,-0.7345762336570001
ACH-000620,-0.9934001762379999
ACH-000621,-0.894202568002
ACH-000622,-0.8253759342479999
ACH-000623,-0.835426542139
ACH-000624,-0.819488288184
ACH-000627,-0.681750659892
ACH-000630,-0.7991109503020001
ACH-000632,-0.789759436512
ACH-000633,-0.5379682932600001
ACH-000637,-1.03078873673
ACH-000638,-0.697973432598
ACH-000646,-0.8432070925640001
ACH-000647,-0.6856835652490001
ACH-000648,-0.512618369422
ACH-000649,-0.593081136805
ACH-000651,-0.639410293434
ACH-000652,-0.53356263536
ACH-000653,-0.71219087787
ACH-000657,-0.847957708584
ACH-000658,-0.666180267998
ACH-000661,-0.693407978586
ACH-000662,-0.569671240799
ACH-000663,-0.776002108882
ACH-000665,-0.627681414469
ACH-000671,-0.311916697646
ACH-000673,-0.9658734154649999
ACH-000676,-0.598458312395
ACH-000677,-0.5372145080899999
ACH-000681,-0.6664618484170001
ACH-000682,-0.742366829514
ACH-000683,-0.701947781908
ACH-000684,-1.03666620369
ACH-000688,-0.802177355147
ACH-000693,-0.7212981512540001
ACH-000694,-0.714272099001
ACH-000695,-0.879039894543
ACH-000696,-0.549456241136
ACH-000697,-0.6344389111640001
ACH-000699,-0.7775168615629999
ACH-000701,-0.571737364291
ACH-000706,-0.810587761699
ACH-000711,-0.754914234898
ACH-000713,-0.700383199368
ACH-000714,-0.8871983657420001
ACH-000718,-0.539958717018
ACH-000720,-0.609402651945
ACH-000721,-0.869311660899
ACH-000724,-0.59065381282
ACH-000725,-0.734933648327
ACH-000732,-0.6742312439920001
ACH-000734,-0.520827361841
ACH-000735,-0.8050590139370001
