,BOK (666)
ACH-000004,0.143378323547
ACH-000007,0.177126464296
ACH-000009,0.0167998534228
ACH-000011,-0.133880454121
ACH-000012,0.011476548516
ACH-000013,-0.028429433169100002
ACH-000014,-0.0857723777812
ACH-000015,0.0263708057179
ACH-000017,0.00724451654657
ACH-000018,-0.09504602447480001
ACH-000019,-0.0626229932436
ACH-000021,0.0637739919961
ACH-000022,0.0780327537207
ACH-000025,-0.0549312147757
ACH-000028,0.037024734068699994
ACH-000030,0.139840132714
ACH-000035,-0.0728129956019
ACH-000036,-0.126471084668
ACH-000037,0.049171006206
ACH-000039,0.16892466110399998
ACH-000040,-0.30113948720899997
ACH-000041,-0.0665735464912
ACH-000042,0.0476174847127
ACH-000045,-0.0201457639488
ACH-000047,-0.28037745460200003
ACH-000052,-0.064138540981
ACH-000053,-0.131314407206
ACH-000054,-0.20289102738899997
ACH-000055,-0.0525630177658
ACH-000060,0.0447827922246
ACH-000067,-0.12551613667199998
ACH-000070,-0.015590593306499999
ACH-000075,0.00299661037069
ACH-000078,-0.184084159554
ACH-000082,-0.312797873776
ACH-000085,-0.173641084182
ACH-000086,0.0489182701657
ACH-000087,0.0049343700971
ACH-000092,-0.114727639232
ACH-000095,-0.0188246119575
ACH-000097,-0.0849090999618
ACH-000098,-0.222891580288
ACH-000099,-0.0794267315495
ACH-000108,-0.127099302378
ACH-000113,-0.028798223241699998
ACH-000115,-0.092089425493
ACH-000116,0.0935665788745
ACH-000118,0.015017745138700002
ACH-000120,0.0494765301458
ACH-000123,0.16850352872299998
ACH-000127,-0.0858606953287
ACH-000128,-0.0993829269719
ACH-000132,-0.171194885203
ACH-000133,-0.042114890044800006
ACH-000137,-0.19709999481899998
ACH-000138,0.0007613730434530002
ACH-000142,-0.050930875158599995
ACH-000143,0.06604492408280001
ACH-000146,-0.107789782754
ACH-000148,0.142131187924
ACH-000150,-0.368540169533
ACH-000152,-0.04959869123369999
ACH-000153,0.27106470748100003
ACH-000159,-0.0130986700331
ACH-000160,0.0289560180204
ACH-000163,-0.0687916112947
ACH-000167,-0.190114880715
ACH-000168,-0.0391413746829
ACH-000169,-0.178216533389
ACH-000178,0.048991567758
ACH-000182,0.060235088589300004
ACH-000183,0.152977700665
ACH-000188,0.0146488948101
ACH-000189,-0.0840015469005
ACH-000190,0.199390126817
ACH-000198,-0.119974239058
