,H2AFX (3014)
ACH-000004,-0.373276554872
ACH-000007,-0.7295331516339999
ACH-000009,-0.5763567525550001
ACH-000011,-1.10761122598
ACH-000012,-0.647644338167
ACH-000013,-0.399579468781
ACH-000014,-1.2308577942
ACH-000015,-0.58899227894
ACH-000017,-0.7770485096590001
ACH-000018,-0.566868960699
ACH-000019,-1.12614238045
ACH-000021,-0.38054213393700004
ACH-000022,-0.420503294535
ACH-000025,-1.02680381712
ACH-000028,-0.829233422234
ACH-000030,-0.65053806751
ACH-000035,-0.719851243415
ACH-000036,-0.725991166824
ACH-000037,-0.8481389570610001
ACH-000039,-0.689030257283
ACH-000040,-0.785555632694
ACH-000041,-0.798880363958
ACH-000042,-0.326481681122
ACH-000045,-0.509493684218
ACH-000047,-0.8913174330329999
ACH-000052,-0.485829661579
ACH-000053,-0.552266019297
ACH-000054,-0.532275654816
ACH-000055,-0.399433047745
ACH-000060,-0.510949761153
ACH-000067,-0.431346376819
ACH-000070,-0.899562029328
ACH-000075,-0.877272393196
ACH-000078,-0.847165051084
ACH-000082,-0.522094529902
ACH-000085,-0.726828416708
ACH-000086,-0.732671385414
ACH-000087,-0.644052803738
ACH-000092,-0.472183579433
ACH-000095,-0.573990943215
ACH-000097,-0.647414173131
ACH-000098,-0.44187064079300004
ACH-000099,-0.784891857319
ACH-000108,-0.593960842397
ACH-000113,-0.659225124094
ACH-000115,-0.565040354961
ACH-000116,-0.875439334992
ACH-000118,-1.01615496387
ACH-000120,-0.624508843673
ACH-000123,-0.563269783364
ACH-000127,-0.488575665311
ACH-000128,-0.483685194053
ACH-000132,-0.993824461732
ACH-000133,-0.647942445486
ACH-000137,-1.00392125661
ACH-000138,-0.778433630653
ACH-000142,-0.730254651812
ACH-000143,-0.39857990852700004
ACH-000146,-0.603043508596
ACH-000148,-0.6433244070840001
ACH-000150,-0.627925063155
ACH-000152,-0.38454409051
ACH-000153,-0.8676563819600001
ACH-000159,-0.70848598346
ACH-000160,-0.223739800353
ACH-000163,-0.5117283754590001
ACH-000167,-0.0576510283933
ACH-000168,-0.524300464463
ACH-000169,-0.8838850363420001
ACH-000178,-0.8348456853389999
ACH-000182,-0.39025375947499996
ACH-000183,-0.42019941109
ACH-000188,-1.01916098024
ACH-000189,-0.9503509352830001
ACH-000190,-0.111367460699
ACH-000198,-0.853033330065
ACH-000204,-0.375878779665
ACH-000206,-1.05946859689
ACH-000207,-0.574166611952
ACH-000211,-0.7302982072759999
ACH-000215,-0.7990239248090001
ACH-000221,-0.815153249791
ACH-000222,-0.553924745216
ACH-000223,-0.597397579133
ACH-000226,-1.0116394062799998
ACH-000227,-0.347546636037
ACH-000228,-1.1573328234
ACH-000231,-0.709776648294
ACH-000232,-0.682860834697
ACH-000233,-0.9061213324330001
ACH-000234,-0.741272535332
ACH-000235,-0.39741592775
ACH-000237,-0.601841007583
ACH-000238,-0.753948276144
ACH-000243,-0.5555652349920001
ACH-000244,-0.458948930153
ACH-000246,-0.9089772762710001
ACH-000248,-0.854279192188
ACH-000250,-0.47218820235200004
ACH-000251,-0.8308027250229999
ACH-000253,-0.76069852
ACH-000255,-1.05111130434
ACH-000256,-0.7512726984020001
ACH-000257,-0.461888836889
ACH-000258,-0.522679710814
ACH-000259,-0.633642825216
ACH-000260,-0.693934867554
ACH-000261,-0.803730057281
ACH-000262,-0.515872904894
ACH-000263,-0.334479267681
