,PSENEN (55851)
ACH-000004,0.06485231795429999
ACH-000007,-0.260897522762
ACH-000009,0.0328665446225
ACH-000011,-0.407141380479
ACH-000012,-0.23278995151999998
ACH-000013,-0.624029021517
ACH-000014,-0.254538672008
ACH-000015,-0.33687628635300004
ACH-000017,-0.0274857616335
ACH-000018,-0.250811184079
ACH-000019,-0.17900945527800002
ACH-000021,-0.20743252030900003
ACH-000022,-0.29817080473900004
ACH-000025,-0.0752786756204
ACH-000028,-0.00608349731294
ACH-000030,-0.0546306590061
ACH-000035,-0.183055702058
ACH-000036,1.10892590941
ACH-000037,-0.09337383104210001
ACH-000039,-0.0146264577489
ACH-000040,-0.0194524403368
ACH-000041,-0.14480287465299999
ACH-000042,-0.42863554944300003
ACH-000045,-0.047004856283599995
ACH-000047,-0.0521332562098
ACH-000052,-0.405940721005
ACH-000053,-0.395688994693
ACH-000054,-0.0201955315101
ACH-000055,-0.0728264373328
ACH-000060,-0.186679722283
ACH-000067,-0.0315438484755
ACH-000070,-0.17023078658399998
ACH-000075,-0.0552688679851
ACH-000078,-0.123962172304
ACH-000082,-0.29164761460599997
ACH-000085,-0.20300234715799997
ACH-000086,-0.179620495385
ACH-000087,-0.244090231904
ACH-000092,-0.16121445793400002
ACH-000095,-0.10216900734300001
ACH-000097,0.016690666426500002
ACH-000098,0.0997230742148
ACH-000099,-0.193986596191
ACH-000108,-0.343421003795
ACH-000113,-0.0781709016164
ACH-000115,0.106337819437
ACH-000116,-0.14199944624000002
ACH-000118,0.0413011124344
ACH-000120,-0.24718893025
ACH-000123,-0.286217856945
ACH-000127,-0.04771574309169999
ACH-000128,-0.051155730232800005
ACH-000132,0.16005469112
ACH-000133,-0.128899240532
ACH-000137,-0.472712457604
ACH-000138,-0.267296755416
ACH-000142,-0.546422223868
ACH-000143,0.0815272148721
ACH-000146,-0.301049579442
ACH-000148,0.22279492286699998
ACH-000150,0.0987663422877
ACH-000152,0.0584849101882
ACH-000153,-0.22578848225499998
ACH-000159,0.014960285616299999
ACH-000160,-0.145402205231
ACH-000163,-0.10170297064400001
ACH-000167,-0.0609554167705
ACH-000168,-0.0846580231601
ACH-000169,-0.357813621669
ACH-000178,0.0413724419966
ACH-000182,-0.224913935971
ACH-000183,-0.051813876984
ACH-000188,-0.148316835484
ACH-000189,-0.61674286679
ACH-000190,-0.40742203377999997
ACH-000198,0.0566906819436
ACH-000204,-0.056503368105800006
ACH-000206,-0.12941892795399998
ACH-000207,-0.15778803238800002
ACH-000211,-0.33929571943099995
ACH-000215,-0.06925457793619999
ACH-000221,-0.06648938307959999
ACH-000222,-0.390905869318
ACH-000223,-0.027294327397599998
ACH-000226,0.00370102596496
ACH-000227,-0.200100938342
ACH-000228,-0.200120756353
ACH-000231,-0.0180558361595
ACH-000232,-0.10649682111
ACH-000233,-0.122315477886
ACH-000234,-0.223938998818
ACH-000235,-0.45357570952
ACH-000237,-0.20796545722800003
ACH-000238,-0.139793780367
ACH-000243,-0.0689373758785
ACH-000244,0.490062772522
ACH-000246,0.0789056158023
ACH-000248,-0.271609341515
ACH-000250,-0.207746124686
ACH-000251,-0.169457707305
ACH-000253,-0.17311154546799998
ACH-000255,-0.288551265427
ACH-000256,-0.0550505121404
ACH-000257,-0.41956512113000005
ACH-000258,-0.136059292728
ACH-000259,-0.393181399692
ACH-000260,-0.11757880540999999
