,HYOU1 (10525)
ACH-000004,-1.27295160775
ACH-000007,-1.19883204095
ACH-000009,-1.3061615603899999
ACH-000011,-1.3839120378299998
ACH-000012,-1.3273633343
ACH-000013,-1.8136636136700002
ACH-000014,-1.45787496778
ACH-000015,-1.4740926665600003
ACH-000017,-1.1188735758600001
ACH-000018,-1.13774547655
ACH-000019,-1.0781695870899999
ACH-000021,-0.8585039104119999
ACH-000022,-1.6270735108599998
ACH-000025,-1.09230018633
ACH-000028,-1.35660377753
ACH-000030,-1.40918567688
ACH-000035,-1.3012127255200001
ACH-000036,-1.18535337685
ACH-000037,-0.48084677659599995
ACH-000039,-1.2108403751999999
ACH-000040,-1.55760994413
ACH-000041,-1.06181801597
ACH-000042,-1.52953946609
ACH-000045,-1.42200576766
ACH-000047,-1.4063755363400001
ACH-000052,-1.32913500981
ACH-000053,-1.3038274428799999
ACH-000054,-1.22447629616
ACH-000055,-1.36889168386
ACH-000060,-1.3251869044700002
ACH-000067,-1.1930262713700002
ACH-000070,-1.45575336589
ACH-000075,-2.0038077099400002
ACH-000078,-1.40842433628
ACH-000082,-1.6110731573600001
ACH-000085,-1.0928122278799999
ACH-000086,-1.38699072525
ACH-000087,-1.38940842731
ACH-000092,-1.26798874507
ACH-000095,-1.48132974624
ACH-000097,-1.40897151268
ACH-000098,-1.31921907289
ACH-000099,-1.4375792440000001
ACH-000108,-1.1828877508700002
ACH-000113,-1.32686109365
ACH-000115,-2.11195413966
ACH-000116,-1.67250013671
ACH-000118,-1.56361481301
ACH-000120,-1.39398946275
ACH-000123,-1.41790610857
ACH-000127,-1.0846580952299998
ACH-000128,-1.59166750994
ACH-000132,-1.1068792152
ACH-000133,-1.39199097081
ACH-000137,-1.70621969763
ACH-000138,-1.30883448761
ACH-000142,-1.6439718534099999
ACH-000143,-1.35253673116
ACH-000146,-1.16709438126
ACH-000148,-1.52184006402
ACH-000150,-1.4938848635100002
ACH-000152,-1.09045759921
ACH-000153,-1.3200067688200001
ACH-000159,-1.3915662644600002
ACH-000160,-1.4509894071399998
ACH-000163,-1.3149093698899998
ACH-000167,-1.7908454110900003
ACH-000168,-1.33466569551
ACH-000169,-1.3619545642700002
ACH-000178,-1.28036160969
ACH-000182,-1.25631232631
ACH-000183,-1.50681747063
ACH-000188,-1.4052894493
ACH-000189,-1.4841564701700003
ACH-000190,-1.52346488898
ACH-000198,-1.37583228697
ACH-000204,-1.52770485623
ACH-000206,-1.2817556475
ACH-000207,-1.19623007945
ACH-000211,-1.3123079467399998
ACH-000215,-1.1270121102
ACH-000221,-1.4452461526
ACH-000222,-1.4862174616600001
ACH-000223,-0.954459253963
ACH-000226,-1.29496087861
ACH-000227,-1.19457711576
ACH-000228,-1.35307303342
ACH-000231,-1.37273588709
ACH-000232,-1.4358216991600001
