,IMPG1 (3617)
ACH-000004,-0.065530828467
ACH-000007,0.109121162216
ACH-000009,0.287889262107
ACH-000011,0.301645553774
ACH-000012,0.158409173307
ACH-000013,0.251752989915
ACH-000014,0.223938415671
ACH-000015,0.312831054713
ACH-000017,0.11968830405
ACH-000018,0.17779783256200002
ACH-000019,0.298595498244
ACH-000021,0.028677927538799997
ACH-000022,0.23003613364199998
ACH-000025,0.26971849048700003
ACH-000028,0.09779827634260001
ACH-000030,0.130252381473
ACH-000035,0.193480469684
ACH-000036,0.270415046114
ACH-000037,0.058488450096000004
ACH-000039,0.14639493939
ACH-000040,0.232006857237
ACH-000041,0.29194412369600004
ACH-000042,0.11356463241699999
ACH-000045,0.227839183937
ACH-000047,0.20566174164599998
ACH-000052,0.0786989566715
ACH-000053,0.268759612473
ACH-000054,0.10946376192099999
ACH-000055,0.36489658585100004
ACH-000060,0.219568338063
ACH-000067,0.227437765172
ACH-000070,0.20815968334100002
ACH-000075,0.270008968999
ACH-000078,0.240585929079
ACH-000082,0.07546691365660001
ACH-000085,0.19172530719099998
ACH-000086,0.209430857427
ACH-000087,0.117056752587
ACH-000092,0.13119646287999998
ACH-000095,0.20794231347300002
ACH-000097,0.0336758140721
ACH-000098,0.256481034969
ACH-000099,0.252577912197
ACH-000108,0.157299368364
ACH-000113,0.292910865545
ACH-000115,0.150889096498
ACH-000116,0.24735348576299998
ACH-000118,0.200217140724
ACH-000120,0.08404307873099999
ACH-000123,0.140350945917
ACH-000127,0.122096958913
ACH-000128,0.30932970874000004
ACH-000132,0.14141151083200001
ACH-000133,0.333624028052
ACH-000137,0.215321826503
ACH-000138,0.205716761631
ACH-000142,0.29452508623
ACH-000143,0.36340365482500003
ACH-000146,0.111053664898
ACH-000148,0.202407214573
ACH-000150,0.339050484813
ACH-000152,0.245064877238
ACH-000153,-0.0407425468217
ACH-000159,0.16395425070699998
ACH-000160,0.09189220663349999
ACH-000163,0.200282097942
ACH-000167,0.14040100515999998
ACH-000168,0.0754797375097
ACH-000169,0.21536038126499998
ACH-000178,0.133400047839
ACH-000182,0.27652740384
ACH-000183,0.135522460125
ACH-000188,0.334389932527
