,TUT1 (64852)
ACH-000004,-1.51098437257
ACH-000007,-1.18408278758
ACH-000009,-1.28429297994
ACH-000011,-1.44601600093
ACH-000012,-1.5135074634
ACH-000013,-0.939846467529
ACH-000014,-1.29351026093
ACH-000015,-1.45931579739
ACH-000017,-1.32575698616
ACH-000018,-1.2580785212999999
ACH-000019,-1.20042452885
ACH-000021,-1.26248573987
ACH-000022,-0.948944911195
ACH-000025,-1.32791174104
ACH-000028,-1.3314359002
ACH-000030,-1.2049212108399998
ACH-000035,-1.18165871812
ACH-000036,-0.8231478866240001
ACH-000037,-1.8086172997599999
ACH-000039,-1.3411704315200002
ACH-000040,-0.932553020299
ACH-000041,-1.4240805247400001
ACH-000042,-1.1931706447600001
ACH-000045,-1.49895938701
ACH-000047,-1.4641418954899998
ACH-000052,-1.29229569351
ACH-000053,-1.51266485521
ACH-000054,-1.58726128991
ACH-000055,-1.37058516248
ACH-000060,-1.19873310734
ACH-000067,-1.4160247936500001
ACH-000070,-1.1561788933
ACH-000075,-1.59323434682
ACH-000078,-1.0510397434
ACH-000082,-1.0866769965799998
ACH-000085,-0.943071935678
ACH-000086,-1.3256574267299999
ACH-000087,-1.2167434194
ACH-000092,-1.45854638477
ACH-000095,-1.55002844771
ACH-000097,-1.64970567501
ACH-000098,-1.45229589766
ACH-000099,-1.67521267424
ACH-000108,-1.49680367865
ACH-000113,-1.5280325187000001
ACH-000115,-1.67746401833
ACH-000116,-1.11675482348
ACH-000118,-1.3343235053799998
ACH-000120,-1.3045772036499999
ACH-000123,-1.68499413076
ACH-000127,-1.3121707152200002
ACH-000128,-1.4501929457299998
ACH-000132,-1.2011836443600001
ACH-000133,-1.31186027789
ACH-000137,-1.17406165335
ACH-000138,-1.33535191889
ACH-000142,-1.32506999718
ACH-000143,-1.3440964659399999
ACH-000146,-1.6281753381400002
ACH-000148,-1.16637143506
ACH-000150,-1.1675010305
ACH-000152,-1.27752428011
ACH-000153,-1.44908319218
ACH-000159,-1.2686094596200002
ACH-000160,-1.5685072625999998
ACH-000163,-1.51341051643
ACH-000167,-1.5265689905000002
ACH-000168,-1.50204562586
ACH-000169,-1.4795211960299999
ACH-000178,-1.23621348591
ACH-000182,-1.4106586694499998
ACH-000183,-1.2000741405600002
ACH-000188,-1.0650959923999999
ACH-000189,-1.10945362969
ACH-000190,-1.64607321898
ACH-000198,-1.6379624912200001
ACH-000204,-1.38921013872
ACH-000206,-1.27825171362
ACH-000207,-1.2598912363099999
ACH-000211,-1.4745319670800001
ACH-000215,-1.35234723535
ACH-000221,-1.5129016045700001
ACH-000222,-1.41532806928
ACH-000223,-1.34159392251
ACH-000226,-1.3815829199899998
ACH-000227,-1.69877550053
ACH-000228,-1.40378449933
ACH-000231,-1.48325461038
ACH-000232,-1.38012130667
ACH-000233,-1.65887937273
ACH-000234,-1.54651853924
ACH-000235,-1.39601111782
ACH-000237,-1.3168976099299998
ACH-000238,-1.2207866083299999
ACH-000243,-1.2261776854200002
ACH-000244,-1.14855710974
ACH-000246,-1.19776377299
ACH-000248,-1.1749925910899999
ACH-000250,-1.4752169788799998
ACH-000251,-1.00441109802
ACH-000253,-1.42599139211
ACH-000255,-1.22487129683
ACH-000256,-1.32092090357
ACH-000257,-1.6129734433399998
ACH-000258,-1.05789046975
ACH-000259,-1.0966374684
ACH-000260,-1.16647642517
ACH-000261,-1.3774196957299998
ACH-000262,-1.09515374234
ACH-000263,-1.2423618685200002
ACH-000264,-1.2177965183700001
ACH-000265,-1.40641304968
ACH-000266,-1.2583825694700002
ACH-000272,-1.4999953775400001
ACH-000273,-1.31887033871
ACH-000274,-1.56784427903
ACH-000277,-1.7987925647999998
ACH-000278,-1.3241615082200002
ACH-000279,-1.29699248624
ACH-000280,-1.35919979385
ACH-000281,-1.178883149
ACH-000288,-1.25048365676
ACH-000291,-1.24643304279
ACH-000293,-1.61217760403
ACH-000294,-1.0997070734799999
ACH-000295,-0.837715287133
ACH-000296,-1.1111317134799998
ACH-000302,-1.37549401757
ACH-000304,-1.3256339908299999
ACH-000307,-1.29317606463
ACH-000308,-1.00063448433
ACH-000310,-1.7139304045100001
ACH-000311,-1.29407519612
ACH-000312,-1.29664068742
ACH-000315,-1.11395223246
ACH-000316,-1.21929120317
ACH-000317,-1.2492020757100002
ACH-000318,-1.3762708862900002
ACH-000319,-1.5609731976499999
ACH-000320,-1.41520742766
ACH-000322,-1.19801497095
ACH-000323,-0.9348456297579999
ACH-000324,-1.3667953016299998
ACH-000329,-1.44421781012
ACH-000330,-1.3450712742
ACH-000331,-1.45027524194
ACH-000332,-1.39928980493
ACH-000334,-1.40094163986
ACH-000335,-1.3086517925499999
ACH-000336,-1.180608653
ACH-000337,-1.3619959809600002
ACH-000339,-1.28781665746
ACH-000341,-1.75992873841
ACH-000348,-1.23952435097
ACH-000350,-1.05636552447
ACH-000352,-1.33699182619
ACH-000356,-1.4769364164899998
ACH-000361,-1.2302507514799998
ACH-000362,-1.3996352914599999
ACH-000363,-1.35196777839
ACH-000364,-1.15193141375
ACH-000365,-1.11038552893
ACH-000366,-1.6189880129799998
ACH-000368,-1.18636382105
ACH-000374,-1.29799165545
ACH-000375,-1.1454637226
ACH-000376,-1.19455909036
ACH-000381,-0.9566462549439999
ACH-000383,-1.47085956671
ACH-000387,-1.39292425528
ACH-000389,-1.12482512141
ACH-000390,-1.55327939432
ACH-000393,-1.34913235739
ACH-000395,-1.4766692192
ACH-000397,-1.18404400112
ACH-000401,-1.39599256754
ACH-000402,-1.21746854275
ACH-000403,-1.4680687305899998
ACH-000404,-1.3267227707200002
ACH-000406,-1.1095585803599999
ACH-000407,-1.1472496629
ACH-000408,-1.1039710734100001
ACH-000410,-1.33158127778
ACH-000411,-1.33275258468
ACH-000414,-1.18412870969
ACH-000415,-1.28390699087
ACH-000416,-1.33326762043
ACH-000420,-1.07682822854
ACH-000421,-1.20243063526
ACH-000424,-1.22813566119
ACH-000425,-1.53843643728
ACH-000426,-1.56348381301
ACH-000427,-1.2673759311
ACH-000433,-1.27926381253
ACH-000436,-1.03626122206
ACH-000444,-1.17653097266
ACH-000445,-1.4460859021
ACH-000448,-1.26468465849
ACH-000450,-1.58708934905
ACH-000452,-1.5910071066299998
ACH-000454,-1.04980525673
ACH-000458,-0.970669160159
ACH-000459,-1.9241713858200002
ACH-000460,-1.2199800829799998
ACH-000461,-1.5905331413400001
ACH-000463,-1.28157479153
ACH-000464,-1.44401178449
ACH-000466,-1.25100874959
ACH-000467,-1.20351084935
ACH-000468,-1.62662729938
ACH-000469,-1.26559221802
ACH-000470,-1.5433656389100001
ACH-000471,-1.27387972811
ACH-000472,-1.37940568775
ACH-000473,-1.38513354104
ACH-000475,-1.2886818963
ACH-000476,-1.59401893903
ACH-000477,-1.5567519689700002
ACH-000480,-1.03192589716
ACH-000481,-1.5621214156299998
ACH-000483,-1.13609858556
ACH-000484,-1.2906560692
ACH-000485,-1.4770091663100002
ACH-000486,-1.18972274245
ACH-000487,-1.4863563296899998
ACH-000488,-1.31579879349
ACH-000490,-1.37839122111
ACH-000491,-1.28448377627
ACH-000495,-1.41040798443
ACH-000496,-1.21748797231
ACH-000499,-1.41576306
ACH-000500,-1.81884260682
ACH-000502,-1.2276512903899999
ACH-000503,-1.3738770109099998
ACH-000505,-1.4200713014300002
ACH-000507,-1.3648902212
ACH-000510,-1.44690680663
ACH-000511,-1.24955409431
ACH-000512,-1.47802455477
ACH-000516,-1.33062104913
ACH-000517,-1.65889935625
ACH-000518,-1.32084300475
ACH-000520,-0.996007427105
ACH-000521,-1.31627799929
ACH-000522,-1.3633441104
ACH-000524,-1.54244867965
ACH-000527,-1.38115394891
ACH-000528,-1.35447539586
ACH-000537,-1.3108228150499999
ACH-000541,-1.50973602213
ACH-000542,-0.8345027428569999
ACH-000544,-1.22494312281
ACH-000545,-1.20998662606
ACH-000547,-1.36564957509
ACH-000548,-1.38425654118
ACH-000549,-1.41247299763
ACH-000550,-1.46674347483
ACH-000552,-1.27590418731
ACH-000556,-1.21152067012
ACH-000557,-0.5961543402989999
ACH-000570,-1.4059712511200002
ACH-000571,-1.7462198339300001
ACH-000573,-1.4293880468200002
ACH-000576,-1.2807803067
ACH-000580,-1.12438949109
ACH-000584,-1.3555179019499999
ACH-000585,-1.1673309463
ACH-000588,-1.56596742282
