,PSTK (118672)
ACH-000004,-0.840194834238
ACH-000007,-0.179985895704
ACH-000009,-0.441758643902
ACH-000011,-0.993396302414
ACH-000012,-0.9869971212469999
ACH-000013,-0.585141448746
ACH-000014,-0.7939247590270001
ACH-000015,-0.6762083268619999
ACH-000017,-0.443096240849
ACH-000018,-0.724992455301
ACH-000019,-0.381182692266
ACH-000021,-1.1799877352200001
ACH-000022,-0.374924881987
ACH-000025,-0.963328256233
ACH-000028,-0.590311435537
ACH-000030,-0.732561453713
ACH-000035,-1.1199697176799999
ACH-000036,-0.858887919956
ACH-000037,-1.28473756005
ACH-000039,-0.786934035877
ACH-000040,-0.5976322656440001
ACH-000041,-1.37550247319
ACH-000042,-0.60802984543
ACH-000045,-1.02733973798
ACH-000047,-0.9889552540000001
ACH-000052,-0.986193234417
ACH-000053,-1.13283720382
ACH-000054,-1.24529308714
ACH-000055,-1.03447425109
ACH-000060,-0.48215434711000005
ACH-000067,-1.10888679288
ACH-000070,-0.9139885806460001
ACH-000075,-0.532767435358
ACH-000078,-0.555021243787
ACH-000082,-0.81726048963
ACH-000085,-0.920442444008
ACH-000086,-0.614135360333
ACH-000087,-0.9274571107260001
ACH-000092,-0.302429442236
ACH-000095,-0.998413321655
ACH-000097,-0.41995676412
ACH-000098,-0.537505428214
ACH-000099,-0.803330630346
ACH-000108,-0.451420460344
ACH-000113,-0.913958647912
ACH-000115,-0.17287667417599997
ACH-000116,-1.0928077446
ACH-000118,-0.663532139344
ACH-000120,-1.15450754917
ACH-000123,-0.679598419508
ACH-000127,-0.689807586147
ACH-000128,-1.16675218965
ACH-000132,-1.12351576202
ACH-000133,-1.1594672073899999
ACH-000137,-1.10658650779
ACH-000138,-0.464900513786
ACH-000142,-0.582993101813
ACH-000143,-0.820937058887
ACH-000146,-0.691121894692
ACH-000148,-0.977527880853
ACH-000150,-1.1075256781899998
ACH-000152,-1.20378510656
ACH-000153,-0.319431726862
ACH-000159,-1.1979224092799998
ACH-000160,-0.286898570119
ACH-000163,-1.12608891699
ACH-000167,-0.966026658114
ACH-000168,-0.9068499197609999
ACH-000169,-0.49479428444
ACH-000178,-0.769253475298
ACH-000182,-0.36866990965400004
ACH-000183,-0.777941925787
ACH-000188,-0.911667659428
ACH-000189,-0.885536941784
ACH-000190,-0.574774984092
ACH-000198,-0.811570253559
ACH-000204,-0.568691337787
ACH-000206,-0.969509670566
ACH-000207,-0.458418342207
