,APOBEC1 (339)
ACH-000004,-0.0926861705673
ACH-000007,-0.11463034243100001
ACH-000009,-0.272026044241
ACH-000011,-0.369632575172
ACH-000012,0.0227994544888
ACH-000013,-0.179073783395
ACH-000014,-0.15737363987800002
ACH-000015,-0.081021647333
ACH-000017,-0.0378403947307
ACH-000018,0.0155230987481
ACH-000019,-0.056273778940699994
ACH-000021,-0.23109585107900002
ACH-000022,-0.18580082031599998
ACH-000025,-0.0330322439042
ACH-000028,-0.07758545243689999
ACH-000030,-0.19731210990400003
ACH-000035,-0.234361511662
ACH-000036,0.044105684080600005
ACH-000037,0.0847692611455
ACH-000039,-0.247331000836
ACH-000040,-0.137548706965
ACH-000041,-0.332327973457
ACH-000042,-0.0856268083275
ACH-000045,-0.163218015732
ACH-000047,-0.16379549199899998
ACH-000052,-0.072767199906
ACH-000053,-0.183793315316
ACH-000054,0.00365981797915
ACH-000055,0.0818805730847
ACH-000060,0.0154719550909
ACH-000067,-0.158651180335
ACH-000070,0.0500500044612
ACH-000075,0.0292061727877
ACH-000078,-0.25430735868500004
ACH-000082,-0.0509148199271
ACH-000085,-0.18528564924000002
ACH-000086,-0.164816124071
ACH-000087,-0.20225579538
ACH-000092,0.0867576998834
ACH-000095,-0.021209062735200002
ACH-000097,-0.19702012098000002
ACH-000098,-0.126084660896
ACH-000099,-0.160780085327
ACH-000108,-0.034683220311400004
ACH-000113,-0.08243839206089999
ACH-000115,-0.20730813866599998
ACH-000116,0.0395525494397
ACH-000118,-0.0888016558457
ACH-000120,-0.23539342761
ACH-000123,-0.147731989968
ACH-000127,-0.0226861415278
ACH-000128,-0.19085944988200002
ACH-000132,0.06484623686970001
ACH-000133,-0.0492697418348
ACH-000137,-0.1142557523
ACH-000138,-0.19901230957899999
ACH-000142,-0.268036681411
ACH-000143,-0.011701174390200002
ACH-000146,-0.08140699970910001
ACH-000148,-0.0737443426047
ACH-000150,-0.0974757045156
ACH-000152,-0.0884763604205
ACH-000153,-0.235616458645
ACH-000159,-0.0771928067678
ACH-000160,0.16996258364300001
ACH-000163,-0.243623662963
ACH-000167,0.393952936801
ACH-000168,-0.10657092743899998
ACH-000169,-0.13269913283399998
ACH-000178,-0.133311752087
ACH-000182,-0.103580278881
ACH-000183,-0.058363856367699994
ACH-000188,-0.08921433861960001
ACH-000189,-0.101860565808
ACH-000190,0.22537762061299998
ACH-000198,-0.231227768234
ACH-000204,0.0
ACH-000206,-0.160857259723
ACH-000207,-0.0055432925782299995
ACH-000211,-0.248530497923
ACH-000215,-0.0725153093839
ACH-000221,-0.179583777493
ACH-000222,-0.29816044902600003
ACH-000223,-0.08323898317869999
ACH-000226,-0.0943710434292
ACH-000227,-0.0721379265912
ACH-000228,-0.466390351066
ACH-000231,-0.14094357681
ACH-000232,-0.17930116274799998
ACH-000233,-0.0620190623299
ACH-000234,-0.0284594179312
ACH-000235,-0.135027995058
ACH-000237,-0.10940583297
ACH-000238,-0.0971265795503
ACH-000243,-0.0818186047412
ACH-000244,-0.11037796509000002
ACH-000246,-0.177982007976
ACH-000248,-0.203943413303
ACH-000250,-0.0846575160317
ACH-000251,-0.07408214494030001
ACH-000253,-0.0572099800276
ACH-000255,-0.464298421224
ACH-000256,-0.158000314736
ACH-000257,-0.081347664046
ACH-000258,0.0717666938553
ACH-000259,-0.21695336188900002
ACH-000260,-0.0989090073319
ACH-000261,-0.13050860097
ACH-000262,0.157012657071
ACH-000263,-0.0755925065259
ACH-000264,-0.162374752043
ACH-000265,-0.0240484280026
ACH-000266,-0.169170266628
ACH-000272,-0.11104109816600001
ACH-000273,-0.141314612393
ACH-000274,-0.149269646737
ACH-000277,0.0179889446509
ACH-000278,-0.112271808619
ACH-000279,-0.22129556146600002
ACH-000280,-0.196376452053
ACH-000281,-0.516294624966
ACH-000288,-0.188184704946
ACH-000291,-0.117021177466
ACH-000293,0.14494320733899999
ACH-000294,-0.283080420857
