,KIFAP3 (22920)
ACH-000004,-0.0460560408316
ACH-000007,-0.160374793466
ACH-000009,-0.46677446154
ACH-000011,-0.19225747110599997
ACH-000012,-0.170609555669
ACH-000013,-0.285510864333
ACH-000014,-0.17402424394299998
ACH-000015,-0.263718778784
ACH-000017,-0.219099278862
ACH-000018,-0.352453028398
ACH-000019,-0.29238327445
ACH-000021,-0.157938603519
ACH-000022,-0.13963437900999998
ACH-000025,-0.180343787304
ACH-000028,-0.267341705283
ACH-000030,-0.157999646466
ACH-000035,-0.18458736943300003
ACH-000036,-0.14951218459
ACH-000037,-0.254024092444
ACH-000039,-0.149589363162
ACH-000040,-0.0572887467746
ACH-000041,-0.117739186555
ACH-000042,-0.140195614936
ACH-000045,-0.289693309731
ACH-000047,-0.135391711173
ACH-000052,-0.16248332540899998
ACH-000053,-0.10687413907299999
ACH-000054,-0.219022129417
ACH-000055,0.216845773694
ACH-000060,0.08548259479340001
ACH-000067,-0.204599555304
ACH-000070,-0.139817718722
ACH-000075,-0.121036749087
ACH-000078,-0.07987283688710001
ACH-000082,-0.268462060086
ACH-000085,-0.019959885868099998
ACH-000086,-0.124882756939
ACH-000087,0.21897917299400002
ACH-000092,-0.165495420684
ACH-000095,-0.17136067494000004
ACH-000097,-0.21364117041900002
ACH-000098,-0.28193864476799996
ACH-000099,-0.147419693552
ACH-000108,-0.00138564968799
ACH-000113,-0.105717596809
ACH-000115,-0.234036513756
ACH-000116,-0.211002738652
ACH-000118,-0.0907579030951
ACH-000120,-0.161865892185
ACH-000123,-0.237923718281
ACH-000127,-0.10582517424799999
ACH-000128,-0.162757945522
ACH-000132,-0.148802408552
ACH-000133,-0.256640538069
ACH-000137,-0.125802532682
ACH-000138,-0.0533131793291
ACH-000142,-0.306837288871
ACH-000143,-0.0817343081836
ACH-000146,-0.0712317863809
ACH-000148,-0.161949361673
ACH-000150,-0.21937269730599998
ACH-000152,-0.197311871732
ACH-000153,-0.175760217695
ACH-000159,-0.259621779694
ACH-000160,-0.0941213177603
ACH-000163,-0.29485837311
ACH-000167,0.0789475604504
ACH-000168,-0.09497478495439998
ACH-000169,-0.149848052171
ACH-000178,-0.06458876745490001
ACH-000182,0.0323525210659
ACH-000183,-0.18244139070300003
ACH-000188,-0.14690624906400002
ACH-000189,-0.0938350371477
ACH-000190,-0.34060566035499995
ACH-000198,-0.194640207043
ACH-000204,-0.265818864657
ACH-000206,-0.028181754407000003
ACH-000207,-0.166308858074
ACH-000211,-0.253692612138
ACH-000215,-0.152148650464
ACH-000221,-0.304681438732
ACH-000222,-0.36389105572999997
ACH-000223,-0.299027876856
ACH-000226,-0.21429850631499997
ACH-000227,-0.320122242117
ACH-000228,-0.102766770854
ACH-000231,-0.10053126743799999
ACH-000232,-0.1116043208
ACH-000233,-0.0529958740225
ACH-000234,-0.0449949799855
ACH-000235,-0.15349359059
ACH-000237,0.0399470322001
ACH-000238,-0.13835549996
ACH-000243,-0.118923549648
ACH-000244,-0.319322161879
ACH-000246,-0.153590856475
ACH-000248,0.13060704914100002
ACH-000250,-0.124306388749
ACH-000251,-0.005672734071859999
ACH-000253,-0.148327092117
ACH-000255,-0.126868754851
ACH-000256,-0.22910346426800002
ACH-000257,-0.10083818331
ACH-000258,-0.245222190288
ACH-000259,-0.141845441702
ACH-000260,-0.120972814701
ACH-000261,-0.0725230627164
ACH-000262,0.0316955992533
ACH-000263,0.04241901098590001
ACH-000264,-0.174607703088
ACH-000265,-0.05221729865730001
ACH-000266,-0.18199810724399998
ACH-000272,-0.16710000959000001
ACH-000273,-0.291389158364
ACH-000274,-0.0792851175528
ACH-000277,-0.105385729687
ACH-000278,-0.0227218372732
ACH-000279,-0.128566138228
ACH-000280,-0.004351637714539999
ACH-000281,-0.399838689613
ACH-000288,-0.10341287081499999
ACH-000291,-0.0764699086279
ACH-000293,-0.123889077718
ACH-000294,-0.182616224049
ACH-000295,-0.150215575471
ACH-000296,-0.134634226109
ACH-000302,-0.190732613973
ACH-000304,0.0874624213198
ACH-000307,-0.105656661143
ACH-000308,-0.162473276719
ACH-000310,-0.41332442406099995
ACH-000311,-0.220558641554
ACH-000312,-0.17740015510600002
ACH-000315,-0.36114924350500005
ACH-000316,-0.116289345194
ACH-000317,-0.206786170296
ACH-000318,-0.135278536955
ACH-000319,-0.00421674893654
ACH-000320,0.029500314611299996
ACH-000322,-0.142783765987
ACH-000323,-0.0673631370755
ACH-000324,-0.11948675852299999
ACH-000329,0.0050178719391
ACH-000330,0.152484495086
ACH-000331,-0.174973751252
ACH-000332,-0.0837895091354
ACH-000334,-0.34881288174900005
ACH-000335,-0.216746376726
ACH-000336,-0.7345388828820001
ACH-000337,-0.264127168031
ACH-000339,-0.0991040956117
ACH-000341,-0.32647054604200004
ACH-000348,0.06394080698730001
ACH-000350,-0.35869762467200006
ACH-000352,-0.0555970612863
ACH-000356,-0.108002692367
ACH-000361,-0.27625812956900003
ACH-000362,-0.014196657082
ACH-000363,-0.08888419481460001
ACH-000364,-0.140796428198
ACH-000365,-0.197546439413
ACH-000366,-0.0224490464414
ACH-000368,0.034581446587800005
ACH-000374,-0.0123328779418
ACH-000375,-0.154824230129
ACH-000376,-0.17323688401999998
ACH-000381,-0.277163844195
ACH-000383,-0.0964245835236
ACH-000387,-0.1493070106
ACH-000389,-0.19197455898200003
ACH-000390,-0.13864388349
ACH-000393,-0.0756396699525
ACH-000395,-0.08121672828189999
ACH-000397,-0.0855794481247
ACH-000401,-0.0787927337577
ACH-000402,-0.134797427893
ACH-000403,-0.135703379866
ACH-000404,-0.305639363993
ACH-000406,-0.107415269602
ACH-000407,-0.21464496941300001
ACH-000408,-0.0960141886011
ACH-000410,-0.246693636787
ACH-000411,0.0124394167265
ACH-000414,-0.00115474371843
ACH-000415,-0.0635423699381
ACH-000416,-0.334540820457
ACH-000420,-0.21525481870299998
ACH-000421,-0.18647834879900002
ACH-000424,-0.202247002894
ACH-000425,-0.10750400554199999
ACH-000426,0.161630158886
ACH-000427,-0.202461691499
ACH-000433,0.0431842811454
ACH-000436,-0.0442080092443
ACH-000444,0.0137109084513
ACH-000445,-0.10138058741599999
ACH-000448,-0.150729890333
ACH-000450,-0.20944045810800002
ACH-000452,-0.054406722451800005
ACH-000454,0.0289658449382
ACH-000458,-0.165048890982
ACH-000459,0.306454432964
ACH-000460,-0.13750244853399998
ACH-000461,-0.101379628619
ACH-000463,-0.00699185898666
ACH-000464,-0.022005808933299998
ACH-000466,-0.09937634796610001
ACH-000467,-0.09355161355779999
ACH-000468,-0.08743235813719999
ACH-000469,-0.0556711344231
ACH-000470,-0.09037152630930001
ACH-000471,-0.0773047490228
ACH-000472,-0.0918038194759
ACH-000473,-0.0857051851521
ACH-000475,-0.209065486905
ACH-000476,-0.287951362575
ACH-000477,0.00671091399996
ACH-000480,-0.0823413754186
ACH-000481,-0.21517081235899999
ACH-000483,-0.070042513026
ACH-000484,-0.0777817427705
