,TELO2 (9894)
ACH-000004,-0.614422256355
ACH-000007,-0.922328925027
ACH-000009,-0.587335456047
ACH-000011,-0.8303467382109999
ACH-000012,-0.7662995173620001
ACH-000013,-1.37348494937
ACH-000014,-0.799233689748
ACH-000015,-1.01664439639
ACH-000017,-1.03488532954
ACH-000018,-1.17900982499
ACH-000019,-0.9862055865880001
ACH-000021,-0.8803559442960001
ACH-000022,-1.20015033413
ACH-000025,-1.1451584603799998
ACH-000028,-0.7460188085189999
ACH-000030,-0.610771236774
ACH-000035,-0.7918612695039999
ACH-000036,-0.717321282063
ACH-000037,-0.728140311005
ACH-000039,-0.6807100337459999
ACH-000040,-0.7222087350399999
ACH-000041,-1.1980220294
ACH-000042,-0.8786429710870001
ACH-000045,-0.85149616369
ACH-000047,-0.7405299973939999
ACH-000052,-1.11162090281
ACH-000053,-0.745276638879
ACH-000054,-0.828387440083
ACH-000055,-1.2011032959799999
ACH-000060,-1.20413193229
ACH-000067,-0.849248991178
ACH-000070,-0.5893740750190001
ACH-000075,-0.956184955447
ACH-000078,-0.909029217535
ACH-000082,-0.420117646329
ACH-000085,-1.09835555072
ACH-000086,-0.7294779559479999
ACH-000087,-0.804853985675
ACH-000092,-0.577530565488
ACH-000095,-0.791685357817
ACH-000097,-0.80082017325
ACH-000098,-0.907258374208
ACH-000099,-0.76384957676
ACH-000108,-0.816680251896
ACH-000113,-1.0080567774299998
ACH-000115,-1.07721326224
ACH-000116,-0.954537394678
ACH-000118,-0.6727738604819999
ACH-000120,-0.682910316972
ACH-000123,-0.838879551049
ACH-000127,-0.8960703918330001
ACH-000128,-1.18030588783
ACH-000132,-0.937825015408
ACH-000133,-0.8412577864949999
ACH-000137,-0.978313630112
ACH-000138,-1.13199959683
ACH-000142,-0.915790941408
ACH-000143,-0.715255409704
ACH-000146,-0.6078674984800001
ACH-000148,-1.2724845514
ACH-000150,-0.972487766758
ACH-000152,-0.7409363952920001
ACH-000153,-0.807745848722
ACH-000159,-0.55533048702
ACH-000160,-0.7177857559440001
ACH-000163,-1.37027207296
ACH-000167,-1.2506156240000001
ACH-000168,-0.765429852627
ACH-000169,-0.930339741839
ACH-000178,-0.854794241178
ACH-000182,-0.546017578474
ACH-000183,-0.9147672145739999
ACH-000188,-0.8086696976700001
ACH-000189,-0.549940398445
ACH-000190,-0.813836436947
ACH-000198,-0.5960786547779999
ACH-000204,-0.6717651320899999
ACH-000206,-0.652688678781
ACH-000207,-0.7770126424989999
ACH-000211,-0.965399430783
ACH-000215,-0.7042024158140001
ACH-000221,-0.9919303267280001
ACH-000222,-0.9081005746100002
ACH-000223,-0.89474350459
ACH-000226,-0.371219432927
ACH-000227,-0.6216786748309999
ACH-000228,-0.758674225253
ACH-000231,-0.6796417899259999
ACH-000232,-0.802747972336
ACH-000233,-1.05749120672
ACH-000234,-0.616429726331
ACH-000235,-0.876025617824
ACH-000237,-0.795033716111
ACH-000238,-0.401141401553
ACH-000243,-1.2261754269299998
ACH-000244,-0.8147265872939999
ACH-000246,-0.730263946771
ACH-000248,-0.701459723477
ACH-000250,-0.511829590136
ACH-000251,-1.29819682764
ACH-000253,-0.972238447713
ACH-000255,-1.07281282474
ACH-000256,-0.55179245243
ACH-000257,-0.660590845595
ACH-000258,-0.8323880530259999
ACH-000259,-0.925275358231
ACH-000260,-0.923160333036
ACH-000261,-0.918691561227
ACH-000262,-1.03888044581
ACH-000263,-0.732467926654
ACH-000264,-0.886047191687
ACH-000265,-0.895511899224
ACH-000266,-0.686040850051
ACH-000272,-0.619585519956
ACH-000273,-1.02387185745
ACH-000274,-0.638561970465
ACH-000277,-1.1028943879700002
ACH-000278,-0.892508636876
ACH-000279,-0.8572544606829999
ACH-000280,-1.54512728722
ACH-000281,-0.805255825292
ACH-000288,-0.789462230266
ACH-000291,-0.797358481629
ACH-000293,-0.637721045036
ACH-000294,-0.798608743417
ACH-000295,-0.75260227411
ACH-000296,-0.5957832718739999
ACH-000302,-0.7449066524779999
ACH-000304,-1.2611314106799998
ACH-000307,-0.9222672711669999
ACH-000308,-0.587691470389
ACH-000310,-0.37869339295500004
ACH-000311,-1.156390504
ACH-000312,-0.868108454621
ACH-000315,-0.5667250115470001
ACH-000316,-0.9804579795530001
ACH-000317,-1.2756889712000001
ACH-000318,-0.8719195948080001
ACH-000319,-1.31785753817
ACH-000320,-0.80160262663
ACH-000322,-0.86283105317
ACH-000323,-0.917909801774
ACH-000324,-1.061397994
ACH-000329,-0.806326902774
ACH-000330,-0.8613198862989999
ACH-000331,-0.772207725853
ACH-000332,-1.03116782599
ACH-000334,-0.144581313398
ACH-000335,-0.863732603854
ACH-000336,-0.817972394447
ACH-000337,-0.629185573404
ACH-000339,-0.7911774349240001
ACH-000341,-1.24576393421
ACH-000348,-0.899720491803
ACH-000350,-1.0189557080399998
ACH-000352,-1.2501818519399999
ACH-000356,-1.03440514454
ACH-000361,-1.29304511906
ACH-000362,-0.822469531416
ACH-000363,-0.970388068937
ACH-000364,-0.870274357826
ACH-000365,-0.8797033119580001
ACH-000366,-1.12288160665
ACH-000368,-0.8881145241230001
ACH-000374,-0.748048955403
ACH-000375,-0.9061387079090001
ACH-000376,-0.731107432333
ACH-000381,-0.781685911904
ACH-000383,-0.6270139478069999
ACH-000387,-0.793831823581
ACH-000389,-0.6994856237389999
ACH-000390,-1.05806697912
ACH-000393,-0.49660455353200006
ACH-000395,-0.837163657727
ACH-000397,-0.790829832013
ACH-000401,-0.861149779488
ACH-000402,-0.5784231473170001
ACH-000403,-0.8149454459379999
ACH-000404,-0.8086704053129999
ACH-000406,-0.87996893904
ACH-000407,-1.06273194266
ACH-000408,-1.0143066233
ACH-000410,-1.06103221434
ACH-000411,-0.732254554852
ACH-000414,-0.9111833047579999
ACH-000415,-1.0483404950200002
ACH-000416,-0.5628643281050001
ACH-000420,-0.692932916726
ACH-000421,-0.7429375805930001
ACH-000424,-1.3143796505299998
ACH-000425,-0.493914477252
ACH-000426,-0.746639585106
ACH-000427,-0.970961315572
ACH-000433,-0.7145645909999999
ACH-000436,-1.0519357004899998
ACH-000444,-1.12637720066
ACH-000445,-0.610240002724
ACH-000448,-0.909562038181
ACH-000450,-0.9675021838689999
ACH-000452,-1.03672685591
