,RECK (8434)
ACH-000004,-0.0149631999948
ACH-000007,-0.0662757798596
ACH-000009,-0.0992487998526
ACH-000011,0.136177093761
ACH-000012,0.22408955778200002
ACH-000013,0.09474026246539999
ACH-000014,0.255524565171
ACH-000015,0.124266901575
ACH-000017,0.187099063515
ACH-000018,-0.0229525642632
ACH-000019,0.26389875051399997
ACH-000021,0.00023833048940099998
ACH-000022,0.09757573120850001
ACH-000025,0.0642686886942
ACH-000028,0.049430265733199995
ACH-000030,0.026038315545099996
ACH-000035,0.049626743
ACH-000036,0.23811896799499999
ACH-000037,0.0313304766622
ACH-000039,-0.202106577014
ACH-000040,0.21420981404300002
ACH-000041,0.220249667457
ACH-000042,-0.10054304612199999
ACH-000045,0.300878974708
ACH-000047,0.123520159759
ACH-000052,0.0070676770190699996
ACH-000053,0.030557392927099997
ACH-000054,0.118094774545
ACH-000055,0.243545123697
ACH-000060,0.297387139773
ACH-000067,0.16385636405200002
ACH-000070,0.035711058610099995
ACH-000075,-0.0411302208796
ACH-000078,0.0386520640306
ACH-000082,0.0714921530942
ACH-000085,0.187088553317
ACH-000086,0.138450686149
ACH-000087,-0.09035666239600001
ACH-000092,0.0358530267627
ACH-000095,0.0551694086061
ACH-000097,0.0895555257202
ACH-000098,0.05394467954919999
ACH-000099,0.0350944383501
ACH-000108,0.143654204848
ACH-000113,0.299138823685
ACH-000115,0.08004139691060001
ACH-000116,0.218603823778
ACH-000118,-0.0677618699851
ACH-000120,0.023740153952599995
ACH-000123,0.138983887655
ACH-000127,0.162947257829
ACH-000128,0.17169264647100002
ACH-000132,0.291422216052
ACH-000133,0.18143066990200002
ACH-000137,0.20665785425900002
ACH-000138,0.00346269791041
ACH-000142,0.190881502805
ACH-000143,0.11948614370999999
ACH-000146,-0.11668340048499999
ACH-000148,0.04150445151919999
ACH-000150,-0.150073936863
ACH-000152,0.18885645662300002
ACH-000153,0.201637530198
ACH-000159,0.092727438572
ACH-000160,0.08744763348960001
ACH-000163,-0.305831550526
ACH-000167,0.0466390454205
ACH-000168,0.26220424770100004
ACH-000169,0.0981513612035
ACH-000178,0.24135994414
ACH-000182,0.0125047583898
ACH-000183,0.19372836690499998
ACH-000188,0.009493168926190001
ACH-000189,0.278670147408
ACH-000190,-0.128495227511
ACH-000198,0.125715053707
ACH-000204,0.21971334090599998
ACH-000206,0.269747456514
ACH-000207,0.117064783738
ACH-000211,0.126629651466
ACH-000215,-0.11796537980699999
ACH-000221,0.09840590888930001
ACH-000222,-0.011701381022299999
ACH-000223,0.166005380215
ACH-000226,0.0249661097702
ACH-000227,-0.0775324128267
ACH-000228,-0.09730066497410002
ACH-000231,0.052591354661
ACH-000232,0.125696529325
ACH-000233,0.153858768231
ACH-000234,0.0648146679441
ACH-000235,0.016283212868600003
ACH-000237,0.11049893393600001
ACH-000238,0.0405039424285
ACH-000243,-0.0209704085028
ACH-000244,0.0788166523396
ACH-000246,0.122853767206
