,HIST1H2AI (8329)
ACH-000004,-0.598292225256
ACH-000007,-0.295994207669
ACH-000009,-0.529993160592
ACH-000011,-0.518569910986
ACH-000012,-0.465779985122
ACH-000013,-0.664726283629
ACH-000014,-0.712831028067
ACH-000015,-0.842904582184
ACH-000017,-0.826707415046
ACH-000018,-0.600374356651
ACH-000019,-0.459939995311
ACH-000021,-0.28011280207899997
ACH-000022,-0.8609951971330001
ACH-000025,-0.569551042837
ACH-000028,-0.536603804314
ACH-000030,-0.550200595047
ACH-000035,-0.559518690312
ACH-000036,-0.5634595837290001
ACH-000037,-0.9764136884929999
ACH-000039,-0.717499878977
ACH-000040,-0.772616969515
ACH-000041,-0.8487377811869999
ACH-000042,-0.526380222593
ACH-000045,-1.0150615677500001
ACH-000047,-0.738114647174
ACH-000052,-0.582986208179
ACH-000053,-0.6388690498690001
ACH-000054,-0.561462129538
ACH-000055,-0.516236029114
ACH-000060,-0.7080607331000001
ACH-000067,-0.592094117145
ACH-000070,-0.6439607099369999
ACH-000075,-0.606073034978
ACH-000078,-0.815636890782
ACH-000082,-0.815690356346
ACH-000085,-0.48305731275700003
ACH-000086,-0.465429525945
ACH-000087,-0.645744904109
ACH-000092,-0.646390418718
ACH-000095,-0.792214360065
ACH-000097,-0.547206158078
ACH-000098,-0.646569242251
ACH-000099,-0.476812732737
ACH-000108,-0.351539098351
ACH-000113,-0.646581421074
ACH-000115,-1.35890573685
ACH-000116,-0.530856800111
ACH-000118,-0.5983465493069999
ACH-000120,-0.337610193754
ACH-000123,-0.470401261479
ACH-000127,-0.431396357001
ACH-000128,-0.662124371385
ACH-000132,-0.15610510905400002
ACH-000133,-0.659380845679
ACH-000137,-0.456923612005
ACH-000138,-0.7465562481319999
ACH-000142,-0.486938930184
ACH-000143,-0.48529229758299997
ACH-000146,-1.00480758168
ACH-000148,-0.35527949416
ACH-000150,-0.630199119619
ACH-000152,-0.394043724648
ACH-000153,-0.593158930938
ACH-000159,-0.649748261747
ACH-000160,-0.748842376487
ACH-000163,-0.738180555685
ACH-000167,-1.00996269244
ACH-000168,-0.831069210748
ACH-000169,-0.781161988273
ACH-000178,-0.673466719859
ACH-000182,-0.631066401579
ACH-000183,-0.519550763277
ACH-000188,-0.7268942405509999
ACH-000189,-0.602415986306
ACH-000190,-0.43472581636600005
ACH-000198,-0.8535948288840001
ACH-000204,-0.142739704871
ACH-000206,-1.47768389398
ACH-000207,-0.548967423218
ACH-000211,-0.586641527704
ACH-000215,-0.8140709449819999
ACH-000221,-0.5679218632949999
ACH-000222,-0.49765656383100004
ACH-000223,-0.449102187539
ACH-000226,-0.46789732278499996
ACH-000227,-0.908931569169
ACH-000228,-0.442056502772
ACH-000231,-0.7387150269320001
ACH-000232,-0.42148202939400004
ACH-000233,-0.902248680199
ACH-000234,-0.9318177249140001
ACH-000235,-0.592973489848
ACH-000237,-0.7599281877590001
ACH-000238,-0.5355628645889999
ACH-000243,-0.601432262797
ACH-000244,-0.7755269304699999
ACH-000246,-0.6318790629159999
ACH-000248,-0.459515066498
ACH-000250,-0.780017204439
ACH-000251,-0.9460648660150001
ACH-000253,-0.657628579524
ACH-000255,-0.473303420182
ACH-000256,-0.491075264899
ACH-000257,-0.42547578846600004
ACH-000258,-0.6187246109800001
ACH-000259,-0.6679040787
ACH-000260,-0.664881616842
ACH-000261,-0.6892270969679999
ACH-000262,-0.5546204554909999
ACH-000263,-0.783226113688
ACH-000264,-0.731614488907
ACH-000265,-0.478830589644
ACH-000266,-0.440031796876
ACH-000272,-0.659329193642
ACH-000273,-0.641144519116
ACH-000274,-0.74230030973
ACH-000277,-0.641471579472
ACH-000278,-0.845388422722
ACH-000279,-0.7174893478300001
ACH-000280,-0.668332361429
ACH-000281,-0.6459674885369999
ACH-000288,-0.573322652426
ACH-000291,-0.554919963352
ACH-000293,-0.7956769255789999
ACH-000294,-0.903161999472
ACH-000295,-0.479259167279
ACH-000296,-0.332351576915
ACH-000302,-0.37795769598300005
ACH-000304,-0.833071154721
ACH-000307,-0.615853121175
ACH-000308,-0.502374964911
ACH-000310,-0.889485056883
ACH-000311,-0.76289735842
ACH-000312,-0.603030141997
ACH-000315,-0.49063540489600005
ACH-000316,-0.661738063778
ACH-000317,-0.9613716139920001
ACH-000318,-0.52239312471
ACH-000319,-0.649886834909
ACH-000320,-0.506675342507
ACH-000322,-0.513173156822
ACH-000323,-0.652396172439
ACH-000324,-0.51023954213
ACH-000329,-0.8479814113840001
ACH-000330,-0.556063020481
ACH-000331,-0.46700856893200005
ACH-000332,-0.539599746079
ACH-000334,-0.8956163809029999
ACH-000335,-0.12401737392699999
ACH-000336,-0.6968390840809999
ACH-000337,-0.5841079994
ACH-000339,-0.6036099602589999
ACH-000341,-0.7117519853669999
ACH-000348,-0.717466501848
ACH-000350,-0.7394653874070001
ACH-000352,-0.421492834369
ACH-000356,-0.575498923407
ACH-000361,-0.15633194814
ACH-000362,-0.969606858568
ACH-000363,-0.734393945744
ACH-000364,-0.5757143408209999
ACH-000365,-0.766236626375
ACH-000366,-0.650971147142
ACH-000368,-0.296554638503
ACH-000374,-0.9962789514820001
ACH-000375,-0.49878039171599997
ACH-000376,-0.390335321964
ACH-000381,-0.373141866145
ACH-000383,-0.75094650685
ACH-000387,-0.9059384366779999
ACH-000389,-0.6956225537209999
ACH-000390,-0.718260979465
ACH-000393,-0.6654808650190001
ACH-000395,-0.704463850017
ACH-000397,-0.793634242919
ACH-000401,-0.781826248947
ACH-000402,-0.273029702196
ACH-000403,-0.7908820929639999
ACH-000404,-0.42222138384400004
ACH-000406,-0.832248732703
ACH-000407,-0.556300734089
ACH-000408,-0.612336621618
ACH-000410,-0.371894173579
ACH-000411,-0.36099182412
ACH-000414,-0.7194668975890001
ACH-000415,-0.7176052862540001
ACH-000416,-0.46246718321400004
ACH-000420,-0.44758080415
ACH-000421,-0.54191198459
ACH-000424,-0.7601410109960001
ACH-000425,-0.458504566239
ACH-000426,-1.24628458611
ACH-000427,-0.488972971052
ACH-000433,-0.228030606423
ACH-000436,-0.909201972957
ACH-000444,-0.6046140525829999
ACH-000445,-0.402382551299
ACH-000448,-0.726436044553
ACH-000450,-1.14431838411
ACH-000452,-0.7240968978829999
ACH-000454,-0.805946743117
ACH-000458,-0.5806487283039999
ACH-000459,-0.832781535685
ACH-000460,-0.591761165211
ACH-000461,-0.517305602166
ACH-000463,-0.508896640001
ACH-000464,-0.658972681936
