,DMRT2 (10655)
ACH-000004,0.301253857939
ACH-000007,0.5807877761399999
ACH-000009,0.440339600454
ACH-000011,0.509875636523
ACH-000012,0.48691726973099997
ACH-000013,0.552068775278
ACH-000014,0.559846932533
ACH-000015,0.41585397410999997
ACH-000017,0.608624469998
ACH-000018,0.47411975297799996
ACH-000019,0.533850850932
ACH-000021,0.5113933708
ACH-000022,0.42678514585999994
ACH-000025,0.31238284224
ACH-000028,0.38305137491400004
ACH-000030,0.456667116308
ACH-000035,0.520759129599
ACH-000036,0.34094408649400004
ACH-000037,0.204982577984
ACH-000039,0.423098297836
ACH-000040,0.586477257834
ACH-000041,0.527056601841
ACH-000042,0.626215056192
ACH-000045,0.470707674025
ACH-000047,0.348757312862
ACH-000052,0.108530674035
ACH-000053,0.452747158944
ACH-000054,0.379325103573
ACH-000055,0.211504237448
ACH-000060,0.445118438467
ACH-000067,0.24171130007
ACH-000070,0.139937697902
ACH-000075,0.282833656334
ACH-000078,0.29495179981499997
ACH-000082,0.573607334695
ACH-000085,0.494644639559
ACH-000086,0.388883070976
ACH-000087,-0.0393872935996
ACH-000092,0.38757381236
ACH-000095,0.529263330268
ACH-000097,0.510984148639
ACH-000098,0.358404706822
ACH-000099,0.323614619075
ACH-000108,0.45577683436599997
ACH-000113,0.361646971722
ACH-000115,0.441584697516
ACH-000116,0.506892434634
ACH-000118,0.606637213734
ACH-000120,0.565886156115
ACH-000123,0.499698671501
ACH-000127,0.448909298981
ACH-000128,0.350793139064
ACH-000132,0.2519271212
ACH-000133,0.505772097539
ACH-000137,0.626189552474
ACH-000138,0.516304373832
ACH-000142,0.5540418367459999
ACH-000143,0.425389317307
ACH-000146,0.254101587174
ACH-000148,0.38910882843500005
ACH-000150,0.451375661875
ACH-000152,0.488872927959
ACH-000153,0.11010547045999998
ACH-000159,0.531056668022
ACH-000160,0.42675337965000004
ACH-000163,0.434977719181
ACH-000167,0.45048536693
ACH-000168,0.31912489307799996
ACH-000169,0.430558045065
ACH-000178,0.41035710707199996
ACH-000182,0.37872910667599996
ACH-000183,0.366990563915
ACH-000188,0.469853534201
ACH-000189,0.405833868829
ACH-000190,0.21715368445099997
ACH-000198,0.39403225738799996
ACH-000204,0.419412607592
ACH-000206,0.370537207617
ACH-000207,0.545240221821
ACH-000211,0.35662974359
ACH-000215,0.37711349357100005
ACH-000221,0.37979980418700005
ACH-000222,0.6288250307600001
ACH-000223,0.416601021163
ACH-000226,0.370829120287
ACH-000227,0.44011736662699996
