,PSMD4 (5710)
ACH-000460,-1.35378912316
ACH-000461,-1.4734549091299998
ACH-000463,-1.38020038761
ACH-000464,-1.6488312938299998
ACH-000466,-1.72131063287
ACH-000467,-1.36363462201
ACH-000468,-1.57447183861
ACH-000469,-1.60599957628
ACH-000470,-0.837571299146
ACH-000471,-1.33411181683
ACH-000472,-1.62097087171
ACH-000473,-1.3817232371200001
ACH-000475,-1.355131039
ACH-000476,-1.26889497103
ACH-000477,-0.909987996493
ACH-000480,-1.1948288808299998
ACH-000481,-1.5213478213299998
ACH-000483,-1.48973005958
ACH-000484,-1.61297542804
ACH-000485,-1.5283371413100002
ACH-000486,-1.36615170334
ACH-000487,-1.2600403086799998
ACH-000488,-1.21326391277
ACH-000490,-1.31373720825
ACH-000491,-1.75923059599
ACH-000495,-1.28560205722
ACH-000496,-1.31787056821
ACH-000499,-1.25966458079
ACH-000500,-1.4229962446200002
ACH-000502,-1.4002716128600001
ACH-000503,-1.21953040673
ACH-000505,-1.18873829853
ACH-000507,-1.56855954162
ACH-000510,-1.38232529583
ACH-000511,-1.20112398754
ACH-000512,-1.4849051816499999
ACH-000516,-1.7733489062999999
ACH-000517,-1.6595127191999999
ACH-000518,-1.2273082180700001
ACH-000520,-1.52914655917
ACH-000521,-1.3900082938999998
ACH-000522,-1.60401915792
ACH-000524,-1.36496638135
ACH-000527,-1.42645801614
ACH-000528,-1.3631067623299997
ACH-000537,-1.45374034134
ACH-000541,-1.5347730513100002
ACH-000542,-1.55564139882
ACH-000544,-1.3134467186
ACH-000545,-1.37507033632
ACH-000547,-1.42237869565
ACH-000548,-1.54476798943
ACH-000549,-1.4156743547600001
ACH-000550,-1.6910917315600003
ACH-000552,-1.40245104598
ACH-000556,-1.34685965739
ACH-000557,-1.56813677599
ACH-000570,-1.27295697824
ACH-000571,-2.0018275290000003
ACH-000573,-1.0762689539399999
ACH-000576,-1.2620131356
ACH-000580,-1.84739741749
ACH-000584,-1.5224864605700001
ACH-000585,-1.35085240391
ACH-000588,-1.19460637954
ACH-000589,-1.18967352765
ACH-000591,-1.23478195961
ACH-000593,-1.2048176500299999
ACH-000600,-1.41572308076
ACH-000601,-1.45340865305
ACH-000604,-1.6167131141799997
ACH-000605,-1.48673485107
ACH-000606,-1.3578903513
ACH-000608,-1.2844682916799999
ACH-000614,-1.4457047770299998
ACH-000616,-1.5586047835699999
ACH-000618,-1.47997240958
ACH-000619,-1.44079793773
ACH-000620,-1.30298452944
ACH-000621,-1.6243669473
ACH-000622,-0.870358144982
ACH-000623,-1.60149356102
ACH-000624,-1.46007085062
ACH-000627,-1.52897421247
ACH-000630,-1.25207207865
ACH-000632,-1.39426346079
ACH-000633,-1.26303880081
ACH-000637,-1.1768603268100002
ACH-000638,-1.4281157310400001
ACH-000646,-1.68473794259
ACH-000647,-1.3744234371899997
ACH-000648,-1.34021060035
ACH-000649,-1.15975537863
ACH-000651,-1.28138080824
ACH-000652,-1.20820491335
ACH-000653,-1.5212588252
ACH-000657,-1.4543487411899998
ACH-000658,-1.6132412123100002
ACH-000661,-1.32157203396
ACH-000662,-1.92227656426
ACH-000663,-1.7230635967099996
ACH-000665,-1.2538849109999999
ACH-000671,-1.55470401789
ACH-000673,-1.35502372137
ACH-000676,-1.44689639299
ACH-000677,-1.59683530721
ACH-000681,-1.61681757193
ACH-000682,-1.4313783246599998
ACH-000683,-1.27262927472
ACH-000684,-1.3347950293700002
ACH-000688,-1.61421444588
ACH-000693,-1.4078122555500001
ACH-000694,-1.3948454374700001
ACH-000695,-1.14693488809
ACH-000696,-1.4221468640000001
ACH-000697,-1.4267815301299998
ACH-000699,-1.61236244314
ACH-000701,-1.35823542774
ACH-000706,-1.3062230400200001
ACH-000711,-1.4472743896
ACH-000713,-1.5165723266600002
ACH-000714,-1.2965354496400001
ACH-000718,-1.3812419179100002
ACH-000720,-1.54670764773
ACH-000721,-1.54562821062
ACH-000724,-1.32424497543
ACH-000725,-1.57875117752
ACH-000732,-1.30987679927
ACH-000734,-1.5546888997
ACH-000735,-1.42593711799
ACH-000736,-1.7510166925200001
ACH-000738,-1.4063918157799997
ACH-000746,-1.25095156006
ACH-000747,-1.38978320735
ACH-000748,-1.3790796493900002
ACH-000753,-1.1861078784
ACH-000756,-1.5308912817200002
ACH-000757,-1.50068601859
ACH-000758,-1.41299138988
ACH-000760,-0.848916570997
ACH-000763,-1.3942166063299999
ACH-000764,-1.50989637247
ACH-000765,-1.51503081105
ACH-000766,-1.55490271481
ACH-000767,-1.15756510105
ACH-000768,-1.39442397866
ACH-000769,-1.29648773769
ACH-000770,-1.70544170676
ACH-000771,-1.42805827326
ACH-000773,-1.5969309495800001
ACH-000776,-1.4606487367399998
ACH-000777,-1.54072749664
ACH-000778,-1.31457257394
ACH-000781,-1.39396049659
ACH-000782,-1.45959601429
ACH-000783,-1.62733535287
ACH-000784,-1.39866363414
ACH-000785,-1.79614330567
ACH-000787,-1.33164624562
ACH-000788,-1.23703994663
ACH-000791,-1.45864099754
ACH-000792,-1.55782395223
ACH-000794,-1.40500491067
ACH-000796,-1.30805110279
ACH-000799,-1.29951101451
ACH-000800,-1.3165055864
ACH-000802,-1.32180193146
ACH-000804,-1.60975766449
ACH-000805,-1.23207816417
ACH-000809,-1.55834018732
ACH-000810,-1.5061466297100001
ACH-000811,-0.975616830317
ACH-000817,-1.15526571067
ACH-000819,-1.51828185988
ACH-000820,-1.47982295294
ACH-000821,-1.5131742337799998
ACH-000822,-2.00256589577
ACH-000823,-1.2365182098899998
ACH-000824,-0.8525784656829999
ACH-000827,-1.3709207622400001
ACH-000829,-1.3618669883
ACH-000831,-1.41477801442
ACH-000832,-1.49768893287
ACH-000833,-1.4794085510100001
ACH-000834,-1.2119828189700002
ACH-000835,-1.12838608704
ACH-000836,-1.70333711197
ACH-000837,-1.27658395309
ACH-000838,-1.19161110521
ACH-000839,-1.37131427974
ACH-000840,-1.6119934917299998
ACH-000841,-1.2230846851700001
ACH-000843,-1.3178025577899999
ACH-000846,-1.3091416922399999
ACH-000847,-1.51872748339
ACH-000848,-1.20232510581
ACH-000849,-1.36784688396
ACH-000851,-1.50643333795
ACH-000855,-1.2325243737
ACH-000856,-1.52181785985
ACH-000858,-1.65470735482
ACH-000859,-1.2708069229
ACH-000861,-1.6623349075
ACH-000862,-1.31685475624
ACH-000865,-1.1366968435299998
ACH-000866,-1.17474953834
ACH-000867,-1.1151245475700002
ACH-000869,-1.4307646875400002
ACH-000872,-1.15271599317
ACH-000873,-1.3747438841
ACH-000876,-1.57349279641
ACH-000878,-1.41559020744
ACH-000880,-1.44367800785
ACH-000881,-1.51599851555
ACH-000882,-1.26060055689
ACH-000884,-1.38708228398
ACH-000885,-1.67308818012
ACH-000887,-1.24319704934
ACH-000888,-1.6776719483200002
ACH-000889,-1.39006694382
ACH-000890,-1.55395379585
ACH-000896,-1.59027718169
ACH-000898,-1.4053961602200002
ACH-000900,-1.6688667285499998
ACH-000901,-1.18593436908
ACH-000905,-1.41568693678
ACH-000906,-1.4566028187600002
ACH-000907,-1.36355348572
ACH-000910,-1.21593722577
ACH-000911,-1.4110910871899998
ACH-000912,-1.4161746505000001
ACH-000913,-1.7331035539900002
ACH-000915,-1.44192113877
ACH-000916,-1.25111587032
ACH-000917,-1.39744868139
ACH-000921,-1.38200685016
ACH-000924,-1.4314351623600001
ACH-000926,-1.37273644689
ACH-000928,-1.55418695334
ACH-000929,-1.2497077866700002
ACH-000932,-1.6725074122
ACH-000935,-1.24791194989
ACH-000936,-1.52522804488
ACH-000937,-1.1804253081
ACH-000938,-1.32611933528
ACH-000939,-1.64213013886
ACH-000941,-1.6303548821
ACH-000943,-1.6479363462099998
ACH-000946,-1.4723556951199999
ACH-000947,-1.35397956937
ACH-000948,-1.30515004841
ACH-000950,-1.41673314959
ACH-000953,-1.66288819266
ACH-000957,-1.49300042398
ACH-000958,-1.4459297314700001
ACH-000960,-1.36065823183
ACH-000963,-1.64908159859
ACH-000968,-1.31630394069
ACH-000969,-1.44328724954
ACH-000973,-1.4428154935799997
ACH-000974,-1.47310128467
ACH-000975,-1.26060452261
ACH-000976,-1.4162428747600002
ACH-000978,-0.435907267552
ACH-000980,-1.0604260434200001
ACH-000984,-1.54538380414
ACH-000986,-1.49919215933
ACH-000988,-1.25856499175
ACH-000993,-1.60592436514
ACH-000994,-1.61825554669
ACH-000996,-1.63104678549
ACH-001001,-1.28087898826
ACH-001020,-1.6090078711200002
ACH-001028,-1.34638942524
ACH-001031,-1.5135832674399998
ACH-001038,-1.41951206336
ACH-001048,-1.1174356680700002
ACH-001050,-1.18326582409
ACH-001053,-1.11672602322
ACH-001054,-1.5275776367899998
ACH-001061,-1.51686069384
ACH-001067,-1.55712665014
ACH-001075,-1.48776774902
ACH-001096,-1.35393601351
ACH-001128,-1.75378105599
ACH-001134,-1.55554267898
ACH-001151,-1.40684025213
ACH-001163,-1.42245709264
ACH-001164,-1.60229341335
ACH-001173,-1.46486133794
ACH-001183,-1.4091030396700002
ACH-001184,-1.41475519177
ACH-001190,-1.1987944422399999
ACH-001192,-1.33929889352
ACH-001193,-1.37519595561
ACH-001196,-1.28163676308
ACH-001197,-1.4354098838799998
ACH-001205,-1.3606784886899999
ACH-001211,-1.1300781736299998
ACH-001212,-1.74522688635
ACH-001228,-1.15756158441
ACH-001232,-1.25529084092
ACH-001239,-1.7275348959
ACH-001274,-1.6943885456099999
ACH-001275,-1.8421065558099996
ACH-001277,-1.4808104823600001
ACH-001278,-1.4711967150999998
ACH-001280,-0.97847534427
ACH-001283,-1.29959533499
ACH-001289,-1.4471662647699999
ACH-001295,-1.32683056968
ACH-001300,-1.27788795299
