,FAM86B1 (85002)
ACH-000461,-1.1335727507200002
ACH-000463,-0.7394568362970001
ACH-000464,-1.07577919439
ACH-000466,-1.38513363627
ACH-000467,-1.11732522548
ACH-000468,-0.980943000533
ACH-000469,-0.77391812494
ACH-000470,-0.8871820388200001
ACH-000471,-0.8265347775059999
ACH-000472,-0.9006375766150001
ACH-000473,-0.864391860367
ACH-000475,-0.842360996287
ACH-000476,-0.580254435876
ACH-000477,-0.941576084275
ACH-000480,-0.997763591874
ACH-000481,-1.2743305405
ACH-000483,-0.8946559683740001
ACH-000484,-0.8266300001620001
ACH-000485,-0.979437115516
ACH-000486,-0.881474336884
ACH-000487,-0.860006467052
ACH-000488,-0.9257685861280001
ACH-000490,-0.8354841961730001
ACH-000491,-1.00040291074
ACH-000495,-0.819317284233
ACH-000496,-1.05495182612
ACH-000499,-0.840910663133
ACH-000500,-1.1622584284100002
ACH-000502,-0.894466513194
ACH-000503,-1.01656241442
ACH-000505,-0.8408781342749999
ACH-000507,-1.13891033383
ACH-000510,-0.8013372679459999
ACH-000511,-0.750267859924
ACH-000512,-0.407706892592
ACH-000516,-0.6931951077449999
ACH-000517,-0.8374401486759999
ACH-000518,-0.692488930895
ACH-000520,-1.0762983315999999
ACH-000521,-0.855291286403
ACH-000522,-0.788318620466
ACH-000524,-0.707075707694
ACH-000527,-0.966244074412
ACH-000528,-0.9949185478650001
ACH-000537,-0.810197734039
ACH-000541,-0.640865023542
ACH-000542,-0.833632195589
ACH-000544,-0.9370125191740001
ACH-000545,-0.8257572101189999
ACH-000547,-1.0330103002600002
ACH-000548,-1.15456198625
ACH-000549,-0.8595855919200001
ACH-000550,-0.8470045523399999
ACH-000552,-0.936146820139
ACH-000556,-0.8199696571840001
ACH-000557,-1.13101139346
ACH-000570,-0.849362916312
ACH-000571,-1.00405937619
ACH-000573,-0.960798754179
ACH-000576,-0.777067020917
ACH-000580,-1.09799576756
ACH-000584,-0.764067922907
ACH-000585,-0.7618060190989999
ACH-000588,-0.865649374655
ACH-000589,-1.04374185174
ACH-000591,-0.848760094927
ACH-000593,-0.844377346485
ACH-000600,-0.922117091012
ACH-000601,-0.9835667179790001
ACH-000604,-1.13585052669
ACH-000605,-0.644614443434
ACH-000606,-0.864241006726
ACH-000608,-0.7185091128479999
ACH-000614,-0.757273793491
ACH-000616,-0.937792884783
ACH-000618,-0.8849200658930001
ACH-000619,-0.711796500372
ACH-000620,-0.836566040282
ACH-000621,-1.00874310376
ACH-000622,-0.8202408112369999
ACH-000623,-1.02953745153
ACH-000624,-0.76818554167
ACH-000627,-0.803498269672
ACH-000630,-0.9700620572030001
ACH-000632,-0.941544632199
ACH-000633,-1.1503688651200001
ACH-000637,-0.7766973988120001
ACH-000638,-0.837549359406
ACH-000646,-0.7123557590790001
ACH-000647,-0.839814809991
ACH-000648,-1.1628965010899999
ACH-000649,-0.862718529999
ACH-000651,-0.765807211092
ACH-000652,-0.8293936338689999
ACH-000653,-0.914569165811
ACH-000657,-0.752898528216
ACH-000658,-1.01916972281
ACH-000661,-1.02306602942
ACH-000662,-0.8522292040289999
ACH-000663,-0.7642462201450001
ACH-000665,-0.900813062108
ACH-000671,-1.04964902068
ACH-000673,-0.802255560918
ACH-000676,-0.598413644401
ACH-000677,-0.805125569497
ACH-000681,-0.938614796444
ACH-000682,-0.973116325897
ACH-000683,-1.0060427788
ACH-000684,-0.7083060569149999
ACH-000688,-0.755983917332
ACH-000693,-0.7980178473080001
ACH-000694,-0.8748742679260001
ACH-000695,-0.712800063225
ACH-000696,-0.8459359125570001
ACH-000697,-0.8116124826980001
ACH-000699,-1.01989771894
ACH-000701,-0.933869956785
ACH-000706,-0.9197480324930001
ACH-000711,-0.847238593683
ACH-000713,-0.7134158212809999
ACH-000714,-1.09998816926
ACH-000718,-0.890833851024
ACH-000720,-1.13869812535
ACH-000721,-1.02683467475
ACH-000724,-1.09177325965
ACH-000725,-0.866700982192
ACH-000732,-0.979856703749
ACH-000734,-0.988690418854
ACH-000735,-0.777315922811
ACH-000736,-1.01722118279
ACH-000738,-0.9806161795270001
ACH-000746,-0.838712529247
ACH-000747,-0.9498702013689999
ACH-000748,-0.898602164437
ACH-000753,-0.9167329596100001
ACH-000756,-0.908644442599
ACH-000757,-0.909449041912
ACH-000758,-1.0464247403799998
ACH-000760,-0.8463228268359999
ACH-000763,-0.992192811189
ACH-000764,-1.06350609599
ACH-000765,-0.7322330188330001
ACH-000766,-1.12753492565
ACH-000767,-0.8404638925519999
ACH-000768,-0.82796204074
ACH-000769,-0.766001122873
ACH-000770,-0.970783899419
ACH-000771,-0.988523982112
ACH-000773,-0.668810619079
ACH-000776,-0.9421903622040001
ACH-000777,-0.871951799067
ACH-000778,-1.38108338994
ACH-000781,-0.918737725155
ACH-000782,-0.8752094414499999
ACH-000783,-0.978559476454
ACH-000784,-0.830975553669
ACH-000785,-0.9233560780600001
ACH-000787,-0.8911008749429999
ACH-000788,-0.7634340912530001
ACH-000791,-0.850405651474
ACH-000792,-1.0385917517799998
ACH-000794,-0.885392480874
ACH-000796,-0.867257958769
ACH-000799,-0.694233804455
ACH-000800,-1.46527870713
ACH-000802,-0.932195934798
ACH-000804,-1.06152045225
ACH-000805,-1.01281156674
ACH-000809,-0.888087017972
ACH-000810,-0.555754921719
ACH-000811,-0.824989223186
ACH-000817,-1.0814868582
ACH-000819,-0.800190552389
ACH-000820,-0.43945426669699994
ACH-000821,-1.1449374611299998
ACH-000822,-1.01679987588
ACH-000823,-0.594621027281
ACH-000824,-0.8539363944789999
ACH-000827,-0.771871211708
ACH-000829,-1.10634327079
ACH-000831,-1.02573202105
ACH-000832,-1.1229018207700001
ACH-000833,-0.421020355283
ACH-000834,-0.9725881126579999
ACH-000835,-0.8077506656129999
ACH-000836,-0.909282052536
ACH-000837,-0.84251400848
ACH-000838,-0.566816496996
ACH-000839,-1.03385978776
ACH-000840,-1.08267326734
ACH-000841,-0.83109356825
ACH-000843,-0.932591742515
ACH-000846,-0.992239537721
ACH-000847,-0.44993854353699997
ACH-000848,-0.9835693220280001
ACH-000849,-0.976674989295
ACH-000851,-0.619857441538
ACH-000855,-0.932549806515
ACH-000856,-0.868561642365
ACH-000858,-0.985821348872
ACH-000859,-1.0313822604
ACH-000861,-1.0490910583700002
ACH-000862,-0.827820374531
ACH-000865,-0.8638091279000001
ACH-000866,-0.8822082466689999
ACH-000867,-0.8600875237369999
ACH-000869,-0.64949741793
ACH-000872,-0.9142650786900001
ACH-000873,-0.628704487887
ACH-000876,-0.7548822049580001
ACH-000878,-1.0234348272
ACH-000880,-0.829209940151
ACH-000881,-0.834234788069
ACH-000882,-0.9352230278299999
ACH-000884,-0.9596788386480001
ACH-000885,-0.8638456123289999
ACH-000887,-0.8812728741949999
ACH-000888,-0.806541571498
ACH-000889,-0.8317295122280001
ACH-000890,-0.96325163111
ACH-000896,-0.8745417432160001
ACH-000898,-0.8949514244140001
ACH-000900,-0.786206767569
ACH-000901,-1.06649417894
ACH-000905,-0.98526416472
ACH-000906,-0.839785298232
ACH-000907,-0.8619256347740001
ACH-000910,-0.839279744566
ACH-000911,-0.9223267104940001
ACH-000912,-0.89742715236
ACH-000913,-0.8879965520299999
ACH-000915,-0.768163809701
ACH-000916,-1.03310617021
ACH-000917,-0.807544921397
ACH-000921,-0.7232778820710001
ACH-000924,-0.9806707179970001
ACH-000926,-0.710374469737
ACH-000928,-0.37985173052599996
ACH-000929,-0.7163624302509999
ACH-000932,-0.9052898964820001
ACH-000935,-0.9185894635899999
ACH-000936,-0.806673029394
ACH-000937,-1.02927819826
ACH-000938,-0.864312685663
ACH-000939,-0.7843995004000001
ACH-000941,-0.664167269722
ACH-000943,-1.054452668
ACH-000946,-0.761789504222
ACH-000947,-0.975801831541
ACH-000948,-0.7437716160950001
ACH-000950,-0.6532351891929999
ACH-000953,-1.03559769144
ACH-000957,-1.1430223465
ACH-000958,-0.647764005548
ACH-000960,-0.9948609133220001
ACH-000963,-1.1224219416399999
ACH-000968,-0.9453253916500001
ACH-000969,-1.0286836883
ACH-000973,-0.863410667301
ACH-000974,-0.836382513567
ACH-000975,-0.8683004859190001
ACH-000976,-0.728202921549
ACH-000978,-1.09274398669
ACH-000980,-0.793133946358
ACH-000984,-0.806277700987
ACH-000986,-0.695463826705
ACH-000988,-0.8409509874940001
ACH-000993,-0.741760199572
ACH-000994,-1.07049168544
ACH-000996,-0.889882917563
ACH-001001,-0.8235238488269999
ACH-001020,-0.643619829365
ACH-001028,-0.91923820691
ACH-001031,-0.931090098468
ACH-001038,-0.896165184475
ACH-001048,-0.972981182705
ACH-001050,-0.586920892229
ACH-001053,-1.31152253592
ACH-001054,-0.953250904057
ACH-001061,-0.8984878171940001
ACH-001067,-0.8001679418600001
ACH-001075,-0.990593787801
ACH-001096,-0.848896470423
ACH-001128,-1.0669808232100002
ACH-001134,-0.8084429549590001
ACH-001151,-0.783502501274
ACH-001163,-0.8617884440710001
ACH-001164,-0.8595869318330001
ACH-001173,-0.894973002241
ACH-001183,-0.6759224160709999
ACH-001184,-0.868170939018
ACH-001190,-0.794404291295
ACH-001192,-0.9281225866830001
ACH-001193,-1.07363209058
ACH-001196,-0.8240872444930001
ACH-001197,-0.911735558454
ACH-001205,-0.7157777769820001
ACH-001211,-0.756324832933
ACH-001212,-1.10608474828
ACH-001228,-1.33003864093
ACH-001232,-0.8342884424079999
ACH-001239,-0.968215882545
ACH-001274,-1.0731105920100001
ACH-001275,-0.862271330074
ACH-001277,-0.81084321393
ACH-001278,-1.2218931507600002
ACH-001280,-0.9364583304719999
ACH-001283,-0.5778616296419999
ACH-001289,-1.06239959095
ACH-001295,-0.83868902302
ACH-001300,-0.817774798162
ACH-001301,-0.853500513734
ACH-001302,-0.9308686306039999
ACH-001303,-1.18394920486
ACH-001306,-0.749314078151
ACH-001318,-0.896095015975
ACH-001322,-0.927343832901
ACH-001328,-1.0375167014700002
ACH-001332,-0.722466904895
ACH-001333,-0.9645090193510001
ACH-001336,-0.86737058115
ACH-001340,-0.869747231595
ACH-001346,-0.882313400126
ACH-001353,-0.850632558653
ACH-001354,-1.34016743609
ACH-001367,-0.591978661715
ACH-001368,-0.868836328758
ACH-001374,-0.953189688697
ACH-001375,-0.929704000318
ACH-001377,-0.761443392082
ACH-001380,-0.840734732129
ACH-001391,-1.0034330525
ACH-001407,-0.876187605783
ACH-001408,-1.1060611510299998
ACH-001413,-0.9389683985420001
ACH-001430,-0.28723735243500004
ACH-001431,-1.05846688278
ACH-001450,-0.8951209661759999
ACH-001496,-1.0890685398200002
ACH-001500,-0.762070557195
ACH-001521,-0.7803806629860001
ACH-001523,-0.963101820053
ACH-001532,-0.8619205064309999
ACH-001536,-0.917050505837
ACH-001550,-0.9650551596960001
ACH-001552,-0.7283553436139999
ACH-001554,-0.871767164485
ACH-001645,-1.005482677
ACH-001654,-0.929709440564
ACH-001715,-0.815315496331
ACH-001735,-0.7741603956290001
ACH-001736,-0.960321750072
ACH-001737,-0.453570760879
ACH-001740,-0.953906036069
ACH-001745,-1.04566679103
ACH-001750,-0.847309359761
ACH-001765,-0.9476360065620001
ACH-001956,-0.974590716505
ACH-001957,-0.921820385229
