,MRTO4 (51154)
ACH-000004,-0.705524743577
ACH-000007,-0.963997088275
ACH-000009,-1.40902438141
ACH-000011,-1.37086943024
ACH-000012,-1.00619777101
ACH-000013,-0.8534001322229999
ACH-000014,-1.4794223962200002
ACH-000015,-0.8938177165710001
ACH-000017,-1.2192317081
ACH-000018,-1.24629054087
ACH-000019,-0.722285561189
ACH-000021,-1.01438762343
ACH-000022,-1.17145600708
ACH-000025,-1.51251097991
ACH-000028,-0.893711550211
ACH-000030,-1.2218186556
ACH-000035,-1.4047353621399998
ACH-000036,-1.35332452447
ACH-000037,-1.80876065025
ACH-000039,-1.02559225199
ACH-000040,-0.7352786898170001
ACH-000041,-0.975894025688
ACH-000042,-0.967207805873
ACH-000045,-1.01502302309
ACH-000047,-0.8210168919949999
ACH-000052,-1.1571978777
ACH-000053,-0.952854837586
ACH-000054,-1.1512182301
ACH-000055,-1.26766259518
ACH-000060,-1.53880467127
ACH-000067,-0.966350860123
ACH-000070,-1.08237784714
ACH-000075,-1.2813124502200002
ACH-000078,-1.57157363697
ACH-000082,-0.728187608031
ACH-000085,-0.792304182612
ACH-000086,-1.3290379647200001
ACH-000087,-0.592287280441
ACH-000092,-1.0766162175299998
ACH-000095,-1.42170875759
ACH-000097,-1.42158165777
ACH-000098,-0.654378068066
ACH-000099,-1.5142645622600002
ACH-000108,-0.9750571222
ACH-000113,-1.2606089458
ACH-000115,-0.45623803758299997
ACH-000116,-1.1777082608299998
ACH-000118,-0.7195419753389999
ACH-000120,-1.1793629372499999
ACH-000123,-1.29728539792
ACH-000127,-1.23136962168
ACH-000128,-1.02046800374
ACH-000132,-1.13494199069
ACH-000133,-0.967698355144
ACH-000137,-1.6148423867
ACH-000138,-1.2577982603
ACH-000142,-1.26116491733
ACH-000143,-0.7959005394840001
ACH-000146,-1.07349478078
ACH-000148,-0.9871065200460001
ACH-000150,-0.851521383143
ACH-000152,-1.17156548096
ACH-000153,-1.2837376670799998
ACH-000159,-1.3014738558399999
ACH-000160,-1.19731372673
ACH-000163,-1.2205806320200001
ACH-000167,-1.02994218379
ACH-000168,-1.13847167902
ACH-000169,-0.827221965319
ACH-000178,-0.767368912486
ACH-000182,-1.11252419875
ACH-000183,-0.9111662438
ACH-000188,-1.31064919859
ACH-000189,-1.3255720280299998
ACH-000190,-1.2608448538700001
ACH-000198,-1.35113560391
ACH-000204,-1.00329328825
ACH-000206,-1.35681054815
ACH-000207,-1.1644142371200001
ACH-000211,-1.0631584431399999
ACH-000215,-1.3629404941999999
ACH-000221,-1.30548782781
ACH-000222,-1.1589871035500001
ACH-000223,-0.584050721849
ACH-000226,-0.866349242797
ACH-000227,-1.0700191335
ACH-000228,-0.5218096786
ACH-000231,-1.12205055721
ACH-000232,-0.786942515113
ACH-000233,-0.835058875981
ACH-000234,-1.0197773677600002
ACH-000235,-1.1184489880600001
ACH-000237,-1.43587618958
ACH-000238,-1.5847855226899998
ACH-000243,-1.1526445555299998
ACH-000244,-1.1741333312200002
ACH-000246,-1.47778993988
ACH-000248,-1.07904538646
ACH-000250,-1.2151953726
ACH-000251,-0.8794944459370001
ACH-000253,-0.889697208246
ACH-000255,-1.3398570627
ACH-000256,-1.05256653474
ACH-000257,-0.7420173213600001
ACH-000258,-0.898153554446
ACH-000259,-0.9678671346100001
ACH-000260,-0.636197414383
ACH-000261,-1.10507720616
ACH-000262,-1.28281460645
ACH-000263,-1.1508222079200001
ACH-000264,-0.541882922899
ACH-000265,-1.36003003238
ACH-000266,-1.09686808013
ACH-000272,-1.4800564135299998
ACH-000273,-0.8820814985709999
ACH-000274,-0.835017628795
ACH-000277,-0.595031580502
ACH-000278,-1.05751642709
ACH-000279,-1.0091680676500001
ACH-000280,-1.4910565259200002
ACH-000281,-1.49365118717
ACH-000288,-0.8407114681569999
ACH-000291,-0.850217641557
ACH-000293,-0.599007722801
ACH-000294,-1.62189592963
ACH-000295,-1.0268026057200001
ACH-000296,-1.41383411021
ACH-000302,-1.84154383572
ACH-000304,-0.8458854868469999
ACH-000307,-1.23301047811
ACH-000308,-0.8629606613959999
ACH-000310,-1.26987660922
ACH-000311,-0.869858529077
ACH-000312,-0.912897416461
ACH-000315,-1.29520362003
ACH-000316,-1.8352504397
ACH-000317,-1.25445347852
ACH-000318,-1.11955522058
ACH-000319,-0.865082448797
ACH-000320,-1.37583360829
ACH-000322,-1.00725464238
ACH-000323,-0.689245613846
ACH-000324,-1.4105532361300002
ACH-000329,-0.9316002395649999
ACH-000330,-1.09204159775
ACH-000331,-1.18861118516
ACH-000332,-1.35331405378
ACH-000334,-1.12613426093
ACH-000335,-1.12539335031
ACH-000336,-1.1770016877200002
ACH-000337,-0.836471249607
ACH-000339,-0.917233936478
ACH-000341,-1.11772433992
ACH-000348,-0.961455292941
ACH-000350,-1.2952986555
ACH-000352,-0.9421492835200002
ACH-000356,-0.9796362531880001
ACH-000361,-1.05586004801
ACH-000362,-1.4728292197
ACH-000363,-0.8247837774019999
ACH-000364,-1.17554475617
ACH-000365,-1.06671073656
ACH-000366,-1.16535424217
ACH-000368,-1.1557933385999999
ACH-000374,-1.08175206295
ACH-000375,-1.49716543067
ACH-000376,-1.1021656789299998
ACH-000381,-1.07675009429
ACH-000383,-1.01090329613
ACH-000387,-1.32961219855
ACH-000389,-1.0512982982899999
ACH-000390,-0.764948164824
ACH-000393,-1.08099120543
ACH-000395,-1.01587930969
ACH-000397,-0.946513567587
ACH-000401,-0.836432243585
ACH-000402,-1.17305861206
ACH-000403,-0.847791208374
ACH-000404,-1.30989746025
ACH-000406,-1.21637938562
ACH-000407,-1.3609022886700002
ACH-000408,-1.2423636419
ACH-000410,-1.14977606164
ACH-000411,-1.1640354593100002
ACH-000414,-1.11739984814
ACH-000415,-1.11524633672
ACH-000416,-1.1700160989100001
ACH-000420,-1.17137690037
ACH-000421,-1.10075333069
ACH-000424,-1.0633305268000002
ACH-000425,-0.7520381339769999
ACH-000426,-0.367742237522
ACH-000427,-0.744950141635
ACH-000433,-1.48638683671
ACH-000436,-0.967512933566
ACH-000444,-1.00002521836
ACH-000445,-1.33483701524
ACH-000448,-1.0434210311499998
ACH-000450,-1.4003515742299997
ACH-000452,-1.2239191924400001
ACH-000454,-1.1602180281799999
ACH-000458,-0.920560434782
ACH-000459,-1.4576736872999998
ACH-000460,-1.00367318895
ACH-000461,-0.814734258656
ACH-000463,-1.11757125067
ACH-000464,-1.1643481822200001
ACH-000466,-1.00102666002
ACH-000467,-1.08633320981
ACH-000468,-1.4534641092899998
ACH-000469,-1.12513346744
ACH-000470,-1.05907480451
ACH-000471,-1.4850838559000001
ACH-000472,-0.979018462967
ACH-000473,-0.890120756092
ACH-000475,-1.1797252879
ACH-000476,-0.709835220456
ACH-000477,-1.41260318616
ACH-000480,-1.2983928754799998
ACH-000481,-1.05555027914
ACH-000483,-1.35694671343
ACH-000484,-0.6894748785089999
ACH-000485,-1.10453107666
ACH-000486,-1.2100723714
ACH-000487,-0.676602403135
ACH-000488,-1.26743253486
ACH-000490,-1.0434480112
ACH-000491,-0.9316408710100001
ACH-000495,-1.1931420253899998
ACH-000496,-1.36226898368
ACH-000499,-0.729167921562
ACH-000500,-1.5982191602200002
ACH-000502,-1.02765635134
ACH-000503,-1.31465044853
ACH-000505,-1.22691400769
ACH-000507,-0.889411461409
ACH-000510,-0.829640572302
ACH-000511,-1.31825609703
ACH-000512,-0.92915325445
ACH-000516,-0.9722741758589999
ACH-000517,-1.15469186434
ACH-000518,-1.15997473212
ACH-000520,-1.24048587899
ACH-000521,-1.21471713254
ACH-000522,-1.45132386324
ACH-000524,-0.515528554878
ACH-000527,-1.37365035493
ACH-000528,-0.8330996774699999
ACH-000537,-0.872393472825
ACH-000541,-0.7577534172589999
ACH-000542,-1.4897013669499999
ACH-000544,-1.3913391522100003
ACH-000545,-0.794881395872
ACH-000547,-1.0602960453799999
ACH-000548,-1.1612886699299998
ACH-000549,-1.02062838734
ACH-000550,-0.97947028809
ACH-000552,-1.1991878985200002
ACH-000556,-1.09255554847
ACH-000557,-0.429224982897
ACH-000570,-1.1360158199200001
ACH-000571,-1.06053610927
ACH-000573,-0.689029877836
ACH-000576,-0.9107597598010001
ACH-000580,-0.9482152908499999
ACH-000584,-1.21285603869
ACH-000585,-0.992481414683
ACH-000588,-0.9304536806299999
ACH-000589,-1.0927798009799998
ACH-000591,-1.46644413533
ACH-000593,-0.702709613459
ACH-000600,-1.60289444308
ACH-000601,-1.04082322752
ACH-000604,-1.12356193726
ACH-000605,-1.4680680141799998
ACH-000606,-1.34847521098
ACH-000608,-0.9490354095710001
ACH-000614,-0.9027731881209999
ACH-000616,-1.17008158085
ACH-000618,-0.971187709205
ACH-000619,-0.664963005869
ACH-000620,-0.990300045283
ACH-000621,-1.0634970461
ACH-000622,-1.15712116355
ACH-000623,-1.20635957957
ACH-000624,-0.78201157978
ACH-000627,-1.4161712227
ACH-000630,-1.38816106502
ACH-000632,-0.7204473545960001
ACH-000633,-0.9395789967649999
ACH-000637,-1.1071097380600001
ACH-000638,-1.24945744562
ACH-000646,-0.8802919850830001
ACH-000647,-1.4491329777700002
ACH-000648,-0.803083200228
ACH-000649,-1.2910357550799998
ACH-000651,-1.37627155306
ACH-000652,-1.46226123796
ACH-000653,-0.983478468554
ACH-000657,-1.1795479924799999
ACH-000658,-0.542205761514
ACH-000661,-0.984134916961
ACH-000662,-0.8036701732029999
ACH-000663,-0.8948409971340001
ACH-000665,-0.5452141453480001
ACH-000671,-1.2380548547
ACH-000673,-0.796598618888
ACH-000676,-1.23997671098
ACH-000677,-1.06913894071
ACH-000681,-1.3845771376
ACH-000682,-1.38382932262
ACH-000683,-1.1877826449
ACH-000684,-1.9596479908000002
ACH-000688,-1.01928063309
ACH-000693,-1.47700485278
ACH-000694,-1.277596377
ACH-000695,-1.03540484397
ACH-000696,-1.11888224013
ACH-000697,-1.1049450585
ACH-000699,-0.721251356761
ACH-000701,-1.49106857189
ACH-000706,-1.11846279379
ACH-000711,-0.5771432352220001
ACH-000713,-1.3048644778299998
ACH-000714,-0.881826596545
ACH-000718,-0.631880363097
ACH-000720,-0.852953821022
ACH-000721,-0.991114086884
ACH-000724,-0.879812964254
ACH-000725,-0.6739038936759999
ACH-000732,-1.12452419732
ACH-000734,-1.39060368697
ACH-000735,-1.3093446604999999
ACH-000736,-0.75585692376
ACH-000738,-1.25144847817
ACH-000746,-0.745669718536
ACH-000747,-1.0375935960200002
ACH-000748,-1.05229914052
ACH-000753,-1.20077524514
ACH-000756,-1.4259138373700002
ACH-000757,-1.18651783891
ACH-000758,-1.0036497256
ACH-000760,-1.1083589998
ACH-000763,-0.576213969514
ACH-000764,-1.24383511375
ACH-000765,-1.15672991111
ACH-000766,-1.1095658804100001
ACH-000767,-1.22402846563
ACH-000768,-0.865469657633
ACH-000769,-1.0649522362700001
ACH-000770,-1.1714474007
ACH-000771,-0.948109364459
ACH-000773,-1.21480649058
ACH-000776,-1.4134881142500002
ACH-000777,-1.6175343704499998
ACH-000778,-0.722742242451
ACH-000781,-1.32346196954
ACH-000782,-0.7731247718250001
ACH-000783,-0.9602289036589999
ACH-000784,-1.31967991206
ACH-000785,-0.8471151700830001
ACH-000787,-1.32059855575
ACH-000788,-0.925444638518
ACH-000791,-0.938673072429
ACH-000792,-1.48605602678
ACH-000794,-0.940158342758
ACH-000796,-0.847758847371
ACH-000799,-1.40758396
ACH-000800,-0.863358389896
ACH-000802,-1.15927350396
ACH-000804,-1.32751796786
ACH-000805,-1.03823642153
ACH-000809,-0.9260135079299999
ACH-000810,-1.1160891798600001
ACH-000811,-1.21606833972
ACH-000817,-0.623749757109
ACH-000819,-1.0488462624600001
ACH-000820,-1.0277674429
ACH-000821,-0.851001566084
ACH-000822,-0.532106963298
ACH-000823,-1.27347182894
ACH-000824,-0.701800379542
ACH-000827,-1.2490309782100002
ACH-000829,-1.10874838314
ACH-000831,-1.20163277916
ACH-000832,-1.02564548624
ACH-000833,-0.9579906498190001
ACH-000834,-1.1559547349700001
ACH-000835,-1.22948210178
ACH-000836,-1.3446794040399999
ACH-000837,-1.15982476222
ACH-000838,-0.9920820907760001
ACH-000839,-0.9133190503949999
ACH-000840,-1.12677844654
ACH-000841,-0.771529325766
ACH-000843,-1.11122492136
ACH-000846,-0.966555662664
ACH-000847,-1.22985750927
ACH-000848,-0.9879050358399999
ACH-000849,-1.28785147418
ACH-000851,-1.33576456898
ACH-000855,-1.18027589329
ACH-000856,-0.8761342026450001
ACH-000858,-0.811430058716
ACH-000859,-1.37568455221
ACH-000861,-1.16056043958
ACH-000862,-1.10784786213
ACH-000865,-1.2267986364799999
ACH-000866,-0.875581315643
ACH-000867,-1.01678937746
ACH-000869,-0.9755391560250001
ACH-000872,-1.1140634712200002
ACH-000873,-1.09143721986
ACH-000876,-0.922700636159
ACH-000878,-0.824167271267
ACH-000880,-1.2348928511200001
ACH-000881,-1.09675356323
ACH-000882,-1.0139025819499998
ACH-000884,-1.00835906552
ACH-000885,-0.7058318689049999
ACH-000887,-1.0564694114700002
ACH-000888,-0.759508658511
ACH-000889,-1.24789331074
ACH-000890,-1.23867955792
ACH-000896,-0.977242276948
ACH-000898,-1.1329677335200001
ACH-000900,-0.8243484328849999
ACH-000901,-0.614658203441
ACH-000905,-0.9243332886799999
ACH-000906,-1.58151621197
ACH-000907,-1.32547867016
ACH-000910,-1.19622103837
ACH-000911,-1.19388349176
ACH-000912,-0.9880642033310001
ACH-000913,-0.950801160707
ACH-000915,-0.913342280021
ACH-000916,-0.975672302715
ACH-000917,-1.33215012442
ACH-000921,-0.6762195175650001
ACH-000924,-0.901023108576
ACH-000926,-1.3106887251700001
ACH-000928,-1.29979457358
ACH-000929,-0.789853547063
ACH-000932,-0.9860452360240001
ACH-000935,-1.3403760573799999
ACH-000936,-1.0813974073100001
ACH-000937,-1.16594638763
ACH-000938,-1.05884858475
ACH-000939,-0.637251336761
ACH-000941,-0.826353059363
ACH-000943,-1.21360209819
ACH-000946,-1.2491168532899999
ACH-000947,-1.19151156013
ACH-000948,-0.7692716719920001
ACH-000950,-0.958508949
