,RABGGTB (5876)
ACH-000004,-1.0650922254700002
ACH-000007,-1.49189728682
ACH-000009,-1.50001121734
ACH-000011,-1.3024436321500001
ACH-000012,-1.25895247176
ACH-000013,-1.49861106796
ACH-000014,-1.36641144456
ACH-000015,-1.27239495073
ACH-000017,-1.09550462291
ACH-000018,-1.54236417979
ACH-000019,-1.6709832762099999
ACH-000021,-1.32031746449
ACH-000022,-1.4745085281299999
ACH-000025,-1.28869463922
ACH-000028,-1.3471726116799998
ACH-000030,-1.41340647035
ACH-000035,-1.4118642396799999
ACH-000036,-1.65693946058
ACH-000037,-2.0945498862000003
ACH-000039,-1.6790224718200002
ACH-000040,-1.4041404203499999
ACH-000041,-1.4709337400799998
ACH-000042,-1.54579340349
ACH-000045,-1.44160030666
ACH-000047,-1.2901888969
ACH-000052,-1.2391460085600001
ACH-000053,-1.35647905554
ACH-000054,-1.6197357126299998
ACH-000055,-1.49627609236
ACH-000060,-1.58390579956
ACH-000067,-1.4560678107
ACH-000070,-1.35192302759
ACH-000075,-1.4873803929
ACH-000078,-1.6865676059399999
ACH-000082,-1.41480462482
ACH-000085,-1.28248842799
ACH-000086,-1.3743057103999998
ACH-000087,-1.56408723279
ACH-000092,-1.7796043360799998
ACH-000095,-1.5468467874599998
ACH-000097,-1.40128524975
ACH-000098,-1.5270333765200002
ACH-000099,-1.55314381089
ACH-000108,-1.4839665875699999
ACH-000113,-1.43094081006
ACH-000115,-1.89675558181
ACH-000116,-1.28833020649
ACH-000118,-1.16920117705
ACH-000120,-1.6784767406299999
ACH-000123,-1.4203619613799998
ACH-000127,-1.55826241004
ACH-000128,-1.3581118411200002
ACH-000132,-1.6483697724700002
ACH-000133,-1.20024989383
ACH-000137,-1.2802211102
ACH-000138,-1.26900719386
ACH-000142,-1.55225509505
ACH-000143,-1.38637844463
ACH-000146,-1.2661017502
ACH-000148,-1.51865719899
ACH-000150,-1.79300195637
ACH-000152,-1.5343147594100002
ACH-000153,-1.4797085537
ACH-000159,-1.43958656951
ACH-000160,-1.48654187416
ACH-000163,-1.22081715216
ACH-000167,-1.56298387358
ACH-000168,-1.32661693705
ACH-000169,-1.23818691514
ACH-000178,-1.53299690933
ACH-000182,-1.32402897349
ACH-000183,-1.28060259055
ACH-000188,-1.54872157414
ACH-000189,-1.6233220965600001
ACH-000190,-1.6633337265
ACH-000198,-1.3471069009799999
ACH-000204,-1.60815771525
ACH-000206,-1.37876076701
ACH-000207,-1.5741994937700001
ACH-000211,-1.33107110552
ACH-000215,-1.5295929045299999
ACH-000221,-1.21234151187
ACH-000222,-1.6264564221200002
ACH-000223,-1.42293904543
ACH-000226,-1.1970712132799999
ACH-000227,-1.1912574355
ACH-000228,-1.56079771991
ACH-000231,-1.70692720079
ACH-000232,-1.50758394507
ACH-000233,-1.48520702595
ACH-000234,-1.8737606006
ACH-000235,-1.58171331612
ACH-000237,-1.5333510235799999
ACH-000238,-1.5150001131
ACH-000243,-1.45983595349
ACH-000244,-1.54989901091
ACH-000246,-1.3403660824299999
ACH-000248,-1.10962076159
ACH-000250,-1.50714405542
ACH-000251,-1.49724868625
ACH-000253,-1.76797218292
ACH-000255,-1.15599910751
ACH-000256,-1.26635098612
ACH-000257,-1.65159524454
ACH-000258,-1.24575551185
ACH-000259,-1.3895341133
ACH-000260,-1.17563803013
ACH-000261,-1.55917595588
ACH-000262,-1.5102306079299999
ACH-000263,-1.7739144308
ACH-000264,-1.8883075079299998
ACH-000265,-1.2949223772799998
ACH-000266,-1.37913256483
ACH-000272,-1.69749057278
ACH-000273,-1.47280710986
ACH-000274,-1.74001647637
ACH-000277,-1.82650426998
ACH-000278,-1.3824241890600002
ACH-000279,-1.38569565554
ACH-000280,-1.18857355467
ACH-000281,-1.66945533726
ACH-000288,-1.5346764336
ACH-000291,-1.30801818249
ACH-000293,-1.3356689711799998
ACH-000294,-0.807889351372
ACH-000295,-1.97010585901
ACH-000296,-1.31727824161
ACH-000302,-1.29744866937
ACH-000304,-1.9338508636000002
ACH-000307,-1.32937552312
ACH-000308,-1.55972815032
ACH-000310,-1.52331916477
ACH-000311,-1.69691682204
ACH-000312,-1.72322335996
ACH-000315,-1.33906633051
ACH-000316,-1.28050809454
ACH-000317,-1.60692239571
ACH-000318,-1.3929846956299998
ACH-000319,-1.59640089804
ACH-000320,-1.7446918858400002
ACH-000322,-1.6253262909900001
ACH-000323,-1.33225728374
ACH-000324,-1.33416279111
ACH-000329,-1.55889487108
ACH-000330,-1.1100595898999999
ACH-000331,-1.32080679045
ACH-000332,-1.42142198073
ACH-000334,-1.02473381217
ACH-000335,-1.47188320558
ACH-000336,-1.42501397661
ACH-000337,-1.48082560083
ACH-000339,-1.67153929089
ACH-000341,-1.4424726073700003
ACH-000348,-1.71087316023
ACH-000350,-1.2458594158299998
ACH-000352,-1.3714384399000001
ACH-000356,-1.2609389523299999
ACH-000361,-1.3961422889500001
ACH-000362,-1.2952012066299998
ACH-000363,-1.69615749926
ACH-000364,-1.2534434718799998
ACH-000365,-1.55927586119
ACH-000366,-1.34701962234
ACH-000368,-1.63643303537
ACH-000374,-1.5270562902200002
ACH-000375,-1.48069171679
ACH-000376,-1.44834292689
ACH-000381,-1.470211114
ACH-000383,-1.93877498539
ACH-000387,-1.15407475833
ACH-000389,-1.67970200875
ACH-000390,-1.81729122854
ACH-000393,-1.6506623362200001
ACH-000395,-1.70487633262
ACH-000397,-1.23076217706
ACH-000401,-1.1745287592799998
ACH-000402,-1.7497483888999998
ACH-000403,-2.09626373866
ACH-000404,-1.34522603226
ACH-000406,-1.0211500036499999
ACH-000407,-1.4884864804700002
ACH-000408,-1.50925303477
ACH-000410,-1.34526214796
ACH-000411,-1.5980733522200001
ACH-000414,-1.7515211545200002
ACH-000415,-1.36557208026
ACH-000416,-1.22844396573
ACH-000420,-1.5562904058200002
ACH-000421,-1.23079180959
ACH-000424,-1.7326882654400002
ACH-000425,-1.7787833525799999
ACH-000426,-1.2775982449799999
ACH-000427,-1.5830500306400002
ACH-000433,-1.7920648973
ACH-000436,-1.34271344526
ACH-000444,-1.39837984926
ACH-000445,-1.65317671343
ACH-000448,-1.7265312767099998
ACH-000450,-1.43294066836
ACH-000452,-1.3285167474700001
ACH-000454,-1.30322936484
ACH-000458,-1.37396495519
ACH-000459,-0.441672690078
ACH-000460,-1.29231193304
ACH-000461,-1.56264393543
ACH-000463,-1.48048195214
ACH-000464,-1.6878242763100002
ACH-000466,-1.2586483286299999
ACH-000467,-1.34282492762
