,RWDD1 (51389)
ACH-000004,0.0938573821602
ACH-000007,-0.12542057895
ACH-000009,-0.142757868771
ACH-000011,0.116147679018
ACH-000012,-0.00548528116612
ACH-000013,0.168755132489
ACH-000014,0.20777450970400002
ACH-000015,0.14589425328199998
ACH-000017,0.08844982841160001
ACH-000018,0.181220251803
ACH-000019,0.318900746189
ACH-000021,-0.112007324528
ACH-000022,0.268474104074
ACH-000025,0.043695581756199996
ACH-000028,0.11507580182800001
ACH-000030,0.0168442415244
ACH-000035,0.11536505207100001
ACH-000036,0.170896397683
ACH-000037,0.164413954161
ACH-000039,-0.0417651479233
ACH-000040,0.019197819426099997
ACH-000041,0.151960789472
ACH-000042,-0.006932546364090001
ACH-000045,0.202084454844
ACH-000047,0.160095713479
ACH-000052,0.339311257304
ACH-000053,0.038955638745800006
ACH-000054,0.0978861306246
ACH-000055,0.384544057873
ACH-000060,0.04486520865640001
ACH-000067,0.08320935243239999
ACH-000070,0.103352143615
ACH-000075,0.07422139004660001
ACH-000078,-0.134229227754
ACH-000082,0.137101161626
ACH-000085,0.17582127281100002
ACH-000086,0.206785300495
ACH-000087,0.18183777865800002
ACH-000092,0.15928217545499998
ACH-000095,0.000642235391608
ACH-000097,0.30425620143599996
ACH-000098,0.20436355316100002
ACH-000099,-0.0122988019356
ACH-000108,0.00923085484943
ACH-000113,0.267889205144
ACH-000115,0.0738298280702
ACH-000116,0.062309264185800003
ACH-000118,0.054967578942
ACH-000120,0.235624737534
ACH-000123,-0.0207505291533
ACH-000127,0.18228501491000001
ACH-000128,0.22540706552499998
ACH-000132,0.10765902263
ACH-000133,0.12299628046599999
ACH-000137,0.038393482626199994
ACH-000138,0.121734069952
ACH-000142,0.199762592499
ACH-000143,0.248265190179
ACH-000146,0.07304158224339999
ACH-000148,0.0787047660912
ACH-000150,-0.00467895353649
ACH-000152,0.205620937846
ACH-000153,0.165070046875
ACH-000159,0.11558002305
ACH-000160,0.13350560495
ACH-000163,0.306126277362
ACH-000167,-0.22470617447799998
ACH-000168,0.21001542508200002
ACH-000169,0.126925022227
ACH-000178,0.19013410639000003
ACH-000182,0.228926618064
ACH-000183,0.135265248468
ACH-000188,0.242950451781
