,PARL (55486)
ACH-000004,-0.253029717408
ACH-000007,-0.431230945044
ACH-000009,-0.33235972995
ACH-000011,-0.19214313996399998
ACH-000012,-0.21318908513700002
ACH-000013,-0.310542735824
ACH-000014,-0.328707815644
ACH-000015,-0.165688136349
ACH-000017,-0.21457740154
ACH-000018,-0.567251004896
ACH-000019,-0.361599670012
ACH-000021,-0.162992838469
ACH-000022,-0.362390070321
ACH-000025,-0.44500680429
ACH-000028,-0.46956281457599996
ACH-000030,-0.25015478726999996
ACH-000035,-0.39701226138800005
ACH-000036,-0.33956618034100006
ACH-000037,0.008033233535689998
ACH-000039,-0.450822833759
ACH-000040,-0.424337719491
ACH-000041,-0.103094339397
ACH-000042,-0.150320756956
ACH-000045,0.0475417161467
ACH-000047,-0.310679891577
ACH-000052,-0.26187656907900003
ACH-000053,-0.252249938913
ACH-000054,-0.45972891401
ACH-000055,-0.26477545757599996
ACH-000060,-0.383054070542
ACH-000067,-0.20688281304099998
ACH-000070,-0.229069274192
ACH-000075,-0.477121934963
ACH-000078,-0.38994714680799997
ACH-000082,-0.259938476072
ACH-000085,-0.06684447251230001
ACH-000086,-0.118596770981
ACH-000087,-0.115015671778
ACH-000092,-0.251118860136
ACH-000095,-0.30074993713000003
ACH-000097,-0.244925202352
ACH-000098,-0.35880675429
ACH-000099,-0.10828263134400001
ACH-000108,-0.45495542814900003
ACH-000113,-0.35791521078
ACH-000115,-0.0837539605878
ACH-000116,-0.44617692173100004
ACH-000118,-0.0539668503333
ACH-000120,-0.156949565618
ACH-000123,-0.291473760371
ACH-000127,-0.20133973285
ACH-000128,-0.42934477401199994
ACH-000132,-0.421216390908
ACH-000133,-0.271460562297
ACH-000137,-0.277728747335
ACH-000138,-0.37386757208300003
ACH-000142,-0.362906055444
ACH-000143,-0.0186371890972
ACH-000146,-0.456687667439
ACH-000148,-0.132969715763
ACH-000150,-0.165087172797
ACH-000152,-0.29390595650400003
ACH-000153,-0.220626639861
ACH-000159,-0.335757828826
ACH-000160,-0.370015659533
ACH-000163,-0.112160592741
ACH-000167,-0.5531816608569999
ACH-000168,-0.142668227247
ACH-000169,-0.45484276341200003
ACH-000178,-0.231236484714
ACH-000182,-0.372342859666
ACH-000183,-0.239894791107
ACH-000188,-0.33658609385
ACH-000189,-0.114882812791
ACH-000190,-0.47122932329800005
ACH-000198,0.00433614062564
ACH-000204,-0.16055709339000002
ACH-000206,-0.256475903426
ACH-000207,-0.34769016012299997
ACH-000211,-0.32334535483300003
ACH-000215,-0.10722346339199999
ACH-000221,-0.519328456039
ACH-000222,-0.243188786001
ACH-000223,-0.413162052012
ACH-000226,-0.41834801352799994
ACH-000227,-0.228124235606
ACH-000228,-0.16279810684499998
ACH-000231,-0.319801226825
ACH-000232,-0.28576242203499996
ACH-000233,-0.154534222235
ACH-000234,-0.32526414839699996
ACH-000235,-0.20492492365899997
ACH-000237,-0.148432551744
ACH-000238,-0.415384955303
ACH-000243,-0.119348694464
ACH-000244,-0.09847324195189999
ACH-000246,-0.144777216099
ACH-000248,-0.40985317947899996
ACH-000250,-0.18458586694899998
ACH-000251,-0.376013521206
ACH-000253,-0.154176046925
ACH-000255,-0.553754092351
ACH-000256,-0.130091964467
ACH-000257,-0.22213043518699999
ACH-000258,-0.128611664056
ACH-000259,-0.357261710832
ACH-000260,-0.366651417142
ACH-000261,-0.26100375188499997
ACH-000262,-0.43887690980599997
ACH-000263,-0.415178777852
ACH-000264,-0.262099059281
ACH-000265,-0.32595678749699997
ACH-000266,-0.28881299318500003
ACH-000272,-0.497968277065
ACH-000273,-0.335780315233
ACH-000274,-0.362668090791
ACH-000277,-0.192080075937
ACH-000278,-0.180359135093
ACH-000279,-0.349086963503
ACH-000280,-0.284095589425
ACH-000281,-0.489409900546
ACH-000288,-0.275205048675
ACH-000291,-0.14067552557399998
ACH-000293,-0.226346619824
ACH-000294,-0.324785983118
ACH-000295,-0.332404307436
ACH-000296,-0.473885395559
ACH-000302,0.015467371976799999
ACH-000304,-0.179975476096
ACH-000307,-0.308842563604
ACH-000308,-0.130466321448
ACH-000310,-0.389404105802
ACH-000311,-0.252233120531
ACH-000312,-0.132564595635
ACH-000315,-0.296339990409
ACH-000316,-0.251139857561
ACH-000317,-0.368663120032
ACH-000318,-0.42321576913599995
ACH-000319,-0.281109674811
ACH-000320,-0.0839553276648
ACH-000322,-0.218863642405
ACH-000323,-0.429090470022
ACH-000324,-0.17192144559300002
ACH-000329,-0.0696498247625
ACH-000330,-0.397673692121
ACH-000331,-0.5526089628890001
ACH-000332,-0.262723571434
ACH-000334,-0.19873713330499998
ACH-000335,-0.25976774369100003
ACH-000336,0.09486523655760001
ACH-000337,-0.172873691011
ACH-000339,-0.201659061375
ACH-000341,-0.133812651166
ACH-000348,-0.245478690775
ACH-000350,-0.24178391473000002
ACH-000352,-0.265735321095
ACH-000356,-0.13991982796299998
ACH-000361,0.054437608443999995
ACH-000362,-0.162811566527
ACH-000363,-0.336731487782
ACH-000364,-0.417591653833
ACH-000365,-0.475937508631
ACH-000366,-0.117189749692
ACH-000368,-0.411880356093
ACH-000374,-0.243237963434
ACH-000375,-0.19158276708500002
ACH-000376,-0.5091993909170001
ACH-000381,-0.22887640660999997
ACH-000383,-0.103743823935
ACH-000387,-0.442006579005
ACH-000389,-0.254570955644
ACH-000390,-0.088466323245
ACH-000393,-0.30172983017099997
ACH-000395,-0.09517356659119999
ACH-000397,-0.257079902934
ACH-000401,0.08887176636060001
ACH-000402,-0.320733042014
ACH-000403,-0.374746890186
ACH-000404,-0.41267771654299995
ACH-000406,-0.19138743327399999
ACH-000407,-0.200762323468
ACH-000408,-0.285552163022
ACH-000410,-0.195957615779
ACH-000411,-0.284771885368
ACH-000414,-0.353337873232
ACH-000415,-0.25261511945099996
ACH-000416,-0.23211257098000002
ACH-000420,-0.301535796524
ACH-000421,-0.09401592362500001
ACH-000424,-0.192935292212
ACH-000425,-0.243017652677
ACH-000426,-0.37451476804899997
ACH-000427,-0.316557253712
ACH-000433,-0.23782285955899998
ACH-000436,-0.307181426686
ACH-000444,-0.17778293145
ACH-000445,-0.553301608774
ACH-000448,-0.41002183103900003
ACH-000450,-0.242524283765
ACH-000452,-0.25211438949299997
ACH-000454,-0.375377801062
ACH-000458,-0.321605060748
ACH-000459,-0.319820920396
ACH-000460,-0.272289419588
ACH-000461,-0.37450939475199996
ACH-000463,-0.265019076412
ACH-000464,-0.11726234158
ACH-000466,-0.0829607929944
ACH-000467,-0.340991879512
ACH-000468,-0.159798921401
ACH-000469,-0.013958146678599999
ACH-000470,-0.6252674134139999
ACH-000471,-0.182499246651
ACH-000472,-0.118709324334
ACH-000473,-0.144427526863
ACH-000475,-0.226281371708
ACH-000476,-0.40675662976800003
ACH-000477,-0.248212926807
ACH-000480,-0.436314281491
ACH-000481,-0.255995645444
ACH-000483,-0.268768380252
ACH-000484,-0.312124480052
ACH-000485,-0.316339032034
ACH-000486,-0.18122259685400002
ACH-000487,-0.29984900025
ACH-000488,-0.420208327003
ACH-000490,-0.34440938902199997
ACH-000491,-0.41323652583000003
ACH-000495,-0.46228418984499997
ACH-000496,-0.339280176907
ACH-000499,-0.490709636647
