,GNAT2 (2780)
ACH-000004,-0.247903553213
ACH-000007,-0.274477408213
ACH-000009,-0.15243345209200002
ACH-000011,-0.0183184519385
ACH-000012,-0.17137524657000003
ACH-000013,-0.144279270993
ACH-000014,-0.34526022929
ACH-000015,-0.238785629897
ACH-000017,-0.176969446711
ACH-000018,-0.15387721597100001
ACH-000019,-0.205676259947
ACH-000021,-0.155317757304
ACH-000022,-0.051707011218400004
ACH-000025,-0.426808709971
ACH-000028,-0.566797168748
ACH-000030,-0.23730003759100002
ACH-000035,-0.206997252249
ACH-000036,-0.24616994023000002
ACH-000037,-0.164977344337
ACH-000039,-0.265354881118
ACH-000040,-0.08426689486099999
ACH-000041,-0.24435224319499999
ACH-000042,-0.171220310992
ACH-000045,-0.325919257539
ACH-000047,-0.15114833160900001
ACH-000052,-0.412810770193
ACH-000053,-0.10114891910900001
ACH-000054,-0.06811045489180001
ACH-000055,-0.036495761649
ACH-000060,-0.27938433566599996
ACH-000067,-0.30502176673500003
ACH-000070,-0.024848831145
ACH-000075,-0.22670188056999996
ACH-000078,-0.43828374603500003
ACH-000082,-0.136295489652
ACH-000085,0.046487048154999995
ACH-000086,-0.34314758800300005
ACH-000087,-0.250141988882
ACH-000092,-0.33572380039000005
ACH-000095,-0.0838374789986
ACH-000097,-0.184834318332
ACH-000098,-0.127284617753
ACH-000099,-0.135298089054
ACH-000108,-0.10392546448100001
ACH-000113,-0.283096095363
ACH-000115,0.035054871554
ACH-000116,-0.05547747295080001
ACH-000118,-0.267375455182
ACH-000120,0.00860607419918
ACH-000123,-0.275826530187
ACH-000127,-0.20582581686
ACH-000128,-0.167399157092
ACH-000132,-0.120397239943
ACH-000133,-0.16655990125
ACH-000137,-0.265708544848
ACH-000138,-0.139056027319
ACH-000142,-0.17487977258
ACH-000143,-0.153904020359
ACH-000146,-0.253422700948
ACH-000148,-0.111354385081
ACH-000150,-0.11755013232999999
ACH-000152,-0.284730616675
ACH-000153,-0.21485511725499998
ACH-000159,-0.134840264914
ACH-000160,0.117573279824
ACH-000163,-0.254332603067
ACH-000167,-0.15453958023199998
ACH-000168,-0.23615645564800003
ACH-000169,-0.171221364537
ACH-000178,-0.054660880082
ACH-000182,-0.0264568455711
ACH-000183,-0.018138428923900003
ACH-000188,-0.400068976272
ACH-000189,-0.493832300154
ACH-000190,-0.11291143216800001
ACH-000198,-0.242470440909
ACH-000204,-0.260463013863
ACH-000206,-0.0309969326727
ACH-000207,-0.554388880476
ACH-000211,-0.226437929635
ACH-000215,-0.196761983497
ACH-000221,-0.425278273914
ACH-000222,0.0295897525979
ACH-000223,-0.136732434758
ACH-000226,-0.308243230223
ACH-000227,-0.511918894722
ACH-000228,-0.349670965093
ACH-000231,-0.195727351345
ACH-000232,-0.155213079634
ACH-000233,-0.16817151899099997
ACH-000234,-0.127344090823
ACH-000235,-0.213810886382
ACH-000237,-0.22242141152
ACH-000238,-0.190380023884
ACH-000243,-0.12335750895099999
ACH-000244,-0.16234920975199998
ACH-000246,-0.16703545526799998
ACH-000248,-0.18477749661100001
ACH-000250,-0.22324513849599997
ACH-000251,-0.183261788859
ACH-000253,-0.0100634381665
ACH-000255,-0.278076733477
ACH-000256,0.0589475795795
ACH-000257,-0.224249976135
ACH-000258,-0.125730798913
ACH-000259,-0.251260133136
ACH-000260,-0.145264656634
ACH-000261,-0.24374677215100002
ACH-000262,-0.318250465158
ACH-000263,-0.260240945184
ACH-000264,-0.117215051945
ACH-000265,-0.18200721063099998
ACH-000266,-0.101941246872
ACH-000272,-0.313811756853
ACH-000273,-0.188058285436
ACH-000274,-0.026338049051099998
ACH-000277,-0.157394711438
ACH-000278,-0.197034044796
ACH-000279,-0.0773386957984
ACH-000280,-0.238341066219
ACH-000281,-0.0778713216936
ACH-000288,-0.184428711794
ACH-000291,-0.200061730495
ACH-000293,-0.062945859753
ACH-000294,-0.21537235551199999
ACH-000295,-0.19727771181499998
ACH-000296,-0.17600450178100002
ACH-000302,-0.23956208416900002
ACH-000304,-0.168469148316
ACH-000307,-0.17103857388799998
ACH-000308,-0.24750364409400002
ACH-000310,-0.302822397603
ACH-000311,-0.331905423881
ACH-000312,-0.339399027075
ACH-000315,-0.0768064448613
ACH-000316,-0.0640117438738
ACH-000317,-0.149497488676
ACH-000318,-0.17294592767
ACH-000319,-0.163904143762
ACH-000320,-0.368731761118
ACH-000322,-0.281717292254
ACH-000323,-0.524656321174
ACH-000324,-0.167297849838
ACH-000329,-0.303932317868
ACH-000330,-0.450555159623
ACH-000331,-0.21865427491300002
ACH-000332,-0.13113188033700002
ACH-000334,-0.206134059507
ACH-000335,-0.309556920728
ACH-000336,-0.025270513295299998
ACH-000337,-0.05083958899569999
ACH-000339,-0.136751572801
ACH-000341,-0.387741184557
ACH-000348,-0.2427556065
ACH-000350,0.04281706546900001
ACH-000352,-0.324932117505
ACH-000356,-0.216801074982
ACH-000361,-0.18889003083900002
ACH-000362,-0.179328606443
ACH-000363,-0.0590071322894
ACH-000364,-0.237250205161
ACH-000365,-0.224684253361
ACH-000366,-0.233815444357
ACH-000368,-0.224611101058
ACH-000374,-0.22600301401700001
ACH-000375,-0.161174834277
ACH-000376,-0.266011675407
ACH-000381,-0.223899232344
ACH-000383,-0.23198523535799997
ACH-000387,-0.32232746998399997
ACH-000389,-0.215391877383
ACH-000390,-0.289839672069
ACH-000393,-0.0737618617908
ACH-000395,-0.17401404116900002
ACH-000397,-0.212978954172
ACH-000401,-0.132575763597
ACH-000402,-0.107869330742
ACH-000403,-0.0522882817265
ACH-000404,0.0910623888717
ACH-000406,-0.234069396127
ACH-000407,-0.24537130358800002
ACH-000408,-0.14854535109
ACH-000410,-0.16115863347200002
ACH-000411,-0.20468456419
ACH-000414,-0.210793423427
ACH-000415,-0.317251844513
ACH-000416,-0.29667315563700003
ACH-000420,-0.129803994662
ACH-000421,-0.128914637461
ACH-000424,-0.0573881001479
ACH-000425,-0.13564952504
ACH-000426,0.0344600679305
ACH-000427,-0.29158386746
ACH-000433,-0.37742931852899997
ACH-000436,-0.261943086853
ACH-000444,-0.09443052259069999
ACH-000445,-0.364681108551
ACH-000448,-0.207139535606
ACH-000450,-0.0048262779107799995
ACH-000452,-0.165729617425
ACH-000454,0.0209473020073
ACH-000458,-0.18152023967
ACH-000459,0.19222234808400002
ACH-000460,-0.193222733968
ACH-000461,-0.132965042024
ACH-000463,-0.191228339192
ACH-000464,-0.339891822315
ACH-000466,-0.13009498837000003
ACH-000467,-0.18644503471700002
ACH-000468,-0.0300672366224
ACH-000469,-0.35075871399400005
ACH-000470,-0.08411303606750001
ACH-000471,-0.154812702843
ACH-000472,-0.158401069532
ACH-000473,-0.0967293645087
ACH-000475,-0.232396089397
ACH-000476,-0.156562923983
ACH-000477,-0.228210970055
ACH-000480,-0.126861782203
ACH-000481,-0.34287528675800005
ACH-000483,-0.193026719497
ACH-000484,-0.0891797454448
ACH-000485,-0.227764575485
ACH-000486,-0.405220958051
ACH-000487,-0.20213823274700002
ACH-000488,-0.17499748247000002
ACH-000490,-0.240851932303
ACH-000491,-0.09196594585119999
ACH-000495,-0.131966004243
ACH-000496,-0.265840036629
ACH-000499,-0.306123240572
ACH-000500,-0.554353937774
ACH-000502,-0.13739454604
ACH-000503,-0.26412951523
ACH-000505,-0.146653368738
ACH-000507,-0.192552046206
ACH-000510,-0.18883547123199998
ACH-000511,-0.154248962446
ACH-000512,-0.166136750403
ACH-000516,-0.0558070626633
ACH-000517,-0.11705283595100001
ACH-000518,-0.0328072659513
ACH-000520,-0.15507137222
ACH-000521,-0.38442904359200003
ACH-000522,-0.43746906154299997
ACH-000524,-0.0734381101178
ACH-000527,-0.124036324093
ACH-000528,-0.10845198820499999
ACH-000537,-0.218833708876
ACH-000541,-0.278101365838
ACH-000542,-0.27697094527399996
ACH-000544,-0.175044804788
ACH-000545,-0.258331131617
ACH-000547,-0.10206878335899999
ACH-000548,-0.187022311729
ACH-000549,-0.35118803272200005
ACH-000550,-0.0171667061034
ACH-000552,-0.275245067493
ACH-000556,-0.157520099337
ACH-000557,-0.186400825971
ACH-000570,-0.183827643788
ACH-000571,-0.210761384789
ACH-000573,-0.10654417648499999
ACH-000576,-0.182174674274
ACH-000580,-0.0776235622297
ACH-000584,-0.118134190999
ACH-000585,-0.160802625686
ACH-000588,-0.174942567799
ACH-000589,-0.29626412992600004
ACH-000591,-0.299940418128
ACH-000593,-0.340074763274
ACH-000600,0.0239877882809
ACH-000601,-0.195060853765
ACH-000604,-0.326643422834
ACH-000605,-0.351207828277
ACH-000606,-0.262382548966
ACH-000608,-0.0435970754789
ACH-000614,-0.22194425633
ACH-000616,-0.161578340166
ACH-000618,-0.17001760217
ACH-000619,-0.19394166638399998
ACH-000620,-0.182494694191
ACH-000621,-0.246077050201
ACH-000622,-0.28928125328800003
ACH-000623,-0.09242706829669999
ACH-000624,-0.0943948118111
ACH-000627,-0.23553492300700002
ACH-000630,-0.10831165010800001
ACH-000632,-0.199933935665
ACH-000633,-0.190266838332
ACH-000637,-0.039986720112300006
ACH-000638,-0.348652318468
ACH-000646,-0.0925498356166
ACH-000647,-0.163885811635
ACH-000648,-0.149209367411
ACH-000649,-0.22071833270999996
ACH-000651,-0.299153363854
ACH-000652,-0.32152924204100003
ACH-000653,0.16285832197300001
ACH-000657,-0.227157457156
ACH-000658,-0.11734011788899999
ACH-000661,-0.095003711381
ACH-000662,-0.0847654087552
ACH-000663,-0.10504944701300001
ACH-000665,-0.33850540623
ACH-000671,-0.258830716164
ACH-000673,-0.16919619742199998
ACH-000676,-0.161470783527
ACH-000677,-0.107210245888
ACH-000681,-0.0709105784229
ACH-000682,-0.294083922091
ACH-000683,-0.19105940474
ACH-000684,-0.216463057781
ACH-000688,-0.104639257774
ACH-000693,-0.345869215764
ACH-000694,-0.10030026433700001
ACH-000695,0.030268372964300003
ACH-000696,-0.234461297889
ACH-000697,-0.141650362936
ACH-000699,0.00276981110191
ACH-000701,-0.254204010514
ACH-000706,-0.163993877086
ACH-000711,-0.0837154100047
ACH-000713,-0.38214020204000004
ACH-000714,-0.294825870061
ACH-000718,-0.160234764181
ACH-000720,-0.319348204563
ACH-000721,-0.394709127411
ACH-000724,0.0194193787202
ACH-000725,-0.28948953651299997
ACH-000732,-0.18216712180999997
ACH-000734,-0.316935187542
ACH-000735,-0.262043711518
ACH-000736,-0.08432052194049999
ACH-000738,-0.122978487794
ACH-000746,-0.275363665177
ACH-000747,-0.175597508649
ACH-000748,-0.0629424126098
ACH-000753,-0.17394389572399999
ACH-000756,-0.392566897938
ACH-000757,-0.11086278429199999
ACH-000758,-0.354577368685
ACH-000760,-0.149526632539
ACH-000763,-0.17885271353799997
ACH-000764,-0.380798315148
ACH-000765,-0.27541952743299997
ACH-000766,-0.300598613187
ACH-000767,-0.200152977139
ACH-000768,-0.06355607276030001
ACH-000769,-0.244258138745
ACH-000770,-0.24280933371
ACH-000771,-0.0600746185674
ACH-000773,-0.0218300512972
ACH-000776,-0.25310961741300003
ACH-000777,-0.132355349788
ACH-000778,-0.287362214853
ACH-000781,-0.23730720329399999
ACH-000782,-0.266232360939
ACH-000783,-0.28837403591999994
ACH-000784,-0.22720966620400002
ACH-000785,-0.20478069915999997
ACH-000787,-0.155755633964
ACH-000788,-0.104495207389
ACH-000791,-0.288567072859
ACH-000792,-0.178686285906
ACH-000794,-0.213420685079
ACH-000796,-0.169099907661
ACH-000799,-0.225515712339
ACH-000800,0.0666478235139
ACH-000802,-0.19634703802
ACH-000804,-0.0683801940267
ACH-000805,-0.0456144402494
ACH-000809,-0.144961603977
ACH-000810,-0.329113305156
ACH-000811,-0.329294885397
