,TPT1 (7178)
ACH-000004,-0.630256485418
ACH-000007,-1.13860727799
ACH-000009,-0.927044923201
ACH-000011,-0.9768337344470001
ACH-000012,-0.771341685913
ACH-000013,-0.984168174403
ACH-000014,-0.746241922203
ACH-000015,-1.0637522903
ACH-000017,-0.49292974178000004
ACH-000018,-0.934511325502
ACH-000019,-0.880672367437
ACH-000021,-0.662533668732
ACH-000022,-0.988514806365
ACH-000025,-0.78431842964
ACH-000028,-0.644873677937
ACH-000030,-0.941519250042
ACH-000035,-0.897648036934
ACH-000036,-0.833944027677
ACH-000037,-1.5458432420700001
ACH-000039,-0.9993523334000001
ACH-000040,-1.00010597496
ACH-000041,-1.0839486061599999
ACH-000042,-0.809633803269
ACH-000045,-0.802821897063
ACH-000047,-0.732255891504
ACH-000052,-0.920282340654
ACH-000053,-0.552175346993
ACH-000054,-0.804762846123
ACH-000055,-1.0569296346100001
ACH-000060,-1.02287384064
ACH-000067,-0.9940043146449999
ACH-000070,-0.9251576523430001
ACH-000075,-0.7432818793800001
ACH-000078,-0.628945935997
ACH-000082,-0.8926318809780001
ACH-000085,-1.04169593003
ACH-000086,-0.940538435396
ACH-000087,-1.08266007298
ACH-000092,-0.8500058242790001
ACH-000095,-0.9424206002600001
ACH-000097,-0.752341530203
ACH-000098,-0.955173454807
ACH-000099,-1.10037386255
ACH-000108,-0.85152006275
ACH-000113,-0.683419693885
ACH-000115,-1.1087232213299998
ACH-000116,-0.808006882186
ACH-000118,-0.790119496681
ACH-000120,-0.915237206134
ACH-000123,-0.750530635184
ACH-000127,-0.9412777261849999
ACH-000128,-1.15342262442
ACH-000132,-1.0127636066299999
ACH-000133,-1.17620138516
ACH-000137,-0.825939787544
ACH-000138,-1.02066888985
ACH-000142,-0.793019547255
ACH-000143,-0.942961151737
ACH-000146,-0.732485483188
ACH-000148,-0.892837606761
ACH-000150,-0.88667600991
ACH-000152,-0.647121608712
ACH-000153,-0.461540715866
ACH-000159,-0.921529630217
ACH-000160,-0.791971467587
ACH-000163,-1.09178380396
ACH-000167,-1.0522590833299998
ACH-000168,-1.2616127334
ACH-000169,-1.07981704985
ACH-000178,-0.957616286063
ACH-000182,-1.0422387377
ACH-000183,-1.0857025527500002
ACH-000188,-0.990684979605
ACH-000189,-0.662090159908
ACH-000190,-0.899380949939
ACH-000198,-0.854225632536
ACH-000204,-0.6495878406310001
ACH-000206,-1.4787900011700001
ACH-000207,-0.8827917895290001
ACH-000211,-0.9227225081370001
ACH-000215,-1.02792298709
ACH-000221,-0.959981963988
ACH-000222,-1.0006783125399998
ACH-000223,-0.8420286784350001
ACH-000226,-0.853654785359
ACH-000227,-1.05728353868
ACH-000228,-0.7993187121430001
ACH-000231,-0.9713902869650001
ACH-000232,-1.0945511023799999
ACH-000233,-0.933895492661
ACH-000234,-0.7972365698180001
ACH-000235,-0.8079730404530001
ACH-000237,-0.901852537258
ACH-000238,-1.02313857804
ACH-000243,-0.846146257422
ACH-000244,-0.493526829176
ACH-000246,-0.7647224394230001
ACH-000248,-0.7408547736259999
ACH-000250,-1.0434942942799998
ACH-000251,-1.34640968357
ACH-000253,-0.7135144320769999
