,FOXF1 (2294)
ACH-000004,0.152174265955
ACH-000007,0.08749935677480002
ACH-000009,-0.023101780339
ACH-000011,-0.0195774769788
ACH-000012,0.041517377091699996
ACH-000013,0.0661928590137
ACH-000014,0.0538399230731
ACH-000015,0.0986986902693
ACH-000017,0.08748898317230001
ACH-000018,-0.026807075377000004
ACH-000019,0.0302389840998
ACH-000021,0.0780259792845
ACH-000022,0.122328639569
ACH-000025,0.19158266127700002
ACH-000028,0.168958813955
ACH-000030,0.09825674561219999
ACH-000035,0.21750633604699998
ACH-000036,-0.236170670565
ACH-000037,-0.34043685493299997
ACH-000039,-0.0190036377498
ACH-000040,0.107787787243
ACH-000041,0.032592406231
ACH-000042,-0.07664074697369999
ACH-000045,0.160276246951
ACH-000047,0.0365798053181
ACH-000052,-0.0308939439091
ACH-000053,0.0744285095672
ACH-000054,-0.0637848730939
ACH-000055,0.26869538023
ACH-000060,-0.051413741852900006
ACH-000067,-0.29120714422
ACH-000070,-0.05246932057419999
ACH-000075,0.209302459177
ACH-000078,-0.021314019350799997
ACH-000082,0.14041816301100002
ACH-000085,0.07856446235619999
ACH-000086,0.147370282912
ACH-000087,0.149622349618
ACH-000092,0.00606581550146
ACH-000095,0.030130678055699998
ACH-000097,-0.000578152057952
ACH-000098,-0.144821652971
ACH-000099,0.107911384515
ACH-000108,-0.161597087152
ACH-000113,0.09492129484639998
ACH-000115,-0.218612707038
ACH-000116,0.0269518364884
ACH-000118,0.20786991725499998
ACH-000120,-0.426304560236
ACH-000123,0.10113753788100001
ACH-000127,-0.007943077315879999
ACH-000128,0.389784887994
ACH-000132,0.0769298975341
ACH-000133,0.0907322541608
ACH-000137,0.110926439484
ACH-000138,0.16554072880100001
ACH-000142,-0.132086355023
ACH-000143,0.0675157039306
ACH-000146,0.0548257528957
ACH-000148,0.0683814363998
ACH-000150,0.0571650779048
ACH-000152,-0.0678708481774
ACH-000153,0.220851978376
ACH-000159,0.045549964495099994
ACH-000160,0.0847757203099
ACH-000163,0.06933662546739999
ACH-000167,0.0725657831785
ACH-000168,-0.00924065131521
ACH-000169,-0.0934041378395
ACH-000178,-0.0303169730424
ACH-000182,-0.0204138816705
ACH-000183,0.153489158951
ACH-000188,0.0959651449543
ACH-000189,0.24827571242199997
ACH-000190,0.149447624503
ACH-000198,0.036232311741499997
ACH-000204,-0.235702821269
ACH-000206,-0.0618604907461
ACH-000207,-0.053866609670199996
ACH-000211,0.0420108139602
ACH-000215,-0.594860924378
ACH-000221,-0.0315005018182
ACH-000222,0.044480637817699994
ACH-000223,0.113147506163
ACH-000226,-0.0785713314477
ACH-000227,0.06404761699
ACH-000228,0.07840475295839999
ACH-000231,0.21001343970699998
ACH-000232,0.107091177207
ACH-000233,0.07897456518339999
ACH-000234,-0.153359384294
ACH-000235,0.0933717335655
ACH-000237,-0.0763033512599
ACH-000238,0.009500087789680001
ACH-000243,0.131707476184
ACH-000244,0.0935199848703
ACH-000246,0.05445215680769999
ACH-000248,0.085470131862
ACH-000250,0.0473305544147
ACH-000251,0.128446587755
ACH-000253,0.137095986649
ACH-000255,0.097290165548
ACH-000256,0.20822778732500002
ACH-000257,-0.344866738134
ACH-000258,0.43495520717200004
ACH-000259,0.0630366734093
ACH-000260,0.187044826019
ACH-000261,0.0612279393406
ACH-000262,0.150529124716
ACH-000263,-0.0504739393828
ACH-000264,-0.24249101815000002
