,EFTUD2 (9343)
ACH-000004,-1.12749446081
ACH-000007,-1.2538265902099999
ACH-000009,-1.29357648594
ACH-000011,-1.00123087499
ACH-000012,-1.01975497567
ACH-000013,-1.4851174849000002
ACH-000014,-0.8326446069140001
ACH-000015,-1.08453293237
ACH-000017,-1.5026051236200002
ACH-000018,-1.17122526855
ACH-000019,-1.25906873144
ACH-000021,-1.11309147717
ACH-000022,-1.86276443572
ACH-000025,-1.1385101578799999
ACH-000028,-1.33780709875
ACH-000030,-1.30380792169
ACH-000035,-1.30449591706
ACH-000036,-1.1884166197700001
ACH-000037,-1.8940185533900002
ACH-000039,-1.1911894351799999
ACH-000040,-1.26899756451
ACH-000041,-1.2898057081799998
ACH-000042,-0.9729291823270001
ACH-000045,-1.2744175984000001
ACH-000047,-1.1040044741
ACH-000052,-1.30864577146
ACH-000053,-1.28524601307
ACH-000054,-1.12674219869
ACH-000055,-1.09722722198
ACH-000060,-0.849937728905
ACH-000067,-0.8142165322399999
ACH-000070,-1.1926372898200002
ACH-000075,-1.06471719903
ACH-000078,-1.22808889324
ACH-000082,-1.37089696132
ACH-000085,-1.0926479796200002
ACH-000086,-1.30117190136
ACH-000087,-0.806492717725
ACH-000092,-0.984822959975
ACH-000095,-1.02676686339
ACH-000097,-1.31613106005
ACH-000098,-1.12664101941
ACH-000099,-1.2070892339700001
ACH-000108,-1.2569784074099999
ACH-000113,-1.1608152982200002
ACH-000115,-2.15754657584
ACH-000116,-1.31970608807
ACH-000118,-0.9998255409029999
ACH-000120,-1.00670297202
ACH-000123,-1.19691052765
ACH-000127,-1.39075125373
ACH-000128,-1.0310711797799998
ACH-000132,-0.9958971812549999
ACH-000133,-1.4087635603100002
ACH-000137,-0.9752917291230001
ACH-000138,-0.9693853579709999
ACH-000142,-1.16434545491
ACH-000143,-1.13909106956
ACH-000146,-1.2447464064
ACH-000148,-1.28977417933
ACH-000150,-1.13644846642
ACH-000152,-1.1065652956299998
ACH-000153,-1.2724744029600001
ACH-000159,-1.0886104261799998
ACH-000160,-1.5152483651
ACH-000163,-1.20332078053
ACH-000167,-1.17232080275
ACH-000168,-0.9670346375259999
ACH-000169,-1.1912092053399999
ACH-000178,-1.197752813
ACH-000182,-1.17186415857
ACH-000183,-1.42388546426
ACH-000188,-1.18324009273
ACH-000189,-0.702374269779
ACH-000190,-1.1147270226200001
ACH-000198,-1.36106601091
ACH-000204,-1.18506768426
ACH-000206,-1.14964182282
ACH-000207,-1.4976125758899999
ACH-000211,-1.23687895599
ACH-000215,-1.38408039241
ACH-000221,-1.09808592662
ACH-000222,-1.1112208481999999
ACH-000223,-1.5240791221799999
ACH-000226,-1.39329690843
ACH-000227,-1.62308266894
ACH-000228,-1.06859150308
ACH-000231,-1.41491396654
ACH-000232,-1.21131677775
ACH-000233,-1.40188339185
ACH-000234,-1.25252927815
ACH-000235,-1.33831588558
ACH-000237,-1.1277833597600002
ACH-000238,-1.4278602981
ACH-000243,-1.1249414747
ACH-000244,-1.36379088934
ACH-000246,-0.9697267223299999
ACH-000248,-1.20314271522
ACH-000250,-1.13025350549
ACH-000251,-0.6690809072999999
ACH-000253,-1.18775529255
ACH-000255,-1.20531384256
ACH-000256,-1.2871472116399998
ACH-000257,-1.4914045286200002
ACH-000258,-1.4797596915600002
ACH-000259,-1.05058316146
ACH-000260,-1.0817391683600002
ACH-000261,-1.0275060441600001
ACH-000262,-1.13459811374
ACH-000263,-1.32990634456
ACH-000264,-1.372392864
ACH-000265,-1.3539287220299998
ACH-000266,-1.04151098237
ACH-000272,-0.927566607011
ACH-000273,-1.3961891641100002
ACH-000274,-1.51498689778
ACH-000277,-1.72021158622
ACH-000278,-1.06468449614
ACH-000279,-1.26060030574
ACH-000280,-1.3647201317299997
ACH-000281,-1.0403175392100001
ACH-000288,-1.11714302455
ACH-000291,-1.12466072683
ACH-000293,-1.53994022943
ACH-000294,-0.815796570772
ACH-000295,-1.1369511542
ACH-000296,-1.4340995119600002
ACH-000302,-1.2573505269
ACH-000304,-0.9065128950040001
ACH-000307,-1.1678800464499999
ACH-000308,-1.2384886683299998
ACH-000310,-1.15154651558
ACH-000311,-0.945810270704
ACH-000312,-1.24842549203
ACH-000315,-1.44219740689
ACH-000316,-1.3054147441500001
ACH-000317,-0.825638970108
ACH-000318,-1.01157556734
ACH-000319,-1.4689754545700002
ACH-000320,-1.37785086699
ACH-000322,-0.672397816523
ACH-000323,-1.40442836697
ACH-000324,-1.2335795653
ACH-000329,-1.4418486390399998
ACH-000330,-1.12434204184
ACH-000331,-0.925378706201
ACH-000332,-1.0576715376799999
ACH-000334,-1.66836199629
ACH-000335,-1.31211602889
ACH-000336,-1.1979458642
ACH-000337,-0.960951778792
ACH-000339,-1.28042694865
ACH-000341,-0.6520399702440001
ACH-000348,-1.0954324422700001
ACH-000350,-1.27770623142
ACH-000352,-1.1574314563099999
ACH-000356,-1.17590922731
ACH-000361,-0.8172297505060001
ACH-000362,-1.1808615336700001
ACH-000363,-1.31869116097
ACH-000364,-1.22027244259
ACH-000365,-1.3820470089899999
ACH-000366,-1.67138505632
ACH-000368,-0.9867069178460001
ACH-000374,-1.07050382655
ACH-000375,-1.45907300286
ACH-000376,-0.963831292611
ACH-000381,-1.34535662225
ACH-000383,-1.7447537315400001
ACH-000387,-1.18692993086
ACH-000389,-0.831388168133
ACH-000390,-1.24657499297
ACH-000393,-1.07932719595
ACH-000395,-1.08448388796
ACH-000397,-1.29886076691
ACH-000401,-1.0382914475799998
ACH-000402,-1.7685681894299998
ACH-000403,-1.32430827073
ACH-000404,-1.10766553764
ACH-000406,-0.998185150784
ACH-000407,-1.12522113237
ACH-000408,-1.1558786887299999
ACH-000410,-0.9105165087579999
ACH-000411,-1.08143521281
ACH-000414,-1.35927327771
ACH-000415,-1.5030926205000001
ACH-000416,-1.2104570494
ACH-000420,-0.883833804107
ACH-000421,-1.1159934010700001
ACH-000424,-1.7226379120099997
ACH-000425,-0.950316283209
ACH-000426,-1.6088827968500001
ACH-000427,-1.46093016269
ACH-000433,-1.16410634291
ACH-000436,-0.984838556837
ACH-000444,-1.1398351602299999
ACH-000445,-1.2029328767899998
ACH-000448,-1.0444166304
ACH-000450,-0.872906225177
ACH-000452,-1.28067184154
ACH-000454,-1.0966217926000001
ACH-000458,-1.2125710076
ACH-000459,-1.3523349418700001
ACH-000460,-1.06578667762
ACH-000461,-1.3504726948199999
ACH-000463,-1.08857249736
ACH-000464,-1.16775787561
ACH-000466,-1.24751739723
ACH-000467,-1.0996786063600001
ACH-000468,-1.29501080839
ACH-000469,-1.32154530534
ACH-000470,-1.4419364859200001
ACH-000471,-0.912441249118
ACH-000472,-1.53823980023
ACH-000473,-1.10644985697
ACH-000475,-1.1517026642700001
ACH-000476,-0.95187391162
ACH-000477,-0.651455536294
ACH-000480,-1.4074111169999999
ACH-000481,-1.04842247216
ACH-000483,-1.40020733625
ACH-000484,-1.28048721759
ACH-000485,-1.24609367272
ACH-000486,-1.08359110827
ACH-000487,-1.0621035540500001
ACH-000488,-1.3532282006
ACH-000490,-1.24149875797
ACH-000491,-1.19674251028
ACH-000495,-1.04665536596
ACH-000496,-0.884750061256
ACH-000499,-0.947897265168
ACH-000500,-1.64604787507
ACH-000502,-1.26404097376
ACH-000503,-0.811902473488
ACH-000505,-1.36511138831
ACH-000507,-1.39548340558
