,ATF7IP (55729)
ACH-000004,0.300218635291
ACH-000007,-0.23230763391399997
ACH-000009,-0.20436551150499999
ACH-000011,-0.177838268149
ACH-000012,0.241369714736
ACH-000013,-0.0054002797084700006
ACH-000014,-0.539234990718
ACH-000015,0.00748832408193
ACH-000017,-0.391534055576
ACH-000018,-0.08187835268789999
ACH-000019,-0.166258587522
ACH-000021,-0.226818012846
ACH-000022,-0.303492743199
ACH-000025,-0.327745273914
ACH-000028,0.077896959807
ACH-000030,0.0193148806777
ACH-000035,-0.00948874851108
ACH-000036,-0.232009372735
ACH-000037,0.0250655513001
ACH-000039,-0.290617968471
ACH-000040,-0.404540110322
ACH-000041,0.36821631781099995
ACH-000042,-0.0594559002571
ACH-000045,0.033028708889700005
ACH-000047,-0.252319701614
ACH-000052,-0.538699975192
ACH-000053,0.057452603039100006
ACH-000054,-0.26286930537
ACH-000055,-0.100646725464
ACH-000060,-0.25981385105599997
ACH-000067,0.0295766164965
ACH-000070,-0.41264558245
ACH-000075,0.0604475978149
ACH-000078,0.363235008191
ACH-000082,-0.283492028436
ACH-000085,-0.175742136419
ACH-000086,0.031042450835899998
ACH-000087,-0.24610511591200002
ACH-000092,0.334628554512
ACH-000095,0.12273080403100001
ACH-000097,-0.278135473091
ACH-000098,0.0732223741778
ACH-000099,-0.0544042106774
ACH-000108,-0.06485403050819999
ACH-000113,-0.165055205582
ACH-000115,-0.8972489849869999
ACH-000116,0.0405037935042
ACH-000118,-0.14452699879
ACH-000120,0.0138702588422
ACH-000123,-0.09751242325660002
ACH-000127,0.09207811095460001
ACH-000128,-0.318427917307
ACH-000132,0.104259537389
ACH-000133,-0.0729761405087
ACH-000137,-0.43179681853600005
ACH-000138,-0.31549774666499997
ACH-000142,-0.175752650942
ACH-000143,-0.5825869435909999
ACH-000146,-0.75840559892
ACH-000148,-0.136656136881
ACH-000150,0.22724081588599998
ACH-000152,-0.17663685172899998
ACH-000153,-0.297500784208
ACH-000159,-0.0882505277527
ACH-000160,0.0402782585296
ACH-000163,-0.0987038591497
ACH-000167,0.013996659462299998
ACH-000168,-0.367323605072
ACH-000169,-0.0802783241331
ACH-000178,-0.44599277165
ACH-000182,-0.0553441405985
ACH-000183,-0.10946353428200001
ACH-000188,0.24353303369399998
ACH-000189,0.422308088402
ACH-000190,-0.0103060564986
ACH-000198,0.106828332699
ACH-000204,-0.569098590162
ACH-000206,-0.302256062148
ACH-000207,-0.204793061908
ACH-000211,-0.215335235435
ACH-000215,-0.374642736964
ACH-000221,0.0666744828409
ACH-000222,-0.377120278793
ACH-000223,-0.30111760611
ACH-000226,-0.170401002088
ACH-000227,-0.059212364068099994
ACH-000228,-0.197300882751
