,INA (9118)
ACH-000004,0.174778511794
ACH-000007,0.067363900344
ACH-000009,-0.0615591459019
ACH-000011,-0.0850340905661
ACH-000012,-0.0812689601309
ACH-000013,-0.17554734465500002
ACH-000014,0.078845308145
ACH-000015,-0.132190817218
ACH-000017,-0.183560134481
ACH-000018,-0.119473466339
ACH-000019,0.16965852921100003
ACH-000021,0.0254405928094
ACH-000022,-0.12283715790300001
ACH-000025,-0.140685014341
ACH-000028,0.0579098336821
ACH-000030,-0.0841930705185
ACH-000035,0.00647883374862
ACH-000036,-0.009854945554040002
ACH-000037,-0.326973140944
ACH-000039,-0.109011749105
ACH-000040,0.0304823224
ACH-000041,-0.152050427265
ACH-000042,-0.0799185762033
ACH-000045,-0.0014923950418699997
ACH-000047,-0.20616055634599997
ACH-000052,0.012483870970999998
ACH-000053,-0.081964739903
ACH-000054,-0.0342438157735
ACH-000055,-0.0438406253534
ACH-000060,-0.110396740163
ACH-000067,-0.10388617430500001
ACH-000070,0.285050540662
ACH-000075,-0.19294162039
ACH-000078,-0.421939611184
ACH-000082,0.12368110495
ACH-000085,-0.269878328188
ACH-000086,-0.122191453472
ACH-000087,0.164617982443
ACH-000092,0.101934019692
ACH-000095,0.0937527499581
ACH-000097,0.0207741519064
ACH-000098,-0.19578309750300002
ACH-000099,-0.259511989538
ACH-000108,-0.10307698413699999
ACH-000113,0.0132233793648
ACH-000115,-0.265232260461
ACH-000116,-0.150468880257
ACH-000118,-0.235024221465
ACH-000120,0.0727902756972
ACH-000123,-0.152414988139
ACH-000127,-0.0900412152205
ACH-000128,-0.123917565129
ACH-000132,-0.297791179247
ACH-000133,-0.226211848772
ACH-000137,-0.38454826435500006
ACH-000138,-0.276076715615
ACH-000142,-0.16828353814599997
ACH-000143,-0.246070193739
ACH-000146,-0.07624476721960001
ACH-000148,-0.048172652433299996
ACH-000150,0.050597076078099996
ACH-000152,-0.124467589574
ACH-000153,0.0972724843687
ACH-000159,-0.301417079067
ACH-000160,0.163915891063
ACH-000163,-0.00258115294314
ACH-000167,-0.165665166369
ACH-000168,-0.158386133278
ACH-000169,-0.381376306021
ACH-000178,-0.046728178588800004
ACH-000182,-0.168552985363
ACH-000183,0.12020406384400001
ACH-000188,-0.013608125605799997
ACH-000189,-0.33662211251400004
ACH-000190,0.0635696279482
ACH-000198,0.0412133291057
ACH-000204,0.00194272136876
ACH-000206,0.057784786267300006
ACH-000207,0.17653276732700002
ACH-000211,-0.19903809601199998
ACH-000215,-0.0445917279012
ACH-000221,0.0644105585754
ACH-000222,0.18016987800999998
ACH-000223,-0.287790121753
ACH-000226,-0.0256128384123
ACH-000227,0.137670017193
ACH-000228,0.121747956618
ACH-000231,-0.0693761368141
ACH-000232,0.0902009406305
ACH-000233,0.0743891312055
ACH-000234,0.16100359692
ACH-000235,-0.023208877788499997
ACH-000237,-0.17062816532699998
ACH-000238,-0.00899028618366
ACH-000243,-0.0955967719169
ACH-000244,-0.0013494978773399998
ACH-000246,-0.08912608322010002
ACH-000248,-0.176511968492
ACH-000250,-0.20243032770599997
ACH-000251,0.00694693163466
ACH-000253,-0.24806332119600003
ACH-000255,-0.0532811528209
ACH-000256,-0.178165251448
ACH-000257,0.339453775227
ACH-000258,0.261894562342
ACH-000259,-0.14431507304400001
ACH-000260,-0.118991464045
ACH-000261,-0.0326862409937
ACH-000262,0.09930596655719999
ACH-000263,0.405239202299
ACH-000264,-0.117910848496
ACH-000265,-0.0675822582243
ACH-000266,0.040499590311
ACH-000272,-0.126753048635
ACH-000273,-0.168314774033
ACH-000274,-0.08720807246960001
ACH-000277,-0.202289421941
ACH-000278,-0.12222277089700001
ACH-000279,-0.118837216356
ACH-000280,-0.102637694219
ACH-000281,-0.0819690587935
ACH-000288,-0.179708232797
ACH-000291,-0.284025199154
ACH-000293,-0.399901577006
ACH-000294,-0.0239740978955
ACH-000295,0.010829611663500001
ACH-000296,-0.148530525803
ACH-000302,-0.190474361167
ACH-000304,-0.24370997192299998
ACH-000307,-0.021592685622
ACH-000308,-0.121798863088
ACH-000310,-0.08671960474130001
ACH-000311,0.0411898738451
ACH-000312,-0.140441073746
ACH-000315,-0.15607085938100002
ACH-000316,-0.198219616318
ACH-000317,-0.0732428436972
ACH-000318,0.264610396565
ACH-000319,-0.205456292043
ACH-000320,-0.282218347042
ACH-000322,0.0441248663131
ACH-000323,-0.09153014533539999
ACH-000324,0.0273820990238
ACH-000329,-0.23996274496
ACH-000330,-0.172389355552
ACH-000331,-0.20733480859499998
ACH-000332,-0.005661380638790001
ACH-000334,-0.19626045606800002
ACH-000335,-0.316495504506
ACH-000336,0.0808957588247
ACH-000337,-0.121837751821
ACH-000339,-0.00615459317162
ACH-000341,-0.452865656297
ACH-000348,-0.00392301308149
ACH-000350,0.027018812907400002
ACH-000352,-0.0786286945636
ACH-000356,-0.109026408509
ACH-000361,-0.36458062721100004
ACH-000362,0.0443405317863
ACH-000363,-0.26238602268100003
ACH-000364,-0.23421307183899998
