,CLSTN3 (9746)
ACH-000004,-0.347115740573
ACH-000007,-0.155086985343
ACH-000009,-0.0725822055056
ACH-000011,0.023531591632199998
ACH-000012,0.07386842613280001
ACH-000013,-0.045987775387199996
ACH-000014,0.0219475712298
ACH-000015,-0.137662430467
ACH-000017,-0.018912318540299997
ACH-000018,-0.137202846478
ACH-000019,-0.0101438537683
ACH-000021,-0.126619701171
ACH-000022,-0.0746891681218
ACH-000025,-0.0852720648182
ACH-000028,-0.12067917038699999
ACH-000030,-0.10744029510500001
ACH-000035,-0.0951285526182
ACH-000036,0.213295098876
ACH-000037,0.0500928971098
ACH-000039,-0.27379689409200003
ACH-000040,0.056473984551300004
ACH-000041,-0.201846792021
ACH-000042,0.013209583738899999
ACH-000045,-0.0707363541577
ACH-000047,-0.030703104907999997
ACH-000052,-0.21141517798700002
ACH-000053,-0.0282611184912
ACH-000054,-0.0051475042028999995
ACH-000055,0.0197423998493
ACH-000060,-0.119788845023
ACH-000067,-0.013161232399899999
ACH-000070,-0.0642325262531
ACH-000075,-0.116464064177
ACH-000078,-0.302910198465
ACH-000082,-0.11769782492999999
ACH-000085,-0.06536565826969999
ACH-000086,-0.19004759413400002
ACH-000087,-0.050381511030400006
ACH-000092,0.049066633918199994
ACH-000095,-0.031814792772099997
ACH-000097,-0.15062874791
ACH-000098,-0.00381105777034
ACH-000099,-0.0569990176374
ACH-000108,-0.141603575351
ACH-000113,0.0622260808328
ACH-000115,-0.0287855004214
ACH-000116,-0.012159380305600001
ACH-000118,-0.102763920501
ACH-000120,-0.13241673246
ACH-000123,-0.131671272235
ACH-000127,-0.168666520296
ACH-000128,-0.07615368061910001
ACH-000132,-0.070140194399
ACH-000133,-0.129246413026
ACH-000137,0.0568339880732
ACH-000138,-0.139604770583
ACH-000142,-0.241764297079
ACH-000143,-0.00896530057736
ACH-000146,-0.117303831368
ACH-000148,-0.0762626982084
ACH-000150,-0.0545021246133
ACH-000152,-0.0299252761937
ACH-000153,0.00010799151831000001
ACH-000159,-0.0199786126904
ACH-000160,-0.279875838707
ACH-000163,-0.19059653188499998
ACH-000167,-0.020015348574999998
ACH-000168,-0.050699826644599995
ACH-000169,-0.13820319172700002
ACH-000178,-0.09081379732619999
ACH-000182,-0.0692680928396
