,U2AF1 (7307)
ACH-000004,-1.00877235314
ACH-000007,-1.40616760048
ACH-000009,-1.47798325996
ACH-000011,-1.27724419275
ACH-000012,-1.4979166760299998
ACH-000013,-1.1916560203
ACH-000014,-1.27098864279
ACH-000015,-1.33487694622
ACH-000017,-1.57534212994
ACH-000018,-1.29803466843
ACH-000019,-1.43364649229
ACH-000021,-1.23527803274
ACH-000022,-1.3906909533200003
ACH-000025,-1.15966510715
ACH-000028,-1.21720600012
ACH-000030,-1.50158736445
ACH-000035,-1.22961406363
ACH-000036,-1.3882520443000002
ACH-000037,-1.83017195342
ACH-000039,-1.39750646922
ACH-000040,-1.63814566729
ACH-000041,-1.1194966873799999
ACH-000042,-1.4662639800600001
ACH-000045,-1.46353300576
ACH-000047,-1.31404595937
ACH-000052,-1.29439159471
ACH-000053,-1.33327316769
ACH-000054,-1.28590431301
ACH-000055,-1.28654021613
ACH-000060,-1.5772946913299999
ACH-000067,-1.1710841041700002
ACH-000070,-1.3377056549
ACH-000075,-1.31523309312
ACH-000078,-1.7379114489099998
ACH-000082,-1.6494242454899999
ACH-000085,-1.26336094362
ACH-000086,-1.51764274914
ACH-000087,-1.21633623969
ACH-000092,-1.38176616965
ACH-000095,-1.5248743033
ACH-000097,-1.57174657159
ACH-000098,-1.40709898796
ACH-000099,-1.7061175210100001
ACH-000108,-1.19560180921
ACH-000113,-1.43504602106
ACH-000115,-1.69541075927
ACH-000116,-1.18057611996
ACH-000118,-1.25527528809
ACH-000120,-1.4233089719299998
ACH-000123,-1.3669130432799999
ACH-000127,-1.53465311942
ACH-000128,-1.80471116357
ACH-000132,-1.21519402515
ACH-000133,-1.29350089176
ACH-000137,-1.5185767175
ACH-000138,-1.27666603962
ACH-000142,-1.33233032069
ACH-000143,-1.25199681535
ACH-000146,-1.45083370961
ACH-000148,-1.19389149936
ACH-000150,-1.3221531309899999
ACH-000152,-1.3244020104799998
ACH-000153,-1.61099209213
ACH-000159,-1.4014392516
ACH-000160,-1.15468454864
ACH-000163,-1.35578944549
ACH-000167,-1.257019464
ACH-000168,-1.11031388896
ACH-000169,-1.24398491656
ACH-000178,-1.31172585888
ACH-000182,-1.3507113176700003
ACH-000183,-1.17143130717
ACH-000188,-1.33356558202
ACH-000189,-1.37617482244
ACH-000190,-1.02009325229
ACH-000198,-1.47870604641
ACH-000204,-1.64194487409
ACH-000206,-1.3650788211200002
ACH-000207,-1.71771450014
ACH-000211,-1.4683841955
ACH-000215,-1.4305883770299999
ACH-000221,-1.3863113099700002
ACH-000222,-1.16982943369
ACH-000223,-1.6379935229700002
ACH-000226,-1.53096474433
ACH-000227,-1.5270745966200001
ACH-000228,-1.3519737712600002
ACH-000231,-1.41290687319
ACH-000232,-1.51852367365
ACH-000233,-1.41095245424
ACH-000234,-1.2790402355
ACH-000235,-1.4546913162200001
ACH-000237,-1.2671425920100001
ACH-000238,-1.5452875326700002
ACH-000243,-1.16256165278
ACH-000244,-1.1808998709
ACH-000246,-1.21862428397
ACH-000248,-1.31673584427
ACH-000250,-1.50418107415
ACH-000251,-1.0111836125
ACH-000253,-1.3938636677200003
ACH-000255,-1.2831319185799999
ACH-000256,-1.29534217719
ACH-000257,-1.5079699927099999
ACH-000258,-1.6232776294799998
ACH-000259,-1.29368556317
ACH-000260,-1.1841076817799998
ACH-000261,-1.28907770605
ACH-000262,-1.28972906759
ACH-000263,-1.49827348199
ACH-000264,-1.65724442218
ACH-000265,-1.2824108387100002
ACH-000266,-1.37926595835
ACH-000272,-1.2875920674099999
ACH-000273,-1.4811566926700002
ACH-000274,-1.59865920354
ACH-000277,-1.7082708013499999
ACH-000278,-1.1671496615899999
ACH-000279,-1.58278138497
ACH-000280,-1.1247574441600001
ACH-000281,-1.34393267876
ACH-000288,-1.48509262562
ACH-000291,-1.35116740877
ACH-000293,-1.25928068566
ACH-000294,-1.07965534051
ACH-000295,-1.29411157618
ACH-000296,-1.4938729910100002
ACH-000302,-1.4282836044100002
ACH-000304,-1.58994669537
ACH-000307,-1.5258140024000002
ACH-000308,-1.4123204363799997
ACH-000310,-1.54048776271
ACH-000311,-1.28161462923
ACH-000312,-1.3869414343700002
ACH-000315,-1.3914891574000001
ACH-000316,-1.34906591935
ACH-000317,-0.881571348645
ACH-000318,-1.31468465759
ACH-000319,-1.35352044412
ACH-000320,-1.2921730391600001
ACH-000322,-1.32048960537
ACH-000323,-1.156576895
ACH-000324,-1.31119415865
ACH-000329,-1.63035275128
ACH-000330,-1.67037395317
ACH-000331,-1.06944434562
ACH-000332,-1.20974685144
ACH-000334,-1.60890918796
ACH-000335,-1.3959795565200002
ACH-000336,-1.61077986616
ACH-000337,-1.4362878042700002
ACH-000339,-1.46314579218
ACH-000341,-1.47167082575
ACH-000348,-1.3188906328399999
ACH-000350,-1.3872433738999999
ACH-000352,-1.21651816207
ACH-000356,-1.3333188419600002
ACH-000361,-1.29909390615
