,VWCE (220001)
ACH-000004,-0.10547981743999998
ACH-000007,-0.36130877985
ACH-000009,0.09272912173319998
ACH-000011,0.08100457294419999
ACH-000012,-0.16980978147599998
ACH-000013,-0.10315666653200001
ACH-000014,0.263439991936
ACH-000015,0.0128189596372
ACH-000017,-0.0153633673494
ACH-000018,-0.0845033330267
ACH-000019,-0.269717265243
ACH-000021,-0.242228374653
ACH-000022,-0.00201421814903
ACH-000025,-0.0100049696022
ACH-000028,-0.049978370483300005
ACH-000030,-0.101814003165
ACH-000035,-0.0367647457926
ACH-000036,-0.12752486001
ACH-000037,-0.203166988833
ACH-000039,-0.132881550999
ACH-000040,-0.009549490031629998
ACH-000041,-0.017487200412099998
ACH-000042,-0.242619694781
ACH-000045,-0.0142714986898
ACH-000047,-0.046323935343699996
ACH-000052,0.031122723467500002
ACH-000053,-0.160432780674
ACH-000054,-0.115125544582
ACH-000055,0.10690091061000001
ACH-000060,0.137822935402
ACH-000067,-0.000520508819169
ACH-000070,-0.0007022097927660001
ACH-000075,-0.294619582215
ACH-000078,-0.122863921873
ACH-000082,-0.150903840151
ACH-000085,0.0030127085532099997
ACH-000086,-0.22661980144699997
ACH-000087,-0.299694430402
ACH-000092,-0.16486726588099998
ACH-000095,-0.06460861694619999
ACH-000097,-0.12829438155200001
ACH-000098,-0.00035095779159599995
ACH-000099,-0.0470973189597
ACH-000108,-0.324607993565
ACH-000113,-0.046394147158000006
ACH-000115,0.00170716656558
ACH-000116,-0.256715598134
ACH-000118,-0.185409096173
ACH-000120,-0.178089797837
ACH-000123,-0.10340829462300001
ACH-000127,-0.130877270912
ACH-000128,-0.051622829195400004
ACH-000132,-0.0982462727525
ACH-000133,-0.0496152304685
ACH-000137,0.0118673759161
ACH-000138,-0.203323539421
ACH-000142,-0.123913682688
ACH-000143,-0.194639804134
ACH-000146,0.025955465288800002
ACH-000148,0.06913569615739999
ACH-000150,-0.055274568355800004
ACH-000152,-0.17669031267700003
ACH-000153,-0.47061772133
ACH-000159,0.0307728581528
ACH-000160,-0.253669126041
ACH-000163,-0.10023925937599999
ACH-000167,-0.0600093984774
ACH-000168,-0.40295610786499997
ACH-000169,-0.0598749294931
ACH-000178,0.00764862657933
ACH-000182,-0.116111995637
ACH-000183,-0.102033118392
ACH-000188,-0.286931727014
ACH-000189,-0.274968440766
ACH-000190,-0.0322251222905
ACH-000198,-0.114430231742
ACH-000204,-0.0421407293947
ACH-000206,-0.266207110407
ACH-000207,-0.699471385656
ACH-000211,-0.10579308893999999
ACH-000215,-0.165775932093
ACH-000221,-0.0769374168326
ACH-000222,-0.257553163094
ACH-000223,-0.18173601959600003
ACH-000226,-0.035887957583800006
ACH-000227,-0.129137039972
ACH-000228,-0.22753817013099997
ACH-000231,-0.12228420218800001
ACH-000232,-0.07785686222510001
ACH-000233,-0.049144203817600006
ACH-000234,-0.047209968394
ACH-000235,-0.144510875918
ACH-000237,0.00452265056462
ACH-000238,0.230552791246
ACH-000243,-0.0954812565876
ACH-000244,-0.10970752039699999
ACH-000246,-0.0430311813037
ACH-000248,0.045864847776100004
ACH-000250,-0.04885535770740001
ACH-000251,-0.0831598654592
ACH-000253,0.0267454384186
ACH-000255,-0.0340274961045
ACH-000256,-0.0030226841019800003
ACH-000257,-0.09264350325750001
ACH-000258,0.107101417204
ACH-000259,-0.14539875348099998
ACH-000260,0.0117897276804
ACH-000261,-0.113243397563
ACH-000262,-0.277703414966
ACH-000263,0.320771838967
ACH-000264,-0.0627569750219
ACH-000265,-0.122860415103
ACH-000266,-0.14558753300000002
ACH-000272,-0.23429928917800003
ACH-000273,-0.210056482882
ACH-000274,0.105049192166
ACH-000277,-0.06181340809219999
ACH-000278,0.141857753693
ACH-000279,-0.045632904240100004
ACH-000280,-0.0427663010216
ACH-000281,0.11980288457800001
ACH-000288,-0.0212798405327
ACH-000291,0.0559330388132
ACH-000293,0.0271191299572
ACH-000294,-0.0649904752357
ACH-000295,-0.0596251003957
ACH-000296,0.111683149587
ACH-000302,-0.111862556959
ACH-000304,-0.20783209092099997
ACH-000307,-0.137514518017
ACH-000308,-0.0910699805118
ACH-000310,-0.147327385206
ACH-000311,-0.103258542772
ACH-000312,-0.012082444640500001
ACH-000315,-0.144374527349
ACH-000316,-0.0776870692174
ACH-000317,-0.187183482627
ACH-000318,-0.378271466583
ACH-000319,-0.055914427044699996
ACH-000320,-0.0804776988665
ACH-000322,-0.128719391772
ACH-000323,0.10552701054300001
ACH-000324,-0.0781788427833
ACH-000329,-0.079435958275
ACH-000330,-0.297959189658
ACH-000331,-0.0163313831106
ACH-000332,-0.081145390307
ACH-000334,-0.22915254112599998
ACH-000335,-0.038380305770099994
ACH-000336,-0.318178499194
ACH-000337,0.054435047029200004
ACH-000339,-0.09463245052089998
ACH-000341,-0.263073151934
ACH-000348,-0.00778616004609
ACH-000350,-0.143433936441
ACH-000352,-0.0693539614048
ACH-000356,-0.0853987211115
ACH-000361,0.143343968425
ACH-000362,-0.299417288972
ACH-000363,-0.16796107935
ACH-000364,-0.21503476898499999
ACH-000365,-0.142401788763
ACH-000366,-0.175838783497
ACH-000368,0.5433764523569999
ACH-000374,-0.363756918681
ACH-000375,-0.198589939938
ACH-000376,-0.0771256881567
ACH-000381,-0.0829280963035
ACH-000383,-0.0846408743703
ACH-000387,0.0791115461021
ACH-000389,0.00299923330129
ACH-000390,0.0025741358245300002
ACH-000393,-0.032589064547
ACH-000395,-0.12408439943499999
ACH-000397,-0.192450780101
ACH-000401,0.173493309723
ACH-000402,-0.08057615472639999
ACH-000403,-0.032592215294
ACH-000404,-0.367558672142
ACH-000406,-0.0940975375868
ACH-000407,-0.09455678275660001
ACH-000408,-0.256053856568
ACH-000410,-0.126766962252
ACH-000411,-0.0116102630426
ACH-000414,-0.16464311032600001
ACH-000415,-0.059339140706699996
ACH-000416,-0.050334591206400006
ACH-000420,-0.00369063972059
ACH-000421,-0.13102533775800002
ACH-000424,0.0863295748841
ACH-000425,0.045295338526
ACH-000426,-0.206450149881
ACH-000427,-0.313720162762
ACH-000433,-0.343575710027
ACH-000436,0.0535304992045
ACH-000444,-0.064791956268
ACH-000445,-0.157202311557
ACH-000448,-0.08709585254560001
ACH-000450,0.173291564548
ACH-000452,-0.0115757274897
ACH-000454,-0.032543930969700006
ACH-000458,-0.136538948819
ACH-000459,0.28559082148000003
ACH-000460,-0.140267833027
ACH-000461,-0.541598716454
ACH-000463,0.0679295930018
ACH-000464,-0.18075377898400002
ACH-000466,-0.21445294047000002
ACH-000467,-0.260953940151
ACH-000468,-0.0913768834174
ACH-000469,-0.0878024038494
ACH-000470,-0.104308103553
ACH-000471,-0.0264287811889
ACH-000472,0.00318378936215
ACH-000473,0.0281880572675
ACH-000475,-0.062178385707
ACH-000476,-0.14946968105
ACH-000477,0.15536957441299998
ACH-000480,-0.356629815538
ACH-000481,-0.19403511914000002
ACH-000483,-0.31301397273299997
ACH-000484,-0.504445315062
ACH-000485,-0.18129845548300003
ACH-000486,-0.11509458788799999
ACH-000487,-0.0435235494604
ACH-000488,-0.006881199541569999
ACH-000490,0.00985247538464
ACH-000491,0.0459432496496
ACH-000495,-0.0520286250031
ACH-000496,-0.164565784007
ACH-000499,-0.18067630411
ACH-000500,0.272526664561
ACH-000502,-0.120685264341
ACH-000503,-0.30030588507
ACH-000505,0.0633047061904
ACH-000507,-0.404897264151
ACH-000510,-0.10577705233
ACH-000511,-0.131604401908
ACH-000512,-0.334440443077
ACH-000516,0.127368516312
ACH-000517,-0.129283572692
ACH-000518,0.0880744707656
ACH-000520,-5.44317140893e-05
ACH-000521,0.200404083791
ACH-000522,-0.0456685827166
ACH-000524,0.0238644708235
ACH-000527,-0.0794421258174
ACH-000528,-0.09974907199010001
ACH-000537,-0.243583398478
ACH-000541,-0.643247254436
ACH-000542,-0.0849133228744
ACH-000544,-0.061683422201300006
ACH-000545,-0.31457380473900004
ACH-000547,0.235763338774
ACH-000548,-0.202668683264
ACH-000549,-0.09629468713410001
ACH-000550,0.035264946654
ACH-000552,-0.04215711453030001
ACH-000556,0.008764899560440001
ACH-000557,-0.19553604458299997
ACH-000570,-0.0734141690633
ACH-000571,-0.221466440445
ACH-000573,0.0688199906463
ACH-000576,-0.0358223579658
ACH-000580,-0.109141798752
ACH-000584,-0.0207294257532
ACH-000585,-0.0939500331972
ACH-000588,-0.116491810567
ACH-000589,-0.0352113913765
ACH-000591,-0.396520035027
ACH-000593,-0.0439028026143
ACH-000600,-0.033671783431
ACH-000601,-0.196163824881
ACH-000604,0.137715242081
ACH-000605,-0.250655020813
ACH-000606,-0.217030662639
ACH-000608,-0.202529617044
ACH-000614,-0.24178981107500003
ACH-000616,-0.06796781571959999
ACH-000618,-0.323572267094
ACH-000619,-0.282206630037
ACH-000620,-0.0087124091139
ACH-000621,-0.237340928216
ACH-000622,-0.21423625088599998
ACH-000623,-0.147731655579
ACH-000624,-0.0215987364043
ACH-000627,0.049613003102
ACH-000630,0.0313458919355
ACH-000632,-0.118457816079
ACH-000633,-0.0452071365681
ACH-000637,-0.144661952314
ACH-000638,-0.0250213208165
ACH-000646,-0.0791947781303
ACH-000647,-0.0550268397783
ACH-000648,-0.246101101591
ACH-000649,-0.050681156278999995
ACH-000651,-0.166361714638
ACH-000652,-0.03595706470269999
ACH-000653,-0.0476189863043
ACH-000657,-0.0804774218447
ACH-000658,-0.140739714072
ACH-000661,-0.33394470755600003
ACH-000662,0.282633297995
ACH-000663,-0.0952492893657
ACH-000665,-0.124587268124
ACH-000671,-0.022871272424
ACH-000673,-0.0243487125428
ACH-000676,0.0555105414231
ACH-000677,-0.0655224991493
ACH-000681,0.0391359984486
ACH-000682,0.0655158895615
ACH-000683,-0.128229012196
ACH-000684,0.0273911709748
