,FN3KRP (79672)
ACH-000004,-0.08625052135
ACH-000007,-0.0686129928025
ACH-000009,-0.204816035864
ACH-000011,-0.021475359116
ACH-000012,-0.0353765061899
ACH-000013,0.0141926508176
ACH-000014,0.193309734983
ACH-000015,0.0125125098279
ACH-000017,-0.138460999217
ACH-000018,-0.09945793897710001
ACH-000019,-0.127118865175
ACH-000021,-0.050996469127199996
ACH-000022,-0.0437094261742
ACH-000025,-0.0779474646954
ACH-000028,-0.0460632104512
ACH-000030,-0.09900059296980002
ACH-000035,-0.077871512435
ACH-000036,-0.36753690425499996
ACH-000037,-0.19226580279199998
ACH-000039,-0.10295808524700001
ACH-000040,-0.124002754717
ACH-000041,0.128841470632
ACH-000042,-0.025566993667200003
ACH-000045,0.044255026355
ACH-000047,-0.00819056631118
ACH-000052,0.331692749499
ACH-000053,-0.024623123473400003
ACH-000054,-0.0401081227155
ACH-000055,0.107697179003
ACH-000060,-0.0385747304435
ACH-000067,-0.226871864362
ACH-000070,0.09151846695049999
ACH-000075,-0.136275485669
ACH-000078,-0.309056124188
ACH-000082,-0.2998953641
ACH-000085,-0.044633834821100005
ACH-000086,0.0458365330626
ACH-000087,-0.039562750085300004
ACH-000092,0.131905292216
ACH-000095,-0.10251918095799999
ACH-000097,-0.180849365262
ACH-000098,0.129213526885
ACH-000099,-0.36858206395000004
ACH-000108,0.00741926674397
ACH-000113,-0.0911130186577
ACH-000115,0.0334618039523
ACH-000116,-0.1120948838
ACH-000118,-0.048050183687300005
ACH-000120,-0.03217756113
ACH-000123,-0.054596452365699995
ACH-000127,0.0432643278132
ACH-000128,-0.0635644527807
ACH-000132,0.0460188722951
ACH-000133,0.019739168878099997
ACH-000137,0.0553253672238
ACH-000138,0.050678324679800005
ACH-000142,-0.0708688923624
ACH-000143,-0.092321715346
ACH-000146,-0.251986889739
ACH-000148,-0.060555534711199996
ACH-000150,-0.0206744402493
ACH-000152,-0.144783220322
ACH-000153,-0.05799616223159999
ACH-000159,-0.14162848759299998
ACH-000160,0.047313556766800005
ACH-000163,-0.022340430582499998
ACH-000167,-0.184638539262
ACH-000168,-0.106507174796
ACH-000169,-0.151793698271
ACH-000178,-0.14421288926200002
ACH-000182,0.08848153826760001
ACH-000183,-0.10641050270199999
ACH-000188,-0.0068946054245299995
ACH-000189,-0.216153795636
ACH-000190,-0.330678057164
ACH-000198,0.0225085404666
ACH-000204,0.00512006316091
ACH-000206,-0.207508808868
ACH-000207,0.0892785984926
ACH-000211,-0.11503958564200001
ACH-000215,-0.0287602899915
ACH-000221,0.0915928399772
ACH-000222,0.286795270168
ACH-000223,-0.00842472677178
ACH-000226,0.11482425070499999
