,UBN2 (254048)
ACH-000004,-0.172593546497
ACH-000007,-0.238642694327
ACH-000009,-0.240638265117
ACH-000011,0.00974251700226
ACH-000012,-0.236640332105
ACH-000013,-0.10836312259000001
ACH-000014,-0.716613761401
ACH-000015,-0.210308525453
ACH-000017,-0.155285244051
ACH-000018,-0.0236419973009
ACH-000019,0.09285153927680001
ACH-000021,-0.44712658207199996
ACH-000022,-0.149172099174
ACH-000025,-0.325905632713
ACH-000028,-0.123779464351
ACH-000030,-0.191698323541
ACH-000035,-0.266824371372
ACH-000036,-0.29733742297
ACH-000037,-0.612923430354
ACH-000039,-0.182573894208
ACH-000040,-0.31305778252099997
ACH-000041,-0.11299200825899999
ACH-000042,-0.243132009157
ACH-000045,0.010914282194000001
ACH-000047,-0.147202292403
ACH-000052,-0.249986468389
ACH-000053,-0.28480959694499997
ACH-000054,-0.310287339268
ACH-000055,-0.0467284588557
ACH-000060,-0.139406000066
ACH-000067,-0.376819723911
ACH-000070,-0.07466777230260001
ACH-000075,-0.35363452466899997
ACH-000078,-0.419780916527
ACH-000082,-0.19129453127999999
ACH-000085,-0.152399541285
ACH-000086,-0.056493166826900004
ACH-000087,-0.113150632217
ACH-000092,-0.143192392167
ACH-000095,-0.268579140963
ACH-000097,-0.151659675087
ACH-000098,-0.198453306478
ACH-000099,-0.383495454429
ACH-000108,-0.252695677801
ACH-000113,-0.204816751773
ACH-000115,-0.101505325931
ACH-000116,-0.105727763384
ACH-000118,-0.14551568609999999
ACH-000120,-0.25941552606199997
ACH-000123,-0.448156232656
ACH-000127,-0.23500491487199998
ACH-000128,-0.10830964536399999
ACH-000132,-0.26687064333599997
ACH-000133,-0.117162057413
ACH-000137,-0.247166060833
ACH-000138,-0.21207603760000002
ACH-000142,-0.047361122694300005
ACH-000143,-0.273463146933
ACH-000146,-0.08515301547969999
ACH-000148,-0.307277446344
ACH-000150,-0.18256585028099998
ACH-000152,-0.288228392566
ACH-000153,-0.154939304707
ACH-000159,-0.459517324208
ACH-000160,-0.0032329472350799996
ACH-000163,-0.20202185226
ACH-000167,-0.6418701208250001
ACH-000168,-0.246444928856
ACH-000169,-0.12618328779899998
ACH-000178,-0.18407998162300002
ACH-000182,-0.187552127069
ACH-000183,-0.290294835297
ACH-000188,-0.0175224996217
ACH-000189,-0.0865774775143
ACH-000190,-0.0639460713291
ACH-000198,-0.23859804895199999
ACH-000204,-0.0501559265823
ACH-000206,0.15812005665999998
ACH-000207,-0.0864165332524
ACH-000211,-0.21134354368099997
ACH-000215,-0.347548943662
ACH-000221,-0.15229930045
ACH-000222,-0.274941573545
ACH-000223,-0.17593065199299998
ACH-000226,-0.17571564385000002
ACH-000227,-0.328115078952
ACH-000228,0.0124799413287
ACH-000231,-0.10060047072799999
ACH-000232,-0.464402016069
ACH-000233,-0.0938363243254
ACH-000234,-0.141658869087
ACH-000235,-0.132973463239
ACH-000237,-0.272035721846
ACH-000238,-0.20966683262000002
