,SEC24D (9871)
ACH-000004,0.235345048509
ACH-000007,0.300413349461
ACH-000009,0.116027368323
ACH-000011,0.18596408428199998
ACH-000012,0.229116508795
ACH-000013,0.170210744724
ACH-000014,0.135037712315
ACH-000015,0.0511444206708
ACH-000017,0.289115326846
ACH-000018,0.0301341427533
ACH-000019,0.149148976461
ACH-000021,0.13493696565500002
ACH-000022,0.0386388519886
ACH-000025,0.23929830495999999
ACH-000028,0.124703020411
ACH-000030,0.17054637632
ACH-000035,0.042700051286599996
ACH-000036,0.24593838218400002
ACH-000037,0.036949464206599995
ACH-000039,0.46978365199699995
ACH-000040,0.227267178442
ACH-000041,0.025483503201599998
ACH-000042,0.126480334241
ACH-000045,0.05214074566930001
ACH-000047,0.200190790072
ACH-000052,0.303440428501
ACH-000053,0.20222008982099998
ACH-000054,0.16258165605799998
ACH-000055,0.09394642341610002
ACH-000060,0.0180899412442
ACH-000067,0.268563131857
ACH-000070,0.0201366283775
ACH-000075,0.108157796685
ACH-000078,0.160034871296
ACH-000082,0.111331155116
ACH-000085,0.00973069000747
ACH-000086,0.14808586929099998
ACH-000087,0.275258227284
ACH-000092,0.0924249799662
ACH-000095,0.316273556162
ACH-000097,0.0640020933813
ACH-000098,0.0594605626681
ACH-000099,0.177204928065
ACH-000108,0.31141863534
ACH-000113,0.0928088401263
ACH-000115,0.246081107828
ACH-000116,0.07001255996389999
ACH-000118,0.22973277942499998
ACH-000120,-0.17253790721599999
ACH-000123,0.19231052435600002
ACH-000127,0.07717619060519999
ACH-000128,0.259897877703
ACH-000132,0.177927315176
ACH-000133,0.19075776380999998
ACH-000137,0.0677446638221
ACH-000138,0.229379259134
ACH-000142,0.22173854828200001
ACH-000143,0.196460829604
ACH-000146,0.174636551106
ACH-000148,0.0175489413643
ACH-000150,0.297296114938
ACH-000152,0.119541223439
ACH-000153,-0.0314093664548
ACH-000159,0.19579593788400002
ACH-000160,-0.101791597588
ACH-000163,-0.0265577470595
ACH-000167,0.252424870086
ACH-000168,0.232781434405
ACH-000169,0.0357087629817
ACH-000178,0.11317290897900001
ACH-000182,0.25351719978500004
ACH-000183,-0.09578891110269999
ACH-000188,0.196663489543
ACH-000189,0.059768490849599995
ACH-000190,-0.24103521398000002
ACH-000198,0.206792655707
ACH-000204,0.0057334796639
ACH-000206,0.118374117993
ACH-000207,0.042611250540699995
ACH-000211,0.0156661112173
ACH-000215,0.09657084485200002
ACH-000221,0.0706545301325
ACH-000222,0.09948983843689999
ACH-000223,0.103057214251
ACH-000226,0.133414980406
ACH-000227,0.146326607275
ACH-000228,0.0726078284556
ACH-000231,0.0979388845955
ACH-000232,0.12569599132200002
ACH-000233,0.167408466096
ACH-000234,-0.0269176642531
ACH-000235,0.129471691392
ACH-000237,0.10774981261199999
ACH-000238,0.228011025112
ACH-000243,0.12150306960799999
ACH-000244,0.0429453149488
ACH-000246,0.0670664746446
ACH-000248,-0.00173945968469
ACH-000250,0.061834778279599996
ACH-000251,0.045042439935800004
ACH-000253,0.0359196237292
ACH-000255,0.11418199434800001
ACH-000256,0.304522746332
ACH-000257,0.0546432829021
ACH-000258,-0.0192670424043
ACH-000259,0.127326232128
ACH-000260,0.119564757543
ACH-000261,0.131469101217
ACH-000262,0.159384636548
ACH-000263,0.113091371949
ACH-000264,0.15282060902
ACH-000265,0.0427378477054
ACH-000266,0.10646067920499999
ACH-000272,0.055261996978
ACH-000273,0.121148122567
ACH-000274,0.22378242111299998
ACH-000277,0.229116899058
ACH-000278,0.165021403268
ACH-000279,0.15387583091600002
ACH-000280,0.35580701893600003
ACH-000281,0.09622674425359999
ACH-000288,0.18082574691599998
ACH-000291,0.175915200346
ACH-000293,0.119517964754
ACH-000294,0.0986777436506
ACH-000295,0.0308512775704
ACH-000296,-0.038177086665
ACH-000302,0.132947026557
ACH-000304,0.29878978370299997
ACH-000307,0.223932823146
ACH-000308,0.11413865545600001
ACH-000310,0.251397606357
ACH-000311,0.132822801881
ACH-000312,0.207567611939
ACH-000315,-0.22415751466400002
ACH-000316,0.0208287549684
ACH-000317,0.287965640825
ACH-000318,0.16910700757599997
ACH-000319,0.118013833771
ACH-000320,0.165393748894
