,POLR2A (5430)
ACH-000004,-1.9591151070599997
ACH-000007,-1.7849025400299998
ACH-000009,-1.7970525098400003
ACH-000011,-1.17531755094
ACH-000012,-1.45002948863
ACH-000013,-1.84217809944
ACH-000014,-1.56049411114
ACH-000015,-1.45494264199
ACH-000017,-1.68641391691
ACH-000018,-1.51075369351
ACH-000019,-1.67945556984
ACH-000021,-1.36446954192
ACH-000022,-1.6161151172400001
ACH-000025,-1.47731955684
ACH-000028,-1.32536138611
ACH-000030,-1.5563981636200002
ACH-000035,-1.7053094694
ACH-000036,-1.6234662982299999
ACH-000037,-2.57080297102
ACH-000039,-1.64985630941
ACH-000040,-1.43669670713
ACH-000041,-1.26020604152
ACH-000042,-1.58552964429
ACH-000045,-1.65114990732
ACH-000047,-1.5090458774200002
ACH-000052,-1.4944035290600002
ACH-000053,-1.6469454780700001
ACH-000054,-1.72889349778
ACH-000055,-1.44829384133
ACH-000060,-1.68987427984
ACH-000067,-1.6664377990299999
ACH-000070,-1.6457307798899998
ACH-000075,-1.42401064514
ACH-000078,-1.67487668435
ACH-000082,-1.61708774322
ACH-000085,-1.5112688083
ACH-000086,-1.4461051768700002
ACH-000087,-1.63277418743
ACH-000092,-1.2498699870399999
ACH-000095,-1.8835746438499998
ACH-000097,-1.7642765213299998
ACH-000098,-1.73327152574
ACH-000099,-1.79926787072
ACH-000108,-1.4906133278799998
ACH-000113,-1.7136447748199999
ACH-000115,-2.4596828039200003
ACH-000116,-1.68441802846
ACH-000118,-1.4588112557600001
ACH-000120,-1.58969817788
ACH-000123,-1.6219686907799997
ACH-000127,-1.6424068131799998
ACH-000128,-1.19478831659
ACH-000132,-1.5889012364300001
ACH-000133,-1.4163717204100001
ACH-000137,-1.64646198877
ACH-000138,-1.6238915637
ACH-000142,-1.5531435521899999
ACH-000143,-1.7188072814700002
ACH-000146,-2.21637669126
ACH-000148,-1.6870459029
ACH-000150,-1.42924608299
ACH-000152,-1.63415735122
ACH-000153,-1.42581290575
ACH-000159,-1.6979326628100002
ACH-000160,-1.16714500873
ACH-000163,-1.57473364854
ACH-000167,-1.68495117439
ACH-000168,-1.5405299918000002
ACH-000169,-1.4579254320299997
ACH-000178,-1.57937542169
ACH-000182,-1.68918051674
ACH-000183,-1.8613418298400002
ACH-000188,-1.4896029019600001
ACH-000189,-1.30962524422
ACH-000190,-1.21176447257
ACH-000198,-1.91194984288
ACH-000204,-1.48327109756
ACH-000206,-1.40620209555
ACH-000207,-2.04339946196
ACH-000211,-1.35852539567
ACH-000215,-1.4760827701600001
ACH-000221,-1.57162157141
ACH-000222,-1.5650068342399999
ACH-000223,-1.6966104073800001
ACH-000226,-1.34869102558
ACH-000227,-1.9580524235799999
ACH-000228,-1.53006095863
ACH-000231,-1.51580080178
ACH-000232,-1.64633553498
ACH-000233,-1.61225314192
ACH-000234,-1.79380348562
ACH-000235,-1.7190597586200003
ACH-000237,-1.70881092689
ACH-000238,-1.59783613485
ACH-000243,-1.59590051838
ACH-000244,-1.5691255607199999
ACH-000246,-1.49320186146
ACH-000248,-1.51226582816
ACH-000250,-1.899301753
ACH-000251,-1.26944943924
ACH-000253,-1.7766785059799999
ACH-000255,-1.32394826
ACH-000256,-1.36588820747
ACH-000257,-1.6895212919299998
ACH-000258,-1.54419973807
ACH-000259,-1.4835324245
ACH-000260,-1.68560472629
ACH-000261,-1.5417966389200002
ACH-000262,-1.4419953309600002
ACH-000263,-1.43792033907
ACH-000264,-1.3851498674899998
ACH-000265,-1.49998020433
ACH-000266,-1.6316616465399998
ACH-000272,-1.32053815136
ACH-000273,-1.62304038666
ACH-000274,-1.7417170775400002
ACH-000277,-1.51437318463
ACH-000278,-1.60994333247
ACH-000279,-1.53193390206
ACH-000280,-1.62824591842
ACH-000281,-1.8393510393799999
ACH-000288,-1.56793410711
ACH-000291,-1.44867129125
ACH-000293,-1.7223355853400002
ACH-000294,-2.0189264454900004
ACH-000295,-1.5966211067899998
ACH-000296,-1.47101925254
ACH-000302,-1.7023024822100001
ACH-000304,-1.31354022518
ACH-000307,-1.2248295694700002
ACH-000308,-1.56625906019
ACH-000310,-2.0303952446599998
ACH-000311,-1.56570545437
ACH-000312,-1.5170482760799997
ACH-000315,-1.60467404342
ACH-000316,-1.51930628274
ACH-000317,-1.08078640513
ACH-000318,-1.5840491276100002
ACH-000319,-1.77346910447
ACH-000320,-1.5631259591600002
ACH-000322,-1.7943869346099999
ACH-000323,-1.45824402785
ACH-000324,-1.72626025697
ACH-000329,-1.8830072010099999
ACH-000330,-1.64612511144
ACH-000331,-1.4685702336700002
ACH-000332,-1.4831417663799997
ACH-000334,-2.71380893993
ACH-000335,-1.53158439788
ACH-000336,-1.6985837573
ACH-000337,-1.6577477915999999
ACH-000339,-1.5868347015000002
ACH-000341,-1.50894317317
ACH-000348,-1.7786670799400002
ACH-000350,-1.51090149537
ACH-000352,-1.8308184906
ACH-000356,-1.4417237364
ACH-000361,-1.3870642037099998
ACH-000362,-1.8986704405500001
ACH-000363,-1.9503803659999999
ACH-000364,-1.74320991897
ACH-000365,-1.8992059590500001
ACH-000366,-1.67154677944
ACH-000368,-1.47452172867
ACH-000374,-1.37125885502
ACH-000375,-1.66006665834
ACH-000376,-1.5533638516400001
ACH-000381,-1.77340413181
ACH-000383,-1.8983622842200003
ACH-000387,-1.6512661259
ACH-000389,-1.5535827161200002
ACH-000390,-1.6565784561899999
ACH-000393,-1.53979315243
ACH-000395,-1.8778553389200001
ACH-000397,-1.5735820583000002
ACH-000401,-1.53149174435
ACH-000402,-2.21912174384
ACH-000403,-2.0296301043200002
ACH-000404,-1.7861605639099998
ACH-000406,-1.7980069098900002
ACH-000407,-1.3944880000100002
ACH-000408,-1.2915545022200001
ACH-000410,-1.3787201408
ACH-000411,-1.4426444729700003
ACH-000414,-1.67454397579
ACH-000415,-1.75976325592
ACH-000416,-1.5765452528
ACH-000420,-1.3984220261200002
ACH-000421,-1.48622814137
ACH-000424,-1.21613330495
ACH-000425,-1.4889411858200001
ACH-000426,-1.57252635426
ACH-000427,-1.6437690282100001
ACH-000433,-1.39864111419
ACH-000436,-1.80987312218
ACH-000444,-1.46811218844
ACH-000445,-1.3621747682299998
ACH-000448,-1.2691516164899999
ACH-000450,-1.38739165575
ACH-000452,-1.54776761847
ACH-000454,-1.1461116500200002
ACH-000458,-1.47532824736
ACH-000459,-2.31201459135
ACH-000460,-1.5869254237600001
ACH-000461,-1.5548366099899997
ACH-000463,-1.43202206185
ACH-000464,-1.4052562447299999
ACH-000466,-1.29034139472
ACH-000467,-1.5122237305700001
ACH-000468,-2.09954843029
ACH-000469,-1.60986320496
ACH-000470,-1.9976941982299998
ACH-000471,-1.73781409688
ACH-000472,-1.8236681593200001
ACH-000473,-1.4977126073299998
ACH-000475,-1.6899377863499998
ACH-000476,-1.35075525466
ACH-000477,-0.788269625235
ACH-000480,-1.20795473168
ACH-000481,-1.6123339158399999
ACH-000483,-2.11313032578
ACH-000484,-1.2961189222
ACH-000485,-1.64488592938
ACH-000486,-1.55319481613
ACH-000487,-1.7073098513499998
ACH-000488,-1.77671342713
ACH-000490,-1.41059941616
ACH-000491,-1.93293892312
ACH-000495,-1.23227425711
ACH-000496,-1.74655605333
ACH-000499,-1.36689392898
ACH-000500,-1.6623807131400001
ACH-000502,-1.68388592926
ACH-000503,-1.5118593097
ACH-000505,-1.5880762910600001
ACH-000507,-1.71374011877
ACH-000510,-1.62947004854
ACH-000511,-1.49968337167
ACH-000512,-1.69686204521
ACH-000516,-1.66437238946
ACH-000517,-1.72788906885
ACH-000518,-1.47437880041
ACH-000520,-1.5113124269299998
ACH-000521,-1.3615385665200002
ACH-000522,-1.4205006681
ACH-000524,-1.8325660638299999
ACH-000527,-1.7297325879900003
ACH-000528,-1.59654018304
ACH-000537,-1.37789174722
ACH-000541,-1.61596510655
ACH-000542,-1.42563167544
ACH-000544,-1.3167034524299999
ACH-000545,-1.4176713962600003
ACH-000547,-1.39616402476
