,CCAR1 (55749)
ACH-000004,-0.985622485593
ACH-000007,-1.0020575521500001
ACH-000009,-1.00871858923
ACH-000011,-0.910577835261
ACH-000012,-0.958135112149
ACH-000013,-0.857642682436
ACH-000014,-0.773850188213
ACH-000015,-1.1632033528299999
ACH-000017,-1.1272119115500001
ACH-000018,-0.9596825192589999
ACH-000019,-0.0791143709985
ACH-000021,-0.8776853876719999
ACH-000022,-0.56559759081
ACH-000025,-0.995009307719
ACH-000028,-0.506858415755
ACH-000030,-0.9887276936210001
ACH-000035,-1.18547099585
ACH-000036,-0.441156584793
ACH-000037,-1.26729984992
ACH-000039,-1.01282451748
ACH-000040,-0.47270332828199996
ACH-000041,-0.788383779306
ACH-000042,-1.0442194947299999
ACH-000045,-0.8527021250460001
ACH-000047,-0.885425280521
ACH-000052,-0.74752073779
ACH-000053,-0.671988291084
ACH-000054,-0.499617886518
ACH-000055,-0.952689846377
ACH-000060,-0.9085509423620001
ACH-000067,-1.43046598012
ACH-000070,-0.611290381578
ACH-000075,-0.803661266997
ACH-000078,-0.9841862873360001
ACH-000082,-0.649583819795
ACH-000085,-0.943819052192
ACH-000086,-0.780495827264
ACH-000087,-0.7483485402060001
ACH-000092,-0.868426761022
ACH-000095,-0.553829036338
ACH-000097,-0.620359967379
ACH-000098,-0.8161236551250001
ACH-000099,-0.982221764531
ACH-000108,-0.7625516982189999
ACH-000113,-0.999502738903
ACH-000115,-1.07149394844
ACH-000116,-0.9913666232780001
ACH-000118,-0.7725971719370001
ACH-000120,-0.29234622986
ACH-000123,-0.720895501072
ACH-000127,-0.868458715066
ACH-000128,-0.5742797064199999
ACH-000132,-0.991284245044
ACH-000133,-1.06333146951
ACH-000137,-0.784716260819
ACH-000138,-0.923149063773
ACH-000142,-0.93070243828
ACH-000143,-0.865622041512
ACH-000146,-0.6676898232
ACH-000148,-0.778353730256
ACH-000150,-0.8330743362819999
ACH-000152,-0.8947668470640001
ACH-000153,-0.600385270554
ACH-000159,-0.721703005142
ACH-000160,-0.425900198452
ACH-000163,-0.8882540995649999
ACH-000167,-0.6499024889689999
ACH-000168,-0.5998548673390001
ACH-000169,-0.41961562544500003
ACH-000178,-0.8371909427650001
ACH-000182,-1.1120103916
ACH-000183,-0.634058094238
ACH-000188,-1.0307090466600002
ACH-000189,-0.847522439863
ACH-000190,-0.43140345992
ACH-000198,-0.902785351215
ACH-000204,-0.8021981260609999
ACH-000206,-0.820524219401
ACH-000207,-1.03015982009
ACH-000211,-0.8495504550920001
ACH-000215,-0.564135965424
ACH-000221,-1.20280396163
ACH-000222,-0.701108078963
ACH-000223,-0.671450736651
ACH-000226,-0.743747601118
ACH-000227,-0.975426159692
ACH-000228,-0.70973052358
ACH-000231,-0.733046532575
ACH-000232,-0.70568776773
ACH-000233,-0.979985301152
ACH-000234,-0.5951994358780001
ACH-000235,-1.01585223462
ACH-000237,-1.18136039621
ACH-000238,-1.0349377117899998
ACH-000243,-0.796155927409
ACH-000244,-0.712197167099
ACH-000246,-0.5688347611
ACH-000248,-0.928975820846
ACH-000250,-0.7902705189779999
ACH-000251,-1.10792796797
ACH-000253,-0.624210728681
ACH-000255,-1.04918106774
ACH-000256,-1.13844358808
ACH-000257,-0.916929707651
ACH-000258,-0.9122836817309999
ACH-000259,-1.1351016292799998
ACH-000260,-0.907728219551
ACH-000261,-0.6812263977770001
ACH-000262,-0.8254035362459999
ACH-000263,-1.19373666705
ACH-000264,-0.406263362197
ACH-000265,-0.9475030681509999
ACH-000266,-0.844714790762
ACH-000272,-0.865214346817
ACH-000273,-0.975599006283
ACH-000274,-0.405028838921
ACH-000277,-0.235071534034
ACH-000278,-0.909065599003
ACH-000279,-1.0568636281200001
ACH-000280,-0.852020480331
ACH-000281,-1.1912719113799999
ACH-000288,-1.0140862077
ACH-000291,-0.794378281249
ACH-000293,-0.9999647850210001
ACH-000294,-0.7486497099420001
ACH-000295,-1.33584843082
ACH-000296,-1.06560111785
ACH-000302,-0.8940558286660001
ACH-000304,-0.800675297394
ACH-000307,-1.1891398264700002
ACH-000308,-1.01714603126
ACH-000310,-0.756099455531
ACH-000311,-0.657847805099
ACH-000312,-0.383529350479
ACH-000315,-0.503166405094
ACH-000316,-1.13537034273
ACH-000317,-0.663039780277
ACH-000318,-1.11817975079
ACH-000319,-0.932150273888
ACH-000320,-0.630713199807
ACH-000322,-0.581716003416
ACH-000323,-0.632666064819
ACH-000324,-0.9338510993019999
ACH-000329,-0.744141857317
ACH-000330,-0.8872809136990001
ACH-000331,-0.99129838081
ACH-000332,-0.8390217367399999
ACH-000334,-0.844836176262
ACH-000335,-0.9750745295290001
ACH-000336,-0.9457121111489999
ACH-000337,-0.9749515086630001
ACH-000339,-1.12529096984
ACH-000341,-1.1585964342200001
ACH-000348,-0.8635292451729999
ACH-000350,-0.846907398257
ACH-000352,-0.830243589118
ACH-000356,-0.85049299146
ACH-000361,-1.4664466940099998
ACH-000362,-0.800330084573
ACH-000363,-0.6603121446970001
ACH-000364,-1.09023805894
ACH-000365,-0.6930957845610001
ACH-000366,-0.767008029631
ACH-000368,-0.8252275310070001
ACH-000374,-1.18564090442
ACH-000375,-1.0612353837200001
ACH-000376,-0.360771299764
ACH-000381,-0.73426884124
ACH-000383,-0.927797989753
ACH-000387,-0.860992035476
ACH-000389,-0.656761124605
ACH-000390,-0.787168447792
ACH-000393,-0.480993862768
ACH-000395,-0.9587072248720001
ACH-000397,-1.21481988143
ACH-000401,-1.06149001723
ACH-000402,-0.682495242687
ACH-000403,-0.7101806535590001
ACH-000404,-0.34265487249399995
ACH-000406,-0.7074290387209999
ACH-000407,-0.852220635857
ACH-000408,-0.9412784117569999
ACH-000410,-0.6409688750379999
ACH-000411,-0.385614769081
ACH-000414,-0.995440004059
ACH-000415,-1.3685808984299999
ACH-000416,-0.888472498584
ACH-000420,-0.7059891035529999
ACH-000421,-0.9932324526549999
ACH-000424,-0.68047740155
ACH-000425,-0.980416006855
ACH-000426,-0.77015925287
ACH-000427,-0.73625215552
ACH-000433,-0.812948301134
ACH-000436,-0.956134322527
ACH-000444,-0.7129844284970001
ACH-000445,-1.4114203762
ACH-000448,-0.8049697858779999
ACH-000450,-0.814806534597
ACH-000452,-0.589134173028
ACH-000454,-1.0630967204600001
