,NIPSNAP3B (55335)
ACH-000004,-0.45559048681000003
ACH-000007,-0.469813926237
ACH-000009,-0.301103989058
ACH-000011,0.060098524502099994
ACH-000012,-0.29908763178500003
ACH-000013,-0.196947153041
ACH-000014,-0.253222835922
ACH-000015,-0.291419287099
ACH-000017,-0.283441835011
ACH-000018,-0.290120295358
ACH-000019,0.052851997989999996
ACH-000021,-0.331353992656
ACH-000022,-0.218123608869
ACH-000025,-0.015658689524100003
ACH-000028,-0.125278750031
ACH-000030,-0.311696010896
ACH-000035,-0.147275599739
ACH-000036,-0.19441186867899998
ACH-000037,-0.476106142843
ACH-000039,-0.341747640445
ACH-000040,-0.42672498678599996
ACH-000041,0.048245703706300005
ACH-000042,-0.19674137849599999
ACH-000045,-0.166653536062
ACH-000047,-0.157825057597
ACH-000052,0.0636778651495
ACH-000053,-0.403075695149
ACH-000054,-0.34206462141099997
ACH-000055,-0.173705331765
ACH-000060,-0.20143647838
ACH-000067,-0.160727297992
ACH-000070,-0.10876305622400001
ACH-000075,-0.229652240827
ACH-000078,-0.306455049004
ACH-000082,-0.0724837711524
ACH-000085,-0.39063522165799996
ACH-000086,-0.28228999397
ACH-000087,-0.34864130032799995
ACH-000092,-0.17578857486299998
ACH-000095,-0.19966640406599998
ACH-000097,-0.178092486789
ACH-000098,-0.191110269121
ACH-000099,-0.369343500924
ACH-000108,-0.239732708698
ACH-000113,-0.42777665837800005
ACH-000115,-0.145339714347
ACH-000116,-0.239776667442
ACH-000118,-0.16266524419199999
ACH-000120,-0.251460874493
ACH-000123,-0.280576912612
ACH-000127,-0.23463598828200002
ACH-000128,-0.0476933958373
ACH-000132,-0.18910681289200001
ACH-000133,-0.171401589171
ACH-000137,-0.338272302059
ACH-000138,-0.40212206001
ACH-000142,0.0865665638723
ACH-000143,-0.277849192703
ACH-000146,-0.130565092489
ACH-000148,-0.227288851805
ACH-000150,-0.15638661833599998
ACH-000152,-0.17764823816300002
ACH-000153,-0.493148312583
ACH-000159,-0.298870362933
ACH-000160,-0.296832321447
ACH-000163,-0.303885301316
ACH-000167,-0.042220660665800006
ACH-000168,-0.46013787936399997
ACH-000169,-0.0965897147889
ACH-000178,-0.250749836725
ACH-000182,-0.291975365484
ACH-000183,-0.0644589706649
ACH-000188,-0.373076095019
ACH-000189,-0.515459498476
ACH-000190,-0.804183516373
ACH-000198,-0.19129028114399999
ACH-000204,-0.6585801359719999
ACH-000206,-0.275174433733
ACH-000207,-0.022358868793500002
ACH-000211,-0.113450393334
ACH-000215,-0.201936047527
ACH-000221,0.111909379302
ACH-000222,0.146207152327
ACH-000223,-0.321416020583
ACH-000226,-0.310991870701
ACH-000227,-0.21399771163400003
ACH-000228,-0.230473280484
ACH-000231,-0.262506084024
ACH-000232,-0.16246834546299999
ACH-000233,-0.19352288063700002
ACH-000234,-0.328543929515
ACH-000235,-0.41939391889899996
ACH-000237,-0.389454394869
ACH-000238,0.042505517274199996
ACH-000243,-0.16651439568499998
ACH-000244,-0.091903096733
ACH-000246,-0.211107856723
ACH-000248,-0.141988873853
ACH-000250,-0.304068077625
ACH-000251,0.0980140591287
ACH-000253,-0.415505452594
ACH-000255,-0.16536962011
ACH-000256,-0.208408438605
ACH-000257,-0.33328903805599996
ACH-000258,-0.144960896417
ACH-000259,-0.14967576067900001
ACH-000260,-0.398745922545
ACH-000261,-0.0933473299295
ACH-000262,-0.276658719807
ACH-000263,0.20523707344500003
ACH-000264,-0.17270259448300002
ACH-000265,-0.201899490581
ACH-000266,-0.237034219164
ACH-000272,-0.324577343154
ACH-000273,-0.646515641935
ACH-000274,-0.434640692486
ACH-000277,-0.234605907229
ACH-000278,-0.330402160356
ACH-000279,-0.146685758629
ACH-000280,-0.435930101791
