,DAO (1610)
ACH-000004,-0.370600939015
ACH-000007,-0.30746291367199996
ACH-000009,-0.203116895469
ACH-000011,-0.19121037196
ACH-000012,-0.0712984575215
ACH-000013,-0.18373073199999998
ACH-000014,-0.202478672745
ACH-000015,-0.108472757409
ACH-000017,-0.042838975097099996
ACH-000018,-0.311724166481
ACH-000019,0.0181784556916
ACH-000021,-0.230707636956
ACH-000022,-0.16300557351199998
ACH-000025,-0.256179100141
ACH-000028,-0.0895370606142
ACH-000030,-0.092370549524
ACH-000035,-0.201415949576
ACH-000036,-0.11382730822699999
ACH-000037,-0.41673182079000004
ACH-000039,-0.0957169078365
ACH-000040,-0.184345309505
ACH-000041,-0.231238779654
ACH-000042,-0.327462345907
ACH-000045,-0.242971999125
ACH-000047,-0.160332048484
ACH-000052,-0.0823216664115
ACH-000053,-0.18096114209000003
ACH-000054,-0.16436112654
ACH-000055,-0.242624807279
ACH-000060,-0.151662186667
ACH-000067,-0.231647217246
ACH-000070,-0.209683190324
ACH-000075,-0.222857331811
ACH-000078,-0.22923202831999998
ACH-000082,-0.258751698569
ACH-000085,-0.437326806308
ACH-000086,-0.11800250111600001
ACH-000087,0.083712121651
ACH-000092,-0.143894811306
ACH-000095,-0.153757510221
ACH-000097,-0.0963088830738
ACH-000098,-0.16265762072599999
ACH-000099,-0.187083018332
ACH-000108,-0.143897332666
ACH-000113,-0.215829774602
ACH-000115,-0.188255743645
ACH-000116,-0.161852614053
ACH-000118,-0.24758033589899997
ACH-000120,-0.127282861722
ACH-000123,-0.239156737797
ACH-000127,-0.167054711966
ACH-000128,-0.482705236598
ACH-000132,-0.168922274712
ACH-000133,-0.253520459202
ACH-000137,-0.374666636655
ACH-000138,-0.217033819432
ACH-000142,-0.171068528763
ACH-000143,-0.0951674484279
ACH-000146,-0.0197030327849
ACH-000148,-0.0798928252072
ACH-000150,-0.22740720745499998
ACH-000152,-0.153827795853
ACH-000153,-0.110024313738
ACH-000159,-0.22504435202300002
ACH-000160,-0.11777094024700001
ACH-000163,-0.289003389925
ACH-000167,-0.09474428458869999
ACH-000168,-0.36672183644100004
ACH-000169,-0.17493083296599998
ACH-000178,-0.098928562688
ACH-000182,-0.14134741595
ACH-000183,-0.326303869144
ACH-000188,-0.020817921609200003
ACH-000189,-0.262180975688
ACH-000190,-0.316791285819
ACH-000198,-0.223766790526
ACH-000204,-0.09415598052639998
ACH-000206,-0.243436061175
ACH-000207,-0.017639877371700002
ACH-000211,-0.171092521711
ACH-000215,-0.301526541217
ACH-000221,-0.24332359229000003
ACH-000222,-0.167629049045
ACH-000223,-0.22614025266999996
ACH-000226,-0.0371639721366
ACH-000227,-0.349700129392
ACH-000228,-0.0609790523519
ACH-000231,-0.139610336318
ACH-000232,-0.17180765349
ACH-000233,-0.22540379632899998
ACH-000234,-0.372916796075
ACH-000235,-0.246259586167
ACH-000237,-0.257959586958
ACH-000238,-0.0780564758118
ACH-000243,-0.131258987983
ACH-000244,-0.19330985128699998
ACH-000246,-0.0557434151266
ACH-000248,-0.185634582932
ACH-000250,-0.297627689914
ACH-000251,-0.17503294528000002
ACH-000253,-0.18479855967199998
ACH-000255,0.025820856645
ACH-000256,0.046572517231400004
ACH-000257,-0.46590227949900004
ACH-000258,-0.368275291382
ACH-000259,-0.21999215151
ACH-000260,-0.21833626619399998
ACH-000261,-0.26096305623300003
ACH-000262,-0.340189282764
ACH-000263,-0.0591407488334
ACH-000264,-0.127570572985
ACH-000265,-0.23671012716899997
ACH-000266,-0.249448838163
ACH-000272,-0.152398149681
ACH-000273,-0.136658094881
ACH-000274,-0.107798163152
ACH-000277,0.050736079454300004
ACH-000278,-0.460935622747
ACH-000279,-0.0797745145059
ACH-000280,-0.06828918721880001
ACH-000281,-0.545106759349
ACH-000288,-0.176068983116
ACH-000291,-0.22991251298
ACH-000293,-0.012035380059799998
ACH-000294,-0.07967843495730001
ACH-000295,-0.29687761872900004
ACH-000296,-0.24342838381999998
ACH-000302,-0.114360625132
ACH-000304,0.077144640732
ACH-000307,-0.200491936363
ACH-000308,-0.148967645973
ACH-000310,0.0494914427827
ACH-000311,-0.243644210883
ACH-000312,-0.22108502844500003
ACH-000315,-0.17938492733199998
ACH-000316,-0.22669212230099997
ACH-000317,-0.0657369587669
ACH-000318,-0.250171457007
ACH-000319,-0.08686431023769998
ACH-000320,-0.22145521256200001
ACH-000322,-0.128705635408
ACH-000323,-0.180151826638
ACH-000324,-0.154514842046
ACH-000329,-0.146198404872
ACH-000330,-0.220035413838
ACH-000331,-0.163291414075
ACH-000332,-0.21465176863699997
ACH-000334,-0.174433458348
ACH-000335,-0.26088441692
ACH-000336,-0.043794626994000004
ACH-000337,-0.15477786052
ACH-000339,-0.134871757884
ACH-000341,-0.173173163876
ACH-000348,-0.245287091402
ACH-000350,-0.21823220480799999
ACH-000352,-0.21318205746100002
ACH-000356,-0.138118423682
ACH-000361,-0.128034033987
ACH-000362,-0.153181137641
ACH-000363,-0.23538768920400002
ACH-000364,-0.08271656367869999
ACH-000365,-0.24706994399
ACH-000366,-0.206328167329
ACH-000368,-0.177472319974
ACH-000374,-0.290013072365
ACH-000375,-0.155339092829
ACH-000376,-0.0744831221242
ACH-000381,-0.17313222450100002
ACH-000383,-0.207613021457
ACH-000387,-0.0685644140304
ACH-000389,-0.27284372516100003
ACH-000390,-0.13174627626
ACH-000393,-0.233155671122
ACH-000395,-0.213650146096
ACH-000397,-0.015489237759499999
ACH-000401,0.07137989852999999
ACH-000402,-0.125027172029
ACH-000403,-0.19449897891399998
ACH-000404,0.00829543343328
ACH-000406,-0.21177292424000002
ACH-000407,-0.195812198252
ACH-000408,-0.39834477538400004
ACH-000410,-0.0390991661539
ACH-000411,0.044571610225900005
ACH-000414,-0.230390304177
ACH-000415,-0.0812914269662
ACH-000416,-0.21366322142000002
ACH-000420,-0.199914396192
ACH-000421,-0.264893893939
ACH-000424,-0.43226738945500004
ACH-000425,-0.042419402505
ACH-000426,-0.22880257101799997
ACH-000427,-0.188710880315
ACH-000433,-0.101263303424
ACH-000436,-0.15707783347
ACH-000444,-0.278957700918
ACH-000445,-0.132762033157
ACH-000448,-0.06396600220490001
ACH-000450,-0.359309702487
ACH-000452,-0.20066434681200002
ACH-000454,-0.303600317937
ACH-000458,-0.278866863598
ACH-000459,0.2591515839
ACH-000460,-0.18986183672600002
ACH-000461,-0.303437726139
ACH-000463,-0.08073742141089998
ACH-000464,-0.309900841996
ACH-000466,-0.19863208491300002
ACH-000467,-0.321158405509
ACH-000468,-0.214917526103
ACH-000469,-0.123815145269
ACH-000470,-0.152136975974
ACH-000471,-0.183744773655
ACH-000472,-0.127295328272
ACH-000473,-0.22362320204
ACH-000475,-0.145859701478
ACH-000476,-0.235714102931
ACH-000477,-0.0489707023771
ACH-000480,-0.109699258233
ACH-000481,-0.35120363020400003
ACH-000483,-0.397857271717
ACH-000484,-0.0718964227705
ACH-000485,-0.233750854239
ACH-000486,-0.0967304188317
ACH-000487,-0.14092747996899999
ACH-000488,-0.09936709881760002
ACH-000490,-0.191557555577
ACH-000491,-0.143382200485
ACH-000495,0.0410075246928
ACH-000496,-0.254670655154
ACH-000499,-0.10210834859899999
ACH-000500,-0.13353463752800002
ACH-000502,-0.163656074191
ACH-000503,-0.124347224637
ACH-000505,-0.0757852096875
ACH-000507,-0.532095167206
ACH-000510,-0.18714369703699998
ACH-000511,-0.123725746079
ACH-000512,-0.0902430031049
ACH-000516,-0.21108226413800002
ACH-000517,-0.144428012343
ACH-000518,-0.08458682396230001
ACH-000520,-0.0462340605079
ACH-000521,-0.07458708251280001
ACH-000522,-0.225915280662
ACH-000524,-0.0950498570236
ACH-000527,-0.167314279856
ACH-000528,-0.0946184425863
ACH-000537,-0.16376617419700001
ACH-000541,-0.14862118002900002
ACH-000542,-0.216001339478
ACH-000544,-0.178667903354
ACH-000545,-0.0999205348017
ACH-000547,-0.155035909444
ACH-000548,-0.10570315521
ACH-000549,-0.36786947791999997
ACH-000550,-0.154011506974
ACH-000552,-0.185545828126
ACH-000556,-0.143087315874
ACH-000557,-0.128982882134
ACH-000570,-0.164811570855
ACH-000571,-0.102827353516
ACH-000573,-0.190151236698
ACH-000576,-0.12168788983699999
ACH-000580,-0.139346362823
ACH-000584,-0.13736779975500002
ACH-000585,-0.14700830019799999
ACH-000588,-0.00630230632682
ACH-000589,-0.24176243356600002
ACH-000591,-0.174525554199
ACH-000593,-0.15580264684
ACH-000600,-0.0575817135305
ACH-000601,-0.186381273585
ACH-000604,-0.062357448624
ACH-000605,-0.37744766342
ACH-000606,-0.11417787708900001
ACH-000608,-0.09507186880989998
ACH-000614,-0.133119370477
ACH-000616,-0.219033067007
ACH-000618,-0.162765138686
ACH-000619,-0.119428025065
ACH-000620,-0.236850519419
ACH-000621,-0.23392890402600003
ACH-000622,-0.24895277011300002
ACH-000623,-0.166153735408
ACH-000624,-0.12966237667000002
ACH-000627,-0.118176277959
ACH-000630,-0.17919081302200002
ACH-000632,-0.19208798525600002
ACH-000633,-0.178079073864
ACH-000637,-0.251930319529
ACH-000638,-0.160059948604
ACH-000646,-0.14657163249900002
ACH-000647,-0.13826020070599998
ACH-000648,-0.142134368391
ACH-000649,-0.205747382897
ACH-000651,-0.225419663857
ACH-000652,-0.278398299478
ACH-000653,-0.192716469063
ACH-000657,-0.14011546222500001
ACH-000658,-0.036924893675899996
ACH-000661,-0.12757669617599998
ACH-000662,-0.08327671658250001
ACH-000663,0.018094261553599996
ACH-000665,-0.0811002216961
ACH-000671,-0.096373350135
ACH-000673,-0.116055573752
ACH-000676,-0.19930769881299998
ACH-000677,-0.274053971197
ACH-000681,-0.142208446226
ACH-000682,-0.22947185525699998
ACH-000683,-0.164867160299
ACH-000684,-0.17757019657200002
ACH-000688,-0.24282396002300002
ACH-000693,-0.189124675098
ACH-000694,-0.18750336352299998
ACH-000695,-0.41521108528800005
ACH-000696,-0.13116971022399998
ACH-000697,-0.252620959917
ACH-000699,-0.129839699802
ACH-000701,-0.21940780994399997
ACH-000706,-0.278584635813
ACH-000711,-0.0553435188545
ACH-000713,-0.011893127005700001
ACH-000714,-0.10169627362500001
ACH-000718,-0.0558343220092
ACH-000720,-0.23880979350099998
ACH-000721,-0.0160370040487
ACH-000724,-0.0460497299676
ACH-000725,0.0792343884194
ACH-000732,-0.000937262751393
ACH-000734,-0.187291123151
ACH-000735,-0.313351457751
ACH-000736,-0.0939164124
ACH-000738,-0.10710144431
ACH-000746,-0.029232680213700003
ACH-000747,-0.178730739965
ACH-000748,-0.0636630072944
ACH-000753,-0.210876062881
ACH-000756,-0.15473739627
ACH-000757,-0.22491715797800002
ACH-000758,-0.041873089375800004
ACH-000760,-0.057499123876
ACH-000763,-0.156841467928
ACH-000764,-0.189492559128
ACH-000765,-0.38737377182800004
ACH-000766,-0.08508039812860001
ACH-000767,-0.302126808724
ACH-000768,-0.265981795771
ACH-000769,-0.04611605423119999
ACH-000770,-0.08090643187510001
ACH-000771,-0.0362048107414
ACH-000773,-0.102701859273
ACH-000776,-0.07834555745039999
ACH-000777,-0.137852431366
ACH-000778,-0.107862394811
ACH-000781,-0.183246990379
ACH-000782,-0.165756796381
ACH-000783,-0.302226657689
ACH-000784,-0.12228250796199999
ACH-000785,-0.324260540973
ACH-000787,-0.210466189172
ACH-000788,-0.15209009605
ACH-000791,-0.118900735666
ACH-000792,-0.14979407985200002
ACH-000794,-0.177697964932
ACH-000796,-0.223694066638
ACH-000799,-0.06552276923330001
ACH-000800,-0.276934158295
ACH-000802,-0.180761387045
ACH-000804,-0.11968775650699999
ACH-000805,-0.15013315571
ACH-000809,-0.394416414248
ACH-000810,-0.146669657004
ACH-000811,-0.16884535620000002
