,HIST1H2BD (3017)
ACH-000004,-0.059586741855699996
ACH-000007,-0.234012164648
ACH-000009,-0.262233970857
ACH-000011,-0.429451435353
ACH-000012,-0.32391409486
ACH-000013,-0.0689680601105
ACH-000014,-0.315759661963
ACH-000015,0.044988694096900005
ACH-000017,-0.578262277426
ACH-000018,-0.273686036856
ACH-000019,-0.585107471995
ACH-000021,-0.192067805227
ACH-000022,-0.135926279189
ACH-000025,-0.219859887241
ACH-000028,-0.397494777003
ACH-000030,-0.263913978128
ACH-000035,-0.318139529001
ACH-000036,-0.309373086348
ACH-000037,-0.106201955407
ACH-000039,-0.5178777652619999
ACH-000040,-0.151308530536
ACH-000041,-0.25569172516
ACH-000042,-0.243624919972
ACH-000045,-0.5234423755259999
ACH-000047,-0.380549494912
ACH-000052,-0.251402234753
ACH-000053,-0.19919451555999998
ACH-000054,-0.328568411669
ACH-000055,-0.198843740154
ACH-000060,-0.298724810918
ACH-000067,-0.324808694587
ACH-000070,-0.258092017166
ACH-000075,-0.312660768751
ACH-000078,-0.594618666212
ACH-000082,-0.371128646455
ACH-000085,-0.283958653077
ACH-000086,-0.544202944894
ACH-000087,-0.613310507496
ACH-000092,-0.197535254324
ACH-000095,-0.637282425475
ACH-000097,-0.265571824122
ACH-000098,-0.308410878609
ACH-000099,-0.23956210982099999
ACH-000108,-0.252099059019
ACH-000113,-0.382090335353
ACH-000115,-0.630444286859
ACH-000116,-0.11570786553700001
ACH-000118,-0.49459412963
ACH-000120,-0.188028825641
ACH-000123,-0.499339286579
ACH-000127,-0.26980204151
ACH-000128,-0.145220418175
ACH-000132,-0.210045501236
ACH-000133,-0.22034272165600002
ACH-000137,-0.237386581864
ACH-000138,-0.421321054628
ACH-000142,-0.339536357063
ACH-000143,-0.09869600623230002
ACH-000146,-0.265878709098
ACH-000148,-0.16384768614
ACH-000150,-0.21992627101599999
ACH-000152,-0.287255973195
ACH-000153,-0.404861531502
ACH-000159,-0.38192282579000003
ACH-000160,0.259807004129
ACH-000163,-0.102087193253
ACH-000167,0.7381480138429999
ACH-000168,-0.31341546997499997
ACH-000169,-0.444705704027
ACH-000178,-0.28622191301100003
ACH-000182,-0.230766700173
ACH-000183,-0.25387785098099996
ACH-000188,-0.41551512740099994
ACH-000189,-0.287375438336
ACH-000190,0.27134138620000003
ACH-000198,-0.367036458076
ACH-000204,-0.0306571703958
ACH-000206,-0.821458027918
ACH-000207,-0.515297691588
ACH-000211,-0.162862189669
ACH-000215,-0.20868750675500003
ACH-000221,-0.00958318664936
ACH-000222,-0.34339136265000003
ACH-000223,-0.289468193225
ACH-000226,-0.44853897434600004
ACH-000227,-0.07544161007669999
ACH-000228,-0.278054130152
ACH-000231,-0.43672247162
ACH-000232,-0.310298276145
ACH-000233,-0.538205622977
ACH-000234,-0.37434800824500003
ACH-000235,-0.37511919905900004
ACH-000237,-0.31496754900400004
ACH-000238,-0.261427563677
ACH-000243,-0.226265014164
ACH-000244,-0.444510376965
ACH-000246,-0.162365841349
ACH-000248,-0.413048319186
ACH-000250,-0.254330055364
ACH-000251,-0.5575296441049999
ACH-000253,-0.297327734109
ACH-000255,-0.12412352990900001
ACH-000256,-0.20662454954700002
ACH-000257,-0.062074075641199995
ACH-000258,-0.171304243969
ACH-000259,-0.308914754676
ACH-000260,-0.228754413661
ACH-000261,-0.302480282667
ACH-000262,0.0668237701876
ACH-000263,-0.387934774793
ACH-000264,-0.260459629246
ACH-000265,-0.38272797639
ACH-000266,-0.318294556876
ACH-000272,-0.385101408702
ACH-000273,-0.421906555699
ACH-000274,-0.163295469246
ACH-000277,-0.415434360454
ACH-000278,-0.39532332897699995
ACH-000279,-0.339683028362
ACH-000280,-0.175516858277
ACH-000281,-0.504016462323
ACH-000288,-0.293037456957
ACH-000291,0.0492261393879
ACH-000293,-0.383544499572
ACH-000294,-0.11103281663100001
ACH-000295,-0.147754557719
ACH-000296,-0.17593100307999998
ACH-000302,-0.236394339386
ACH-000304,-0.445028650181
ACH-000307,-0.098816238432
ACH-000308,-0.273110097944
ACH-000310,-0.552297006914
ACH-000311,-0.42126134365199996
ACH-000312,-0.271521081512
ACH-000315,-0.213998553519
ACH-000316,-0.443094872282
ACH-000317,-0.5375285457
ACH-000318,-0.280827346556
ACH-000319,-0.161432779672
ACH-000320,-0.48625284074299996
ACH-000322,-0.27238518442299997
ACH-000323,-0.22190849876
ACH-000324,-0.345642689803
ACH-000329,-0.307962131362
ACH-000330,-0.545604540476
ACH-000331,-0.323741958061
ACH-000332,-0.24328510458299998
ACH-000334,-0.614628374695
ACH-000335,-0.38588396291199994
ACH-000336,0.00189066671776
ACH-000337,-0.291890807145
ACH-000339,-0.32725035762
ACH-000341,-0.259208935659
ACH-000348,-0.18688847460000002
ACH-000350,-0.16700378381
ACH-000352,-0.20113643756299998
ACH-000356,-0.40300769563
ACH-000361,-0.268691920172
ACH-000362,-0.533885207512
ACH-000363,-0.142541575669
ACH-000364,-0.33921114044600004
ACH-000365,-0.410597639957
ACH-000366,-0.0318927053369
ACH-000368,-0.134605429028
ACH-000374,-0.658726513114
ACH-000375,0.132963054809
ACH-000376,-0.105037484602
ACH-000381,-0.0850649571641
ACH-000383,-0.276706884501
ACH-000387,-0.32537426670200004
ACH-000389,-0.41453016064599996
ACH-000390,-0.15369633003799998
ACH-000393,-0.31232823556899997
ACH-000395,-0.13995923422599998
ACH-000397,-0.370273181876
ACH-000401,-0.0983359452257
ACH-000402,-0.307902859481
ACH-000403,-0.475617790561
ACH-000404,-0.19689948627099998
ACH-000406,-0.308419899791
ACH-000407,-0.224908759039
ACH-000408,-0.24821988332800002
ACH-000410,-0.264995284116
ACH-000411,-0.212994648895
ACH-000414,-0.5857752818299999
ACH-000415,-0.262610146148
ACH-000416,-0.10666917893899999
ACH-000420,-0.19928528322500003
ACH-000421,-0.182134638046
ACH-000424,-0.27449467062800004
ACH-000425,-0.18213146656100002
ACH-000426,-0.313787465043
ACH-000427,-0.029767889337900002
ACH-000433,0.0054602751349599995
ACH-000436,-0.303442802244
ACH-000444,-0.166676774586
ACH-000445,-0.359057371823
ACH-000448,-0.374192842807
ACH-000450,-0.339811828791
ACH-000452,-0.450865015918
ACH-000454,-0.343120282605
ACH-000458,-0.22631341874699998
ACH-000459,-0.253335401623
ACH-000460,-0.304238333496
ACH-000461,-0.260008532765
ACH-000463,-0.17172208914999998
ACH-000464,-0.10949842332599999
ACH-000466,-0.222097896561
ACH-000467,-0.46591091767399995
ACH-000468,-0.177398045167
ACH-000469,-0.235705700007
ACH-000470,-0.0800934460107
ACH-000471,-0.20731011609900002
ACH-000472,-0.168924970314
ACH-000473,-0.237191824537
ACH-000475,-0.23190150059099998
ACH-000476,-0.429394539311
ACH-000477,-0.22584145534699998
ACH-000480,0.0523417632747
ACH-000481,-0.299454804801
ACH-000483,0.0239031181494
ACH-000484,-0.258116846284
ACH-000485,-0.16110943536699998
ACH-000486,-0.404434319921
ACH-000487,-0.634045843306
ACH-000488,-0.25047839808899997
ACH-000490,-0.34930308840499996
ACH-000491,-0.506426878204
ACH-000495,-0.247759330529
ACH-000496,-0.530125185286
ACH-000499,-0.621675603352
ACH-000500,-0.18571049735599998
ACH-000502,-0.411982629825
ACH-000503,0.195709213944
ACH-000505,-0.21147489908300002
ACH-000507,-0.210545175403
ACH-000510,-0.048302703561699994
ACH-000511,-0.149009355476
ACH-000512,-0.0603209915501
ACH-000516,-0.44182706749399997
ACH-000517,-0.445041891435
ACH-000518,-0.276296618513
ACH-000520,-0.162562972851
ACH-000521,-0.490564882603
ACH-000522,-0.288280838372
ACH-000524,-0.737309233273
ACH-000527,-0.19162247973299998
ACH-000528,-0.230203552737
ACH-000537,-0.23020633443500002
ACH-000541,-0.0116232085461
ACH-000542,-0.179672850165
ACH-000544,-0.400634036782
ACH-000545,-0.223208887755
ACH-000547,0.0870040824948
ACH-000548,-0.283541209705
ACH-000549,-0.23750759509
ACH-000550,-0.218135596798
ACH-000552,-0.313242923751
ACH-000556,-0.38691812554399996
ACH-000557,-0.327691038653
ACH-000570,-0.257184355109
ACH-000571,-0.408803326681
ACH-000573,-0.358761562499
ACH-000576,-0.31202829961999995
ACH-000580,-0.21962292491799998
ACH-000584,-0.34087977145099996
ACH-000585,-0.452675877645
ACH-000588,-0.150829536684
ACH-000589,-0.332189562474
ACH-000591,-0.383494206848
ACH-000593,0.025324519000400003
ACH-000600,-0.320490061573
ACH-000601,-0.438769390014
ACH-000604,-0.370722593571
ACH-000605,-0.303785261505
ACH-000606,-0.37722799110699995
ACH-000608,-0.22614964283000002
ACH-000614,-0.197361024093
ACH-000616,-0.012423964621299998
ACH-000618,-0.291221204876
ACH-000619,-0.457559498794
ACH-000620,-0.24398598994800003
ACH-000621,-0.202595555585
ACH-000622,-0.280662307654
ACH-000623,-0.140946639003
ACH-000624,-0.12153854899599999
ACH-000627,-0.244379347055
ACH-000630,-0.273128337455
ACH-000632,-0.264146845636
ACH-000633,0.0693437874118
ACH-000637,-0.38898025868299996
ACH-000638,-0.564008812958
ACH-000646,-0.120273352852
ACH-000647,-0.30958290073100003
ACH-000648,-0.532863195915
ACH-000649,-0.240222043211
ACH-000651,-0.123203799245
ACH-000652,-0.19145102688
ACH-000653,-0.122012548404
ACH-000657,-0.34862691213299996
ACH-000658,-0.307837469933
ACH-000661,-0.0127048987001
ACH-000662,0.0544798648293
ACH-000663,-0.09816507882089999
ACH-000665,-0.33358798808
ACH-000671,-0.0757036060461
ACH-000673,-0.358913334094
ACH-000676,-0.145769408923
ACH-000677,-0.160394505799
ACH-000681,-0.274713328441
ACH-000682,-0.274627215913
ACH-000683,-0.329950672529
ACH-000684,-0.46712538792900005
ACH-000688,-0.264582710113
ACH-000693,-0.259405491881
ACH-000694,-0.21807331452
ACH-000695,-0.495882250912
ACH-000696,-0.29027560598900004
ACH-000697,-0.433071161188
ACH-000699,-0.27648290224
ACH-000701,-0.257831715008
ACH-000706,-0.25601076180300003
ACH-000711,-0.292963045618
ACH-000713,-0.47328256150200004
ACH-000714,-0.39326924321400003
ACH-000718,-0.19247871752700002
ACH-000720,-0.40473841729500004
ACH-000721,-0.493262373619
ACH-000724,-0.183615119336
ACH-000725,-0.262834943446
ACH-000732,-0.178266297657
ACH-000734,-0.19634108838199998
ACH-000735,-0.0804731850335
ACH-000736,-0.22542443866099998
ACH-000738,-0.146726821969
ACH-000746,-0.20536332449900002
ACH-000747,-0.111920750222
ACH-000748,-0.321428782014
ACH-000753,-0.364436911389
ACH-000756,-0.0669784297035
ACH-000757,-0.289610358755
ACH-000758,0.060888979104899994
ACH-000760,0.044468792992199996
ACH-000763,-0.625147058987
ACH-000764,-0.835213806783
ACH-000765,-0.206310039984
ACH-000766,-0.071328344871
ACH-000767,-0.17891713294
ACH-000768,-0.31860063614
ACH-000769,-0.0166398041683
ACH-000770,-0.40296689675999997
ACH-000771,-0.16682203054199998
ACH-000773,-0.5654009000460001
ACH-000776,-0.11972570965399999
ACH-000777,-0.479474610688
ACH-000778,-0.221627250168
ACH-000781,-0.271100359509
ACH-000782,-0.20107579452
ACH-000783,-0.7492025973309999
ACH-000784,-0.046990324314800005
ACH-000785,-0.25545327382
ACH-000787,-0.13205425476399998
ACH-000788,-0.28735191429
ACH-000791,-0.45232438100100003
ACH-000792,-0.290758255076
ACH-000794,-0.408827991505
ACH-000796,-0.311751969596
ACH-000799,-0.31466115112799997
ACH-000800,-0.189849525906
ACH-000802,-0.23455761144099999
ACH-000804,-0.44228318418000007
ACH-000805,-0.205798916031
ACH-000809,-0.115615082199
ACH-000810,-0.43582944513300004
ACH-000811,-0.20274133959100002
ACH-000817,-0.479401766603
ACH-000819,-0.14739547953600002
ACH-000820,-0.25572269947299997
ACH-000821,-0.275010186832
ACH-000822,-0.09624123616460001
ACH-000823,-0.141922599269
ACH-000824,-0.260385595845
ACH-000827,-0.327161448044
ACH-000829,-0.47079502354599995
ACH-000831,-0.12750309868100002
ACH-000832,-0.26888544879500004
ACH-000833,-0.112239764062
ACH-000834,-0.216161791514
ACH-000835,-0.08460040946039998
ACH-000836,0.34093567986100004
ACH-000837,-0.147306731302
ACH-000838,-0.07668420060860001
ACH-000839,-0.190516772877
ACH-000840,-0.321731363444
ACH-000841,-0.425822779497
ACH-000843,-0.32974398713
ACH-000846,-0.0859612276529
ACH-000847,-0.29905666117199997
ACH-000848,-0.14071622706700002
ACH-000849,-0.644043204701
ACH-000851,-0.329804548114
ACH-000855,-0.234918607698
ACH-000856,-0.37669078137100004
ACH-000858,-0.0959504098567
ACH-000859,-0.164861622835
ACH-000861,-0.20535313252300003
ACH-000862,-0.193655194593
ACH-000865,-0.239328212504
ACH-000866,-0.41879726622900004
ACH-000867,-0.315453632985
ACH-000869,-0.210002293119
ACH-000872,-0.250030839252
ACH-000873,-0.5192099890699999
ACH-000876,-0.39292529604599996
ACH-000878,-0.516148163605
ACH-000880,-0.42932067821000003
ACH-000881,-0.358174782663
ACH-000882,-0.210567681925
ACH-000884,-0.151208354823
ACH-000885,-0.12838552006200002
ACH-000887,-0.09994062249939999
ACH-000888,-0.321313329365
ACH-000889,-0.574794042073
ACH-000890,-0.48557662687700004
ACH-000896,-0.374973623438
ACH-000898,-0.173171302553
ACH-000900,-0.482238046411
ACH-000901,-0.41852793577200004
ACH-000905,-0.177620631868
ACH-000906,-0.185459847535
ACH-000907,-0.22602586742800002
ACH-000910,-0.398927530758
ACH-000911,-0.19668688414000002
ACH-000912,-0.294535109498
ACH-000913,-0.34938122696199997
ACH-000915,-0.07770688904289999
ACH-000916,-0.42871311946400004
ACH-000917,-0.281994893035
ACH-000921,-0.152740948485
ACH-000924,-0.10302145811499999
ACH-000926,-0.188048531646
ACH-000928,-0.152848465022
ACH-000929,-0.202975832203
ACH-000932,-0.48928016939999996
ACH-000935,-0.194340079228
ACH-000936,-0.168217582518
ACH-000937,-0.440772051998
ACH-000938,-0.34840800186899995
ACH-000939,0.404350816009
ACH-000941,-0.267180617856
ACH-000943,-0.15666872724199998
ACH-000946,-0.34187285492799996
ACH-000947,-0.29772121171
ACH-000948,-0.45681452660099997
ACH-000950,-0.043180071413
ACH-000953,-0.557452315029
ACH-000957,-0.44769433759599997
ACH-000958,-0.0875686114122
ACH-000960,-0.608324796056
ACH-000963,-0.0627267624551
ACH-000968,-0.443608107214
ACH-000969,-0.493896714533
ACH-000973,-0.393340718512
ACH-000974,-0.323691467989
ACH-000975,-0.3930876887
ACH-000976,-0.34447125323600003
ACH-000978,-0.246182672286
ACH-000980,-0.143109799879
ACH-000984,-0.11191568885099999
ACH-000986,-0.374695258975
ACH-000988,-0.417675980994
ACH-000993,-0.371728445789
ACH-000994,-0.183779392181
ACH-000996,-0.425583794201
ACH-001001,-0.230971169396
ACH-001020,0.387998987944
