,FIBP (9158)
ACH-000004,-0.635685333731
ACH-000007,0.06844019394430001
ACH-000009,-0.205299309395
ACH-000011,-0.144531472732
ACH-000012,-0.46759740531099997
ACH-000013,-0.318939554219
ACH-000014,0.150120341215
ACH-000015,-0.09418665216399999
ACH-000017,0.506943212585
ACH-000018,-0.406982733683
ACH-000019,-0.379538267506
ACH-000021,-0.278026264014
ACH-000022,-0.06709748420969999
ACH-000025,-0.39920779473800005
ACH-000028,-0.255740596031
ACH-000030,-0.25860331299199996
ACH-000035,-0.25966194418099997
ACH-000036,-0.385460276346
ACH-000037,-0.34880847641699997
ACH-000039,-0.535270340557
ACH-000040,-0.44348338078
ACH-000041,-0.139478927597
ACH-000042,-0.22947228936
ACH-000045,-0.00988254542544
ACH-000047,-0.325884923309
ACH-000052,0.0441569847609
ACH-000053,-0.46568051782700004
ACH-000054,-0.517760556298
ACH-000055,-0.468146281721
ACH-000060,-0.191205258455
ACH-000067,-0.35488887086099996
ACH-000070,0.36758838745399997
ACH-000075,-0.5860857090739999
ACH-000078,0.0301115009325
ACH-000082,-0.378315177016
ACH-000085,-0.485943193931
ACH-000086,-0.47659257292400004
ACH-000087,0.0547675524958
ACH-000092,-0.357491098795
ACH-000095,-0.0375974360401
ACH-000097,-0.16131577005699999
ACH-000098,-0.270111834751
ACH-000099,-0.09841143626280001
ACH-000108,-0.293949579888
ACH-000113,-0.0234027936277
ACH-000115,-0.344308209085
ACH-000116,-0.414532108337
ACH-000118,-0.371062633494
ACH-000120,-0.0686016178626
ACH-000123,-0.230966626585
ACH-000127,-0.260375979008
ACH-000128,-0.136101069884
ACH-000132,-0.46989461629100004
ACH-000133,-0.421486417693
ACH-000137,-0.260921552878
ACH-000138,-0.394244041409
ACH-000142,-0.175299661814
ACH-000143,-0.549595459252
ACH-000146,-0.20480220315699998
ACH-000148,-0.37314939585999995
ACH-000150,-0.431131552882
ACH-000152,-0.29382220104699996
ACH-000153,-0.694950905808
ACH-000159,-0.241427184857
ACH-000160,-0.362084834105
ACH-000163,-0.21923089305500001
ACH-000167,-0.377500836297
ACH-000168,-0.19831748901299998
ACH-000169,-0.127343873658
ACH-000178,-0.155163494694
ACH-000182,-0.289292028905
ACH-000183,-0.09185994626970001
ACH-000188,-0.547438819243
ACH-000189,-0.425517839138
ACH-000190,-0.580670580287
ACH-000198,-0.551493978246
ACH-000204,-0.282280674344
ACH-000206,-0.5065936071589999
ACH-000207,-0.20413410310600003
ACH-000211,-0.225335689536
ACH-000215,-0.1273185289
ACH-000221,-0.400678563271
ACH-000222,-0.08843800804989999
ACH-000223,-0.207499846465
ACH-000226,-0.542876699197
ACH-000227,-0.153423957862
ACH-000228,-0.610199096808
ACH-000231,-0.39755179420500003
ACH-000232,-0.13138760144300002
ACH-000233,-0.512468484746
ACH-000234,-0.17979626629700002
ACH-000235,-0.22150846023899998
ACH-000237,-0.43821294946199996
ACH-000238,-0.216868997542
ACH-000243,-0.0505666798719
ACH-000244,-0.617437366561
ACH-000246,-0.270146068144
ACH-000248,-0.00098329453282
ACH-000250,-0.18293814077999998
ACH-000251,-0.057172775532599994
ACH-000253,-0.497549477328
ACH-000255,-0.389018527851
ACH-000256,-0.445085696888
ACH-000257,-0.127401280399
ACH-000258,-0.339281798716
ACH-000259,-0.0303002699508
ACH-000260,-0.358642192639
ACH-000261,-0.203357760725
ACH-000262,-0.216170040749
ACH-000263,-0.621467889481
ACH-000264,-0.330018095902
ACH-000265,-0.225824315692
ACH-000266,-0.210705534017
ACH-000272,-0.224023024239
ACH-000273,-0.213491826512
ACH-000274,-0.034592841432
ACH-000277,-0.119456359715
ACH-000278,-0.30704864734000004
ACH-000279,-0.0115427967963
ACH-000280,-0.350028750479
ACH-000281,-0.105245087775
ACH-000288,-0.309968082827
ACH-000291,-0.332283689046
ACH-000293,-0.28460796836
ACH-000294,-0.149312104087
ACH-000295,-0.203301191624
ACH-000296,-0.09254609123780001
