,LEMD2 (221496)
ACH-000004,-0.25385256727
ACH-000007,-0.631785248301
ACH-000009,-0.0370212480834
ACH-000011,-0.41784171438100004
ACH-000012,-0.6840413133040001
ACH-000013,-0.346750339419
ACH-000014,-0.666671076223
ACH-000015,-0.005893569678859999
ACH-000017,-0.145821348342
ACH-000018,-0.606941981696
ACH-000019,-0.769154910768
ACH-000021,-0.0678081245585
ACH-000022,-0.239382384749
ACH-000025,-0.324549352851
ACH-000028,-0.356109291139
ACH-000030,-0.7387794753460001
ACH-000035,-0.515893053863
ACH-000036,-0.405833350599
ACH-000037,-0.0104723883588
ACH-000039,-0.11744264669700001
ACH-000040,-0.126453906887
ACH-000041,-0.0674969110501
ACH-000042,-0.18838569133000002
ACH-000045,-0.163996978356
ACH-000047,-0.5767066158349999
ACH-000052,-0.260001105533
ACH-000053,-0.0725781935789
ACH-000054,-0.0716220829104
ACH-000055,-0.267219933322
ACH-000060,-0.27616420607299996
ACH-000067,-0.29271146342300003
ACH-000070,-0.244408669109
ACH-000075,-0.5802063306490001
ACH-000078,-0.262201104634
ACH-000082,-0.37725407226400004
ACH-000085,-0.057267459440199994
ACH-000086,-0.38289137521300004
ACH-000087,-0.346186413022
ACH-000092,-0.386085816533
ACH-000095,-0.0505379117022
ACH-000097,-0.5274104059920001
ACH-000098,-0.5759383566690001
ACH-000099,-0.109362583248
ACH-000108,-0.325093412642
ACH-000113,-0.0408948982816
ACH-000115,-0.0887600787562
ACH-000116,-0.294774533952
ACH-000118,-0.48759649704999997
ACH-000120,-0.324012621784
ACH-000123,-0.23123066942099998
ACH-000127,-0.529145204932
ACH-000128,-0.547005398524
ACH-000132,-0.442790963256
ACH-000133,-0.47250587455799997
ACH-000137,-0.25475237123000005
ACH-000138,-0.137393797036
ACH-000142,-0.692614308302
ACH-000143,-0.13629687722699999
ACH-000146,-0.139530648838
ACH-000148,-0.40423615014700004
ACH-000150,-0.59995467358
ACH-000152,-0.219817044952
ACH-000153,-0.175457180928
ACH-000159,-0.32318554685
ACH-000160,-0.274993483341
ACH-000163,-0.372539380795
ACH-000167,-0.210570674819
ACH-000168,-0.0526188076936
ACH-000169,-0.11648976947300001
ACH-000178,-0.711752126984
ACH-000182,-0.12950625462999998
ACH-000183,-0.467526117782
ACH-000188,-0.433561323192
ACH-000189,-0.613028132655
ACH-000190,-0.8730703355949999
ACH-000198,-0.0734608639192
ACH-000204,-0.16799052758900002
ACH-000206,-0.321175527062
ACH-000207,-0.500702140763
ACH-000211,-0.0689209740354
ACH-000215,-0.327298352113
ACH-000221,-0.11624036560499999
ACH-000222,-0.34648701796400005
ACH-000223,-0.310809629298
ACH-000226,-0.403552882886
ACH-000227,-0.170986122467
ACH-000228,-0.379598531962
ACH-000231,-0.701386787017
ACH-000232,-0.288480833733
ACH-000233,-0.421742998599
ACH-000234,-0.111100748918
ACH-000235,-0.181735061492
ACH-000237,-0.0740990830303
