,ATP11AUN (400165)
ACH-000004,-0.254481995794
ACH-000007,-0.157230793857
ACH-000009,-0.122288400527
ACH-000011,-0.09338004914629999
ACH-000012,-0.183943772285
ACH-000013,-0.108825591189
ACH-000014,-0.172379536636
ACH-000015,-0.00141993482153
ACH-000017,-0.211077782678
ACH-000018,-0.084653285439
ACH-000019,0.031602364958
ACH-000021,-0.0336711588346
ACH-000022,-0.0936473892588
ACH-000025,-0.022548990405099997
ACH-000028,0.065846574375
ACH-000030,-0.101866490092
ACH-000035,-0.07808595590010001
ACH-000036,-0.116341702434
ACH-000037,-0.174035800197
ACH-000039,-0.168855512379
ACH-000040,-0.292846844586
ACH-000041,-0.18785026747000003
ACH-000042,-0.122420127192
ACH-000045,-0.20269689991999998
ACH-000047,-0.175387262614
ACH-000052,-0.261056927275
ACH-000053,-0.237595692753
ACH-000054,-0.17132299077
ACH-000055,-0.109581643926
ACH-000060,0.035960651243
ACH-000067,-0.00324877459698
ACH-000070,-0.055916985429400004
ACH-000075,0.041746593999699995
ACH-000078,-0.344940468335
ACH-000082,-0.0058702727685
ACH-000085,-0.08680122552519999
ACH-000086,-0.05580071378819999
ACH-000087,0.0437052763109
ACH-000092,0.0405141278559
ACH-000095,-0.14838583508300002
ACH-000097,-0.17128430203899997
ACH-000098,-0.100706870866
ACH-000099,-0.291779122692
ACH-000108,-0.294555455254
ACH-000113,-0.16652807810200002
ACH-000115,0.0344207075306
ACH-000116,-0.151041925739
ACH-000118,-0.048765602048000005
ACH-000120,-0.0544117524424
ACH-000123,-0.14856195270199998
ACH-000127,-0.075000945655
ACH-000128,0.00460341101031
ACH-000132,-0.151353665185
ACH-000133,-0.0661586732081
ACH-000137,-0.0237779273804
ACH-000138,-0.0498698161647
ACH-000142,-0.09546692202160001
ACH-000143,-0.0959431307777
ACH-000146,-0.11074576987700001
ACH-000148,-0.18566948920499998
ACH-000150,0.006145287933989999
ACH-000152,-0.159115397584
ACH-000153,-0.124163289938
ACH-000159,-0.0584994051238
ACH-000160,-0.058683265321
ACH-000163,-0.222305514889
ACH-000167,0.0274015904762
ACH-000168,-0.125748580646
ACH-000169,-0.0784297479191
ACH-000178,-0.15467510814000002
ACH-000182,-0.0643473148296
ACH-000183,0.0780178795217
ACH-000188,-0.028249900235599996
ACH-000189,0.04745330367719999
ACH-000190,-0.215070065395
ACH-000198,-0.17284631620700003
ACH-000204,0.11747603804000001
ACH-000206,-0.283614518048
ACH-000207,-0.0682888693655
ACH-000211,-0.06725439525169999
ACH-000215,-0.133453579082
ACH-000221,-0.187416837279
ACH-000222,-0.05789292670749999
ACH-000223,-0.08388413486810001
ACH-000226,-0.048381791547900004
ACH-000227,-0.203239807883
ACH-000228,-0.0955213587035
ACH-000231,-0.117076827249
ACH-000232,-0.0962806632058
ACH-000233,-0.221545802575
ACH-000234,-0.267982300996
ACH-000235,-0.037822947817099994
ACH-000237,-0.24022990741300002
ACH-000238,-0.148445559459
