,CTSW (1521)
ACH-000004,-0.308647422165
ACH-000007,0.0555925479135
ACH-000009,-0.0685277777195
ACH-000011,0.0778494068563
ACH-000012,-0.137430543139
ACH-000013,-0.20529942398899997
ACH-000014,-0.0184418334326
ACH-000015,-0.0981076047115
ACH-000017,-0.244804515007
ACH-000018,-0.07858537591919999
ACH-000019,0.039918221957000004
ACH-000021,-0.16225835478199999
ACH-000022,-0.055557781257600004
ACH-000025,-0.06586381464930001
ACH-000028,-0.12160277628499999
ACH-000030,-0.170662108521
ACH-000035,0.035444330938800006
ACH-000036,-0.170541100185
ACH-000037,-0.327726600572
ACH-000039,-0.287172474906
ACH-000040,-0.0898459567451
ACH-000041,-0.21393692655699997
ACH-000042,-0.333389330626
ACH-000045,-0.139720363466
ACH-000047,-0.25439700160900003
ACH-000052,-0.13478802987299998
ACH-000053,-0.178042572019
ACH-000054,-0.19320773541499997
ACH-000055,-0.14286878646
ACH-000060,-0.08057237068560001
ACH-000067,0.120292146359
ACH-000070,-0.16997041860599998
ACH-000075,0.060101312251900005
ACH-000078,-0.317828681699
ACH-000082,-0.249994607265
ACH-000085,-0.10827175843499999
ACH-000086,-0.07587232408760002
ACH-000087,0.0017886569946500002
ACH-000092,-0.116365126326
ACH-000095,-0.05609861124530001
ACH-000097,-0.223224684238
ACH-000098,-0.200154744825
ACH-000099,-0.16916670118000002
ACH-000108,-0.292923053436
ACH-000113,-0.0820573578941
ACH-000115,-0.107603496113
ACH-000116,-0.13178832340399999
ACH-000118,-0.166465541429
ACH-000120,-0.0828677367028
ACH-000123,-0.368541119616
ACH-000127,-0.049916567162800005
ACH-000128,0.00085485779904
ACH-000132,-0.23684837886100002
ACH-000133,-0.0786675273332
ACH-000137,0.0402831568265
ACH-000138,-0.14449691755400002
ACH-000142,-0.404837512701
ACH-000143,-0.0322166712968
ACH-000146,-0.104563035044
ACH-000148,0.014458861140299999
ACH-000150,-0.33504120739
ACH-000152,-0.00610507141021
ACH-000153,-0.678567778085
ACH-000159,0.032082539676099996
ACH-000160,-0.17940316390500002
ACH-000163,-0.166094266297
ACH-000167,0.0158311465742
ACH-000168,-0.211985599228
ACH-000169,-0.09964326540619999
ACH-000178,-0.248246231196
ACH-000182,-0.10250384810699999
ACH-000183,-0.169951487148
ACH-000188,-0.363560886753
ACH-000189,-0.266981012744
ACH-000190,0.17039880895399998
ACH-000198,-0.06947234060169999
ACH-000204,-0.0186466829554
ACH-000206,0.15589553360400002
ACH-000207,-0.491315346589
ACH-000211,-0.176824055262
ACH-000215,0.07698447421110001
ACH-000221,-0.100683533287
ACH-000222,-0.09870614319849999
ACH-000223,-0.0225426727203
ACH-000226,-0.280294211427
ACH-000227,-0.11584898762599999
ACH-000228,-0.108108761579
ACH-000231,-0.077205504287
ACH-000232,-0.095876849487
ACH-000233,-0.08793932547620001
ACH-000234,-0.11244569581700001
ACH-000235,-0.127514704321
ACH-000237,-0.0484892553762
ACH-000238,-0.15161468429400002
ACH-000243,-0.038147033549
ACH-000244,-0.616434164712
ACH-000246,-0.0671762431835
ACH-000248,-0.026709032957099997
ACH-000250,-0.10214869103700001
ACH-000251,-0.0562126884664
ACH-000253,0.125480063935
ACH-000255,-0.24123093814100002
ACH-000256,-0.42246617107699996
ACH-000257,0.15853370917
ACH-000258,-0.17785276827100002
ACH-000259,-0.0801622580664
ACH-000260,-0.0914826155181
ACH-000261,-0.121155229233
ACH-000262,-0.23543361511100003
ACH-000263,0.12495280789
ACH-000264,-0.0844618083456
ACH-000265,-0.0498178419118
ACH-000266,-0.155694789045
ACH-000272,-0.104324587272
ACH-000273,0.042955648488499996
ACH-000274,0.19757716607099998
ACH-000277,-0.041853415598199994
ACH-000278,-0.047120232666199996
ACH-000279,-0.15746959174900002
ACH-000280,-0.0216351211668
ACH-000281,-0.252442729475
ACH-000288,-0.15955664043
ACH-000291,0.0359048828999
ACH-000293,0.180539535093
ACH-000294,-0.19432986114999998
ACH-000295,-0.18658160984000002
ACH-000296,-0.05541890432990001
