,LYZL4 (131375)
ACH-000004,-0.15289276973
ACH-000007,-0.373154545783
ACH-000009,-0.462122894007
ACH-000011,-0.30426067167599996
ACH-000012,-0.30196663332
ACH-000013,-0.27791572469500003
ACH-000014,-0.21373535419
ACH-000015,-0.280265541395
ACH-000017,-0.252591342361
ACH-000018,-0.2682315885
ACH-000019,-0.175038444007
ACH-000021,-0.272249751918
ACH-000022,-0.375817699704
ACH-000025,-0.35824331833800005
ACH-000028,-0.27237902793200003
ACH-000030,-0.280040050026
ACH-000035,-0.16778648211199998
ACH-000036,-0.35196815103600004
ACH-000037,-0.0329827185062
ACH-000039,-0.33944920633000003
ACH-000040,-0.23775591236
ACH-000041,-0.373746214489
ACH-000042,-0.45440890126199995
ACH-000045,-0.48577338492399996
ACH-000047,-0.275546941286
ACH-000052,-0.216010339399
ACH-000053,-0.274609944624
ACH-000054,-0.500737437398
ACH-000055,-0.03439031488
ACH-000060,-0.384681744446
ACH-000067,-0.5533679972
ACH-000070,-0.444321018143
ACH-000075,-0.637658333228
ACH-000078,-0.45513068451899996
ACH-000082,-0.5380565408829999
ACH-000085,-0.3916989409
ACH-000086,-0.26173612987399997
ACH-000087,-0.43064030188999997
ACH-000092,-0.28334089658399997
ACH-000095,-0.605953294442
ACH-000097,-0.226242043453
ACH-000098,-0.31704526063099997
ACH-000099,-0.40534337155100003
ACH-000108,-0.287845669028
ACH-000113,-0.292814002573
ACH-000115,-0.386182169583
ACH-000116,-0.285577738068
ACH-000118,-0.394549110947
ACH-000120,-0.26015031783799997
ACH-000123,-0.266193542847
ACH-000127,-0.258112888042
ACH-000128,-0.499420988904
ACH-000132,-0.393533016787
ACH-000133,-0.40208543614
ACH-000137,-0.18903325559300002
ACH-000138,-0.36905864576999997
ACH-000142,-0.230631438376
ACH-000143,-0.458633518891
ACH-000146,-0.333809945307
ACH-000148,-0.347112147354
ACH-000150,-0.385540055163
ACH-000152,-0.306774895144
ACH-000153,-0.327511847624
ACH-000159,-0.313478630882
ACH-000160,-0.367552529955
ACH-000163,-0.24913169890599998
ACH-000167,-0.27441149233600004
ACH-000168,-0.21675667232700002
ACH-000169,-0.331987284609
ACH-000178,-0.31900490100400003
ACH-000182,-0.0585153145321
ACH-000183,-0.45430782015500004
ACH-000188,-0.344720281309
ACH-000189,-0.614630629674
