,PABPC1L (80336)
ACH-000404,-0.0430960322169
ACH-000406,0.101929224155
ACH-000407,0.0880767356984
ACH-000408,0.0882269094978
ACH-000410,0.0334969896712
ACH-000411,-0.00502538467585
ACH-000414,-0.08845948279230001
ACH-000415,0.0827145067925
ACH-000416,-0.04327321811319999
ACH-000420,-0.183991930533
ACH-000421,-0.0513956784942
ACH-000424,-0.0893579317011
ACH-000425,-0.221265548342
ACH-000426,0.23273010661899998
ACH-000427,-0.004612778035270001
ACH-000433,0.013072147808299999
ACH-000436,0.153230254732
ACH-000444,-0.168296082451
ACH-000445,0.0703698370072
ACH-000448,-0.022253165849700003
ACH-000450,-0.384793378402
ACH-000452,-0.144049483349
ACH-000454,0.09826919284980001
ACH-000458,-0.0581638322122
ACH-000459,0.127927140093
ACH-000460,0.0902166143733
ACH-000461,0.036098814851
ACH-000463,-0.139342578388
ACH-000464,-0.169143448394
ACH-000466,-0.231676582457
ACH-000467,0.129107967078
ACH-000468,0.0222973369256
ACH-000469,0.0180091330238
ACH-000470,-0.377134153951
ACH-000471,-0.00670758888499
ACH-000472,-0.0806907033307
ACH-000473,-0.00888083086844
ACH-000475,0.07636938108460001
ACH-000476,-0.00303600768365
ACH-000477,0.179148668646
ACH-000480,0.0889508675302
ACH-000481,-0.0127022339618
ACH-000483,0.125596118659
ACH-000484,-0.08994595843139999
ACH-000485,-0.0773408126572
ACH-000486,-0.167551477579
ACH-000487,-0.0495587087223
ACH-000488,0.0207547080202
ACH-000490,-0.047797555682399996
ACH-000491,0.0563316279974
ACH-000495,-0.18628291570099997
ACH-000496,-0.134577891304
ACH-000499,0.130115696846
ACH-000500,0.276572103522
ACH-000502,0.0237895542315
ACH-000503,0.033835557041599996
ACH-000505,0.0837762577955
ACH-000507,0.169645926648
ACH-000510,0.0362385750374
ACH-000511,-0.040216275332
ACH-000512,0.243613593776
ACH-000516,0.022486985105400002
ACH-000517,-0.0347618796161
ACH-000518,-0.124148513674
ACH-000520,-0.0977804968589
ACH-000521,-0.13463449239
ACH-000522,-0.0631339454969
ACH-000524,-0.065980535567
ACH-000527,-0.166289711202
ACH-000528,-0.0556389129526
ACH-000537,-0.100699453923
ACH-000541,0.16916373317400002
