,GAL (51083)
ACH-000004,-0.19161221561099998
ACH-000007,-0.519469924667
ACH-000009,-0.30330806273
ACH-000011,-0.164896247272
ACH-000012,-0.352528110705
ACH-000013,-0.18427464816
ACH-000014,0.041969799555400006
ACH-000015,-0.09911953042220001
ACH-000017,-0.0910330186699
ACH-000018,-0.47639826659100004
ACH-000019,-0.335221857119
ACH-000021,-0.142776171166
ACH-000022,-0.259391703521
ACH-000025,-0.203048664894
ACH-000028,-0.33942222619900003
ACH-000030,-0.278008674362
ACH-000035,-0.07265844743660001
ACH-000036,-0.21752981146699998
ACH-000037,-0.341672081764
ACH-000039,-0.11509002785700001
ACH-000040,-0.18149500764
ACH-000041,-0.198350068763
ACH-000042,-0.428880557303
ACH-000045,-0.046453388203999996
ACH-000047,-0.0999330541121
ACH-000052,-0.326841550406
ACH-000053,-0.285012571853
ACH-000054,-0.24539326754000002
ACH-000055,-0.353983857395
ACH-000060,-0.245089149888
ACH-000067,-0.144637549713
ACH-000070,-0.243733477554
ACH-000075,-0.40413900693000004
ACH-000078,-0.133923296877
ACH-000082,-0.308583392841
ACH-000085,-0.480981239526
ACH-000086,-0.37623429996799995
ACH-000087,-0.035192451253900005
ACH-000092,-0.274282602497
ACH-000095,-0.23834920464
ACH-000097,-0.391717111801
ACH-000098,-0.232857482638
ACH-000099,-0.22033998435899999
ACH-000108,-0.30238277054699997
ACH-000113,-0.18385462396299998
ACH-000115,0.0501508844285
ACH-000116,-0.33712115719499997
ACH-000118,-0.33018146455200004
ACH-000120,-0.12023409517000001
ACH-000123,-0.132850589352
ACH-000127,-0.205139591039
ACH-000128,-0.154493406947
ACH-000132,-0.289012286033
ACH-000133,-0.0556155868784
ACH-000137,-0.31030017562
ACH-000138,-0.271370282658
ACH-000142,-0.428239778037
ACH-000143,-0.11530295248299999
ACH-000146,-0.18877972555599998
ACH-000148,-0.20557619176
ACH-000150,-0.116705922915
ACH-000152,-0.0894134745084
ACH-000153,-0.352435064507
ACH-000159,-0.240695457973
ACH-000160,-0.6591750360899999
ACH-000163,-0.40497743585999996
ACH-000167,-0.12525434522700002
ACH-000168,-0.13471221602800001
ACH-000169,-0.365812145402
ACH-000178,-0.284066953841
ACH-000182,-0.12941033590099998
ACH-000183,-0.21289614735100001
ACH-000188,-0.356336506129
ACH-000189,-0.0910590921744
ACH-000190,-0.46923191554300003
ACH-000198,-0.22306296864
ACH-000204,-0.278832550298
ACH-000206,-0.26992995245900003
ACH-000207,-0.421938133596
ACH-000211,-0.18313063771699997
ACH-000215,-0.185238479612
ACH-000221,-0.27173959416099996
ACH-000222,-0.39677167687200005
ACH-000223,-0.295631969171
ACH-000226,-0.287332749595
ACH-000227,-0.23777023075999998
ACH-000228,-0.407469506018
ACH-000231,-0.193721492997
ACH-000232,-0.316765952957
ACH-000233,-0.143691265205
ACH-000234,-0.0674861390868
ACH-000235,-0.252413239383
ACH-000237,-0.39841618811499996
ACH-000238,-0.36565594772699994
ACH-000243,-0.144866003726
ACH-000244,-0.23784393872499998
ACH-000246,-0.12526481575200002
ACH-000248,-0.115955813971
ACH-000250,-0.240329297546
ACH-000251,-0.169095038662
ACH-000253,-0.140408822343
ACH-000255,-0.39190241228399997
ACH-000256,-0.373009585306
ACH-000257,-0.158434403629
ACH-000258,-0.0680145436558
ACH-000259,-0.300796418896
ACH-000260,-0.309755391183
ACH-000261,-0.140884220783
ACH-000262,-0.153492542691
ACH-000263,-0.296786915812
ACH-000264,-0.221101735563
ACH-000265,-0.274774950724
ACH-000266,-0.31736264082800003
ACH-000272,-0.122683136285
ACH-000273,-0.0410521139547
ACH-000274,-0.636449514789
ACH-000277,-0.514647598404
ACH-000278,-0.322661988575
ACH-000279,-0.152963036926
ACH-000280,-0.135686666742
ACH-000281,-0.151945757413
ACH-000288,-0.13953735025699998
ACH-000291,-0.189039967143
ACH-000293,-0.246587219828
ACH-000294,-0.134169187126
ACH-000295,-0.19651742600400002
ACH-000296,-0.119239683858
ACH-000302,-0.176946529223
ACH-000304,-0.104602894026
ACH-000307,-0.239409796415
ACH-000308,-0.27461896573100003
ACH-000310,-0.486563535564
ACH-000311,-0.17541528255999997
ACH-000312,-0.283942170796
ACH-000315,-0.5619925784300001
ACH-000316,-0.648892832383
ACH-000317,-0.035791470590699995
ACH-000318,-0.44324432259999996
ACH-000319,-0.237798255057
ACH-000320,-0.250762177199
ACH-000322,-0.11962123386399999
ACH-000323,-0.211153918664
ACH-000324,-0.18732742301199998
ACH-000329,-0.0106032315729
ACH-000330,-0.24074162643599997
ACH-000331,-0.291863294802
ACH-000332,-0.29411212114199997
ACH-000334,-0.1262953055
ACH-000335,-0.375353450776
ACH-000336,-0.24055039679200002
ACH-000337,-0.13637645220699998
ACH-000339,-0.245810391406
ACH-000341,-0.304630133741
ACH-000348,-0.178481591511
ACH-000350,-0.011782161767299999
ACH-000352,-0.18215918542999998
ACH-000356,-0.633609746454
ACH-000361,-0.192889012173
ACH-000362,-0.2760513555
ACH-000363,-0.208315842236
ACH-000364,-0.200095245196
ACH-000365,-0.20957208943100003
ACH-000366,-0.459895132324
ACH-000368,-0.152312493845
ACH-000374,-0.312757490483
ACH-000375,-0.17601203176199998
ACH-000376,-0.269172544206
ACH-000381,-0.188715645856
ACH-000383,-0.204694068692
ACH-000387,-0.238874138382
ACH-000389,-0.176476155704
ACH-000390,-0.06325695642580001
ACH-000393,-0.349524512519
ACH-000395,-0.224840141886
ACH-000397,-0.234911453232
ACH-000401,0.21308010603900002
ACH-000402,-0.06991668547339999
ACH-000403,-0.320559012331
ACH-000404,-0.262022163739
ACH-000406,-0.236514858532
ACH-000407,-0.41469987842
ACH-000408,-0.31067788266
ACH-000410,-0.060953232747499995
ACH-000411,-0.281720680658
ACH-000414,-0.180000390382
ACH-000415,-0.39790813805200004
ACH-000416,-0.224454520302
ACH-000420,-0.325498796506
