,NCAPG (64151)
ACH-000004,-1.47486571036
ACH-000007,-1.87426675116
ACH-000009,-1.4243797043700002
ACH-000011,-2.07342449866
ACH-000012,-1.4567244208
ACH-000013,-1.7539839640000001
ACH-000014,-1.97174764094
ACH-000015,-1.51292508477
ACH-000017,-2.08855382022
ACH-000018,-1.2414636418
ACH-000019,-1.66213555963
ACH-000021,-1.3059656221200002
ACH-000022,-1.7449837540400002
ACH-000025,-1.65190434972
ACH-000028,-1.5736562905200002
ACH-000030,-1.7078637461700001
ACH-000035,-1.5089080149899998
ACH-000036,-1.55504475941
ACH-000037,-2.1794951325
ACH-000039,-2.0957062246700002
ACH-000040,-1.5557815984799999
ACH-000041,-1.7633507373900001
ACH-000042,-1.7607005032499998
ACH-000045,-1.6171258647600002
ACH-000047,-1.7048145209
ACH-000052,-1.35373984218
ACH-000053,-1.56041667604
ACH-000054,-1.6136009110299998
ACH-000055,-1.8558569591900003
ACH-000060,-1.6391518895299997
ACH-000067,-1.31494329666
ACH-000070,-1.48935678862
ACH-000075,-1.34265657216
ACH-000078,-1.9001960263099997
ACH-000082,-1.48887064579
ACH-000085,-1.9172476865299999
ACH-000086,-1.4736692772600002
ACH-000087,-1.8742740469699999
ACH-000092,-1.29729715431
ACH-000095,-1.67917144139
ACH-000097,-1.73837037253
ACH-000098,-1.35310262016
ACH-000099,-1.8062714033400002
ACH-000108,-1.70045162977
ACH-000113,-1.7822692809599998
ACH-000115,-2.36918287495
ACH-000116,-1.7972602512599998
ACH-000118,-1.79676253275
ACH-000120,-1.50646043925
ACH-000123,-1.59768979537
ACH-000127,-1.6897501211000001
ACH-000128,-1.5448144428
ACH-000132,-1.67725601213
ACH-000133,-1.7634778211700002
ACH-000137,-1.99816374577
ACH-000138,-1.77269794074
ACH-000142,-1.7643316788099999
ACH-000143,-1.55811724139
ACH-000146,-1.5058376082299998
ACH-000148,-1.90942643379
ACH-000150,-1.45483374558
ACH-000152,-1.57637613004
ACH-000153,-1.65367563533
ACH-000159,-1.4581939619600002
ACH-000160,-1.26791473283
ACH-000163,-1.8053707123700002
ACH-000167,-1.70424822873
ACH-000168,-1.6231197902599999
ACH-000169,-1.43085453976
ACH-000178,-1.58992084062
ACH-000182,-1.7310977903099998
ACH-000183,-1.8261777976499998
ACH-000188,-1.64104906074
ACH-000189,-1.5998212323199998
ACH-000190,-1.14842057431
ACH-000198,-1.69954342597
ACH-000204,-1.5319973905000002
ACH-000206,-2.51400308817
ACH-000207,-2.2445310953599997
ACH-000211,-1.5270878902899998
ACH-000215,-1.53874857304
ACH-000221,-1.48609396676
ACH-000222,-1.84823540469
ACH-000223,-1.5269627370299999
ACH-000226,-1.64679858581
ACH-000227,-1.8153469225499999
ACH-000228,-1.89525931137
ACH-000231,-1.50059351831
ACH-000232,-1.5485775989300001
ACH-000233,-1.8588440184700001
ACH-000234,-2.11616198586
ACH-000235,-1.51015817537
ACH-000237,-1.63840175726
ACH-000238,-1.6112411239
ACH-000243,-1.77904851813
ACH-000244,-1.88423602469
ACH-000246,-1.5622814697799998
ACH-000248,-1.53610782813
ACH-000250,-1.60644790209
ACH-000251,-2.19065115806
ACH-000253,-1.75192663282
ACH-000255,-1.57197157366
ACH-000256,-1.4712479804799998
ACH-000257,-1.69411730498
ACH-000258,-1.95941335062
ACH-000259,-1.8850323406599998
ACH-000260,-1.77291882102
ACH-000261,-1.55456533448
ACH-000262,-1.74220180717
ACH-000263,-1.83466203282
ACH-000264,-1.5134994832700002
ACH-000265,-1.65509469247
ACH-000266,-1.8139491935099998
ACH-000272,-1.5687789831799999
ACH-000273,-1.76796095819
ACH-000274,-1.87496441218
ACH-000277,-1.4233911640299999
ACH-000278,-1.7635173688499999
ACH-000279,-1.58005675346
ACH-000280,-1.74151342703
ACH-000281,-1.4099468677200002
ACH-000288,-1.30083085368
ACH-000291,-1.64530455421
ACH-000293,-1.63249366162
ACH-000294,-1.7848594029599998
ACH-000295,-1.52568209517
ACH-000296,-1.7473401061099998
ACH-000302,-1.85975918539
ACH-000304,-2.5855361488999997
ACH-000307,-1.70337759357
ACH-000308,-1.7085755874000002
ACH-000310,-1.6957936317
ACH-000311,-1.7553447634900001
ACH-000312,-1.6479797437
ACH-000315,-1.6371338415999999
ACH-000316,-1.7867438314200002
ACH-000317,-1.7434927470400003
ACH-000318,-1.63844768436
ACH-000319,-1.42569130669
ACH-000320,-1.54423324354
ACH-000322,-1.4177071318099999
ACH-000323,-1.2923570412899998
ACH-000324,-1.8598786094
ACH-000329,-1.7557819219
ACH-000330,-1.6622673692200003
ACH-000331,-1.59333623271
ACH-000332,-1.67101655887
ACH-000334,-1.1711851203799999
ACH-000335,-1.61183833584
ACH-000336,-1.7120400781
ACH-000337,-1.48393684389
ACH-000339,-1.59265186671
ACH-000341,-1.92556659215
ACH-000348,-1.8245959428
ACH-000350,-2.20985353833
ACH-000352,-1.72523056537
ACH-000356,-1.7978105202099999
ACH-000361,-2.0722731616599996
ACH-000362,-1.76101327467
ACH-000363,-1.54554623698
ACH-000364,-1.40350190018
ACH-000365,-1.7436276142200002
ACH-000366,-1.5175760704499999
ACH-000368,-1.53627712465
ACH-000374,-1.4442879057
ACH-000375,-1.60928351606
ACH-000376,-1.6140092772699999
ACH-000381,-1.60757240146
ACH-000383,-1.54601959331
ACH-000387,-1.81438456574
ACH-000389,-1.51858114849
ACH-000390,-1.37881037167
ACH-000393,-1.57236791619
ACH-000395,-1.56871311868
ACH-000397,-1.59521370452
ACH-000401,-1.8403563534599998
ACH-000402,-1.3293293284999999
ACH-000403,-1.5872168048299997
ACH-000404,-1.6668510668399998
ACH-000406,-1.8089117792200002
ACH-000407,-1.5673986410299998
ACH-000408,-1.78361225879
ACH-000410,-1.48070256007
ACH-000411,-1.46951172343
ACH-000414,-1.86842105277
ACH-000415,-1.5511289232499998
ACH-000416,-1.5430439090399999
ACH-000420,-1.5953207088299999
ACH-000421,-1.63711212344
ACH-000424,-1.76869672838
ACH-000425,-1.42819895378
ACH-000426,-2.70726526117
ACH-000427,-1.3847152345500002
ACH-000433,-1.25058728641
ACH-000436,-1.8521956150299999
ACH-000444,-1.5516297291699999
ACH-000445,-1.6305540640399998
ACH-000448,-1.67857725497
ACH-000450,-2.1029441042099997
ACH-000452,-1.6261900572299999
ACH-000454,-1.22843924142
ACH-000458,-1.60656410494
ACH-000459,-1.38184719851
ACH-000460,-1.7296671682
ACH-000461,-1.34416858651
ACH-000463,-1.5212143014
ACH-000464,-1.93931917827
ACH-000466,-1.9855178169299998
ACH-000467,-1.8282366729099997
ACH-000468,-1.38287750025
ACH-000469,-1.6762775027799999
ACH-000470,-1.42703094243
ACH-000471,-1.57161534991
ACH-000472,-1.7614429742400002
ACH-000473,-1.58786541248
ACH-000475,-1.9397417886200001
ACH-000476,-1.6519878284099998
ACH-000477,-1.4167673335
ACH-000480,-1.3240063136799998
ACH-000481,-1.80843767345
ACH-000483,-1.6918386707700002
ACH-000484,-1.6713042382899999
ACH-000485,-1.6926190280700002
ACH-000486,-1.47044232352
ACH-000487,-1.4440386896899997
ACH-000488,-1.7411051720400004
ACH-000490,-1.4329128019100001
ACH-000491,-1.29744562573
ACH-000495,-1.28731279718
ACH-000496,-1.4843288816799998
ACH-000499,-1.32770115529
ACH-000500,-1.5463112374799999
ACH-000502,-1.79719820993
ACH-000503,-1.52523357033
ACH-000505,-1.7890396078200002
ACH-000507,-1.8943862650299998
ACH-000510,-1.46547064061
ACH-000511,-1.55380239486
ACH-000512,-1.57761093474
ACH-000516,-1.9069235399700002
ACH-000517,-1.9075343276199999
ACH-000518,-1.6977200882199999
ACH-000520,-1.78686341928
ACH-000521,-1.73366522629
ACH-000522,-1.69203209915
ACH-000524,-1.65641645074
ACH-000527,-1.87453321255
ACH-000528,-1.57645166837
ACH-000537,-1.72083536412
ACH-000541,-1.89950006275
ACH-000542,-1.5713997867299998
ACH-000544,-1.47420861565
ACH-000545,-1.5609190345500001
ACH-000547,-1.7178857884
ACH-000548,-1.52721953776
ACH-000549,-1.38605400786
ACH-000550,-1.64072224114
ACH-000552,-1.5373896196599999
ACH-000556,-1.70592477933
ACH-000557,-2.2533215280900003
ACH-000570,-1.64274416603
ACH-000571,-1.8368633630400002
ACH-000573,-1.4931996689899998
ACH-000576,-1.8440556537700001
ACH-000580,-1.86263369936
ACH-000584,-1.8476147098400002
ACH-000585,-1.7721307411000002
ACH-000588,-1.71898586036
ACH-000589,-1.57139692025
ACH-000591,-1.7218817335099998
ACH-000593,-1.7402470667200003
ACH-000600,-1.70789521629
ACH-000601,-1.5555111628
ACH-000604,-1.9591294067200002
ACH-000605,-1.82838785908
ACH-000606,-1.58369925011
ACH-000608,-1.52657889611
ACH-000614,-1.33192321706
ACH-000616,-1.64378559706
ACH-000618,-2.0117877895400005
ACH-000619,-1.4037681238100002
ACH-000620,-2.00751815287
ACH-000621,-1.7020515670700003
ACH-000622,-1.69436627
ACH-000623,-1.668748544
ACH-000624,-1.61534025204
ACH-000627,-1.8981092926299998
ACH-000630,-1.423440979
ACH-000632,-1.4307810948
ACH-000633,-1.44244445808
ACH-000637,-1.84942889275
ACH-000638,-1.9537689990599998
ACH-000646,-1.16823058521
ACH-000647,-1.77462164215
ACH-000648,-1.9950307977200001
ACH-000649,-1.3948078588100001
ACH-000651,-1.5513409568
ACH-000652,-1.22175491453
ACH-000653,-1.7036858870500002
ACH-000657,-1.5696133671399999
ACH-000658,-1.61733517135
ACH-000661,-2.02265419616
ACH-000662,-1.9175000565400002
ACH-000663,-1.5550966566799997
ACH-000665,-1.29064157154
ACH-000671,-1.64246658057
ACH-000673,-1.4998931085499998
ACH-000676,-1.54144558213
ACH-000677,-1.65607952002
ACH-000681,-1.88597797635
ACH-000682,-1.6123227740900001
ACH-000683,-1.90817769332
ACH-000684,-1.61779924196
ACH-000688,-1.19042511964
ACH-000693,-1.5010774033200003
ACH-000694,-1.4746195424200002
ACH-000695,-1.33783052546
ACH-000696,-1.58950477774
ACH-000697,-1.5925307244999998
ACH-000699,-2.0755156215599997
ACH-000701,-1.8929649909000001
ACH-000706,-1.89021184497
ACH-000711,-1.79783199762
ACH-000713,-1.4330146190000002
ACH-000714,-1.9126772622400001
ACH-000718,-1.58939018049
ACH-000720,-1.6555791052899997
ACH-000721,-1.32469769449
ACH-000724,-2.50367269784
ACH-000725,-1.7282593254299998
ACH-000732,-1.55570827906
ACH-000734,-1.6291472382299999
ACH-000735,-1.46981573164
ACH-000736,-1.73407163133
ACH-000738,-1.7130192896
ACH-000746,-1.89074450646
ACH-000747,-1.58702596653
ACH-000748,-1.85471763155
ACH-000753,-1.6244270958000002
ACH-000756,-1.5002086230399998
ACH-000757,-0.943843754499
ACH-000758,-1.483386555
ACH-000760,-1.5427623992500001
ACH-000763,-1.87235681241
ACH-000764,-1.6371534891
ACH-000765,-1.7295981272799998
ACH-000766,-1.65914591738
ACH-000767,-1.91934449165
ACH-000768,-1.64738478717
ACH-000769,-1.6398670447900001
ACH-000770,-1.9741817705200002
ACH-000771,-1.7013271086000001
ACH-000773,-1.6672913822100002
ACH-000776,-1.3262971700700001
ACH-000777,-1.6060338966699998
ACH-000778,-2.22572701647
ACH-000781,-1.78703566563
ACH-000782,-1.6557305851700002
ACH-000783,-1.7410754175
ACH-000784,-1.66932540018
ACH-000785,-1.79631767097
ACH-000787,-1.78357903229
ACH-000788,-1.67931295495
ACH-000791,-1.66105498849
ACH-000792,-1.85610742632
ACH-000794,-1.6526665018
ACH-000796,-1.5040785981
ACH-000799,-1.41567983375
ACH-000800,-2.55228461588
ACH-000802,-1.4214917964899998
ACH-000804,-1.7165181845700002
ACH-000805,-1.7486029493000002
ACH-000809,-1.74769076069
ACH-000810,-1.6770977706799999
ACH-000811,-1.9679631786400003
ACH-000817,-1.6835944865999999
ACH-000819,-1.48715032801
ACH-000820,-1.07911016866
ACH-000821,-1.9335707383
ACH-000822,-1.68782005218
ACH-000823,-1.6904098722499998
ACH-000824,-2.09103306416
ACH-000827,-1.5291263617700002
ACH-000829,-1.64669242519
ACH-000831,-1.75237848099
ACH-000832,-1.74356106523
ACH-000833,-1.79063798075
ACH-000834,-1.47854550896
ACH-000835,-1.70819138143
ACH-000836,-1.17524660759
ACH-000837,-1.55419599003
ACH-000838,-1.8176173492900003
ACH-000839,-1.6879804955500002
ACH-000840,-1.750415105
ACH-000841,-1.61902588019
ACH-000843,-1.6374466780899999
ACH-000846,-1.59221528418
ACH-000847,-1.47157059697
ACH-000848,-1.625891618
ACH-000849,-1.6385887417299998
ACH-000851,-1.6680414914200001
ACH-000855,-2.1558078366799998
ACH-000856,-1.74827684939
ACH-000858,-1.8869511213599999
ACH-000859,-1.68920835535
ACH-000861,-1.91802447884
ACH-000862,-1.89247410979
ACH-000865,-1.7049499614399999
ACH-000866,-1.58382963784
ACH-000867,-1.95752128365
ACH-000869,-1.3321308654000001
ACH-000872,-1.39665164372
