,POLR1C (9533)
ACH-000004,-1.88689477792
ACH-000007,-1.64328181367
ACH-000009,-1.8523209284200002
ACH-000011,-1.9019531464900001
ACH-000012,-1.70200201343
ACH-000013,-1.8916710978599998
ACH-000014,-1.74389751035
ACH-000015,-1.8595687325099999
ACH-000017,-1.8404647579799998
ACH-000018,-1.5407769044100001
ACH-000019,-1.8491409132700003
ACH-000021,-1.63446071463
ACH-000022,-2.06227420736
ACH-000025,-1.8415331735
ACH-000028,-1.58877625859
ACH-000030,-1.9395383712599998
ACH-000035,-1.7745995041799998
ACH-000036,-1.8778533660099999
ACH-000037,-1.21823541937
ACH-000039,-2.04297458158
ACH-000040,-1.79769485866
ACH-000041,-1.8423025646000002
ACH-000042,-2.03380638367
ACH-000045,-1.95194064417
ACH-000047,-1.67251273661
ACH-000052,-1.6280470091600001
ACH-000053,-1.6785589472100002
ACH-000054,-1.76287575839
ACH-000055,-1.70234833092
ACH-000060,-1.80792630525
ACH-000067,-1.66118863706
ACH-000070,-1.8389825587400002
ACH-000075,-1.8743881289400002
ACH-000078,-1.84836308463
ACH-000082,-1.7189606402900002
ACH-000085,-2.25905184432
ACH-000086,-1.72919375205
ACH-000087,-1.87784885742
ACH-000092,-1.91004198336
ACH-000095,-1.85192949815
ACH-000097,-1.8642310670700002
ACH-000098,-1.81963830869
ACH-000099,-2.00282560153
ACH-000108,-1.84541985229
ACH-000113,-1.79186190817
ACH-000115,-1.6861239049099999
ACH-000116,-1.8065663920500001
ACH-000118,-1.80326228866
ACH-000120,-1.8102061678
ACH-000123,-1.90204082121
ACH-000127,-1.8180627973599996
ACH-000128,-1.9549264989900001
ACH-000132,-2.0836108599400003
ACH-000133,-1.81746521118
ACH-000137,-1.5463364443099998
ACH-000138,-1.8290020838299998
ACH-000142,-1.7222127541099999
ACH-000143,-1.7803130790700001
ACH-000146,-1.76042297354
ACH-000148,-1.7613943395299998
ACH-000150,-1.82377808414
ACH-000152,-1.6244396603600002
ACH-000153,-2.2024208273599997
ACH-000159,-1.81075523249
ACH-000160,-1.30766074515
ACH-000163,-2.0733228286900003
ACH-000167,-1.6093207787700001
ACH-000168,-1.8138154447200001
ACH-000169,-1.8226740873900003
ACH-000178,-1.8483316075099998
ACH-000182,-1.79169531836
ACH-000183,-1.63206033863
ACH-000188,-1.99151658933
ACH-000189,-1.4031009523
ACH-000190,-1.43135452213
ACH-000198,-1.83286484906
ACH-000204,-2.1263744533
ACH-000206,-1.860916955
ACH-000207,-1.6540794450100003
ACH-000211,-1.7721862993000002
ACH-000215,-1.9066963322200001
ACH-000221,-1.8768912883000002
ACH-000222,-1.65946015215
ACH-000223,-1.60724007525
ACH-000226,-1.5955860755700002
ACH-000227,-1.43850963752
ACH-000228,-1.75600268225
ACH-000231,-1.7323012530900002
ACH-000232,-2.03470940094
ACH-000233,-1.6619749382100002
ACH-000234,-1.59594436918
ACH-000235,-1.87509523368
ACH-000237,-1.87004403855
ACH-000238,-2.0647415702500003
ACH-000243,-1.68339350512
ACH-000244,-1.8831863533900002
ACH-000246,-1.8095203371700002
ACH-000248,-1.6454343920200003
ACH-000250,-1.73283952884
ACH-000251,-1.8426971317400003
ACH-000253,-1.8234101396200002
ACH-000255,-1.77534104587
ACH-000256,-1.72853481113
ACH-000257,-1.8085592075299999
ACH-000258,-2.03135341415
ACH-000259,-1.8546583117900002
ACH-000260,-1.7429129965999999
ACH-000261,-1.61831025402
ACH-000262,-1.9726511663900004
ACH-000263,-1.8009382812299999
ACH-000264,-1.8414394099
ACH-000265,-1.79669631397
ACH-000266,-1.6566279038
ACH-000272,-1.79428130033
ACH-000273,-1.98381924245
ACH-000274,-1.7287100595599998
ACH-000277,-1.59052634649
ACH-000278,-1.86031403037
ACH-000279,-1.9468836602500001
ACH-000280,-1.87620780955
ACH-000281,-1.89204554789
ACH-000288,-1.71580531093
ACH-000291,-1.80983793879
ACH-000293,-2.05646996289
ACH-000294,-1.92273864965
ACH-000295,-1.7420473033300001
ACH-000296,-1.56991275609
ACH-000302,-1.75325328135
ACH-000304,-1.6385845593900001
ACH-000307,-1.8993886854400004
ACH-000308,-2.05809182174
ACH-000310,-1.7384050532599997
ACH-000311,-1.88885916528
ACH-000312,-1.8365737939400002
ACH-000315,-1.519113926
ACH-000316,-1.91709219854
ACH-000317,-2.07630064026
ACH-000318,-1.6941921234000001
ACH-000319,-1.64181833282
ACH-000320,-1.93025262181
ACH-000322,-1.66176367821
ACH-000323,-1.87286853906
ACH-000324,-1.67201950986
ACH-000329,-1.97954590116
ACH-000330,-1.57714631062
ACH-000331,-1.52107979368
ACH-000332,-1.24102612715
ACH-000334,-1.8171029514500001
ACH-000335,-1.8331370787999999
ACH-000336,-1.96908784564
ACH-000337,-1.8283383401099997
ACH-000339,-1.9243417736500001
ACH-000341,-1.52594298546
ACH-000348,-1.6812323595899998
ACH-000350,-2.0939645926900003
ACH-000352,-1.5513352011100001
ACH-000356,-1.82013319872
ACH-000361,-1.7440527404
ACH-000362,-1.72147867655
ACH-000363,-1.7490850714900001
ACH-000364,-1.6375078957499998
ACH-000365,-1.74934418747
ACH-000366,-1.8895626878099998
ACH-000368,-1.6691718147699999
ACH-000374,-2.00293948613
ACH-000375,-1.7666591775799998
ACH-000376,-2.08636741313
ACH-000381,-1.68549250614
ACH-000383,-2.07060211513
ACH-000387,-1.65137095238
ACH-000389,-1.33782979162
ACH-000390,-1.7133521467700001
ACH-000393,-2.0973993186200004
ACH-000395,-1.7991580472599997
ACH-000397,-1.7690177818900001
ACH-000401,-1.9093563901
ACH-000402,-1.9243201421400002
ACH-000403,-1.7992340091099999
ACH-000404,-1.6390799021899998
ACH-000406,-1.73053598064
ACH-000407,-1.62697732136
ACH-000408,-1.88188066652
ACH-000410,-1.69904123459
ACH-000411,-1.91229291157
ACH-000414,-1.86110198735
ACH-000415,-1.79508068336
ACH-000416,-1.75558113039
ACH-000420,-1.9176517579299999
ACH-000421,-1.6613951378299998
ACH-000424,-1.6222594540000002
ACH-000425,-1.74670070143
ACH-000426,-1.60938557479
ACH-000427,-1.8052838679799998
