,ELP6 (54859)
ACH-000004,-1.2694264035
ACH-000007,-0.8762090425769999
ACH-000009,-1.32961365137
ACH-000011,-1.35854810676
ACH-000012,-1.31346311469
ACH-000013,-1.29540984291
ACH-000014,-1.30829082663
ACH-000015,-1.41239692769
ACH-000017,-1.35465843939
ACH-000018,-1.44675235098
ACH-000019,-1.0355380268
ACH-000021,-1.16847419063
ACH-000022,-1.13266851828
ACH-000025,-1.66744088567
ACH-000028,-1.31959767068
ACH-000030,-1.3991044852399999
ACH-000035,-1.03186853553
ACH-000036,-1.21613151679
ACH-000037,-1.0206171231899999
ACH-000039,-1.10678574531
ACH-000040,-1.2845535350700001
ACH-000041,-1.4026409021000001
ACH-000042,-1.13805092074
ACH-000045,-1.1748040535600002
ACH-000047,-0.987248747331
ACH-000052,-1.0884711434899998
ACH-000053,-1.0979553526999999
ACH-000054,-1.21924029714
ACH-000055,-1.5029685849599999
ACH-000060,-1.29507671295
ACH-000067,-1.27948875532
ACH-000070,-1.2872279177200001
ACH-000075,-0.9362221837479999
ACH-000078,-1.22320148441
ACH-000082,-0.7738869937620001
ACH-000085,-1.3550507700799999
ACH-000086,-1.42733597178
ACH-000087,-1.4742720984200002
ACH-000092,-1.41086634169
ACH-000095,-1.31495548898
ACH-000097,-0.717217445718
ACH-000098,-1.59874299462
ACH-000099,-1.17843101033
ACH-000108,-1.15845908838
ACH-000113,-1.03512502336
ACH-000115,-1.15685174186
ACH-000116,-1.02837641621
ACH-000118,-0.973654055972
ACH-000120,-1.20687207573
ACH-000123,-1.18593385405
ACH-000127,-1.5544774289200003
ACH-000128,-1.16403481365
ACH-000132,-1.60430255401
ACH-000133,-1.20635539514
ACH-000137,-1.21946578753
ACH-000138,-1.37882137915
ACH-000142,-1.26729582388
ACH-000143,-1.26675778418
ACH-000146,-0.53816216558
ACH-000148,-1.12397784261
ACH-000150,-1.5523462214200001
ACH-000152,-0.886414845576
ACH-000153,-1.0
ACH-000159,-1.04864847396
ACH-000160,-0.9489802368610001
ACH-000163,-1.2278838484
ACH-000167,-1.1923488013899999
ACH-000168,-1.3577599000799998
ACH-000169,-1.1982345691
ACH-000178,-1.34904860451
ACH-000182,-0.793685129393
ACH-000183,-1.1540384362799998
ACH-000188,-1.32257983163
ACH-000189,-1.46774506588
ACH-000190,-1.13632740034
ACH-000198,-1.25518297944
ACH-000204,-0.729633102651
ACH-000206,-1.12969139744
ACH-000207,-1.2222842059899999
ACH-000211,-1.39879650993
ACH-000215,-1.5383418917200002
ACH-000221,-1.52216558933
ACH-000222,-1.3507721097
ACH-000223,-0.764738943925
ACH-000226,-0.988412227191
ACH-000227,-1.02059143995
ACH-000228,-1.36859248569
ACH-000231,-1.31330420234
ACH-000232,-1.0678498503799998
ACH-000233,-0.981179483317
ACH-000234,-1.50744458405
ACH-000235,-1.0539074618200002
ACH-000237,-1.18188969338
ACH-000238,-1.47647153968
ACH-000243,-1.41202222268
ACH-000244,-1.27904674151
ACH-000246,-1.12133902501
ACH-000248,-1.5745518909799998
ACH-000250,-1.17799351772
ACH-000251,-1.24041960139
ACH-000253,-1.23473996106
ACH-000255,-1.17558059205
ACH-000256,-1.12636342705
ACH-000257,-1.25605543415
ACH-000258,-0.921321020905
ACH-000259,-1.24112419027
ACH-000260,-1.40743212568
ACH-000261,-1.24537994481
ACH-000262,-1.21510870484
ACH-000263,-1.24906386591
ACH-000264,-1.7308597122
ACH-000265,-1.3281679842
ACH-000266,-0.9718652097470001
ACH-000272,-1.2515381798899998
ACH-000273,-1.14378085784
ACH-000274,-1.3580791484799999
ACH-000277,-1.29212620009
ACH-000278,-1.02077268735
ACH-000279,-1.3222073334200002
ACH-000280,-1.41881514641
ACH-000281,-1.37068528889
ACH-000288,-1.5818283146
ACH-000291,-1.29347432246
ACH-000293,-1.4951311559799998
ACH-000294,-0.960943148644
ACH-000295,-0.7959396794779999
ACH-000296,-1.4779169313799998
ACH-000302,-0.7392661866329999
ACH-000304,-1.4200440529799998
ACH-000307,-1.34078974781
ACH-000308,-0.866442480916
ACH-000310,-1.02027854211
ACH-000311,-1.07357224645
ACH-000312,-1.40724293254
ACH-000315,-1.4319076616799997
ACH-000316,-1.4347674079799997
ACH-000317,-1.13300264045
ACH-000318,-1.41740945188
ACH-000319,-1.30567078701
ACH-000320,-1.51573187775
ACH-000322,-1.08890442817
ACH-000323,-1.24931487699
ACH-000324,-1.46191671501
ACH-000329,-0.88948771081
ACH-000330,-1.42304922284
ACH-000331,-1.29880984604
ACH-000332,-1.5643072840999999
ACH-000334,-0.878887353458
ACH-000335,-1.27661364634
ACH-000336,-1.2888333376799999
ACH-000337,-1.18445765377
ACH-000339,-1.30693027557
ACH-000341,-1.3391059545200001
ACH-000348,-0.663740549104
ACH-000350,-1.20983361237
ACH-000352,-1.1810633621100002
ACH-000356,-1.0637743773000001
ACH-000361,-1.5683171315900002
ACH-000362,-1.16515901829
ACH-000363,-0.90014625479
ACH-000364,-1.1317844452299999
ACH-000365,-0.951155481928
ACH-000366,-1.67178005071
ACH-000368,-1.22918348366
ACH-000374,-1.38315111255
ACH-000375,-1.3191909653899998
ACH-000376,-1.1114744837100001
ACH-000381,-1.4593519226700002
ACH-000383,-1.14658908412
ACH-000387,-1.10328172017
ACH-000389,-1.4669049427399998
ACH-000390,-1.44284100701
ACH-000393,-1.37942733482
ACH-000395,-1.63012376918
ACH-000397,-1.31124504095
ACH-000401,-1.2503079001700002
ACH-000402,-1.03229518538
ACH-000403,-0.8784107018999999
ACH-000404,-1.27991865039
ACH-000406,-1.01460302688
ACH-000407,-1.41750528479
ACH-000408,-1.29920898591
ACH-000410,-1.2833034218000001
ACH-000411,-0.924292635781
ACH-000414,-1.1043305839700002
ACH-000415,-1.5558913450799998
ACH-000416,-1.2279976452299999
ACH-000420,-1.22338764245
ACH-000421,-0.906453079739
ACH-000424,-1.21622102409
ACH-000425,-1.25512702308
ACH-000426,-0.819988547959
ACH-000427,-1.19275894245
ACH-000433,-1.41903705947
ACH-000436,-1.0291736736100001
ACH-000444,-1.12837132294
ACH-000445,-1.11543251
ACH-000448,-1.1993939958
ACH-000450,-1.05600510309
ACH-000452,-1.09110102018
ACH-000454,-1.4716906012200002
ACH-000458,-1.24145400181
ACH-000459,-1.38148197888
ACH-000460,-1.37591095794
ACH-000461,-1.20332807888
ACH-000463,-1.4370587037600002
ACH-000464,-1.2322592787200002
ACH-000466,-1.18703279726
ACH-000467,-1.03476456145
ACH-000468,-1.2362735024299998
ACH-000469,-1.25179195345
ACH-000470,-0.9418917857539999
ACH-000471,-1.37887267979
ACH-000472,-1.3200412400900001
ACH-000473,-1.3134103666799999
ACH-000475,-1.29408381777
ACH-000476,-1.38407246621
ACH-000477,-1.1719199895799999
ACH-000480,-1.24779270255
ACH-000481,-0.903392903943
ACH-000483,-1.20344077452
ACH-000484,-1.2724816352
ACH-000485,-1.2257043717899998
ACH-000486,-1.13408364172
ACH-000487,-1.2714081717899999
