,PITPNC1 (26207)
ACH-000004,0.0895804432513
ACH-000007,-0.14729073500700002
ACH-000009,-0.0619785200096
ACH-000011,-0.019126259899799998
ACH-000012,-0.176489681903
ACH-000013,0.161560539979
ACH-000014,0.294414947735
ACH-000015,0.133709856512
ACH-000017,0.0548730895576
ACH-000018,0.0144123341146
ACH-000019,-0.0873268727843
ACH-000021,0.071020243496
ACH-000022,0.08559781660350001
ACH-000025,0.193766891224
ACH-000028,-0.13320219836799999
ACH-000030,0.07918340688910001
ACH-000035,-0.0321435446281
ACH-000036,0.09985458348130001
ACH-000037,-0.25010788382599997
ACH-000039,-0.00623478926526
ACH-000040,-0.015658644699600002
ACH-000041,0.0611712826519
ACH-000042,-0.06947462970360001
ACH-000045,-0.0671043160858
ACH-000047,-0.0316342640907
ACH-000052,0.298157364833
ACH-000053,0.0805238050978
ACH-000054,-0.010640342248799999
ACH-000055,0.041441276666999996
ACH-000060,0.18208842596900002
ACH-000067,0.037277034405
ACH-000070,0.27165918489700003
ACH-000075,0.00357400174861
ACH-000078,-0.26220812113200004
ACH-000082,0.0414604992101
ACH-000085,0.11924582743899999
ACH-000086,-0.22770575461
ACH-000087,-0.165439306112
ACH-000092,0.154962731831
ACH-000095,0.111073523217
ACH-000097,0.140399849385
ACH-000098,0.133033342962
ACH-000099,-0.016178115006799998
ACH-000108,0.0233469938239
ACH-000113,0.10757587151100001
ACH-000115,0.172874970153
ACH-000116,0.0849318636016
ACH-000118,-0.114501101536
ACH-000120,-0.18989815807500002
ACH-000123,0.0339950949878
ACH-000127,0.0965891177348
ACH-000128,0.346152384164
ACH-000132,-0.0995229797532
ACH-000133,0.21771791044599997
ACH-000137,-0.014893398137600001
ACH-000138,0.008497833611390001
ACH-000142,0.032859517222
ACH-000143,-0.0167253923974
ACH-000146,0.04198078326
ACH-000148,-0.0289415563767
ACH-000150,0.35048750133199996
ACH-000152,0.05742883465819999
ACH-000153,0.034314379804
ACH-000159,0.189709385209
ACH-000160,0.134788360016
ACH-000163,-0.090455126294
ACH-000167,-0.00608522709026
ACH-000168,-0.159142922707
ACH-000169,0.00270432924382
ACH-000178,0.11244666575300001
ACH-000182,0.0649633755739
ACH-000183,0.034384182708699994
ACH-000188,0.0646930211328
ACH-000189,0.115743899194
ACH-000190,-0.00443906172736
ACH-000198,-0.0912298568767
ACH-000204,0.046475326056300004
ACH-000206,0.242649009981
ACH-000207,0.0741426041348
ACH-000211,-0.018487755028400003
ACH-000215,0.0269928074097
ACH-000221,0.067357747439
ACH-000222,-0.0023457402393699998
ACH-000223,0.0347214649903
ACH-000226,-0.073516145757
ACH-000227,0.18360565325599998
ACH-000228,-0.20940744338599998
ACH-000231,-0.100188284202
ACH-000232,0.155985834801
ACH-000233,0.19597550188
ACH-000234,0.40260832162199994
ACH-000235,0.0698548988633
ACH-000237,-0.0336142955517
ACH-000238,-0.0374356207758
ACH-000243,-0.0584652316981
ACH-000244,0.44770503431500003
ACH-000246,0.00676766591565
ACH-000248,-0.07662547130969999
ACH-000250,-0.014333046432100002
ACH-000251,-0.566559320462
ACH-000253,0.113887293081
ACH-000255,-0.10030056249500001
ACH-000256,0.142485541853
ACH-000257,0.10634280222300001
ACH-000258,-0.0787222631963
ACH-000259,0.18242982785700002
ACH-000260,0.0470549826732
ACH-000261,-0.0237935047906
ACH-000262,-0.035519382714100003
ACH-000263,0.08189204087299999
ACH-000264,0.035480140538499995
ACH-000265,0.08536751349919999
ACH-000266,0.00522148622685
ACH-000272,-0.056487882420199996
ACH-000273,-0.098174104588
ACH-000274,0.189367412449
ACH-000277,0.27860313055999997
ACH-000278,0.0036043177822699998
ACH-000279,0.08664202741089999
ACH-000280,0.10513221052100001
ACH-000281,0.12333722751399999
ACH-000288,0.034363150549800006
ACH-000291,-0.152997913742
ACH-000293,0.13443222098
ACH-000294,0.11606372484300001
ACH-000295,0.169282255815
ACH-000296,-0.30318372175700004
ACH-000302,0.113076407307
ACH-000304,0.0190680401562
ACH-000307,0.00377821511911
ACH-000308,0.253130940308
ACH-000310,-0.20917073997400001
ACH-000311,-0.215800569621
ACH-000312,0.0017214684874799998
ACH-000315,0.17456351067200002
ACH-000316,-0.132335469285
ACH-000317,0.0803722396882
ACH-000318,0.116359635917
ACH-000319,0.0460259102393
ACH-000320,-0.0770325991152
ACH-000322,0.0250621138112
ACH-000323,-0.147563306316
ACH-000324,0.07564909290569999
ACH-000329,0.09450148623160001
ACH-000330,0.0038647967107500003
ACH-000331,0.0249634708871
ACH-000332,0.07102607946339999
ACH-000334,-0.026899118079400004
ACH-000335,-0.129280863202
ACH-000336,0.252939726606
ACH-000337,-0.16810328647999997
ACH-000339,0.171483261674
ACH-000341,-0.0965837383746
ACH-000348,0.1459472097
ACH-000350,0.016270694941100002
ACH-000352,0.08582557398219999
