,TMEM59L (25789)
ACH-000004,0.0659702624833
ACH-000007,0.108214372291
ACH-000009,-0.12423369425599999
ACH-000011,-0.14166356824
ACH-000012,-0.246294851791
ACH-000013,-0.221994159726
ACH-000014,-0.0775851290137
ACH-000015,-0.28627734662300003
ACH-000017,-0.331333268883
ACH-000018,-0.00639304963295
ACH-000019,-0.1578715103
ACH-000021,-0.185580281251
ACH-000022,-0.25484220586999995
ACH-000025,-0.265541345817
ACH-000028,-0.33382094286200004
ACH-000030,-0.267668413437
ACH-000035,-0.17971527162
ACH-000036,-0.297674157515
ACH-000037,-0.010817189700899999
ACH-000039,-0.355004676118
ACH-000040,-0.119058491556
ACH-000041,-0.23966132681
ACH-000042,-0.279828158788
ACH-000045,-0.16022358607
ACH-000047,-0.17541747098000002
ACH-000052,-0.08218065548289999
ACH-000053,-0.184726092544
ACH-000054,-0.161404480009
ACH-000055,-0.33757625709600003
ACH-000060,-0.22126668650800002
ACH-000067,-0.0512705056444
ACH-000070,-0.0911020205932
ACH-000075,-0.275686022632
ACH-000078,-0.151283909915
ACH-000082,-0.20288542389699998
ACH-000085,-0.336114545753
ACH-000086,-0.209308669272
ACH-000087,-0.258358027391
ACH-000092,-0.222842660981
ACH-000095,-0.0633245041236
ACH-000097,-0.227796413832
ACH-000098,-0.07328049178439999
ACH-000099,-0.17194643924199998
ACH-000108,-0.30961456085
ACH-000113,-0.14229861648199998
ACH-000115,-0.33669503060199996
ACH-000116,-0.335034029477
ACH-000118,-0.278489564203
ACH-000120,-0.0922914330414
ACH-000123,-0.158805931669
ACH-000127,-0.219700885181
ACH-000128,-0.133221642542
ACH-000132,-0.34936077064099996
ACH-000133,0.074658844273
ACH-000137,-0.19148528699499998
ACH-000138,0.106565071738
ACH-000142,0.0164877600415
ACH-000143,-0.236324599213
ACH-000146,-0.0240148583764
ACH-000148,-0.09423480612089999
ACH-000150,-0.054621342910199995
ACH-000152,-0.046428207538400004
ACH-000153,0.230827612362
ACH-000159,-0.18884494854699999
ACH-000160,-0.536662451575
ACH-000163,-0.194887312641
ACH-000167,-0.426047199824
ACH-000168,-0.149883750985
ACH-000169,-0.177414888636
ACH-000178,-0.146605427261
ACH-000182,-0.14401615138
ACH-000183,-0.17439230806699998
ACH-000188,-0.0680688612176
ACH-000189,-0.13001453942
ACH-000190,-0.0884423139593
ACH-000198,-0.205598272247
ACH-000204,-0.101141647936
ACH-000206,-0.341515279971
ACH-000207,-0.329715624964
ACH-000211,-0.20416433937399997
ACH-000215,-0.0411852242089
ACH-000221,-0.0673402737621
ACH-000222,-0.125633668655
ACH-000223,-0.0222992135293
ACH-000226,-0.19588142881499998
ACH-000227,-0.35372306587499996
ACH-000228,-0.122070339696
ACH-000231,-0.0497246611889
ACH-000232,-0.40780790768200004
ACH-000233,-0.116517669127
ACH-000234,-0.324023102512
ACH-000235,-0.12635247728000001
ACH-000237,-0.267857105866
ACH-000238,0.0838481227144
ACH-000243,-0.23562539416900002
ACH-000244,-0.0750619770509
ACH-000246,-0.23327154789700003
ACH-000248,-0.217310659621
ACH-000250,-0.319699713241
ACH-000251,-0.24549428986699998
ACH-000253,-0.240705304103
ACH-000255,-0.23691211241500001
ACH-000256,0.142074470967
ACH-000257,-0.0883577776297
ACH-000258,-0.383724554887
ACH-000259,-0.179188270955
ACH-000260,-0.236859618913
ACH-000261,-0.20629650665600002
ACH-000262,-0.19524378657000002
ACH-000263,-0.320587676429
ACH-000264,-0.11888094927500001
ACH-000265,-0.103699976648
ACH-000266,-0.155550553357
ACH-000272,-0.260784857651
ACH-000273,-0.333056156877
ACH-000274,-0.229131968612
ACH-000277,-0.0108646829582
ACH-000278,-0.269028272522
ACH-000279,-0.137583167347
ACH-000280,-0.09143901570810001
ACH-000281,-0.375297614335
ACH-000288,-0.15448213376199998
ACH-000291,-0.117286857782
ACH-000293,-0.150882272417
ACH-000294,-0.09264945941080001
