,FIP1L1 (81608)
ACH-000004,-0.7489962058130001
ACH-000007,-1.0935057424299999
ACH-000009,-0.985711116603
ACH-000011,-1.1207767862
ACH-000012,-0.79321302752
ACH-000013,-0.949933601397
ACH-000014,-0.602384504127
ACH-000015,-1.03299384191
ACH-000017,-1.1710267964799999
ACH-000018,-0.922162874094
ACH-000019,-1.1423843516
ACH-000021,-1.00454305929
ACH-000022,-0.9366089055069999
ACH-000025,-0.812991523856
ACH-000028,-0.9155829292129999
ACH-000030,-0.965269776035
ACH-000035,-1.06514692631
ACH-000036,-0.7886463695
ACH-000037,-0.859407401491
ACH-000039,-0.7360984606309999
ACH-000040,-1.21170493991
ACH-000041,-1.0514944021700001
ACH-000042,-0.905209849182
ACH-000045,-0.8965331582230001
ACH-000047,-0.944120870592
ACH-000052,-1.21274380304
ACH-000053,-0.910544588789
ACH-000054,-1.02935673244
ACH-000055,-1.14060738923
ACH-000060,-0.745072168878
ACH-000067,-0.689002602282
ACH-000070,-0.840563975839
ACH-000075,-0.922433681823
ACH-000078,-1.01361622514
ACH-000082,-0.673282692544
ACH-000085,-0.864489154764
ACH-000086,-0.712645813424
ACH-000087,-1.11635700195
ACH-000092,-0.9494760911560001
ACH-000095,-1.12228079316
ACH-000097,-0.992929863376
ACH-000098,-0.831530694294
ACH-000099,-1.1741787940000001
ACH-000108,-0.8125285255169999
ACH-000113,-0.887579902361
ACH-000115,-1.14966695999
ACH-000116,-1.1223943083399999
ACH-000118,-0.9568504782639999
ACH-000120,-0.9856930577490001
ACH-000123,-1.0464989732799999
ACH-000127,-0.813872027711
ACH-000128,-1.15780513878
ACH-000132,-0.995235667805
ACH-000133,-0.960710170379
ACH-000137,-1.1635061722600002
ACH-000138,-0.9797536508879999
ACH-000142,-0.7219557208840001
ACH-000143,-1.02620704449
ACH-000146,-1.04114787905
ACH-000148,-1.01764812164
ACH-000150,-0.9458859138969999
ACH-000152,-0.997667992516
ACH-000153,-0.508807549092
ACH-000159,-1.08977984286
ACH-000160,-1.15931641576
ACH-000163,-0.940140730308
ACH-000167,-0.879366475922
ACH-000168,-0.854140773483
ACH-000169,-1.08627924103
ACH-000178,-0.8785484725570001
ACH-000182,-1.14022518836
ACH-000183,-0.785834429369
ACH-000188,-0.9352377689460001
ACH-000189,-1.22095857492
ACH-000190,-1.35152313197
ACH-000198,-1.4028568158399999
ACH-000204,-0.436311867853
ACH-000206,-1.22647352779
ACH-000207,-0.08507032601919999
ACH-000211,-0.9403195336779999
ACH-000215,-0.925880786789
ACH-000221,-0.927386327325
ACH-000222,-0.904519256649
ACH-000223,-0.875712076026
ACH-000226,-0.8963222983660001
ACH-000227,-1.0696385336799998
ACH-000228,-0.552439121642
ACH-000231,-0.8268795598370001
ACH-000232,-0.9927194795919999
ACH-000233,-0.975313668785
ACH-000234,-0.836009373891
